8/P4Rp1/6kp/r4p2/2p5/4P2P/5PP1/4K3 w - -,f7c7
r1b2rk1/3nq1pp/p1n1pp2/1p1pP3/1P3P2/P1NBQN2/2P3PP/R3K2R w KQ -,e1g1
r1bqr1k1/bpp2ppp/p5n1/4p2n/3PP3/2P4P/PPBN1PP1/R1BQR1K1 w - -,d1h5
4r3/2P3pp/p2P1k2/5p2/2Bp4/8/6PP/7K w - -,h1g1
2q2r1k/6p1/p4rb1/1pp3Q1/4p3/P1P1N3/1P1R1PPP/4R1K1 b - -,c8e6
8/8/5p2/p2kp1p1/P2p3p/1P2rP1P/2PR2P1/2K5 w - -,c1d1
r2k3r/1ppn2pp/p2bpn2/4p3/4P3/2N1BP1N/PPP1K1PP/R6R b - -,d8e7
q1rr2k1/pb1pbpp1/1p2pn1p/2n5/2P5/2N1PN1R/PP2BPPP/1Q1RB1K1 b - -,d7d6
6r1/4k3/4pp2/2p4p/2Bn4/1P2K3/P2R2PP/8 b - -,g8a8
1rb2rk1/pp2ppbp/1q1p2p1/8/2P2N2/1P2P1PP/P2Q1PB1/2RR2K1 w - -,f4d5
r1bq1rk1/pppnppbp/3p1np1/8/3P4/1P2PN2/PBP1BPPP/RN1Q1RK1 b - -,c7c5:f8e8
r5k1/r3b1p1/1q2ppbp/1p1pP3/1P6/1QRNP1P1/5P1P/1R3BK1 b - -,f6e5
5rk1/4ppbp/3p1np1/1N1P4/2n1P3/2B2P2/5NPP/R5K1 b - -,f8b8
1r6/q5bk/3pb1pp/n1PN1p2/p1P5/P5P1/1r3PBP/2QRBR1K b - -,a7c5
3r1k2/4qp1p/p1p2Np1/2PB4/1p1Q1P2/1P4Pb/P4K2/2R5 w - -,f6h7
4r3/2r2k2/p5pp/5p2/P3b3/2p4P/2P3PN/1RR4K b - -,e8e7
8/p4k1p/P1B3p1/2p1b3/1p6/1KP5/1P6/8 w - -,c3b4
r2q1rk1/pbp2ppp/1pn1pb2/8/2BP1P2/2N2N2/PP1Q1PPP/3R1RK1 w - -,f1e1
8/6p1/5p2/5k1p/1pK4P/1Pp3P1/2P5/8 b - -,f5g4
2q2rk1/r4pb1/1p1p2p1/p2P2PP/Pp2P1Q1/1B1N4/1PP5/2K2R2 w - -,g4g3
4r1k1/5ppp/1Rp5/q7/2NPP3/2NK2P1/5P1P/r1Q3n1 w - -,c4a5
r1b1rbk1/3q1p2/p1Np4/1N1Pp1np/2P1P1PB/7n/2Q3P1/RR3B1K b - -,a6b5
r1r5/8/1Q3kp1/1p2p3/4P3/3B4/PpP5/1K6 b - -,f6g7
r2r2k1/pp3ppb/2p1pn1p/8/n1N1PP2/B1P1q1PP/P1P3BK/4RR2 w - -,e1e3
1k6/2b4p/4bp2/1NP4p/p3N2P/4K3/8/8 b - -,c7e5
r5k1/1p2qppp/p1n1p3/2b5/P1B1nN2/2B1P3/1P3PPP/R2Q2K1 w - -,c3e1
r4rk1/1ppqn1b1/2n1bppp/p3p3/2NP4/2P2NP1/PPQ2PBP/R1B1R1K1 w - -,c4e3
r4rk1/1bq1bp2/p1nppnp1/8/1p2PPP1/PNN1B3/1PP1B3/R3QRK1 w - -,a3b4
3r1rk1/4q1pp/p4n2/1pn5/3Bp3/4Q1P1/PPP2PBP/R4RK1 b - -,c5b7
5n2/2N2k1p/4b1p1/p3Pp2/3K1P2/P1R3P1/7n/8 w - -,c7e6
1k5r/1p1N1p2/2p3n1/p1n1qN1p/Pb1R4/1P2P1P1/2Q2PB1/6K1 b - -,c5d7
2R5/5kpp/1r3p2/1P6/8/1b4B1/5PPP/6K1 w - -,c8b8
5r2/1R6/P4pkp/6p1/1NK5/r3B1P1/5P1P/8 w - -,a6a7
r1b2rk1/1pq1bp2/pP2p1p1/3n3p/5P2/1N2BB2/PP2Q1PP/2R2R1K b - -,c7d8
8/1p6/p1p1k1p1/2Pn4/P4n1P/1K6/2P2B2/5B2 b - -,e6f5
r4k1r/pp2bp2/1qn1bN1p/3pPpp1/3P3P/5N2/PP3PP1/R1BQ1RK1 b - -,g5g4
r3kb1r/ppqn1pp1/2p1pnb1/7p/2NP1PP1/2N4P/PPP1B3/R1BQ1RK1 w kq h6,g1g2
2b3k1/3r2b1/2N1p3/p2r2p1/1p1PN1P1/1K6/PP1R3P/3R4 w - -,e4c5
4r3/2r1pk1p/1q3b2/pPpp1Pp1/P5P1/1P6/4QBRP/4R2K w - -,e2f3
r2r2k1/pp3ppp/8/n1Pn3q/Q5b1/P3PN2/1P1N1KPP/2R2B1R b - -,g4f3
2kr4/1p1R4/p1p2N2/P1P1p2p/7P/2PK1P2/8/8 b - -,d8d7
2r1k2r/1b1nbp1p/p2qp1PQ/8/1p1NP3/3B4/PPP1N3/2KR2R1 b k -,f7g6
2krn2r/1p1nbpp1/p1p3p1/2Ppp3/1P1P4/3BPP2/1P1BNKPP/R6R w - -,d2c3
2rr2k1/2q2ppp/1b2nn2/1p2p3/4P3/pNP2BPP/P2P2Q1/BK1R3R w - -,d1c1
8/8/2Rp2kp/1rpP4/p1Kp2p1/P5P1/5P2/8 b - -,b5b3
r7/4kp2/PpN5/2pP2P1/2P2K2/1P6/8/8 b - -,e7d6
4k3/8/R3B1pb/4p3/3pb3/8/P6r/4K3 b - -,h6e3
2kr3r/p2p2p1/1p2p3/4q3/8/P1PQ3P/P4PP1/2R2RK1 b - -,g7g5
2b5/2r1r1kp/pR4p1/2p1pp2/2P1P3/P2PK1PB/7P/1R6 w - -,h3g2
4R3/1k2P2p/3K1bp1/p7/Bp6/1P6/4r1PP/8 b - -,f6e5
1r3rk1/p4pbp/R1pNb1p1/2n1p3/8/1P4P1/1BPRPPBP/6K1 w - -,a6a7
r1bqr1k1/p4pbp/1p3np1/2pp4/5B2/2PBPN1P/PP3PP1/R2Q1RK1 w - -,d1c2
2R5/pp2r1pp/4k3/3p4/8/3KP3/PP4PP/8 w - -,c8f8
r3qrk1/pb2bppp/n3pn2/2ppN3/1PP2B2/P5P1/2Q1PPBP/RN3RK1 w - -,b4b5
r5k1/4qpp1/1prpb2p/4p3/pPP1P3/P1RB1PP1/4Q1KP/2R5 w - -,e2e3
8/p1r3k1/4Rq1p/2p3p1/8/1P4P1/P4P2/4Q1K1 b - -,f6d4
rn1qk2r/ppp2ppp/1n2p3/4N3/1bPP2P1/4BP1P/PP6/1R1QKB1R w Kkq -,e1f2
r2q1rk1/pp1n1ppp/2pb1n2/4p1B1/2BPP1b1/2P2N2/PP1N2PP/R2Q1RK1 b - -,b7b5
1r4k1/p2n1ppp/4p1b1/2n3N1/2P5/Q2pR1PP/Pq3PB1/3R2K1 w - -,a3b2
rn1qk2r/pppnbppp/4p3/2P4b/2BP4/2N2N1P/PP3PP1/R1BQK2R w KQkq -,c1e3
5k2/5p1p/5Q2/6K1/2q4P/6P1/5P2/8 b - -,c4d3
8/6p1/p5k1/5pP1/3P1Q1P/2q5/5PK1/8 b - -,c3d3
8/5R2/1prk4/2p2p2/3p3B/2P1PK2/2n5/8 w - -,e3d4
1rqr2k1/ppp2pbp/2n1p1p1/3p4/3PnP2/1PPQPNP1/P5BP/R1B1R1K1 b - -,c6e7
8/R7/3kb3/1r2p3/4P3/2K2P2/pp4PP/1B6 w - -,a7a6
8/p4k2/3R4/7K/1B4P1/P3p3/1P1p1r2/8 b - -,f2g2
4r1k1/5pp1/r1pB4/4Pq1p/p1P2P2/R2P1Q1P/6P1/7K b - -,e8a8
r1b1qbkr/pp2p1pp/1n6/3PN3/1n6/2N2Q2/PP3PPP/R1B1K2R w KQ -,e1g1
1k5r/P2b4/4Np2/3B1n2/8/P5r1/8/1R2RK2 b - -,b8a7
r2qk2r/pb1n1ppp/2pb4/1p2p3/3PP1n1/2NBBN2/PP2QPPP/2R2RK1 b kq -,g4e3
rnbqk2r/pp2ppbp/6p1/2pp4/2PP3B/2P1PN2/P4PPP/R2QKB1R b KQkq -,c5d4:b8c6:d8a5
6k1/p4p2/1b1q2p1/7p/1P1pB2P/P4QP1/6K1/8 b - -,g8g7
8/4p1k1/4B1b1/3P1p2/5K2/7P/6P1/8 w - -,e6f5
6r1/8/4k3/4P2K/6P1/8/5RP1/8 b - -,g8h8
4r1k1/1p5p/p4pn1/2pP1p2/P1P3nq/3B1R2/1P1Q2P1/6BK w - -,f3h3
2r1k2r/p2p1p1p/bp2p3/4n3/4Pp2/PNPP2P1/2KR2BP/7R w k -,g3f4
8/p3rp1p/3k2p1/3P1p2/2P5/bP1K4/P4PPP/3R4 w - -,h2h4
r1bq1rk1/1p2bppp/p1n1pn2/8/3P4/2N2N2/PPB2PPP/R1BQ1RK1 w - -,a2a3
5k2/p5pp/1p6/3b2q1/P7/4R2P/3Q4/6K1 w - -,g1h2
1n6/3k4/1p2p2p/p2pPpp1/3P4/PP1K1PP1/1B5P/8 w - -,b2c1
rnb1k2r/3pppbp/pq3np1/2pP4/8/2N5/PP1NPPPP/R1BQKB1R b KQkq -,d7d6
5b1k/1p1N1qpp/p2pp3/4n1B1/3QP3/1B5P/PPP3P1/7K b - -,e5d7
r2r2k1/pp3p2/5qpQ/8/2n2p1P/2P2B2/PP3PP1/2KR3R w - -,h6g5
