8/1p4pp/p3bpk1/P7/3BKp2/8/7P/8 w - -,d4c3
8/6p1/3k1p2/8/p6R/3PKBP1/r6p/8 w - -,f3e2
6k1/5pp1/p3p1b1/1R1rP3/3P4/1P4RP/1P3B2/K7 b - -,d5b5
rnbq1rk1/ppp1bppp/8/3pP3/3Pn3/P2B1N2/1P1N1PPP/R1BQK2R b KQ -,e4d2
2r1r1k1/pp1b1qbp/1n1P2p1/4B3/3NpP2/1P2N3/P2Q3P/4RRK1 w - -,d2g2
2r1qb1k/2r2pp1/2n1p2p/pp1pP3/3P1QNP/P4R2/1P1B1PP1/2R3K1 w - -,g1h1
1r3r1k/3RB3/6p1/p1p2p1p/PpBb3P/1P4P1/2P3K1/8 w - -,e7f8
2rq2k1/pp3pb1/3p2p1/3Pn2p/P1r1b3/R1P2PPP/2QBP1B1/4R1K1 w - -,f3e4
5rk1/p1qn1p1p/1p2p1p1/1P2P3/P7/2r3P1/4QP1P/RB2R1K1 w - -,b1e4
8/1bN2k2/4p3/3pK2p/p2P4/P4PP1/1P6/8 b - -,b7c8
8/1r3p2/4pkp1/7p/p2PK2P/2R2PP1/8/8 w - -,c3a3
r5k1/1p3pp1/pqn4p/3p1b2/8/1N3NP1/PPP2PP1/R3Q1K1 w - -,e1e2
8/3bk3/4p3/p1r4r/P2pR3/1P1B4/3K4/4R3 b - -,h5h2
r3r1k1/pq1b2b1/3p2p1/RP1P2B1/1P4p1/3B1Q2/5P2/2R3K1 w - -,f3g3
r1bqk2r/pp2npbp/2n3p1/3p4/3Pp3/2N3P1/PPN1PPBP/R1BQ1RK1 b kq -,e8g8
r1bqkb1r/1p3ppp/p1n1pn2/8/3N4/4B3/PPP2PPP/RN1QRBK1 b kq -,c6d4:c8d7
r1bq1rk1/p1ppbppp/2p5/4P1n1/8/3B2Q1/PPP2PPP/RNB2RK1 b - -,d7d5
1rbq1rk1/pp2bppp/2nppn2/2p5/4P3/2NP2PP/PPP1NPB1/R1BQ1RK1 w - -,g3g4
8/R1pr1p1k/1p4pp/1P1p4/1BnPrP2/4p1P1/4K2P/3R4 b - -,e4e8
r1bq1rk1/pp2ppbp/2n3p1/1B1pP3/3Pn3/5N1P/PP3PP1/RNBQR1K1 b - -,f7f6
2kr1r2/ppqb1p1p/3Rp3/8/2B5/P3P3/1PQ2P1P/2KR4 w - -,d1d2
4rk1r/3bppb1/p2p1np1/1p1P1P1p/2qBN1P1/1N2R2P/PPPQ4/1K1R4 b - -,h5g4
6k1/R5p1/8/brB1p2p/p1n1N3/P5PP/5K2/8 w - -,a7a8
r1b1k2r/2qnnpb1/p1ppp1pp/1p6/P2PPB1P/1BN2N2/1PP1QPP1/2KR3R w kq -,e2d2
r1b1kb1r/2qnpp1p/p2p1np1/1p4B1/3NPP2/P1N5/1PPQ2PP/R3KB1R w KQkq -,e1c1
r2qk2r/pp1bbppp/1n2p3/3NP3/4B3/5N2/PP2QPPP/R1B2RK1 b kq -,b6d5
4r1k1/pp1b1pp1/7p/3p4/Pq1Pp2P/1P2P1PB/1Q3P1K/R1r5 w - -,a1c1
8/4q1pk/7p/R3p3/2PnPn2/6PP/5Q1K/5B2 b - -,f4e6
rr6/p4pkp/8/3R1p2/3P4/2P5/1P3PPP/R5K1 b - -,b8b2
r4rk1/4n1b1/1p4pp/pP1Pp3/1pP1PpP1/1P1N2NP/5P2/R4RK1 w - -,g3e2
2rr1qk1/5p1p/2n2pp1/pR1P4/8/4PN2/P2Q1PP1/1R4K1 b - -,c8a8
2bqk2r/r1p1npp1/p6p/Pp1Pp3/8/2P2N1P/1P3PP1/RN1Q1RK1 w k -,f3e5
2rq1rk1/pb3pbp/1p2p1p1/2ppPnP1/3P4/2PBB2Q/PP1N2PP/4RR1K b - -,c5d4
8/5kpp/4pp2/1n1p4/p2P4/3KPP2/P5PP/2B5 w - -,c1d2
3brnk1/pbR3pp/1p1pp3/5p2/P2P1P2/1P1QNqP1/1B1K3P/2R5 w - -,d4d5
8/b7/8/P2p1k2/3P3p/4KP2/8/4B3 b - -,f5g5
1r4k1/2R2B1p/5p2/4p3/3b4/3P2P1/r3PP1P/6K1 b - -,g8h8
r4rk1/1ppqb1pp/1nn1bp2/p3p3/8/PPNP1NP1/1B2PPBP/2RQR1K1 b - -,f8d8
4rbk1/2q2ppp/2p2nb1/1rn1pN2/4P1PN/2B4P/2P2PB1/R3QRK1 b - -,c5e6
r4r2/1pp2p1k/1bn2Pn1/4P3/p1B3pq/PN1Q4/1P4PP/R3R2K w - -,d3f5
b2r1rk1/p2nqpbp/4p1p1/1pNpP3/1P1P4/B4N2/P1RQ1PPP/5RK1 w - -,d2d3
2kr3r/p1q2p2/Pn1bp1p1/2p5/3P1p2/2P2QP1/5PBP/1RB2RK1 w - -,d4c5
r4rk1/p1R1ppbp/Np1n2p1/5n2/1P1PN3/4B3/P3BPPP/5RK1 b - -,d6e4
8/6n1/8/4k1Pp/5P2/2b1B2P/5K2/1B6 b - -,e5e6
r5k1/1pR2pp1/3r1p1p/p2P4/Pn6/5B1P/1P3PP1/3R2K1 b - -,b7b6
8/8/p3pb2/1p2kp2/4p3/P1P4r/1P2R2P/1K2R3 w - -,b1c2
8/8/3b1qpk/p7/5pBP/1P1Q4/6K1/8 b - -,d6c5
3r2k1/p4pp1/3qp2p/p2n4/2RP4/5NP1/1PQ2PP1/6K1 w - -,c2a4
r2q1rk1/1pp1b1pp/p1p2pb1/2n1pN2/4P1P1/3P1N1P/PPP2P2/R1BQR1K1 b - -,c5e6
5rk1/rp3pbp/pqn3p1/4pb2/4N3/4PPP1/PPQB2BP/R2R2K1 w - -,d2c3
rn2kbnr/1p3ppp/p3p3/3q4/3p2b1/2P2N2/PP2BPPP/RNBQ1RK1 w kq -,c3d4
r3rbk1/1b1q1p1p/p2pnnp1/1p2p1N1/1p2P3/P1PP2NP/B4PP1/R1BQR1K1 w - -,g5e6
r1bqk2r/3nbppp/1pn1p3/p1p1P3/2Pp4/N2P1NP1/PP2QPBP/R1B2RK1 b kq -,c8b7
r1b1rnk1/pp4bp/1qpnpp2/3p1Pp1/3P2P1/1QP2N1P/PP1NP1B1/R1B1R1K1 w - -,e2e4
1rb2r2/2q2pk1/5np1/pB1pp1Np/3P3P/P7/1PPQ1PP1/R3K1R1 w Q -,a3a4
3r4/4kpp1/p3p3/1pn1P1P1/2p5/2P2BKP/PP1rR1P1/1R6 b - -,d2e2
3rr2Q/bpq1kpp1/p3p3/P7/8/2P4P/1PB1RPP1/4R1K1 w - -,h8g7
8/8/4PK2/8/3k4/8/4r3/8 b - -,d4d5
2kr3r/1pbq4/p1n5/2P2p2/3N1Ppp/8/PPN1QBPP/R6K w - -,d4c6
5r1k/5qpp/3r1n2/p1pPpPB1/PpPbB2P/1P4R1/6Q1/5R1K w - -,g2f3
2r3k1/p3q1pp/bp2p3/3p1p2/3P4/1PnN1BP1/PQ2PP1P/5RK1 b - -,e7f6
8/6pp/4pk2/p7/2r1pPPP/2P1R3/3K4/8 b - -,a5a4
5rk1/p1q1r1pp/5p2/1ppN4/3pP3/PP1P1nPQ/2P5/R5K1 w - -,g1g2
r1b1k2r/pp2ppbp/2p2np1/3p2B1/NnPP4/4PN2/PP3PPP/R2K1B1R b kq -,f6e4
2r3k1/p4ppp/4p3/1p1n4/8/1P1N4/P4PPP/3R2K1 b - -,d5c3
8/8/8/1K1k4/P3r3/8/4p3/4R3 w - -,a4a5
2r2k2/2q2p1p/2B1pnp1/pQ6/Pp1R4/1P2P1P1/5P1P/6K1 w - -,d4c4
7r/1pp1kp2/p3qnp1/4p1Q1/1P2P3/2P3NP/1P3PP1/R5K1 w - -,a1a5
1r1qk2r/1p1n1pp1/p1pbp1p1/5nP1/2PPNP2/P4Q1P/1P1B4/1K1R1B1R b k -,d6e7
8/q4k2/3p1p2/1K1Pp2p/1P2P3/3Q1P2/8/8 w - -,d3d2
R3n3/5pk1/8/2Np4/3P2p1/6P1/1r2b1P1/6K1 w - -,a8e8
2rr2k1/Bp2p1bp/4p1p1/n7/2B1P3/P1N2P2/1P4PP/3RK2R b K -,a5c4
r2q1rk1/pp1nb1pp/2p1ppb1/4P3/2pP1PP1/4B3/PPPN3P/R2QNRK1 b - -,f6e5
8/4k2p/B7/6p1/1P3p2/4rb1P/PKP5/1R6 w - -,a2a4
r3r3/pp1b1kpp/3Bpn2/3p4/7q/2P2B2/PP3PPP/R2Q1RK1 b - -,h4h6
4QR2/5rp1/p5k1/1p3p2/3Pq3/P1P3P1/5PK1/8 w - -,e8e4
r2q1rk1/1b2bppp/1p2p3/1Pp1P3/p7/P7/1BPPQ1PP/2KR1B1R w - -,h2h4
8/P5R1/1p6/3p1k2/3Pp3/8/r4P2/5K2 w - -,g7d7
1qr3k1/1b2bppp/p7/2PRp3/1P6/5P2/4BBPP/R3Q1K1 b - -,b7d5
4R3/rp3pkp/5p2/5p2/2P5/2K2P1P/r5P1/1R6 w - -,b1b2
r2q1rk1/1bpnnpb1/1p4pp/p3p3/4P3/2P2NP1/PP2QPBP/R1B1RNK1 w - -,e1d1
8/8/5k2/pK3P2/8/r7/5R2/8 b - -,a3e3
