8/8/8/2p2k1P/p4P2/P3K3/6p1/5bN1 w - -,e3d2
rnbq1rk1/pp2b1pp/2pp1n2/4p3/2P1P3/2N3P1/PP2NPBP/R1BQ1RK1 b - -,b8a6
r2q1rk1/pp1n1ppp/5n2/1NbPpb2/2B5/4P3/PP3PPP/RNBQ1RK1 w - -,b5c3
2r1r1k1/p4pbp/1p1p2p1/3b4/2nP1B2/2P5/P2NBPPP/2R1RK2 b - -,g7f8
8/8/6k1/7R/1P2p3/7p/2PK2b1/8 w - -,h5h8
1rb2rk1/pp3p1p/5qp1/4n3/3N4/2R1PB1P/P4PP1/3Q1K1R w - -,f1g1
r1b2rk1/pppp1ppp/8/2q1P3/5Pn1/2N5/PPPQ2PP/2KR1B1R w - -,f1e2
8/5p2/4pBpk/4P3/4P2P/3n2K1/5PP1/8 w - -,f2f3
1nk2b2/1pp2p1p/r5p1/4p3/4P3/N1P1BP2/1P3KPP/3R4 w - -,a3c4
8/5pk1/4p1p1/3pP3/r4PpP/2r3P1/P2R3K/1R6 b - -,c3e3
1r4k1/1rpbqpbp/p1nppnp1/8/2PPP3/3NBPP1/P2QN1BP/2R2RK1 b - -,c6b4
4qrk1/pp6/5p2/3ppQpP/P1rP4/1n3NP1/1P3P2/3R1RK1 b - -,b3d4
2q2rk1/r2nbppp/2n5/p3p3/PpBpP3/1P3QB1/N4PPP/2RR2K1 b - -,a7c7
1qr3k1/1r2bppp/ppbp4/2n1pP2/P1P1P3/1PN3P1/4QBBP/1R2R1K1 w - -,g2f1
r1bq1rk1/pp3ppp/2n1pb2/3n4/3P4/3B1N2/PP1BNPPP/2RQ1RK1 b - -,c6e7
r1b2r1k/p6p/2p5/2Pp2p1/3Pp3/7P/P3BPP1/2R2RK1 b - -,a8b8
r1b1k2r/pp1nqpbp/2p2np1/4p3/P1B1P3/2N1BN1P/1PP2PP1/R2QK2R w KQkq -,e1g1
r2r4/p2bN1kp/3P1p2/4p3/1PB1p3/P5K1/6PP/2R5 w - -,c4d5
3r4/pp2nk2/2pn2p1/8/P1PP2pr/1PNR1B2/5PK1/4R3 w - -,f3d1
5rk1/2q3pp/p2bp2r/1p1b1p2/2pP1P2/2P1Q3/PP2R1PP/2BN1RK1 b - -,f8f6
6k1/6p1/8/5p1p/2Rb1P2/6P1/r3pK1P/8 w - -,c4d4
3r4/6kp/6p1/8/1pN1RP2/6P1/Pbr1B1KP/8 w - -,c4b2
8/B7/8/3p1k2/8/PP1K2p1/5pr1/5R2 b - -,f5f4
1r4r1/p1bb3p/2p1pk2/2Pp4/N6P/PP1R1BP1/6K1/4R3 w - -,f3h5
r2q1rk1/pb1nppbp/1p4p1/2pp4/P2PnB2/2NBPN1P/1PP2PP1/R2QR1K1 b - -,e4c3
8/1k4pp/4n3/1P2Bp1P/1KN2P2/3b2P1/8/8 b - -,b7a7
1k6/p5p1/6r1/2p1n3/p4R2/2P1Np2/1P1r1P2/1R3K2 w - -,f4f5
rnb2rk1/pp1p1p1p/4pp2/q1p5/2PP4/4P3/P2N1PPP/2RQKB1R w K -,d1g4
2rq1rk1/3bppbp/p2p2p1/np1P2B1/3N4/1BPQ1P1P/PP4P1/R3R1K1 b - -,f8e8
2r2bk1/1pq2pp1/5n1p/p3N3/8/PP3NPP/R4P2/3Q2K1 w - -,g1g2
2k4r/p1p1pp1p/2p5/4P3/2Pr2b1/1P6/P2B2PP/2KR3R w - -,d1f1
8/2p1kppp/1p6/8/P2R3P/P1r1P1P1/2p2P2/2K5 w - -,d4d2
rnbqk2r/p2pppbp/5np1/1ppP4/2P1P3/8/PPQ2PPP/RNB1KBNR w KQkq -,g1f3
2r1r1k1/8/p1Np3p/Bp1P2p1/5b2/PK6/1PP5/7R b - -,g8h7
5q1k/2p5/p1n2rp1/8/Pp2Q1bN/7P/1P1N1b1P/1BR1R2K b - -,f2e1
r4rk1/3n1ppp/4p3/qP1pP3/pQ1B4/8/2P2PPP/R1R3K1 w - -,c1b1
8/4p3/6kN/p2pn1P1/3br3/2p3K1/P7/2R2B2 w - -,h6g8
r3r1k1/pbqn1pp1/1p3b1p/3p4/3P2PP/2NB1N2/PP1Q1P2/2K3RR b - -,d7c5
r4nk1/2R5/p5pp/2NP4/P1p4P/1P4P1/7K/8 w - -,b3c4
r1bqkb1r/p5pp/2p2p2/n7/5n1P/3P1p2/PPP2PP1/RNBQKB1R w KQkq -,c1f4
6k1/5p2/1p2p1p1/1P5p/1pBb1P2/1P2q1P1/6KP/5Q2 b - -,h5h4
r4r1k/1p1n1pp1/p1p4p/P2nP3/3PR3/1N6/1PN3PP/5RK1 w - -,c2a3
r7/5kp1/7p/3r4/5N1P/8/P4PP1/2R2K2 b - -,d5f5
r3rnk1/4bpp1/1qb1p2p/2ppP2P/p4P1N/1P4Q1/1BPPN1P1/R4RK1 b - -,a4b3
8/3r1pk1/6p1/2R4p/2P2R1P/6PK/2r2P2/8 b - -,d7e7
r1nqr1k1/pp1b2bp/n4pp1/2pP4/4NB2/1P3PP1/P3N1BP/R2Q1RK1 b - -,f6f5
2r1r1k1/1b1n1pbp/2p2qp1/1p2p3/1P2Pn2/1NP2N1P/1BQ2PP1/R3RBK1 w - -,b3a5
r2qk2r/pb1p2bp/np3np1/2pP1p2/2P5/P1N1PB1N/1P4PP/R1BQ1RK1 b kq -,e8g8
5rk1/1prn1ppp/p2p2b1/P2Pp1q1/R7/1NP5/1P3PPP/3QRBK1 w - -,a4b4
r3r1k1/1p3ppp/1qp2n1b/p1n1pP2/P1N4P/2P2BP1/1P4Q1/R1B1R2K b - -,b6b3
2b5/pr3knp/1p1p4/1PpN1pP1/2Pn1N1P/P7/5RK1/4R3 w - -,d5f6
r3k2r/2qbbppp/p2ppn2/1p2n3/4P3/P1N1BN2/1PPQBPPP/R4RK1 b kq -,e8g8
rn1q1rk1/pb1p1ppp/1pp5/2bn1N2/4P3/6P1/PP3PBP/RNBQ1RK1 b - e3,d5e7
r2n1rk1/pppq1pb1/3p2pp/1P2pb2/2P5/2NP2P1/P2NPPBP/1R1QR1K1 w - -,a2a4
3r1rk1/p1p1npp1/1p1q2p1/3n2P1/2BP4/P1P4P/3B1P2/1R1Q1RK1 w - -,d1g4
R2bk2r/2B2p2/4p3/2pr4/1p6/1P1PR2p/1PP2P2/5K2 w - -,f1g1
6k1/3n2p1/r1pq1r1p/3p4/1P1N1P2/8/3Q2PP/R4R1K b - -,f6f4
1rb2rk1/1p1nq1bp/p2p2p1/P1pPnp2/8/2N1P2P/1P1NBPPB/R2QR1K1 b - -,b7b5
rn1qk1nr/pb1pppbp/1p4p1/8/3NP3/1P1B4/P1P2PPP/RNBQK2R w KQkq -,c1b2
4B3/R6p/4p2k/p4p2/Pb3p2/5P2/5PKP/3r4 w - -,e8f7
rnb1k2r/pp1pppbp/6p1/2q5/2P1n3/1Q2BNP1/PP2PPBP/RN2K2R b KQkq -,c5a5
2br2k1/6pp/p1Q1n3/8/5P2/4r1PK/1PP4P/R4R2 b - -,e6f4
r3k1nr/pbppq2p/1pn2p2/2b3p1/2P5/2Q2NP1/PP1BPPBP/RN3RK1 w kq -,c3d3
r4rk1/2R1pp2/p2p1b1p/1p1P1Bp1/8/2P3P1/PP3PP1/4R1K1 w - -,e1e4
8/1p2kp2/3pb1n1/p1r3p1/P1P1P1Pn/1PK2P2/3R3R/3B4 b - -,c5c8
8/8/8/4Q3/8/7k/3r4/5K2 w - -,e5e3
8/r4k1p/4pbp1/p2p4/N2Pp2P/4P3/5PP1/5RK1 b - -,f6h4
2rr3k/4RQp1/5q1p/5p2/3p4/3R2PP/PP3P1K/8 w - -,f7f6
2r1nk2/5ppp/pp6/4N3/8/P3P3/1P2KPPP/3R4 b - -,f8e7
r1bqk2r/pp1nppb1/3p3p/2p3pn/2PPP3/2N2NB1/PP3PPP/R2QKB1R w KQkq c6,d4c5
2r3k1/pbr2ppp/3bpn2/p2q4/3P4/P2B1NN1/1P1Q1PPP/3RR1K1 w - -,g3e4
8/3N4/p3k3/5ppp/8/4p1PK/1r6/3R1R2 w - -,d7c5
2r1r1k1/p3npp1/bp5p/q2p4/1N1P4/P3PP2/5BPP/R2QR1K1 b - -,a6c4
rn3rk1/pp3pbp/1np3p1/8/2b1PP2/2N1BN2/PP2B1PP/3R1RK1 w - -,e2c4
r2qk2r/pb1nppb1/1n4p1/2p1P1Pp/1p3P1P/3BB1N1/PPP5/R2QK1NR w KQkq -,g1f3
4k2r/pn1b1ppp/1p2p3/3pP3/2r5/2P1BN2/PP3PPP/3RR1K1 w k -,d1d4
r4rk1/1p1bb1np/3p1n2/P2Ppp1q/2NN4/P7/1BB2PPP/R2QR1K1 b - -,f6g4
r1b2rk1/1p1nbppp/1qn1p3/p1ppP3/3P4/P1PB1N2/1P2NPPP/R1BQ1RK1 w - a6,d3c2
8/5ppp/2k5/2P1P3/2n5/r3B3/4KPPP/1R6 b - -,c4e3
1rbq1rk1/p1p1bp1p/4pp2/1p6/1npP4/1PN1P1P1/P2N1PBP/2RQ1RK1 b - -,b4d3
2q2rk1/pp3p2/2p4p/3p2p1/PPPR1p2/5N2/4Q1P1/5K2 b - -,f8e8
r2k3r/3bbpp1/p2p1n1p/1ppP4/q5P1/N1P2P2/PP2QN1P/1KBR3R w - -,h1e1
r3r2k/3qbp1p/b2p3Q/p2PpP1N/R1p1R3/2P4P/1P3PPK/8 b - -,e8g8
8/1k1bb3/1p1p2p1/2pPp1Pp/2P1Nr1P/P3RPK1/4B3/8 b - -,b7c7
