8/8/2k5/1p4R1/1p2K3/8/PbP5/8 b - -,b2a1
1n4k1/p1q2ppp/bprNp3/3nP3/3P4/P4NP1/1P3PBP/3QR1K1 w - -,f3g5
8/2R1k2p/b4p2/P3n1p1/r7/6P1/6BP/3R2K1 b - -,e7e6
r1b1kb1r/pp3ppp/2p2n2/q2p4/3P4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1d3
4R3/8/r7/6K1/7P/4p3/4k3/8 b - -,a6a1
rn1qkb1r/4pppp/p4n2/1p1p4/3P4/2NBPb1P/PP3PP1/R1BQK2R w KQkq -,d1f3
2q1r1k1/1pr2pp1/p2p1b1p/P2P4/1PPQR3/7P/3B1PP1/R5K1 w - -,a1e1
k6r/p1q3pp/1p1Q1b2/1Pp1p3/2P5/6P1/PB2PP1P/6K1 w - -,d6c7
r2r2k1/4ppbp/6p1/2NP1bP1/8/p1N2P2/1PP4P/2KR3R w - -,c5e4
1rb2rk1/2p1qp1p/p4npQ/3Bp3/Pp2P3/4N3/1PP2PPP/R3R1K1 b - -,g8h8
r1bqk2r/ppp3pp/3p1n2/4p1B1/2BbP3/2N5/PPP2PPP/R2QK2R w KQkq -,c3d5
5k2/8/1n1Pp2p/1P5B/pK6/8/8/8 w - -,b4c5
8/1r5p/R2p2p1/3Pb3/4P3/4N1kP/1PK3P1/8 b - -,b7b2
3r2k1/1r2bppp/p7/1p2P3/8/3nBN2/1P2RPPP/R5K1 b - -,a6a5
1nr1r1k1/pb1p1pq1/1p2p1p1/4N2p/3P4/2PBQ3/PP3PPP/R3R1K1 b - -,d7d6
8/3n1N2/8/5p1k/4pP1p/4P3/4K1P1/8 w - -,e2f2
1r3bk1/3q3p/6p1/B2p1p2/p1pP4/P3P1P1/1P3P1P/3QRK2 b - -,b8b2
r4r1k/p1q3pp/b1p1Q1n1/2P1bP2/3N4/6P1/PB2P1BP/3R1RK1 b - -,f8f6
r2r2k1/p3p2p/6p1/5p2/4P3/1Np5/P2b2KP/3R1R2 b - -,f5e4
rnbqkb1r/pp2pp1p/2p3p1/8/3PP3/2n2N2/PP3PPP/R1BQKB1R w KQkq -,b2c3
r1b1k2r/3n2p1/p3p1Pp/q1p5/3pPP2/P4Q2/1PPN4/R3KB1R w KQkq -,f1c4
1r2r1k1/1p5p/p2p2p1/2pPb3/P4q2/N1N5/1P2P1K1/R2QR3 b - -,f4g3
2r3k1/p4pb1/bp2p1pp/3pP3/3P1P2/q1P1Q1P1/6BP/1N2R1K1 b - -,a3b2
4r3/1q5k/p2p3p/3P1Pp1/P1PBn3/Rb2NQP1/7P/6K1 w - -,f5f6
r3r1k1/p1bb1ppp/R7/B2p4/3Nn3/4P2P/1q2BPP1/3Q1RK1 b - -,c7e5
r3kb1r/pp3ppp/2q1p3/2pn4/5P2/2P5/PP1P2PP/RNBQ1RK1 w kq -,d1g4
2rn1k2/1pp3p1/3p1r2/1P4Np/1P2RP2/6P1/3R2KP/8 b - -,f6f5
8/5pk1/3K2p1/1P1QP2p/7P/5P2/2q5/8 b - -,c2f2
R2qk2r/1b1nbppp/2n1p3/1pppP3/5P2/2NP1NP1/1PP1Q1BP/2B1K2R b Kkq -,d8a8
r1b2rk1/p2n2bp/3p1pp1/q3p3/Np1PP1n1/1P1B1NB1/2PQ1PPP/R3R1K1 b - -,f6f5
r2b2k1/1p5p/p1np2r1/3Npb2/2P1p3/1P2B2P/P2N1PP1/2R2RK1 w - -,g1h2
r4rk1/6bp/1p1q2p1/p1pPp3/P1Q1B3/6P1/1P3P1P/1R2R1K1 w - -,h2h4
5k2/pp6/5p2/1P1p1br1/1P1P4/3BR2P/P6K/2R5 w - -,d3f5
r4k2/1pr2pnp/1R3QpN/8/q2P4/4P3/5PP1/5RK1 w - -,f6d6
r1b3k1/1pq1bp1p/p1n1p3/5p2/P4P2/1NN2Q2/1PP1B1PP/5RK1 b - -,e7f6
r4rk1/pb2q1pp/nppbp3/3p1p2/2PPnB2/1PNN2P1/P3PPBP/R1QR2K1 b - -,d6a3
4R3/8/6p1/1P3kP1/2K1p3/8/8/4r3 b - -,f5g5
rnb2k1r/pp1nbpp1/1q2p2p/1N1pP3/3p1BQP/5N2/PPP2PP1/2KR1B1R b - -,b8c6
rn2kb1r/pp1qpppp/1n1P4/2p5/8/2P2N2/PP1P1PPP/RNBQK2R b KQkq -,e7e6
3r1rk1/p1q1bppp/bpnppn2/2p5/P3PB2/2PPQN2/1PBN1PPP/2R1R1K1 w - -,h2h3
8/8/4R2p/p1pp4/P4k2/2PK4/7r/8 b - -,h6h5
8/1p1kr3/p1n1pQB1/3pPP2/P7/6PK/4r3/8 w - -,g6f7
1kr4r/pp1nbpp1/2n1p1p1/q2pP3/3P2P1/NR2B2P/PP2QPB1/1R4K1 b - -,d7b6
4r3/pp2p1k1/3r1pPb/2pP4/2P1Q1PP/4p3/P5K1/5R2 b - -,d6b6
4rb2/ppR5/3p1pk1/3N1N2/2p1nP2/2P3P1/PP6/2K5 w - -,g3g4
4r1k1/1p3p2/3R2p1/4P1n1/p1PN2n1/4R1Pp/PP2KB1q/4Q3 b - -,g4e3
8/4k3/2K2p2/4p1p1/2B1P2p/1Pb2P2/6PP/8 w - -,c4g8
2r2rk1/1pq1bp2/p1np1P1p/3np1p1/6P1/1B1QB3/PPP2P1P/R2R2K1 w - -,f6e7
r4rk1/1p3p2/p1n1pqp1/2Pp3p/1P1P4/2Q2B1P/P3NPP1/2R3K1 w - -,a2a4
8/6Qp/8/7k/p7/Pb6/1P4K1/3r4 b - -,h7h6
4rnk1/p1p2q1r/1p1p1p2/4pNpp/2PPP3/2P2PP1/P3QKP1/3RR3 w - -,c4c5
8/7k/2R5/7P/7P/2pK4/8/4r3 b - -,e1h1
6k1/1b3p2/pP2p1p1/4p2p/N1pbP3/5P2/P2K2PP/8 b - -,b7c6
6k1/p4p2/3N2p1/3R4/3p1P2/1P1b4/P4K1P/6r1 b - -,g1f1
3k4/7R/1p1P4/1N3p2/P1K2bp1/8/1P3r2/8 w - -,c4d5
1q4k1/6pp/2p5/1bPp1P1P/1P1n2P1/R7/3B1KB1/8 b - -,h7h6
2r5/3npk2/1p6/3R2bp/2p5/2N3PP/PPR5/6K1 b - -,g5e3
2rr4/1p3bk1/p4p1p/3Nn1p1/1P1QP3/q5P1/P2RBPP1/R5K1 w - -,a1d1
r5k1/1r1n2bp/3Bp1p1/1P1p1p2/3P4/1R2PN2/P4PPP/R4K2 b - -,d7f6
2rqrbk1/3n1pp1/p2pb2p/1p5N/3QP3/3B3P/PP3PP1/R1B1R1K1 w - -,h5f4
3k4/2p1bP1b/8/1B1P2B1/5p1r/1P1P4/2P3K1/8 w - -,f7f8q
r2k3r/p2b2bp/2p1pp2/2Q5/1p2PN2/8/PP1qB1PP/R4RK1 b - -,g7f8
8/pb3ppk/2n4p/3r4/4N3/bP6/3NRBPP/6K1 w - -,d2c4
3r2k1/pq3pbp/1p3np1/1Bp5/2Q5/2P2PB1/PP4PP/4R1K1 w - -,b2b4
rn1qk2r/1bp2pp1/pp1ppn1p/8/2PP4/P1PBPN2/5PPP/R1BQR1K1 b kq -,b7e4
8/4B3/1n6/1p1k4/2b5/2K5/8/8 w - -,e7f8
8/pp5p/3bk2B/8/3Pp3/2P5/PP4rP/6K1 w - -,g1g2
rnbqkbnr/pp2pp1p/6p1/8/QpPp4/5NP1/P2PPPBP/RNB1K2R b KQkq -,c8d7
8/1Nn1qpkp/6p1/P2p4/2bN1PQ1/6PP/6BK/4b3 b - -,c4d3
1rr2qk1/3nbp2/pp1pp1p1/8/NPP2P2/4Q1P1/P3BPK1/2RR4 w - -,a2a3
8/1p3k2/2p1n3/1p2B2p/1P5P/2P1R3/3r1PK1/8 b - -,d2d5
rnbqkb1r/3ppppp/p7/2pP4/NpP1n3/8/PP3PPP/R1BQKBNR w KQkq -,f1d3
rn1qkb1r/pp3ppp/4pn2/3b4/P1NN4/4PP2/1P2B1PP/R1BQK2R b KQkq -,b8d7
8/8/8/2R3p1/1r4k1/6P1/5K2/8 w - -,f2g2
r2qk2r/1p1n1pp1/p2pb3/7p/3NP3/2N1b2P/PPPQ3R/R4K2 w kq -,d2e3
1k5r/1b5p/6p1/2q1p3/2npP3/2P2PP1/3QN1BP/1R5K w - -,d2d3
1kb1r3/p1pp3p/2p1r1p1/6R1/2P1B2P/1P3P2/P5P1/2KR4 w - -,h4h5
7k/5q1p/1Qr5/p1rp1p2/Pp2pN2/4P1P1/1PP2P1P/3R2K1 w - -,b6d8
r1bq1rk1/p3bpp1/1p2pn1p/2ppP3/7B/2PBP3/PP1N1PPP/R2Q1RK1 b - -,f6d7
r4rk1/2q1bpp1/p1n1bn1p/1p2p3/3pP3/P2P1NNP/1PBBQPP1/R1R3K1 b - -,a8c8
r1b2rk1/ppp1qp1p/2n2bp1/4p1Bn/2B1P3/2P2N1P/PP2QPP1/RN1R2K1 w - -,g5h6
8/p5b1/1p2p1p1/1B1kp1P1/P4B1P/1PP1p3/8/5K2 b - -,e5f4
rnbq1rk1/ppp2pbp/3p1np1/4p3/4PP2/3P1NP1/PPP3BP/RNBQ1RK1 b - e3,e5f4
r2q1rk1/1p4pp/1nn1bp2/p3p3/Pb2N3/3P1NP1/3BPPBP/1R1Q1RK1 b - -,d8e7
r1b1k2r/pp2nppp/3ppn2/8/2PN4/P7/1P2PPPP/R1B1KB1R w KQkq -,d4b5
8/6k1/3p2P1/3P4/8/3B2K1/8/5r2 b - -,f1f8
5r2/1pk1p3/p1b1Pp2/2P1r1pp/2PB4/5R2/PR3KPP/8 b - -,e5e6
