8/8/8/6k1/1R6/6pp/4r3/6K1 w - -,b4b1
5r1k/1p2q3/1b1pp2p/pP1p2p1/4P3/Q3p1P1/2R3BP/2R4K w - -,e4d5
rn1qk2r/pp3ppp/2p2n2/5p2/PbpP4/2N1P3/1P3PPP/R1BQKB1R w KQkq -,f1c4
7r/pp1bk1pp/5p2/3P4/2B2p1B/2P1b3/P1P3PP/3K1R2 w - -,h4f2
r4rk1/1b1nqppp/1p1ppn2/p1p5/2PP4/PPBBP3/2QN1PPP/R4RK1 b - -,f8c8
r1bqr1k1/1pp4p/1pnp2p1/5p1n/2P1P3/2NBNP2/PP1Q2PP/R4RK1 b - -,f5f4
4r1k1/6bp/p2q4/2p1p3/2P5/2BPR1PP/4Q2K/8 w - -,h2g2
6k1/p2q2pp/Pr2p3/1P1bPp2/1QpP4/4P3/2P2RPP/1R4K1 w - -,b4c5
8/6p1/P2R3p/2rp1B1P/5PK1/1k4P1/r7/8 w - -,f5e6
r4rk1/1p3pp1/6p1/pBb1q3/Pn2P2P/1Q1p1P2/1P1B1K2/2R4R w - -,f2g2
4r3/2p2R2/1p5k/4b3/1P4pP/2P1p3/1BB1K3/3q4 w - -,c2d1
r1r5/5pk1/4p1pb/ppBnP3/3PR3/1R3N2/P4PP1/6K1 w - a6,g2g4
7k/pp3n1p/2p5/3pPp1p/3P1P1q/2P5/PPB3K1/3RR3 w - -,e5e6
8/3k1pp1/p7/4pP2/6Pr/7p/2R4P/7K w - -,c2c4
3rr1k1/pp3ppp/5p2/2pPqb2/PbB5/4PP2/1P4PP/RNQR2K1 w - -,e3e4
4r1k1/pb3p1p/1p4p1/2r3B1/3bP3/3B4/P4PPP/3RR1K1 w - -,g5e3
3r1k2/6p1/3b4/p2N3p/P1QR4/5P1P/1P4PK/4q3 w - -,f3f4
rnbqk2r/pp4pp/4p3/2Pn4/4p3/P1P2P2/2Q3PP/R1B1KBNR b KQkq -,e4e3
1rn2rk1/3b1pb1/6p1/4p1Bp/3P3P/p5P1/Bp3P1K/3Q1R2 w - -,d1f3
1b2r1k1/1p3qp1/p1p1pp1p/B1P5/4P2P/1P3QP1/P4PK1/3R4 w - -,f3d3
2k5/1pbr1r1p/p2pb1p1/4p1P1/2P1B1P1/4BP2/PP5R/1KR5 b - -,d6d5
1rq1r1k1/pp2ppbp/2bp1np1/3N4/2PQ4/1P2P1PP/PB3PB1/2R1K2R b K -,f6h5
3r3r/1p2kppp/1np1n3/2b1p2P/p3PP2/P1N3PR/BPPB4/2KR4 w - -,d1f1
r4rk1/pp1bq1p1/2p1p2p/3pP3/2PPpP2/8/PPQ1P1BP/R4RK1 w - -,c4d5
8/5kp1/1bp5/p2pB2p/3P1P2/2P4P/4K1P1/8 w - -,g2g4
r1qr2k1/pb2bppp/1pn1p3/1Np5/2P3Q1/P2PP1PP/1B3P2/R3RBK1 b - -,g7g6
8/8/1R1p4/2pPp1b1/2P1nkp1/8/6K1/8 b - -,f4e3
1rb1k2r/5pbp/1pp2qp1/2p1p2n/4P1P1/2QPBN1P/1PP2P2/RN2K2R w KQk -,b1d2
8/4Rpk1/n1p4p/1pPp4/1P1P4/3N2PP/3b4/6K1 w - -,e7a7
2kr3r/p1pn2pp/8/2b5/1pP5/7P/P2P1QP1/RN3RK1 b - -,c5f2
r1bq1rk1/ppppnpbp/2n3p1/8/3NP3/2N1B3/PPPQ1PPP/R3KB1R w KQ -,e1c1
r4rk1/pp1qbppp/2n2n2/3p4/N5b1/1P3NP1/PB2PPBP/R2Q1RK1 w - -,a1c1
r4rk1/pp1bbppp/2n1p3/3q4/3P2n1/P2BBN2/1P1N1PPP/R2Q1RK1 w - -,a1c1
r2q1rk1/pp2npbp/2n1p1p1/2Pp4/3P2b1/1PN1BN1P/P2QBPP1/2R2RK1 b - -,g4f3
4rqk1/5p2/pQ1p2pp/2pP4/2PbbP2/7P/1P4PK/R2N1R2 b - -,e4d3
2b5/5kp1/p6p/1p1npp2/8/1P3PP1/P2BPKBP/8 w - -,g2h3
1r4k1/5pbp/3Np1p1/1pR1P3/5P2/B2qP2P/5Kb1/R2B4 w - -,d1e2
1r4r1/2q1bp1k/p3bp1p/P2Bp3/1pP1P3/1N1Q4/NP4PP/3R2K1 b - -,g8g7
8/5k2/2rb1pp1/1q1p3p/2rP4/1P2P1P1/1NRRQPKP/8 b - -,b5b3
r1bq1rk1/pp1nppbp/2n3p1/8/4B3/N1P1BN2/PP3PPP/R2Q1RK1 b - -,d7f6
r3kb1r/pp3ppp/2n1p3/2pq1b2/3P1Bn1/2P2N2/PP2BPPP/RN1Q1RK1 b kq -,f8e7
r2qkbnr/p3pppp/2pp4/2p5/2P1P3/5Q1P/PP1P1PP1/RNB1K2R b KQkq -,g8f6
5rk1/r2q2p1/2p2b1p/p1Pp1p2/1P1Nn3/P2Q2P1/1BP2P1P/R3R1K1 w - -,a1b1
8/pp6/8/P2p4/2pPb1p1/2Pk4/8/5NK1 w - -,f1g3
6q1/3k2b1/p1p3Q1/Pp1pPPP1/1PnP4/2P5/4K3/4B3 b - -,g8h8
6k1/p6p/6p1/2R5/1P2pp2/P7/7r/4K3 b - -,e4e3
r6k/3n4/1p1PNbQ1/5p1p/7R/2p1P2P/P4PPK/3q4 w - -,h4h5
r1b2rk1/ppp1qppp/2np4/3Pp3/2P5/2R2NP1/PP2PPBP/3Q1RK1 b - -,c6b8
r4nk1/pp1bbpp1/4p2p/7q/5N1P/PP3N2/2Q2PP1/RBB3K1 b - -,h5b5
2r1bk2/p6q/1p3Qp1/2p5/3P2R1/2P4P/PP4P1/6K1 b - -,h7f7
rn1qkb1r/pb1ppppp/1p3n2/8/2PN4/2N2P2/PP2P1PP/R1BQKB1R b KQkq -,b8c6:d7d6:e7e6
4r2k/1p1r3p/p2p1p2/5q2/bP1R2P1/2Q2P2/2P4P/1K1R4 b - -,f5e5
3rr1k1/pp1q3p/2p2p2/5b2/3RR3/N7/PPP1QPPP/6K1 b - -,e8e4
6k1/4qp2/1p1p2p1/p2P1n2/P1b1N2p/7P/1P1Q1BP1/6K1 w - -,e4c3
8/1N3kp1/p3p3/P2pPp1K/3P4/3bP1P1/8/8 b - -,d3e2
r1b1kb1r/pq2pppp/n2p1n2/P1pP2B1/1pP5/5N2/1P1NPPPP/R2QKB1R w KQkq -,e2e4
2bq1r2/r4pk1/1p4pp/p4n2/P2p4/1N1P2P1/1P3PBP/2RQR1K1 w - -,b3d2
rnbqk2r/1p2bpp1/p2ppn1p/8/3NP1P1/2N1B2P/PPP2PB1/R2QK2R b KQkq -,b8d7:b8c6
r1b2rk1/p2n1ppp/8/1p1P4/3P1B2/1PnB1N2/6PP/R4RK1 w - -,f4d6
2r1k2r/1bqnbppp/pp1ppn2/8/2P1PP2/2NBB3/PP1N2PP/2RQ1RK1 w k -,h2h3
r4r1k/p1pq2bp/1p6/2pPpB2/2P5/P3B2P/1P3P2/R2QK1R1 b Q -,f8f5
r2qkb1r/pp1n1pp1/2p1p1b1/3n4/3P3p/1B3N1P/PPP1NPP1/R1BQK2R b KQkq -,g6e4
r3k2r/pp1b1pp1/2p1pb1p/q3N3/3PB2P/3Q4/PPP2PP1/1K1R3R b kq -,a8d8
8/8/5R2/2PB1pnP/3P1k2/2r5/6K1/8 b - -,c3c2
8/R4p2/5kb1/p6p/1bB3p1/1P4P1/4KP1P/8 w - -,a7b7
8/p7/1r5Q/3kp3/3rb1P1/7P/P4P1K/8 w - -,h6f8
r1q1r1k1/pp2ppb1/1np1b1pp/8/2PPP3/B2Q1NP1/P4PBP/2RR2K1 b - e3,e6h3
1br3k1/1p1r1pp1/p1n1p1np/3pP3/1P5P/2PB1NB1/1P3PP1/R2R2K1 w - -,d1e1
5k2/2R5/1n1r1p2/3Np3/4P1P1/5P2/8/5K2 w - -,d5e3
8/4Qpbk/6pp/5q2/2p4N/7P/P3rPP1/6K1 w - -,e7e2
6rk/5qb1/7p/5pR1/N4p2/1pB2P2/3Q3K/8 w - -,c3g7
2k1r2r/1pp3q1/pnn1p3/3p2B1/8/1PN2P2/P1PQR1P1/1K1R4 b - -,h8g8
8/8/5k2/6p1/1PB2pP1/2n2P2/5K2/8 w - -,f2e1
r2q1rk1/pp3ppp/2n1bn2/2bp2B1/8/3B1N2/PPPNQPPP/R4RK1 b - -,f8e8
8/8/8/3p1p2/3P1Ppk/8/2r4p/5KRR b - -,c2c1
6k1/pp2qr1p/6p1/4ppb1/2Pp4/3P1Q2/1P4PP/4RR1K b - -,g5e3
r4rk1/p1pRqppp/1p6/nQ6/4PP2/8/PPP1B1PP/1K5R b - -,e7f6
8/p1r2bk1/1p1R3p/6pP/6B1/P3KP2/1P4P1/8 w - -,d6d2
7r/R4p2/3n3p/4kP2/6P1/4PKN1/8/8 w - -,g3h5
1r4k1/5p1p/4p3/3p4/4n1p1/1r1NPnP1/2R1BP1P/2R4K b - -,f3g5
r4rk1/pp1nppbp/6p1/2p5/2b2N2/2N3PP/PPP1PPB1/R3K2R w KQ -,e1c1
8/5rkn/p7/4Q3/1P4K1/8/8/8 b - -,f7f6
3r2k1/1p4p1/4p2p/pPq1P3/2PpP3/1P5P/3R2P1/3Q2K1 w - -,d2d3
5rk1/6b1/1R2rn1p/2p1p1pq/2P5/2BP1PP1/2QNP3/1R4K1 b - -,h5h3
7R/8/1p6/8/2P3k1/3K3p/2P5/1r6 b - -,b1e1
8/2p2pp1/1p2k3/2pNPn2/2b2P1p/5K1P/PB4P1/8 w - -,d5c3
r3kb1r/1bqn1ppp/p2ppn2/1pp5/4PPP1/2NP3P/PPP1N1B1/R1BQ1RK1 b kq -,b5b4
7q/6k1/1n1p1pn1/1BpPp1p1/2P1P1N1/P4PPr/2Q3K1/6R1 w - -,g2f2
8/2p3pk/3p2n1/3B4/p1P2Pqp/5QP1/PP5P/7K b - -,g4f3
