8/8/5K1p/7P/1r6/2k3P1/1p6/1R6 b - -,b4g4
4kb1r/3bnp1p/pq1p1p2/1p2pP1Q/4P3/1Nr5/PPPRB1PP/1K5R w k -,b2c3
6k1/5p2/p3N1p1/7p/r3PPn1/2R2K2/2R3P1/r7 b - -,a1a3
r1b2rk1/pp3qpp/2n1p3/5p2/1b1P4/5N2/PPB2PPP/R1BQ1RK1 w - -,c2b3
rnb2rk1/ppppq1pp/8/5p2/2PPN1n1/6P1/PP2P1BP/R1BQ2KR w - f6,h2h3
3n1rk1/1b1rq2p/1p1pp1p1/1Nn5/p1P2P1b/P1N1B3/1P1QR1PP/3R1B1K b - -,d8f7
r1b2rk1/bp2qppp/p2p4/2p1P3/3P1p2/1BPQ1N1P/PP3PP1/R3R1K1 b - -,c5d4
1kqr3r/p4p2/1bp1p1p1/1p1pP1P1/PPnP1B1p/2PB3Q/R4PP1/R4K2 b - -,c8d7
2r1qr2/1ppbn1k1/p2p2p1/P3pp1p/N1P1Pn2/1P1B1P2/3Q2PP/R1N2RK1 b - c3,c8d8
r1bqk2r/1p1p1ppp/p1N1pn2/8/1bP1P3/2NB4/PP3PPP/R1BQK2R b KQkq -,d7c6
r1bqr1k1/5pbp/1npp2p1/p1B5/2P1P3/1PN3PP/P1Q2PB1/3RR1K1 b - -,d8c7
8/6pp/p1R1Pk2/q4p2/p7/6P1/5P1P/R5K1 b - -,h7h5
r1bq1rk1/p3ppb1/1npp2pp/4P1N1/2P4Q/8/PP3PPP/RNB1R1K1 w - -,g5e4
8/p3kppp/r1n2n2/1p1p4/3P4/P2KPP2/1R1B2PP/1N6 b - -,a6b6
r5k1/2ppb1pp/np2p1q1/p5R1/2PP4/P7/1P1N1PPP/1RBQ2K1 b - -,e7g5
r3n1k1/5p1p/3p2p1/2p5/1r2P3/1P2NP2/3R2PP/1R4K1 w - -,e3d5
kr6/n1q1bppp/4p3/PBp1P3/Qp2PP2/6P1/5B1P/2R3K1 w - -,b5c4
r1b1k2r/1p2qppp/pbn5/4p3/1P2BB2/2P5/P1Q1NPPP/3R1RK1 w kq -,f4c1
5rk1/3b3p/p1p2qp1/1p1p3r/1P1Q1P1P/2P2NK1/P1B5/R1B5 b - -,f6e6
r7/2p1kp2/3bp1p1/1r5p/1P3P2/P2RBKP1/2R2P1P/8 w - -,h2h3
r4rk1/1p1b4/1p2pq2/7p/5bp1/1B6/PP1NQPPP/4RRK1 b - -,f6b2
2rq1rk1/3bBppp/2p1p3/p2nN3/Pp1Pn3/1B6/1PP1QPPP/3R1RK1 b - -,d8e7
r2br3/pb1q1pk1/1pp2np1/3p2p1/PP1P2P1/2NBPP1P/3B2K1/1R1Q3R w - -,c3e2
4r1k1/2qbppb1/p2p4/2pPn1P1/P1p1PR1Q/2N5/1r2BBK1/7R w - -,h4h7
r4b2/5p1k/p1qp3P/2rN2p1/2pBP3/1P5Q/P4P1P/5RK1 w - -,h3f5:d5f6
2r3k1/4pp1p/5bp1/3p4/1R3P2/4B3/4b1PP/1R4K1 b - -,g8g7
3r1nk1/pp1r2b1/2nNb1pp/2P1pp2/2B5/PP2BN2/5PPP/2RR2K1 w - -,b3b4
r1bq1rk1/3n1pbp/p2p2p1/4pP2/Np1NP3/3BBR2/PPPQ2PP/5RK1 b - -,e5d4
1r2rbk1/1bq2ppp/8/3pnPP1/1p1BN3/7Q/1PP2RBP/R6K w - -,g5g6
r1b2k1r/pp1nbpp1/1q2p2p/3pP3/1P4Q1/P2BBN2/5PPP/R4RK1 b - -,b6d8
3R4/5rpk/p7/3p2Kp/1PbB3P/2P2P2/6P1/8 b - -,c4f1
r1b1k2r/1pq1bp2/p2pp3/4n3/4Pp2/2NB2B1/PPP1Q2P/2KR3R w kq -,g3f4
5r1k/7p/3p2n1/2pPp3/4P3/2P2PB1/2K2R2/2n5 w - -,c2c1
8/2b1k3/4p2p/1p1p1p1K/1P1PnPP1/2PN4/8/1N6 w - -,g4g5
8/1pr1kppp/p2rb3/R2p4/8/1P1R2P1/1P1KPPBP/8 w - -,a5a4
2bqk2r/1pp1ppb1/n2p1np1/p6p/P2P3P/1P3NP1/1P2PPB1/1NBQ1RK1 w k -,b1c3
3rr1k1/1p2qppp/2p3n1/1P1p3n/3P4/2N1PN2/5PPP/1R1Q1RK1 b - -,d8d6
8/4kp2/1p4p1/p1rb2P1/1n1NB3/3P1P2/1P1K2R1/8 w - -,g2g4
q1r1r1k1/pp1n1pbp/2p2np1/2P1p3/3P4/PQN1PBBP/5PP1/2RR2K1 w - e6,c1b1
r1br2k1/Bp3pb1/p2pp1np/q5p1/4P3/1PN2P1P/1PPQ2P1/1K1R1B1R w - -,d2f2
4k2r/1r2bpp1/p6p/1p1bB3/3N4/8/PP3PPP/R3R1K1 b k -,e8g8
rn2k2r/3nppb1/bq1p2p1/p1p3Pp/1p1PPP1P/4B3/PPPQN3/1K1R1BNR w kq -,f4f5
2brr1k1/3nb1pq/1p3p2/pPp2N2/P1NpPBQ1/3P2P1/5P1P/R3R1K1 b - -,g8h8
r4rk1/1bp1qppp/1p1p4/nN1Pp3/Q1P5/P1P3P1/4PPBP/1R1R2K1 w - -,a4b4
r3kb1r/2p2ppp/ppn1bq2/2p1p3/4P3/1NNPB3/PPP2PPP/R2Q1RK1 w kq -,f2f4
r6r/4kpp1/p1B1p2p/5N2/8/2n3P1/PP3P1P/R4RK1 b - -,e6f5
r4rk1/pp2bppp/2p5/3q4/Q7/6P1/P3PP1P/1RB2RK1 w - -,b1b7
8/r4k2/P1P5/1B3ppp/2K1P3/8/5bP1/3R4 b - -,f5e4
r1b2rk1/1pq2pbp/p1n1pnp1/2p5/2P1N3/P2P1NP1/4PPBP/1RBQ1RK1 b - -,a8b8
2rqr1k1/pp3p2/2n2n1p/6p1/3p4/3N1BbP/PPP2PP1/R2Q1RK1 w - -,f2g3
r2q1rk1/ppp3p1/4pb1p/3n1n2/3P4/P2QBN2/1PB2PPP/R3R1K1 b - -,c7c5
r5k1/6bp/1q3pp1/1p1p4/2rP1Q2/4P3/P1RR1PPP/4N1K1 b - -,b6a5
5r1k/6p1/3q1rbp/2p2n2/2PpB3/3P1P2/4N1QP/R5RK b - -,f5e3
r4rk1/2q1bppp/p2p1n2/nppPp2b/4P3/2P2N1P/PPB1QPP1/RNBR2K1 w - -,g2g4
1rbqr1k1/2bn1ppp/3p1n2/1p1P4/1Pp1PP2/2N3PP/3N2B1/R1BQ1RK1 b - b3,d7f8
1rbqr1k1/p1p3bp/4n1p1/Bp2p3/8/3PpPP1/PP3NBP/2RQR1K1 w - -,f2g4
r3r1k1/2p1qpp1/b2p3p/2pPP3/5P2/1P4PP/3Q2B1/R3R1K1 b - -,a6b7
r3r1k1/1ppq1bpp/p1pb1pn1/8/4PP2/2Q1B2P/PPPNN1P1/3R1RK1 w - -,e2g3
8/5k2/R7/5n2/4K3/8/4p3/8 w - -,a6a1
4R3/8/8/3b4/8/1r3PK1/3k4/8 w - -,e8f8
8/5ppp/nk6/np6/3PPPP1/8/1K2R2P/8 b - -,b5b4
r4q2/2pp2kB/pp2pr2/2b3B1/1PP5/P1N2bNQ/7P/5RK1 w - -,b4c5
1r6/3b1pk1/6p1/R2N2P1/p3PK2/P4P2/8/8 w - -,a5a7
5rk1/3b2pp/2nbp3/q2p1p2/2pP2P1/2P1P3/2QNBPPN/5RK1 w - -,f2f4
2R3k1/5p2/1p4p1/3P4/1P2Pp1p/5PqP/r7/5Q1K b - -,g8h7
3r1rk1/5pbp/1Q2p1p1/p5q1/PpPP4/1P1R2P1/1B3R1P/6K1 b - -,h7h5
8/1P1k3p/n6b/4P3/7P/2R2K2/3p1P2/8 w - -,f3e2
5k2/3b1p1p/4p1p1/3pP3/8/1PR1Q2P/1q3PPK/8 w - -,e3h6
r1bq1rk1/ppp2pp1/3p1nnp/bB2p3/3PP3/2P2NNP/PP3PP1/R1BQ1RK1 b - -,c8e6
r1br2k1/p1q1ppbp/1pn2np1/3p2B1/4P3/2PB1N1P/PP1NQPP1/R2R2K1 b - -,h7h6
3r4/8/6p1/1b1pkp1p/pPpR3P/P1K1P1P1/5P2/5B2 b - -,d8d7
3r2k1/1B3p1p/3b2p1/8/3N4/1P2P1Pb/5P2/2R3K1 w - -,d4c6
r2qk2r/1bp2pp1/pbnp1n1p/1p6/P2pP2N/1BP5/1P3PPP/RNBQR1K1 w kq -,h4f5
1bqr1r2/p5pk/1p2p2p/PPp1p3/4Pn2/2N1BP2/Q1P3PP/3RR1K1 b - -,d8d6
3rr1k1/pb4p1/1p2q2p/2b2p2/4p2Q/P3N1P1/1PR2P1P/4RBK1 b - -,g8h7
3R4/5p1p/1p2p1p1/1P2k3/1r6/3B3P/5PP1/6K1 w - -,d3f1
rnb2rk1/pp2qppp/5n2/4p1B1/2Pp4/6P1/PPQ1PPBP/RN3RK1 b - -,h7h6
1r5r/pp2k1pp/2p1n1b1/4Np2/5PP1/2P4P/PR4B1/4R1K1 b - -,h8d8
5rk1/1p5p/1q1p2p1/p1nPp3/5R2/1P5P/P2NQPP1/R5K1 b - -,f8f4
rr4k1/4ppbp/3p1np1/2pPN3/P1q1P3/R1N3P1/1P1BQPKP/1R6 b - -,c4e2
8/p3r2k/7p/2pp2b1/2NrPp2/3P1R2/6KP/4R3 w - -,c4d6
8/8/3r2p1/4N2p/7P/3k2P1/5PK1/8 b - -,d3e2
r6k/1R3r2/p6p/5bp1/5p2/1BP5/P5PP/7K w - -,b7f7
8/P1n2k1p/8/N3p3/8/1K4P1/1P5P/8 w - -,a5c4
