8/p4p2/1p2pk1p/7p/1P6/P3nPPK/4B3/8 w - -,e2d3
r2q1rk1/p4ppp/2p1pn2/3p1b2/3P1B2/1QP1PN2/P4PPP/R3K2R w KQ -,e1g1
2B5/8/7p/p7/P4K1k/8/1p6/8 w - -,c8f5
r1b1k2r/2qpbppp/p1p1pn2/8/4P3/2N3P1/PPP2PBP/R1BQ1RK1 w kq -,c1e3
2rqr1k1/1b1npp1p/pp1p2p1/8/2P1P3/1PN1Q1PP/P4PB1/R2R2K1 w - -,a1c1
rnbqk2r/ppp1bpp1/3ppn1p/8/3P3B/3BPN2/PPP2PPP/RN1QK2R b KQkq -,g7g5
3r2k1/2q1bp2/1pp1p1p1/p5P1/P1Nr1P1p/1P1P3K/2P2Q1P/R4R2 b - -,b6b5
3rrqk1/ppp3pp/2p1bpn1/2b1p3/4P3/1PPP1NNP/PBQ2PP1/3R1RK1 w - -,d3d4
8/8/4K3/5p2/8/4pk2/7b/5B2 b - -,f5f4
r2qk2r/pb1n1p1p/3bpp2/8/Pp1p4/1P1BPN2/1B3PPP/R2QK2R w KQkq -,f3d4
1r4k1/p4ppp/nq6/8/Qb6/B1p1P1P1/5P1P/1RR3K1 b - -,b6d6
8/p5k1/bp1bppp1/3p4/P2P1P2/1Pr2NP1/2P2K1P/2R1N3 b - -,d6b4
rn6/pbrpkpp1/1p1Np3/7R/2P1P3/5P2/PP2B1P1/1K1R4 w - -,h5h7
q1r3k1/7p/r2p1np1/P3p3/2p1n3/R1P1B1P1/2QN1P1P/R5K1 b - -,d6d5
R7/3r1kp1/4b2p/4Pp1P/1K3P2/1P1B4/2P5/8 b - -,d7d4
3rn1k1/1p1rb2p/p1p2pp1/8/P1PR2P1/1P3NBP/5P2/4R1K1 b - -,d7d4
r2qk2r/p2n1ppp/1p1B2b1/3pPn2/3P4/Q4N2/P3BPPP/2R1K2R w Kkq -,e2b5
1qr3k1/r2bbppp/p3p3/Q3P3/3R1P2/1N3B2/PPP3PP/1K5R b - -,e7d8
1r1q1rk1/3b3p/3ppnpQ/4P3/p1pN2P1/2N2P2/PPP5/2KR3R b - -,d6e5
r1bq1rk1/1p2npbp/p3p1p1/3p4/P1BpPP2/3P4/1PP1N1PP/R1BQ1RK1 w - d6,c4b3
2r4k/4p1b1/3p2p1/4q2p/pPP2Rb1/Pn1QB1N1/7P/5RK1 b - -,h8h7
2R5/8/6p1/5p1p/5P1P/3p2P1/4rK2/3k4 w - -,f2f1
2rrb3/2q3bk/p1p3pp/1pB1p3/PPB1p3/7P/2PRQPPN/3R2K1 b - -,b5c4
2br1nk1/p1q3p1/2pN1r1p/2Pp1p2/8/Q3R1PB/PP5P/4R1K1 w - -,e3e7
2k5/p4p2/2b1p3/b1q4p/3p1P2/PRN4P/2PQ3K/6N1 b - -,d4c3
1r6/p2b2k1/1p1p1p1p/3Pn1p1/P1PB4/3nN1P1/5RBP/6K1 w - -,f2a2
2r1k2r/1q1bbp2/3pp2R/ppn5/3NPP2/PBN5/1PP3Q1/1K1R4 b k -,h8f8
8/8/8/1p1ppp2/1P1B1bk1/8/r1P1R1KP/8 w - -,h2h3
1r3n1k/2q3bp/2p3p1/p1Ppn3/P7/2N1B1PP/2Q2PB1/1R4K1 w - -,c3e2
6R1/7p/1p6/4bN1k/2r5/6P1/6K1/8 b - -,c4g4
r1b1k2r/p1pqbp1p/6p1/N1p1P3/P1p2P2/8/1P4PP/R1BQ1RK1 w kq -,c1e3
8/5pk1/8/1R4P1/1Pr3Kp/7P/8/8 w - -,g4h5
2Q1r1k1/5pp1/5b1p/p3q3/P2np3/7P/5PP1/3RRBK1 w - -,c8b7:c8c4
r1bqk2r/1p2bppp/p1n2n2/1N2P3/2PpP3/6P1/PP4BP/RNBQ1RK1 b kq -,c8g4
r2q1r2/4kp1p/p1Q5/2pPP3/2p5/1P2P2P/P4KP1/n4B1R b - -,d8a5
8/7p/4k1r1/1p3R2/2b4K/8/7P/4B3 w - -,f5h5
8/p1p1k1b1/4Pppp/1p3P2/3r2P1/1P4NP/P3R1K1/8 b - -,g6g5
8/p7/1p4pp/1Pk5/P1p3PP/2K1p3/8/8 w - -,h4h5
r3n3/pp3k1p/b1p1R1p1/8/6P1/1PNn3P/P4PB1/3R2K1 w - -,e6e3
1r3r1k/1R4bp/2Ppb1p1/4pp2/8/3qP1P1/3B1PBP/3Q1RK1 b - -,e6b3
q3rrk1/1p1R1p1p/6p1/1pp2PPP/2n1P3/P1P2QN1/2B5/5R1K w - -,f5g6
2r3k1/4p1bp/2p3p1/8/p7/1P2BP2/P1P4P/3K3R w - -,e3c5
2r2rk1/1pN3bp/2b1p1p1/p3p3/2PnP2q/1P1BB3/P2Q2PP/1R1R2K1 w - -,e3d4
r1bq1rk1/1p1n1pbp/p1pp1np1/4p3/2PPP3/2NBB2P/PP2NPP1/R2Q1RK1 w - -,d4d5
r1b2rk1/1p1pbppp/pq6/2pQ4/1nB2B2/4PN2/PPP2PPP/1R3RK1 w - -,d5h5
2b5/1p3p2/p1nk3p/3p1Pp1/6P1/2K1PN1P/PP4B1/8 b - -,b7b6
r3r1k1/1p3ppb/2pq1n1p/3p4/p2P4/P1R1PP2/1P2B1PP/3QBRK1 w - -,e1f2
5r2/1bq2p1k/pp2pPrp/3pP1p1/1b1Nn1P1/1PN1R1B1/1PP3QP/4R2K w - -,g2h3
3k4/B2p3p/1p3pp1/3n1p2/3r1P2/P4R2/1P1K4/8 w - -,d2c2
4r3/pp3pkp/2p1b1p1/1n2b3/8/1B6/P4PPP/2R1R1K1 w - -,e1e5
2rq1rk1/1p1nbppp/p3p3/2ppP3/3P2P1/2PQ1N2/PP3PP1/R1B1R1K1 w - -,c1d2
r3r2k/p2Rn1pp/4N3/5p2/4p2P/P5P1/1P2bP2/R4BK1 b - -,e2h5
1k1r2r1/p1pqnpp1/1p5p/3pPp1P/P2P4/2PQ1R2/2P2PP1/R1B1K3 w Q -,a4a5
3k4/8/4pQ2/3q2p1/6B1/6P1/7K/8 b - -,d8d7
r4nk1/p4ppp/1bpP4/6P1/2BpnP2/1P5P/P2B4/3R1RK1 b - -,a8d8
3r2k1/1p1r1ppp/3n4/P1RP4/8/6PP/5PB1/3R2K1 b - -,g8f8
r1b1k2r/1pqnbp1p/p2ppnp1/6B1/Q1PNP3/2NB4/PP3PPP/R4RK1 b kq -,e8g8
1n3rk1/p3bpnp/Bp2pNpB/3pP1N1/3P4/2r3P1/P1b2P1P/2R1R1K1 b - -,g8h8
r4rk1/1bp1qppp/pn1b4/1p6/1P1Pp3/P1NBP3/1B3PPP/R2QR1K1 w - -,d3c2
8/8/4b3/4B3/3P2p1/2nk2Kp/7N/8 b - -,c3e4
r2qk2r/pb1p1ppp/np2pn2/8/1pPP4/PP3NP1/4PPBP/RN1Q1RK1 b kq -,e8g8
r1bq1rk1/pp2b1pp/3p1n2/2pPnp2/2P1p3/1PN3PN/P3PPBP/R1BQ1RK1 b - -,f6h5
3r1k2/2pb2pp/pp1p4/3P4/2P1P1pq/2N1Q1R1/PP4PP/6K1 w - -,e3f2
r3rbk1/1bq2p2/6p1/pp2p1B1/4pnPN/2P5/PP2Q1BP/3R1RK1 w - -,e2c2
2r2nk1/2r1bppp/bpq1p3/p2pP2P/3P1B2/P4NP1/1P4P1/RB1QR1K1 w - -,g1h2
2rq1rk1/b4pp1/p2pbn1p/1P2p3/1P1nP3/P1NBN2P/1B3PP1/R2Q1RK1 b - -,a6b5
2r3k1/p1q1npp1/2p4p/1pQ5/1P6/P3P1P1/1N1R1P1P/6K1 w - -,d2d6
8/5k2/2B5/p1bN1p2/P1P1pP1p/7P/1r6/4K3 b - -,f7e6
8/7R/6p1/1N1kn3/2p5/4r2P/6PK/8 w - -,b5c7
r4rk1/p1B2p1p/2p1bp2/8/2p5/6P1/PP2PP1P/R2R2K1 w - -,c7a5
k1r4r/pp3Q1P/4pP2/3p4/3PqB2/P1P5/7P/2R3K1 w - -,c1f1
2r5/8/8/B1nkpb1p/3p2pP/KP4R1/P3R1P1/8 w - -,b3b4
r1b4k/ppQ3b1/4p3/3pP1q1/4p3/1P2PrpB/PBR2P1P/5R1K w - -,h2g3
rq5k/p6p/1pB1p1p1/5nN1/1P2Q3/8/P2r1PPP/2R3K1 b - -,b8c7
5k2/2R5/r7/6PK/8/8/8/8 b - -,f8g8
r2r2k1/6pp/1pn5/p1n1p3/4P3/P2pR1P1/1P1B1PBP/2R3K1 b - -,c6d4
6k1/1p1qnr1p/p1rpb3/5p2/2P1pP2/1P2B1P1/P3Q1BP/2RR2K1 w - -,a2a4
8/R5p1/5pk1/2Np1b1p/1P1P3P/5PK1/P2r2P1/8 b - b3,d2d4
1r1q1rk1/2p2p1p/1n1p1bp1/pB1Pp3/P3P1Q1/2P4P/5PP1/R1B1R1K1 w - -,c3c4
r4rk1/3b1p1p/p2p2p1/1ppPb3/2P1P3/3B1R1P/PP4P1/3NR1K1 w - b6,b2b3
5qk1/1b5p/4N1pb/1BPpP3/8/Q5P1/7P/6K1 b - -,f8e7
rnbq1rk1/3pbppp/pp2pn2/2p5/3P1B2/2P1PN1P/PP1N1PP1/R2QKB1R w KQ -,a2a4
r4rk1/pp3pp1/2p2q1p/4b3/2P1B3/6Pb/PPQ2P1P/1RB1R1K1 w - -,c1d2
1r1qn1k1/3b1pbp/p5p1/2pPB3/P1p3P1/2N4P/1P1Q1N2/R4RK1 b - -,g7e5
r1b5/1k2b3/p1p5/4pp2/2P5/5R1P/PP1R1PP1/6K1 w - -,f3g3
1r2qrk1/pb2p1bp/2pp2p1/2n2p2/2P3n1/2N3PN/PPQBPPBP/3R1RK1 w - -,b2b4
r4bk1/2R2p1p/b2p2p1/1N6/4P1P1/P4P2/1PP4P/1K5R w - -,c2c4
