4rbk1/R2Rr1pp/8/8/8/3pB1PP/5PK1/8 w - -,d7d3
2r1r1k1/5pb1/p1p1n1p1/1pn1p2p/1N2P3/1PP1NPB1/P4KPP/3R3R b - -,a6a5
r1br2k1/1p2qppp/nb6/pB1p4/3Nn3/PP2PN1P/1B3PP1/R2Q1RK1 w - -,a1c1
2kr3r/1pp1qpp1/p3P1np/2Pp1Q2/1P3bP1/P4N1P/1K2NP2/3RR3 b - -,f4g5
5rk1/p1b1r1pp/1p1N1pq1/2p1Pb2/2Pp1P2/1Q1P2B1/P5PP/1R2R1K1 w - -,b1d1
1r1q1r1k/2p1b1pp/2n5/p2B3n/P2pPp2/2PP1NB1/1P3P1P/R2QR1K1 w - -,d5c6
3r2r1/1ppq1kp1/p1p2pQp/2b1pP2/2P4R/3P4/PBP2PPP/4R1K1 b - -,f7f8
6k1/5p2/3pnq2/6p1/pP1BPbPp/2r2P1P/P2QB3/3R3K b - -,f6d4
7k/1p1qr1pp/p1p2p2/3p2r1/3P3n/1Q2PP1P/PP2R1PN/3R2K1 w - -,g1h1
6R1/8/8/5p2/5k1p/6r1/5K2/8 w - -,g8h8
1Qb1n3/3q2bk/2Np2pp/2pPp3/1p2P2P/4BPP1/1P4B1/6K1 w - -,g1h2
r1bqk2r/pp1nppb1/2pp2pp/7n/3P3B/2P1PN2/PP2BPPP/RN1QK2R w KQkq -,e1g1
r4rk1/5pb1/1q4p1/p2pP2p/1p1P1NbP/3BQ3/PPP5/1K4RR b - -,a8d8
r4b2/1q4pk/3p2pp/pr1Np3/1p2P3/R1PP4/Q4PPP/R5K1 w - -,c3b4
8/6p1/4kp1p/1r3p1P/5P2/1PKR4/6P1/8 b - -,b5c5
r3k2r/pp1bnqp1/1b2p2p/nP1pPp2/3p3P/P2B1NQ1/1BP1RPP1/RN4K1 w kq -,f3d4
1r4k1/1q3p1p/1n4p1/pQb5/3pP3/P2P2PB/1P5P/5RK1 w - -,b5c5
8/5p2/4p3/pp2P1k1/2p3P1/P1P2K1r/1P4R1/8 w - -,f3e4
2kr1r2/ppp5/2nb3p/5qp1/3pR3/5N2/PPPBQPPP/4R1K1 w - -,h2h3
r2qkb1r/ppp2ppp/2n1pn2/3p4/2PP1Bb1/2N1PN2/PP3PPP/R2QKB1R b KQkq -,f8b4
6Bk/6pp/1P3r2/3p1P2/3Pp3/4P3/p6P/6RK w - -,g8e6
2Q1b1k1/4q1p1/7p/3pp2P/6P1/2P5/P5KB/8 b - -,d5d4
r1bq1rk1/ppp1nppp/3p4/4P3/3P4/2Q2N1P/PP2BPP1/R3K2R b KQ -,c8e6
6k1/6pp/p7/5p2/K1P1bP2/P1R1N3/1r5P/8 b - -,b2h2
1k3r2/p3b1p1/Ppb5/2p3Pp/2P1N2P/5P2/4B3/3K3R w - -,d1c2
3r1rk1/1b4q1/p1Np1b1p/2pP2p1/3nP3/1P2RNQP/5PP1/3R1BK1 b - -,b7c6
r1bq1rk1/pp1n1pbp/3p1np1/2pP4/5B2/2N2NP1/PP2PPBP/R2Q1RK1 b - -,d8e7
2r3k1/p1pr2bn/2q1p1QP/1p6/3P2P1/P1PR1PB1/8/4R1K1 b - -,h7f8
6k1/5p2/7Q/p4r2/PpB2n1p/1P3P2/2K2P2/8 w - -,h6h4
1r5r/R4ppp/4pk2/1p6/5n2/2P2P2/1P3P1P/4RBK1 w - -,a7a5
8/1p1k1p2/4p3/PR2P3/1p1Pp1p1/6P1/4KP2/1r6 b - -,d7c6:d7c7
2r4k/2p1rpp1/p1n2q1p/1pR1p2P/1P2P2N/2P3Q1/1P3PP1/3R2K1 w - -,h4f5
rqb2rk1/4bppp/p2p1n2/4p3/1n2PP2/1NN1BB2/1PP3PP/R2Q1R1K w - -,c3a4
2k4r/1p1bqp2/p1p5/4pP1r/4P3/4Q2p/PPP2NP1/R4R1K w - -,g2g4
r1b1k2r/pppq2pp/2nbp3/1B1p4/3PpB2/4P3/PPPN1PPP/R2QK2R w KQkq -,d1h5
8/6pk/7p/K1P5/P3p3/2R5/8/1r6 b - -,b1b8
rq3rk1/2p3bp/1n4p1/B1QPpp2/4P3/8/4NPPP/RR4K1 b - -,f8d8
r1b4k/pp2qrp1/2pbpn1p/8/2PP4/3B3N/PPQB2PP/R4RK1 b - -,e6e5
6k1/2p2pp1/p3p3/4P2p/5P1P/2Q1K1P1/P1R1P3/1r5q w - -,c3c6
6k1/4qpp1/p7/1pR5/1Pp1p3/P1Q1P2P/6P1/3r2K1 w - -,g1f2
5r1k/3b4/1p1Q2p1/3Bp2p/2PpN1Pq/P2PbP1P/6K1/1R6 b - -,f8f3
8/4k3/2p2p1p/1p2r2b/1P1KP2P/8/2P1BR2/8 w - -,e2d3
r4r1k/ppp2Ppp/2nb1n2/6Bq/2B5/2N2N2/PPb1QPPP/R4RK1 w - -,h2h3
8/5b2/5k2/2R5/3P1p2/5P2/3r2PK/8 b - -,d2d4
1R4nr/p2k1ppp/4p3/3pPb2/2pP4/2b1BN2/P1q1BPPP/Q5K1 w - -,a1d1
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP4/5NP1/PP2PPBP/RNBQR1K1 b - c3,c7c6
8/5k2/3R4/2P2P1p/4K1b1/4N3/5r2/8 b - -,g4f3
rnbqk2r/ppp1bppp/5n2/3p4/3P4/3B3P/PPP2PP1/RNBQK1NR w KQkq -,c1f4
r2qk2r/1b1nbpp1/pp1pp2p/2p5/P2P2P1/2PBPN2/1P1NQPP1/R3K2R w KQkq -,d2e4
4q3/5k2/p2p2p1/2pPp3/2P1P1QP/8/4K3/8 w - -,h4h5
4r1k1/7p/1Q4p1/1p3qb1/p3p3/Pb1nBP1P/1P1R2P1/5RK1 b - -,e8f8
3rrbk1/pb3p1p/1qp2p2/1p2nN2/4P3/8/PPQ1BPPP/R2N1RK1 w - -,d1e3
8/8/7p/p2kpPp1/Pp6/1P2KP1P/8/8 w - -,e3d3
r1bqk1nr/pppp1ppp/2n5/2b5/8/6P1/PPP1PP1P/RNBQKBNR w KQkq -,f1g2
2kr4/2p4p/4pb2/N3n1p1/2P2p2/P4P2/1P2K1PP/1R4B1 b - -,e5d3
8/4r3/R7/8/8/5K2/1k1p4/8 w - -,a6b6
r4rk1/1p1nppbp/p3q3/4PPp1/8/1PN4P/P2BQ1P1/2R2RK1 b - -,e6e5
2R5/8/6K1/8/1p2rk2/1P6/8/8 b - -,f4f3
r1r3k1/1p2pqbp/3pb1p1/8/1PN1BP2/4B3/3Q2PP/1RR2K2 b - -,e6c4
8/8/2b3p1/3p4/1P1P1Bk1/4K1P1/8/8 w - -,f4e5
1b2r1k1/6pp/4rpn1/1R6/1P6/PP3NP1/1B3R1P/7K b - -,e6e3
3r1r2/pp1q2kp/2np1bp1/2pQ4/2P1PBP1/7P/PP4B1/3R1RK1 b - -,f6d4
5rk1/pbr1qp1p/1p1p1np1/2n1p3/2P2P1N/1P2Q1PB/PB2P2P/3R1RK1 b - f3,f6e4
r1bq1rk1/pp2bppn/2p1p2p/2P5/3P4/4BNP1/PP2RPBP/R2Q2K1 b - -,e7f6
6k1/p4p2/6n1/2p1Pp2/2Pp1PQ1/3P1NK1/P1R5/1r5q w - -,g4g5
8/6k1/R7/5p2/3Kp3/5r2/8/8 w - -,a6b6
r2q1k1r/pp3ppp/3p1nn1/2pPpb2/2P1P3/2PB1Q2/P4PPP/R1B1K2R w KQ -,f3f5
r6r/2q1p1b1/1p1n1pk1/p1pPpN2/P1P1PBPp/1P1Q3P/4R1K1/5R2 b - -,d6f5
1r6/5kqp/Q3p1p1/2prP3/3p3R/1P4P1/P4P2/4R1K1 b - -,b8d8
2rr2k1/pp1b1pbp/q1nppnp1/8/2PN4/1PN1P1PP/P2BQPB1/R3R1K1 w - -,a1c1
1kr5/pp6/8/2q1bP2/P1bp3p/5B1P/1P1R4/1K1RQ3 w - -,e1e4
6Q1/5B2/1p1q1kPp/p1p2p2/P4n2/2P5/8/4K3 w - -,g8h8
R5k1/1p1n1pb1/1rp1q1pp/4p3/2N1P3/1Q1P2P1/1B3PKP/8 b - -,g8h7
2k4r/p1p2p2/1p3Np1/4Rn1p/2P2P2/1PK5/P5PP/8 b - -,h5h4
6k1/5p1p/1p1p2p1/8/q7/2P4P/P4PP1/4R1K1 w - -,e1b1
3rr3/pb2qpkp/1p1p2p1/2pP4/5N1P/1P1Q2P1/P3PP2/1R3RK1 b - h3,h7h6
6k1/2r2pp1/7r/p3pR2/Bp1bP3/8/PPP1R1P1/1K6 w - -,f5f1
Qr6/8/2n5/pk6/8/1P1K4/8/8 w - -,a8b8
2rr2k1/pb2qp1p/1p2p1p1/2pP4/2n5/B1N3P1/P3QPBP/1R2R1K1 b - -,c4a3
8/8/8/1R6/6p1/6k1/4K3/r7 w - -,b5g5
1q6/5pkp/1p2p1p1/pP3nP1/P2rN2P/7B/5Q2/4R1K1 b - -,b8d8
3r4/2q3kp/1b4p1/pb1Ppp2/1N6/2P5/1PQ1B1PP/4R2K w - -,e2b5
3rr1k1/p3qpp1/1p6/2ppP3/4N3/1P1Q4/P4PPP/3RR1K1 b - -,d5e4
