8/8/5k1p/3bN1P1/1r2PK1P/5B2/8/8 b - -,h6g5
r1b1k2r/1pqpbppp/p1n1pn2/8/3NP3/2N1B3/PPPQ1PPP/2KR1B1R w kq -,d4b3:f2f4:f2f3
r7/1p1b3k/2q1p3/2p1Qprp/p1BpP2R/3P3P/P1P5/5R1K w - -,e5f6
3r2k1/5pbp/1qr1p1p1/pNp1P3/Pn3PP1/7R/1B2Q2P/3R2K1 b - -,d8d1
1rr3k1/1bqn1ppp/p2ppb2/8/4P3/R1N1Q1PP/1PPN1PB1/R5K1 w - -,g2f1
8/5k2/3P3K/7P/8/2B1pn2/8/8 b - -,e3e2
8/2p5/8/3k1Bp1/1b4P1/p4P2/2K5/8 w - -,f5e4
2rr2k1/2q2ppp/p3p3/2b2n2/P1b2P2/4PN1P/1BQ1B1P1/R1R3K1 w - -,c2c4
8/8/8/4p3/8/R2P1n2/4rk2/2K5 b - -,e2d2
r2qkb1r/pp3ppp/2n1bn2/3Pp3/8/1N4P1/PP2PPBP/RNBQ1RK1 b kq -,f6d5
r1b2rk1/1p2bppp/1qnp4/pNp1p3/2P1PB2/P2P1B2/1P3PPP/1R1Q1RK1 w - -,f4d2
2r3k1/1q2b1pb/r4p2/p7/R1pNP2p/2P4P/1PQ3PB/4R2K w - -,c2e2
rnb1k2r/pp3ppp/5n2/2qp4/8/2P5/PP3PPP/R1BQKBNR w KQkq -,g1f3
4r1k1/p1p2pp1/2p1q1n1/2P4p/Q2P1p1P/1P3RB1/P3r1P1/5RK1 w - -,g3f4
1n3rk1/4b1pp/1q2p3/1b1pP3/pppP1NPP/1P2B1Q1/P1P1B3/2R3K1 b - -,b8d7
4rrk1/2pnq1pp/Qp1b4/p2p1p2/3Pn3/1P2PN2/PB3PPP/2RR1NK1 w - -,a6b7
r2q1rk1/1p3pbp/pn4p1/2pNp3/2PBPP2/3Q2P1/PP4BP/3R1RK1 b - -,c5d4
2k3r1/pp3p2/2p1p1p1/4Pn1p/7P/PBPr1KP1/1P3P2/3R4 w - -,d1d3
r3kb1r/3n1p2/pqb3pp/3Qp2P/1p4P1/1N3PN1/PPP5/2KR1B1R w kq -,d5d3
rn3rk1/ppqb1pbp/3p1np1/2pP4/4PB2/1QN2N2/PP3PPP/R3KB1R w KQ -,f1e2:f3d2
r4k2/pp2b3/2p4n/5B2/3q2p1/2N3Bb/PPQ2P2/2K1R3 w - -,c1b1
r1bqk2r/ppppnppp/1bn5/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,d2d4
8/8/4bk2/2R2pp1/1r6/6K1/8/2B5 w - -,c1d2
rn1qk2r/p2pbppp/1pb5/2pnN3/4Q3/6P1/PP2PPBP/RNB2RK1 b kq -,d5f6
3q1rk1/rpN2pbp/p2p2p1/2pN4/2P1n3/1P2B1PB/P4P2/3RQK2 b - -,b7b5
2bqrrk1/1p6/p2p1n2/P1pPn1p1/4Nb1p/1R3P1P/1P2NBP1/3QRB1K w - -,e2f4
8/5k2/8/1P1b2Bp/3N3P/2K5/P1P4r/8 b - -,d5a2
r1bqr1k1/pp3ppp/2pb1n2/2n5/2P1p3/2N1N1P1/PBQPPPBP/R4RK1 b - -,h7h5
r2qk2r/pp3ppp/2pbb3/2n5/Pn2PB2/2N2P2/1P4PP/R2QKB1R w KQkq -,f4d6
r6r/4q1bk/2np2pp/p7/1p1pPP2/1Q1P2P1/PP1B2B1/1K1R3R w - -,d1c1
r5k1/pp4pp/3b4/2p1n3/2PpP3/1P3p1P/P4P1K/R1Q2R1B b - -,e5g4
8/5bk1/p3pn2/1pp3p1/6P1/2P1KR2/P3B2P/8 w - -,f3f1
8/4kp2/R5p1/4P2p/5P1P/5rPK/8/8 w - -,h3g2
3R2k1/2N1r1b1/4P1pp/pp3r2/8/1PP1R1P1/6KP/8 b - -,g8h7
r4rk1/1ppq1pp1/p2pbb1p/8/1Q3B2/2P5/PPP1BPPP/1K1R3R w - -,h2h4
6k1/p5pp/4pp2/8/bNr2P2/5B1P/6PK/8 w - -,b4a6
r4rk1/pppbqpp1/2n1p2p/8/1bBP4/2N1PN2/PPQ2PPP/R4RK1 b - -,a8c8
r2r2k1/p4ppp/1pp1B3/2P1p3/3nP3/2Q5/PP1N1PqP/1K1R3R b - -,d4e6
1rbq4/pp3kb1/1n1ppr2/1PpP1P1p/2P2PpP/PNN3P1/4Q1B1/2R1R1K1 b - -,e6f5
4rbk1/5p1p/4r1p1/1Qpq4/P2p1B2/3P2P1/1PR1PR1P/6K1 w - -,a4a5
2r5/2P1kpp1/4p2p/1R6/5P2/6P1/6KP/8 b - -,c8c7
8/8/8/5k2/1r4n1/5N2/4R1P1/6K1 w - -,g2g3
r2q1rk1/pp2bppp/1np1pnb1/P7/3PP3/1BN2N2/1P1BQPPP/R4RK1 b - -,b6c8
8/8/4ppkp/8/1R3PPK/5r2/8/8 b - -,f6f5
8/1p4k1/3nB2p/r2P4/7P/P4R1K/8/8 w - -,h3g4
r1b1r1kb/1p3p1p/p5pB/2q5/2Pp4/4P1P1/P2Q1PBP/R2R2K1 w - -,e3d4
8/1p1k4/4p1n1/2P2p1p/3K1P2/7P/6P1/2B5 w - -,g2g3
1r4k1/pq3pbp/2prb1p1/3np1P1/4N3/1B3P2/PPPQ3P/2KR3R w - -,e4d6
r1r5/1pqnppkp/3p2p1/3R4/p1P1P3/1P2Q3/P3BPPP/3R2K1 w - -,h2h4
1kr5/1P5p/1P2bqp1/3pp3/8/3B1KP1/1QP2P1r/1R3R2 w - -,f3e2
r1b1nr2/ppq1b1pk/2np3p/4p3/P1B1Pp2/N1P2N1P/1P2QPP1/R1BR2K1 b - -,g7g5
8/8/1PQ5/3K4/6k1/5q2/8/8 w - -,d5d6
8/p4p2/1kpr1p1p/5R1P/1PPK2P1/P7/8/8 w - -,f5d5
6k1/4qpp1/p1p1r1p1/PpPpr3/1P1R4/4P1QP/5PP1/3R2K1 w - -,g1h2
8/8/8/8/6Q1/8/3K1k2/6qq w - -,g4e2
2kr3r/ppp2p2/2nb2p1/3p1n2/3P4/2P1B1Pp/PPKNNP1P/3R3R w - -,e3f4
8/5p1p/3k2p1/2p3PP/4r3/8/1R1K1P2/8 b - -,e4g4
r5r1/2p5/pbPp1k2/1p3bpq/P2pN3/1QP3P1/1P3P2/R3R1K1 b - -,f6g6
1r4k1/5p2/3p2p1/1NpP2P1/3bP3/3n1PBp/q6P/1R3Q1K b - -,a2c2
6k1/p4pp1/4p2p/3n4/3Q4/1P6/PKR2PPP/4q3 b - -,a7a5
5rk1/2p2p2/1b1pb3/4p3/p3B2R/8/5PPP/2N1R1K1 w - -,e4c2
r4rk1/pb4p1/1pnbq2p/1N1p1p2/3Pp3/1Q2P1P1/PP1NBPP1/2R2RK1 w - -,a2a3
2r1r1k1/3b1pbp/p2B4/5p2/8/PNP5/2P3nP/3R1R1K w - -,h1g2
6k1/1b4b1/pq4p1/1p6/4B1n1/PP2rRN1/3N3P/5Q1K b - -,e3f3
1rbr2k1/2q2pb1/pn1p1npp/Pp1Pp3/8/2N2P2/1PPQBBPP/R4R1K w - -,f2b6
2r3k1/1p1qpr1p/p2p1pp1/3P4/P1PQ3P/1P1R4/5PP1/4R1K1 b - -,f7g7
2r2r2/pp1n1pk1/4bnpp/8/1P1NPq2/P2P1RPP/4N1B1/5R1K w - -,g3f4
7k/8/5npp/8/6KP/5N2/8/7B w - -,g4f4
r4rk1/p4p1p/1p1q2p1/nQpPn3/4PB2/P1P3N1/6PP/R4RK1 w - -,f1f2
8/3R4/P6k/3b2p1/3P1K2/7r/4B3/8 w - g6,f4f5
2r1kq1r/3p1p1p/p3p1p1/1p1bP3/5Q2/P2B4/1PP2PPP/4RRK1 b k -,f8e7
r1b1rbk1/pp3pp1/1qpp1nnp/4p3/3PP3/1PN2NPP/PBP2PB1/R2QR1K1 w - -,d1d2
r6r/5p2/3p2kp/1pNN4/7b/p4Q2/PPP5/1K1R4 b - -,d6c5
r3k2r/pp3ppp/2q2n2/4p3/1b2N3/2NP2P1/PP3PKP/R2Q1R2 w kq -,d1b3
4r2k/1p3pp1/pqp4p/3b4/1b1P4/1P3NB1/P1Q2PPP/3R2K1 w - -,f3e5
2rr2k1/pb3p1p/1p4p1/8/1PqN4/5P2/PQ1R2PP/5RK1 w - -,f1e1
5k2/pp1r3Q/2b1p3/8/P1R2P1B/3B4/2P3q1/4K3 w - -,h7h8
8/p3k1p1/1p2p2p/1b2P3/1P1K3P/PB4P1/8/8 b - -,b5c6
3r4/6p1/5k2/p1p4R/P1P5/2K5/8/8 b - -,d8c8
2r5/1p3q1k/p1pb4/P4pr1/1P1Pp2p/4P1PP/2Q1R2K/4B1R1 w - -,e2g2
r6k/2pr4/1p1p4/p2PpQpq/2P2b1p/PP3P2/6PP/1R2RNK1 b - -,d7g7
