8/8/4k1p1/3p1r2/2NR2KP/8/8/8 w - -,c4e3
r4rk1/B1p1qppp/3bp3/4n3/8/4Q1P1/P3PP1P/2RR2K1 b - -,e5g4
r1bq1rk1/pp1nbpp1/2p1pn1p/2Pp4/3P4/2N2NP1/PP1BPPBP/R2Q1RK1 b - -,f6h7
1rq2rk1/1bp1bppp/3p4/p7/PnBPP3/5N2/3B1PPP/R3QRK1 w - -,e1e2
4k3/5p2/6pp/1NP1b3/1P1pPnP1/5P1P/N4K2/8 w - -,h3h4
2r5/ppk1pp1P/8/n7/3P2Q1/2P3R1/P4qPK/8 w - -,g4c8
1r1q1rk1/p1p2ppp/2pbpn2/3p4/5P2/1P3QP1/PBPP1P1P/RN3RK1 b - -,c6c5
1rbq1rk1/3nbppp/p2pp3/1p6/3BPPP1/2N4P/PPPQ2B1/3R1RK1 b - -,d8c7
r1b1k2r/pp3pbp/2n3p1/q3p3/3P1B2/4P3/P2NBPPP/R2QK2R w KQkq e6,d4e5
2n3r1/kp6/4R2B/1P6/P2P2P1/1K5P/8/8 w - -,g4g5
3rr1k1/1pp2qpp/p1n1p3/5p2/3Pn3/BP2P2P/P1R1QPP1/3RN1K1 w - -,e1d3
8/8/3pkpp1/pqb1p2p/4P2P/1P1N2P1/2Q2PK1/8 b - -,f6f5
5bk1/R5pp/5p2/p7/6PP/4B3/r4PK1/8 w - -,h4h5
rq3rk1/3nbppp/p2pbn2/4p3/Np2P1PP/1N2BP2/PPPQ4/2KR1B1R w - -,h4h5
r1bqk2r/pp2bppp/2p2n2/3p2B1/1n1P4/2NB2N1/PPP2PPP/R2Q1RK1 b kq -,b4d3
r4r1k/1p2q1pp/2p5/8/P2bP1P1/6N1/P1Q4P/3R1R1K b - -,f8f1
rn2rnk1/p4p2/2p2QpB/4Pb1P/1p2pP2/2P3R1/P7/2KR4 b - -,f8e6
6k1/2p3pp/2qbp3/1pn1p3/r3P3/1PP3PP/2QN1PK1/2B1R3 b - -,a4a8
4r1k1/5p1p/6p1/p1b5/P1npP3/2p1P1P1/R5KP/2BR4 b - -,d4e3
r4qk1/4r1pp/2pNp3/1pPnQp2/p2P1P2/6RP/PP2P2K/5R2 w - -,a2a3
r1nqk2r/1p1b1pp1/4p1n1/pP1pP1Pp/Pb1P3P/2NB1N2/1B3P2/2RQ1K1R b kq -,g6f4
7k/1b4rp/p1n1p3/2p2p2/3p4/PP6/2PR1PPP/4N2K b - -,e6e5
7k/1pp4p/p4N2/1bp1p3/4P3/1P1P3P/P5P1/7K w - -,h1g1
3b2k1/r4P1p/p2N2p1/2n5/3p4/3P2BP/P5P1/5R1K b - -,g8f8
5rk1/1q2bppp/1p2p3/P1nn4/2NN4/1P4P1/1B2QP1P/2R3K1 b - -,b6a5
r4rk1/pb1n1ppp/1p1q1b2/2pP4/8/4BN2/PPQ1BPPP/3R1RK1 w - -,e2d3
r1b5/pp2Q1k1/5p2/3p1P2/2p4q/3n3P/P5PK/5R2 b - -,g7h8
8/3nk3/pr4R1/8/1P6/P7/6K1/8 w - -,g6g5
4r3/1Q4pk/5nrp/5q2/2Ppp3/3P1PpR/3BP1K1/7R w - -,d3e4
5k2/pp3pp1/2b5/3pq2p/4n3/2PQN1PP/PP3PB1/6K1 w - -,h3h4
4r1k1/1R1rppbp/p4np1/4q3/1N2P3/6PP/P4PB1/2Q1R1K1 w - -,b4c6
8/8/7P/1k4K1/2r5/5p2/5PR1/8 w - -,g2h2
r2qr1k1/1b1p1ppp/1p1p4/p1nP4/8/P1R3P1/1P1NPPBP/3Q1RK1 b - -,b7a6
8/5pk1/bp4pp/3p4/p3qN2/4Q3/P4PP1/3BK3 b - -,e4b4
rnb1kb1r/p2p1ppp/npq1p3/1N2P3/2P2P2/PN6/1P4PP/R1BQKB1R w KQkq -,f1e2
8/8/8/8/7r/2R1nk2/P7/3BK3 b - -,f3e4
1qr1rbk1/5ppp/2bppn2/1p6/3QP3/1PN3PP/PB1R1PBK/4R3 w - -,b3b4
4r1k1/1p3p1p/p1p3pB/P4b2/1P1R4/5P2/6PP/5B1K b - -,f5e6
r3r1k1/p2n1ppp/1pNqp3/1P6/P3Q3/2R1P2P/5PP1/5RK1 w - -,c3d3
5k2/3b2pp/1p1N4/2PP1p2/1P2p2q/5P2/4K1PP/2Q5 b - -,e4f3
2r1r1k1/pp3pp1/1q6/2n1P1p1/2p5/P7/BPP1QPPP/R4R1K w - -,a2c4
1r1q4/1n2rpk1/2R1bbp1/3p3p/1P1P4/4P1P1/Q4PBP/1NR3K1 b - -,b8a8
r2qkb1r/pp2npp1/1np1p2p/4Pb2/3P4/1B2BN2/PP3PPP/RN1Q1RK1 b kq -,a7a5
r3k3/p2nbpp1/Ppp1pnp1/7r/4P3/2P3P1/1P1N1PBP/R1B2RK1 w q -,d2c4
3q1rk1/p3ppb1/3p2p1/1prN3p/4P2P/1P1QPb2/P1PR2P1/1K5R w - -,g2f3
8/p7/1nN5/1P6/3K4/6k1/2P5/8 b - -,b6c8
2rq1rk1/1bpn1pb1/pp1p1npp/3Pp3/P1N1P3/2N1BB1P/1PP2PP1/R2QK2R b KQ -,d8e7
2r1r1k1/2qn1pbp/3p2p1/1p1P4/2p1PP2/4NQ1P/1P2R1P1/1B3R1K w - -,e3g4
r3r1k1/b4pp1/b1Pp1n1p/P1p1p3/2P1P3/B4N1P/3N1PP1/R3R1K1 b - -,e8c8
r2r4/pp1b1pkp/4p1p1/n7/2NPP3/4K3/P4PPP/1R3B1R b - -,a5c4
r1r3k1/p3pp1p/3b2p1/P1pP4/8/4P1PP/P4K2/1RR2B2 b - -,a8b8
3r1rk1/ppqnbpp1/2p1pn1p/5b2/Q1PP4/P3BNP1/1P2NPBP/R4RK1 b - -,f5d3
r1q1r1k1/3b1p1p/p1np1bp1/1p2p2n/3PP3/1P2BN1P/P1BQ1PP1/3RRNK1 w - -,c2b1
1r1r2k1/p1p2ppp/8/8/2bnB3/2N5/P4PPP/R3R1K1 w - -,a1c1
r1bqk2r/1p3ppp/p1nppn2/8/4PP2/1N1BQ3/PPP3PP/RN2K2R w KQkq -,b1c3
1r3k2/4ppbp/r2p2p1/2pP2B1/1P1nP3/P1N5/5PPP/2RR1K2 b - b3,d4b3
r1bq1rk1/1p2bppp/p1nppn2/8/2BNP3/2N1B3/PPP1QPPP/R3R1K1 b - -,d8c7
8/5p1p/r3pk2/1p1n4/1P1P4/P4P2/3B1P1P/R4K2 b - -,d5b6
r7/7q/1n2pp1k/1p5p/3PpP2/1PP1P3/3BK1R1/6Q1 b - -,h7f7
1r1r2k1/1bq1bppp/p3p3/2n1P3/1pPN2P1/8/P1B1QPP1/1RBR2K1 w - -,f2f4
2r2qk1/5p1p/P1b3p1/3p4/pQ1N4/2P5/1P3PPP/5BK1 b - -,c6a8
r7/2p1q1k1/1p1p2pr/pPnPp3/2P1PpPP/Nb3N1R/6R1/4Q1K1 b - -,a5a4
1q1r2k1/4bppp/2n1p1n1/3bP3/4N2P/4QN2/5PP1/BB2R1K1 b - h3,b8b3
6k1/2p1Rrpp/2pp4/p4r2/8/1PP2P2/P5PP/4R1K1 b - -,f5c5
r2q1rk1/1b2bppp/p2p4/1p1Pn3/P1p1P3/7P/1PBNQPP1/R1B1R1K1 w - -,f2f4
R2q1r1k/6pp/3pBb2/1p1Pn3/8/2P3Q1/1P5P/2B2R1K b - -,d8a8
3b1B2/2p5/1k6/4p1p1/P1K1Pp1p/5P1P/6P1/8 w - -,f8g7
4r2k/1b4pp/p1q2p2/2p5/1p3Q2/1P1P2RP/P1P2PPK/R1B1r3 w - -,c1b2
4r3/2R2pk1/3qbbp1/1PQp1n2/3P4/1N2P3/5PBP/6K1 b - -,e8h8
r1br2k1/p3pp1p/6p1/2p1P3/2B1p3/1PP5/P3KPPP/R6R b - -,g8g7
5R2/1pk2pp1/3r3p/4K3/2P5/6P1/7P/8 b - -,d6e6
r3r1k1/2pb1p1n/1p1n2p1/3P4/p1P1PN1p/P1NB3P/1P4P1/1K1R3R w - -,d1e1
r2qk2r/ppp2ppp/5n2/2Pp4/3Pp3/1P6/PBnPQPPP/RN3RK1 w kq -,e2b5
3r2k1/5ppp/4p3/8/1r2R1nq/1BN4P/PPQ2PPb/R5K1 w - -,g1f1
rn1qkbnr/1b1p1ppp/p3p3/1pp5/4P3/2NP2P1/PPP1QPBP/R1B1K1NR b KQkq -,b5b4
8/4ppkp/3p2p1/p2P4/Pp2P3/r4PP1/1RP1rK1P/8 w - -,f2e2
r7/2p3r1/2Pp1k1p/p2P1pP1/2P1p3/1P2R1PP/P4K2/1R6 b - -,h6g5
4r2k/1p1R2pp/p4p2/3Qpn2/2P5/1B3NP1/P4PKP/1q6 w - -,d7d8
r1b2r1k/2p1q2p/np1p2p1/3Pp3/1PP1B3/5PP1/4Q2P/1R1N1RK1 b - -,c8b7
r2qkb1r/pp1npp1b/2p2n1p/3p4/3P2Pp/2N2P2/PPPQPB2/R3KBNR w KQkq -,h1h4
3Rr3/p4p1k/6pb/QB2p2p/6q1/P3P3/1B3P2/3R2K1 w - -,g1f1
1r1qnrk1/1p1b1pb1/p1p1p1pp/2PpP3/P2P4/1B1Q1N2/1P2NPPP/R3R1K1 b - -,g6g5
2k4r/ppq2pp1/4pn1r/1B1pPb2/Q2P4/2P5/PP1N2P1/R4RK1 w - -,b5e2
6k1/1pbr1pp1/p1n1p2p/3rP3/2N4P/P1B1R1P1/1P2RPK1/8 w - -,e3e4
8/1K6/P2k4/8/8/8/8/6r1 b - -,d6d7
rn1q1rk1/p3ppbp/bp1p1np1/2p5/3PP3/2PBBP2/PP2N1PP/RN1Q1RK1 w - -,b2b4
r3k2r/1p2ppb1/pN1pb2p/6p1/1n2P1nP/5NB1/PPP2PP1/R3KB1R b KQkq -,a8d8
