6R1/8/8/7k/8/4p1P1/3r1P2/6K1 w - -,f2e3
rnb1k2r/pp3p2/7p/q1Pp2p1/1b2n3/2N1P1B1/PPQ2PPP/2R1KBNR b Kkq -,b8c6:c8f5:a5a2
r4rk1/1p2q1pp/p1ppbn2/2P2p2/PPnPp3/2B1P1P1/2Q1NPBP/R1R3K1 b - -,g7g5
2r2rk1/1b2n1bp/1q1p2p1/2pPpp2/4PP2/p2P2P1/PBR1N1BP/Q4R1K w - -,b2a3
r2q1rk1/pp1bp1bp/3p1np1/n1pP1p2/2P5/P1N3P1/1PQNPPBP/R1B2RK1 b - -,d8c8
r1b1k2r/ppq1n1b1/2p3pp/2B1pp2/2P1n2P/2N2N2/PPQ1BPP1/3RK2R w Kkq -,c3e4
3rr1k1/pp3pp1/2p2n2/q5Bp/3bP1nP/2N2BP1/PPQ2P2/3R1RK1 b - -,g4e5
r2q2k1/p4ppp/8/4Q3/8/BnNb4/3P1PPP/4R1K1 b - -,b3d2
8/1p1qrk2/pR1p1n1n/P2P1bp1/1pP2p1p/2QB1P1P/3N2P1/5NK1 w - -,c3b4
r3k2r/1bqnbppp/pp1pp3/2n3P1/4PP2/1N1BB3/PPPNQ2P/1K1R3R w kq -,h2h4
3q1rk1/1r4bp/p2p1np1/2p2pn1/2P5/2N1P1P1/PBQN1P1P/1R1R2K1 b - -,d8e8
2kr3r/pp3p1p/2p1pn2/2R2p2/2PP1Q1P/2N2PP1/q1P5/4R1K1 b - -,a2a6
8/6pp/3k4/2nNpp2/7P/4KPP1/8/8 w - -,d5b6
r2q1rk1/1npn2bp/1p1p2p1/p2Ppp2/1PP1P3/PNN1B3/4QPPP/2R2RK1 w - f6,f2f3
r1bq2k1/1pp2pp1/pB3n1p/3P4/8/1B4NP/PP3PP1/R3Q1K1 b - -,c7b6
r7/p5rk/4R2p/2P3p1/3PN3/2K3P1/P7/8 b - -,h6h5
r2qr1k1/1b1n1ppp/p2p1b2/8/1PpNP3/P3B2P/B4PP1/R2QR1K1 w - -,a2c4
3r1r2/1b3pk1/p3pqpp/1p1n4/3R4/2P2N2/PP1Q1PPP/1B3RK1 w - -,b1e4
3r2k1/5pp1/4qnbp/Qp6/4n3/1P4P1/P4PBP/4R1K1 w - -,a5d8
2r1k2r/pp3ppp/1n2p1b1/2q1Pn2/5B2/1B3N2/PP1Q1PPP/R4RK1 b k -,e8g8
1r3rk1/bpp1nppp/p1qp4/4p3/1PP1P3/P2QP1P1/1B2NPKP/R2R4 b - -,f7f5
2r1k1r1/1pq2p2/p1b1p1n1/3pP3/PBn2PP1/1Q5P/2P1N3/1R2KBR1 b - -,b7b5
r2q1rk1/1p1nppbp/p2p2p1/n1pP2N1/2P1P3/2N5/PP1BQPPP/R4RK1 w - -,a1b1
3r1b1r/1kq3p1/p1p3Q1/3p3p/N3n2P/5RP1/1PP2P2/R5K1 w - -,f3b3
rnb1k2r/pp2bppp/2p2n2/q3p3/4P3/1RNBB3/P1P1NPPP/3Q1RK1 w kq -,d1b1
r1bq1rk1/ppppbppp/2n5/4P3/2Bp1Bn1/5N1P/PPP2PP1/RN1Q1RK1 b - -,g7g5
rn1qk1nr/pp2ppbp/3p2p1/2p5/2PP2b1/2N1PN2/PP3PPP/R1BQKB1R w KQkq c6,d4c5:f1e2:d4d5
1k4r1/1p1r1p2/p1nnp1p1/3p2Pp/3P1N1P/1PP2R2/PKB2P2/4R3 b - -,d7c7
r2q1rk1/3nppbp/b2p2p1/2pP4/8/2N3P1/PPQBPPBP/R2R2K1 w - -,b2b3
4k3/1R6/3r2p1/p1p2p1p/P1P1p2P/1P2P1P1/5K2/8 w - -,b7b5
8/7k/3p2p1/3Pnp1p/q4r1b/1R1P2PK/2Q5/5B2 b - -,h4g3
rn1qkb1r/ppp2pp1/4pn1p/3p1b2/2P5/1P2PN2/PB1PBPPP/RN1QK2R b KQkq c3,c7c6
q4rk1/2R2n1p/p4Q2/1p1p1Bp1/8/4PP2/P5PP/6K1 b - -,a8d8
r4rk1/p1qn1ppp/2p1p3/3nN1P1/2pP4/6R1/PPKBQP1P/3R4 w - -,e5c4
8/3N1pk1/6p1/4Pr2/3B1n1P/4K3/8/8 b - -,f4e6
3rr1k1/1p2qp1p/1Pp5/3pn3/1P1Np3/PQ2B1PP/8/3R1BK1 w - -,d4f5
rn3r1k/ppq1n3/2p4p/2B2p2/2B1P3/2P5/PPQN2Pb/R4R1K b - -,h2d6
1r4k1/p6p/2b5/3p4/2p1p3/2P5/PP3KPP/2NR4 w - -,d1d2
r6r/1p1bq1kp/p1pnnpp1/4p3/1P2P3/1BPNN3/P4PPP/R2Q1RK1 w - -,f2f3
r4rk1/pp3ppp/2n2n2/3qp3/6b1/2B1PN2/PPQ1BPPP/R3K2R w KQ -,c2a4
1r6/2p4k/3p3p/1PpPp1pP/p1r5/P5P1/4RP2/1R2K3 w - -,e1d2
1k6/p7/1p1Q4/3pP1P1/3bq1NK/8/P4P2/8 b - -,b8b7
1k1r4/1pb5/5Rp1/1qp1n1P1/3pPR2/PP1P3p/2BQ4/7K b - -,b8a7
8/pp1k1p2/3p2p1/3K3p/3PP2P/1P1N2P1/P2b1P2/8 b - -,d2c3
r3k2r/1bqnbpp1/p2ppn2/7p/pP2PP2/2NB1N2/2PB2PP/R3QR1K w kq -,c3a4
2bq1rk1/5ppp/1p1p1n2/2nPp3/NQP1P3/3BNP2/3K2PP/1R6 b - -,f6d7
r4rk1/p2pqp1p/np2pnp1/b7/1PP1P3/P1QB1bN1/3B1P1P/1R2K1R1 b - -,e6e5
r4rk1/pp1qbpp1/2p4p/3pRb2/3P1B1P/1QP3P1/PP3PB1/R5K1 w - -,a1e1
r4rk1/5p1p/1q1n1pp1/3Pp3/1np1P1Q1/2N3NP/1PP2RP1/5R1K w - -,f2f6
8/6k1/6p1/5PKp/3N3P/6P1/8/3b4 b - -,g6f5
2r2nk1/4q2p/1Q2p1p1/3pP1P1/p2P2P1/5R2/4NRK1/2r5 b - -,c1c2
rn1q1rk1/ppp1ppbp/1n4p1/4P3/6b1/1B3N2/PPP1QPPP/RNB2RK1 w - -,e5e6
8/8/8/K4p1p/5k2/2n4P/1pB3P1/8 w - -,a5b4
8/8/8/p7/Pp6/1Pk5/7r/1KN5 w - -,b1a1
4r1k1/p3npbp/4p1p1/1p2P3/1B2N3/3P2PP/PP3K2/R7 w - -,e4d6
r1bqr1k1/1pp1bppp/2n2n2/P2p4/4p3/PN1P2P1/2P1PPBP/RNBQ1RK1 b - -,c6a5
5r1k/2p1r1p1/1p1p3p/3P1q2/1PQPp3/4R1P1/4RP1P/6K1 b - -,h8g8
2n5/r1N2k1p/4p3/p1p1Pp2/P1B2Pp1/2P3P1/5K1P/8 w - -,c4e6
2r2rk1/1pq1bppp/p1npbn2/4p3/2P1P3/P1N2N1P/BP2QPP1/R1B2RK1 b - -,c6a5
8/4R3/8/2r5/3p2P1/3kP3/4b1BK/8 b - -,d4e3
rnbqkb1r/pp3ppp/5n2/1B1p4/3N4/8/PPPN1PPP/R1BQK2R b KQkq -,c8d7
2r3r1/1p2k2p/p1bp3p/8/2P1P3/1PQ5/P5BP/7K w - -,c3h3
2bR2k1/5pp1/5n1p/4p3/P7/1qB3PP/4PPB1/6K1 b - -,g8h7
3r1r2/p4pkp/4p3/5pP1/2p2Q1P/P2b1B2/1q3P2/2R1R2K w - -,f4g3
1rr3k1/pp2ppbp/3pbnp1/q7/3BP1P1/P1N2P2/1PPQ3P/1K1R1B1R w - -,h2h4:c3d5
r2q1rk1/1bpnn1b1/pp1p2pp/5p2/3P1P1B/N1PB1N2/PP2Q1PP/3R1RK1 b - -,d7f6
r3k1r1/1p1n2q1/2p1pp2/p1PpPp2/P4P1B/2Q4P/1PP3PK/R5R1 b - -,f6e5
r2q1rk1/1ppbppbp/p1np1np1/8/2PPP3/2N1BP2/PP1Q2PP/R1N1KB1R b KQ -,f6h5
r4rk1/pp2ppbp/2n1b1p1/8/2B1P3/2N1BN2/PP3PPP/R2R2K1 b - -,e6c4
2rq1rk1/pb2b1pp/n7/2pp1p2/8/1PB1PNPP/P4PB1/1QR2RK1 w - -,f1d1
r2qk2r/pp1b1p1p/4p1p1/3pP2n/1b6/2NBPN2/PP2QPPP/R3K2R w KQkq -,e1g1
3n4/1p3k1p/2p2pp1/p3p3/PbP2P2/4P2P/2B1KBP1/8 b - -,f7e6
r1bq1rk1/1pp2ppp/p1n2n2/2bpp3/B3P3/2PP1N2/PP3PPP/RNBQ1RK1 w - d6,b1d2
7r/6bk/p3p3/3pP1Q1/1p1Pb3/3q2P1/PP2NR1K/6B1 w - -,e2f4
r1b1k2r/1pqnbppp/p2pp3/6P1/2nNPP1P/2N5/PPP3B1/R1BQK2R b KQkq -,b7b5
r1bqkb1r/1p3ppp/p1n1p3/2p2n2/P3NP2/3P1N2/BPP3PP/R1BQK2R b KQkq -,b7b6
1k5r/pp3p2/4p3/2qnPPp1/3N3r/P5KP/1PQ4R/3R4 b - -,c5b6
8/2rk1p2/3pp3/Rpr4p/7P/2P3P1/1P2RP2/4K3 b - -,e6e5
rn5r/pp3k1p/1qp1p1p1/4bn2/3P2P1/8/PPP1N2P/R1BQ1RK1 w - -,c2c4
8/5k2/p7/2b5/5P1P/4pbN1/4N3/3K4 b - -,a6a5
4r1k1/1ppb2pp/p1pbnp2/6q1/2PP4/1P1N2N1/PB1Q1PPP/R5K1 w - -,d2d1
8/8/5k2/7R/1p1P1P2/2r4p/2K5/8 w - -,c2b2
1r2r1k1/ppp2pbp/6p1/2B5/3n4/1P3BP1/P1P1PPK1/3R1R2 b - -,d4f3
3qr1k1/5p2/2p3p1/2Pp3p/3Q1R2/7P/5PPK/8 w - -,f4f6
8/3R1p1p/4pk2/5p2/2NP1n2/5P2/7r/3K4 b - -,f4d5
q5k1/2p2pp1/2rb3p/3Rp3/1p2P3/1P1Q2P1/PB3PKP/8 w - -,b2e5
2r3k1/2q2p2/1p1p4/pPpPnPp1/2P2rPp/PQR4P/8/3R1BK1 w - -,c3e3
1r2rnk1/2p2ppp/p1p5/3p1b2/3P4/PN2B3/1PP2PPP/2KRR3 w - -,b3c5
