8/p1R4p/6k1/8/1Pp5/2r2P2/P4P2/6K1 w - -,c7a7
8/1p4kp/1qr1p1p1/p3P1N1/3p1P1P/P2Qb3/1P4PK/5R2 b - -,b6b2
2r1rbn1/qpnb2kp/p2p1pp1/2pP4/P1B1PP2/2NQ2NP/1P1B2P1/R4RK1 b - -,d7a4
r3r1k1/3b2p1/4p3/3pPpP1/2pP1P2/1pP5/1n1KN1P1/R3R3 b - -,g7g6
3q2k1/r4r2/p2p1np1/1ppb2Q1/P7/NP6/2B3PP/R4RK1 w - -,c2g6
2krb2r/p2qnR1p/6p1/n3p1N1/Ppp1P1Q1/1B2B3/1PP3PP/R5K1 w - -,g4e2
r1bq1rk1/pp1pp1bp/n1p2np1/8/4P3/5NP1/PPPN1PBP/R1BQ1RK1 w - -,d1e2
r5k1/3n1p2/3B1npp/p1p1p3/2P5/P2B1P2/1P4PP/3R2K1 w - -,d3c2
5nr1/p4k2/1pp1p1p1/6R1/2PP1N1r/4KP2/PP4R1/8 b - -,h4h1
8/4r1kp/pNp1qpp1/2P5/P2Q1P2/6P1/5PKP/8 w - -,d4d6
2rq1rk1/1p2bppb/4p2p/pNnpP3/Pn1N4/3P2P1/1P2QPBP/R1BR2K1 w - -,f2f4
5B2/8/5pk1/3b1npp/1R6/1p3P2/1P3KPP/8 w - -,f2e2
3k1r2/3b2pp/1p6/p2pR3/P1q2P1P/2P1Q3/1r1B2P1/R5K1 w - -,a1e1
bQ4k1/5qp1/2p1p2b/2Pp4/3P2nP/1P2PN2/1B3P1P/6K1 b - -,f7f8
r5k1/5p1p/2n1q1pb/1pP1p3/1P1pP3/r2P2PN/1RQ1N1KP/1R6 w - -,e2c1
8/2k4K/6P1/7P/8/2n5/4p1r1/8 w - -,h5h6
8/p6k/1p4pb/2pPpr2/8/3Pq3/P5Q1/1R4KR w - -,g1h2
8/1k6/5p2/2p1pK2/4P3/1P3PP1/8/8 b - -,b7b6
8/3R3p/6pk/5p2/2P2P2/8/r6P/5K2 w - -,f1g1
3r4/5bR1/p2pk3/B3p2p/P1p4P/2P1K3/2P5/8 b - -,d8b8
r1br2k1/1p2bppp/p1qpp3/4P3/P2P4/BQP5/3N1PPP/R4RK1 b - -,b7b5
4rn2/1p2pk1p/5pp1/2pP4/7R/1P2RP2/4BKPP/1r6 w - -,e2c4
2r2rk1/5ppp/p1n5/1p1pPp2/4q3/1PP2N2/P2Q2PP/3RR2K b - -,e4g4
r4k2/nq3pp1/bpp4p/p3p3/PP2PbP1/1NP1N2Q/1r3PBP/RR4K1 b - -,b2b1
r4rk1/pppn1pbp/2np2p1/8/4PP1q/2P1B2P/PPBNQ1P1/R4RK1 b - -,a8e8
rnbq1rk1/pp2pp1p/6p1/2Ppb3/2P1n3/2N1PN2/PP3PPP/R2QKB1R w KQ -,f3e5
r4rk1/4p1bp/3pp1p1/1p2n3/4P3/1P3P2/P2BN1PP/2R2RK1 w - -,c1c2
r4r2/2qnp1kp/1p1p1ppn/p1pP4/P1P1PP2/2P4P/2Q1B1PB/R4R1K b - -,f8h8
2n5/3r1k1p/1p3Pp1/p1pPp1Pb/P1P1P3/4K1R1/4N3/7R b - -,c8d6
8/p2kr2p/1p3rp1/2pB4/2PnRp1P/6P1/PP3RK1/8 w - -,f2f4
1r3rk1/3qn1bp/1pnpb1p1/p1pNpp2/2P5/P1NPP1P1/1P1BQPBP/1R3RK1 w - -,b2b4
6k1/p4p1p/1qb1p1p1/4P3/P2r1P2/1BN3P1/KPP1Q2P/8 w - -,h2h4
3r2k1/1b1rbppp/ppn1p3/q3P3/P3B3/2P2N2/3BQPPP/R3R1K1 w - -,d2e3
1r3rk1/4p3/3q1p1p/p2P1Rp1/3QP3/6P1/1n2BPP1/2R3K1 w - a6,e4e5
2krr3/1pp2bpp/p7/2q1PpP1/nn1p1P1P/N6R/PPP2QB1/K1BR4 b - -,b4a2
r4rk1/pp1q3p/2ppb1pb/4pn2/1PPnN3/3P1PP1/P2QNBBP/1R3RK1 w - -,f3f4
r1bq1r1k/pp4pp/2p2n2/5pB1/2BP4/P1Q4P/1PP5/2KR3R w - -,h1g1
8/6k1/7p/4R3/5KP1/r4P2/8/8 w - -,f4e4
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/P4N2/1P2PPPP/RNBQKB1R w KQkq -,e2e3
r3k2r/3nbp1p/1q2p1p1/3pP1N1/pp1P1N1P/3bP2R/PP2Q1P1/2R3K1 w kq -,e2d3
5rnk/p7/2P4p/4PB2/5n2/7P/P2r1PP1/2R1R1K1 b - -,f4e2
3r4/3rkppp/p7/2pP4/2n5/P1B2P2/4K1PP/R2R4 w - -,c3g7
r7/2q3kp/p3Q3/2p1b2P/1p2b3/1P2B3/1PP5/2K2R2 w - -,e6g4
2rqkb1r/3n1ppp/pn1pb3/1p2p1P1/4P3/PNN1B2P/1PPQ1P2/R3KB1R w KQk -,c3d5
3rr1k1/pR2ppb1/7p/2q3p1/8/1QP1PBP1/PP3PP1/4K2R b K -,c5d6
1rnq1rk1/p5bp/b1ppppp1/2p5/N1P1PP2/1PBP1N2/P5PP/R3QRK1 b - -,c8b6
2rr2k1/5pp1/3p4/pN1Pp3/P7/1Q4P1/1B4BK/1q6 b - -,c8c2
8/1k6/3R1p2/p4P2/3bP3/1P5r/4K3/8 w - -,d6d4
1N2n3/8/2p2p2/p3p1pp/2k1P3/P1N2PP1/2PK1n1P/8 b - -,c4c5
8/3r1kp1/8/ppp1B3/n1p2PPp/P1PbR2P/3R1K2/8 w - -,e3e1
r1bqk2r/pp2bppp/2nppn2/2p5/3PP3/2P2N1P/PPB2PP1/RNBQK2R b KQkq d3,c5d4
r1b2rk1/ppq1nppp/3bpn2/3p4/3P4/1PPB1N2/PB1NQPPP/R3R1K1 b - -,e7g6
r1bqkb1r/pp3ppp/2np1n2/2p1p3/4P3/1P3N1P/PBPP1PP1/RN1QKB1R w KQkq -,b1c3
r4rk1/pp3ppp/2p3n1/1N6/8/2R5/PPP2PPP/R5K1 w - -,b5d6
rn3rk1/p3ppbp/6p1/3Rp3/5Pn1/B4N2/PPP3PP/2K2B1R b - -,e5f4
2r3r1/3bkp1p/p2ppp1b/1p6/1Pq1P3/P1PQ1B2/4NPPP/R4RK1 w - -,d3d1
r2qkb1r/ppp1p2p/1nnpp1p1/6N1/2PP4/8/PP2NPPP/R1BQK2R b KQkq -,d8d7
r2qr1k1/1b1n1pbp/p2p1np1/1pp5/P2PP3/5N2/1PBN1PPP/R1BQR1K1 w - -,h2h3
r1bq1b1r/pppk3p/4p3/3pn1pQ/8/3B1N2/PPP2PPP/R1B1K2R b KQ -,e5f3
2k3rr/pb1n1p2/2p1p3/1p1qP2p/1b1PN1pN/4QPB1/1P4PP/3R1RK1 w - -,f3f4
r2q1rk1/5pBp/bnpp1np1/pp2p3/3PP3/1PNB1P2/P1PQ1NPP/R4RK1 b - -,g8g7
r4rk1/ppqn1pb1/2p1b2p/P3p1p1/1P2Pn2/2P2NB1/2QN1PPP/R2R1BK1 w - -,f1c4
2r3k1/5bpp/pnn1p3/1p1p2N1/1P3rP1/P1NB3P/1KP5/3R3R w - -,d3h7
r3k2r/p2n2pp/np3p2/3Np3/5B2/6P1/PPP2PKP/R3R3 b kq -,a8c8
2r4r/pp2k2p/5p2/n3pb2/8/P2B4/PKPN2PP/3R3R b - -,f5d3
5R2/3p4/p3r1k1/1p2b1p1/3p3p/P2P3P/1PP3P1/3K2B1 b - -,e6f6
2rq1b1r/pp1n1k2/2p1pp2/3p1b1p/2PP1B1P/2N5/PP1QBPP1/2R2RK1 b - -,d5c4
5b2/3n3p/5kp1/1P6/4BP2/5KP1/7P/8 w - -,h2h4
4k2r/3r4/4pPb1/p6p/6p1/QP2N3/P4PPP/6K1 w k -,a3a5
8/6k1/r7/6P1/1R4KP/8/8/8 b - -,a6c6
4r1k1/p1p3pp/2P1r3/8/2Nb1P1q/3P1Q1P/PP4PK/R4R2 w - -,f3d5
7k/6p1/3n3p/2pP1p2/5q2/4p2P/B3Q1P1/7K w - -,e2a6
2r3k1/7p/p3p1p1/8/3bP3/Pp4PP/1P1r1PK1/1R1N1R2 w - -,d1c3
4kbnr/pp3pp1/4p3/1qr5/3pPN2/1Q1P4/PP3PPP/R1B1K2R w KQk -,b3b5
r1bqk2r/pp2bppp/2n1pn2/3p4/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
2r3k1/pbr1qpb1/1p2p1p1/4N3/2PP4/3BQ3/P4PP1/2RR2K1 b - -,b7a6
r1bqk2r/1p2ppbp/p4np1/2pP4/5P2/2N2N2/PPPP2PP/R1BQ1RK1 w kq -,d2d4:d2d3
rn1qk2r/ppp1bppp/3ppn2/7b/3PP3/3B1N1P/PPPN1PP1/R1BQK2R w KQkq -,e1g1
r3k2r/1pp1qpb1/p1n1pn1p/3p2p1/3P4/2NQPP2/PPP1NBPP/2KR3R w kq -,e3e4
b1r1k2r/5qpp/p3p3/3p3P/p1nNP3/2P2P2/P1P1Q3/K1BR2R1 w k -,e2g2
3r4/1r3pk1/p4Rp1/1p1N2Pp/8/1P5P/Pn3PK1/2R5 w - -,c1c7
r1b3k1/pp3qpp/2n4B/2NpPr2/6Q1/P1P5/2P2PPP/R3R1K1 b - -,c6e5
r2r2k1/2q1bpp1/pp2p1bp/4P3/1P1B4/1QP4P/3N1PP1/R3R1K1 b - -,d8d5
2br1r2/p4pbk/5pp1/1p1B1P1p/PPP2R2/3P2N1/6PP/R6K b - -,g6g5
2b5/4k1pp/1p2p3/p1npNp2/5P2/P2PPN1P/1P3KP1/8 w - -,f2e1
r2qr3/1b2b1k1/p3p1p1/1p1pP1p1/3P4/4B2P/PP2Q1PN/2RR2K1 w - -,d1f1
