8/1B6/4pk2/5p2/1bP5/1P6/2K5/8 b - -,f6g5
r3kbnr/pb1q1ppp/1pn1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQ1RK1 w kq -,a2a3
8/4p3/2k1P3/3p4/8/4Q3/P1q3r1/2R4K b - -,g2h2
8/p7/1p5k/1Pp4P/P5K1/2b5/5p2/5B2 b - -,h6g7
r3kb1r/pp1b1pp1/1qn1pn1p/3p4/3P3B/2N1PN2/PP1Q1PPP/R3KB1R w KQkq -,h4f6
8/8/2P2kp1/4p2p/4Bp1P/2r5/6K1/8 w - -,c6c7
8/ppQ2nk1/2p3pp/8/4P3/3B3P/P1P3P1/q5K1 w - -,g1f2
8/R7/1p6/1r2pp2/4k3/6P1/8/4BK2 w - -,f1e2
r1qr2k1/1bp2pp1/1p2pb1p/pN6/P3B3/1P1P2P1/2P1QP1P/4RRK1 w - -,e4b7
7k/6p1/pq5p/3pPB2/2bP1P2/ppQ4P/1P6/7K b - -,a3a2
3bq1rk/3b3r/1p3pP1/2p2P2/3pPN2/1R6/6B1/2B1Q1K1 b - -,d7f5
r4rk1/1p3ppp/pq1p2n1/3P4/3N4/7Q/PPP2RPP/5RK1 w - -,d4f5
6r1/6k1/2nqb1P1/1p1pp2N/p2p4/P2P4/BPP2Kp1/4R1R1 b - -,g7h6
5k2/1p6/1r6/p2N2pp/P1P5/6KP/8/8 w - -,d5b6
8/3n4/pPr1p3/4p3/4P1k1/1P1NR3/3K4/8 b - -,c6b6
2r2rk1/1pqbbpp1/p2ppnnp/8/P3PP2/1NN1B2P/1PP1Q1P1/3RRBK1 w - -,a4a5
rn1qk1br/pp4p1/5P2/1Pp2pp1/2P5/1QNpP1b1/PB1P2PP/R3KB1R w KQkq -,e1d1
8/p7/r3p1k1/3n1p1p/8/5P2/P1R1K1PP/2B5 b - -,d5b4
r2qk2r/ppbb1ppp/2n1p2n/1N1pP3/1P1p1P2/P2B1N2/1BP3PP/R2QK2R b KQkq -,e8g8
3rnrk1/p1qnbppp/1pb1p3/2p1P3/2P1N2P/1P3NP1/PB2QPB1/3R1RK1 b - h3,c7b7
r1b1k2r/5ppp/1nN1p3/1p6/2pP4/2n1PP2/1R1K2PP/5B1R b kq -,a8a3
5k2/1pr1q2p/pN1p4/P2Pb1p1/4Pn2/4BP2/KP1Q1P2/6R1 w - -,e3d4
r4rk1/pp1b3p/1qn1pnp1/3p4/3P1b2/2BB1NN1/PP3PPP/R2QR1K1 b - -,e6e5
r1bqk2r/pp3ppp/2n1pn2/2P3B1/1bp5/1QN2N2/PP2PPPP/R3KB1R w KQkq -,b3c4
8/1R3pk1/6p1/8/2R2P2/1K6/1P2q3/8 w - -,b7c7
4b3/5p1k/6p1/7p/1P3P2/1n4PP/1Bp3B1/6K1 w - -,g2d5
2r1r1k1/1p3ppp/p2p4/N1qP4/P1p2PP1/5B2/1PQB2KP/8 w - -,a5b7
8/3r1kpp/1p1P1p2/p3p3/P7/1nN1P3/6PP/3R1K2 w - -,c3b5
8/8/8/3K4/7p/8/5k2/8 b - -,f2g2
8/6R1/5pp1/3Pn2p/3k3P/6PK/3r2B1/8 w - -,g7g8
r1b2r2/1p1n1kp1/1bpq1P2/3ppP2/1P6/2NP2N1/2P2PB1/1RBQ1RK1 b - -,d7f6
r3kb1r/1pq2pp1/2p1p2p/p3P3/1nP4P/PQ4N1/1P1B1PP1/2KR3R b kq -,b4a6
r1bqk1nr/1p2ppbp/p1np2p1/8/2P1P3/1P3N2/PB1Q1PPP/RN2KB1R b KQkq -,g8f6
2r5/1b2kp1r/p3p1p1/1pnpP1Pp/1P1P3P/2PB4/P1K2R2/5R2 w - -,b4c5
r1q1r1k1/pbpn1pbp/1p1p1np1/8/2PN4/2N1P2P/PPQ1BPPB/R2R2K1 b - -,d7c5
r1q2rk1/1p2bppp/p1n1pn2/3pN3/P2P1B2/2PB4/1PQ2PPP/R4RK1 b - -,c8e8
4r3/p4k2/1pp5/2p2p1p/2Pb1B2/1P1P1KP1/P6P/3R4 w - h6,d1f1
rnb1qrk1/ppp2pbp/3p2p1/3Pp2n/2P1P3/2N4P/PP3PPN/R1BQKB1R w KQ -,f1e2
8/p4r1k/3R1Bpp/5n2/7P/P6K/5R2/8 w - -,d6a6
2n3k1/r3q1p1/3npp1p/p1Np1b2/Pp1P3N/1P2P2P/3QBPP1/2R3K1 b - -,f5h7
2r3k1/1p3pnp/2B3p1/2Pp3q/3N4/6Pb/PP1Q1B1P/4R1K1 b - -,b7c6
3r3k/4N1bp/pq1P2p1/1pp5/5P2/1N1Qn2P/PP6/3R2K1 b - -,e3d1
6r1/6p1/2N1k3/p5Pp/P6P/8/1P2K3/R7 b - -,g8c8
r2qrbk1/1b1n1ppp/p2p1n2/1ppPp3/P3P3/1PP2N1P/2B2PP1/R1BQRNK1 w - -,g2g4
r6r/3bkpp1/2p4p/pp2p3/P3P3/1B6/1PP2PPP/R4RK1 w - -,f1d1
3r4/2R2rkp/6p1/pP1P1p2/n4P2/8/6BP/4R1K1 w - -,e1e7
8/8/4pk2/3n1p2/2NP2pP/3KP3/5P1P/8 w - -,c4e5
r1bqkbnr/pp1p1ppp/2n1p3/8/2BQP3/8/PPP2PPP/RNB1K1NR w KQkq -,d4e3
3q4/1P4k1/R5p1/3B1p1p/4p2P/p3P1P1/5PK1/8 w - -,a6a8
1rb1qrk1/p1p3bp/2P2np1/p2Pp3/Q3Pp2/P1N2N1P/3B1PP1/2R1K2R b K -,e8e7
7R/1r6/3K4/4P3/bk6/8/p7/8 w - -,h8h1
rnbqnrk1/pp4bp/3p2p1/2pPp3/2P1Pp2/2N2P2/PP2B1PP/R1BQNRK1 w - -,e1d3
r2q1rk1/pp2bpp1/2npbn1p/4p3/4P3/2N1BN2/PPPQBPPP/3R1RK1 b - -,a7a6
8/4Pk1p/7P/4KN2/8/8/8/6r1 b - -,g1e1
r1bqk2r/ppp1nppp/1bn5/8/2BpP3/1N3N2/PP3PPP/R1BQ1RK1 w kq -,c1g5
1k6/pbpp4/1n6/2p1P3/2P2Pr1/1P1BN2p/PK3R1P/8 b - -,g4g2
2r2rk1/1b3ppp/p7/Pp2P3/8/1P1Bb3/1B4PP/R2R1K2 w - -,d3f5
r1bqkb1r/pppp1p1p/2n2np1/4p3/2P5/P1N1P3/1P1P1PPP/R1BQKBNR w KQkq -,b2b4
r3kb1r/pp1n1pp1/1q2p2p/3p1b2/3P1B2/5N1P/PPPQBPP1/2KRR3 w kq -,e2d3
1brq1rk1/pp3ppp/2n1pn2/8/3PP1b1/P1N3P1/1P2N1BP/R1BQ1RK1 w - -,c1g5
r5k1/1p4pp/2p2rn1/p2p4/1B6/P2P2PP/1qP1QbBK/R4R2 w - a6,a1b1
r4rk1/pp2ppbp/2n3p1/8/2b1P3/2N1BN2/PP3PPP/R2R2K1 w - -,d1d7
2r1r1k1/1p1nqppp/p1bppb2/P7/N3P3/1P2B1P1/R1P1QPBP/3R2K1 b - -,d6d5
3r4/pp2kp1p/1rn3p1/2p5/2P2P2/2K5/5P1P/R2B2R1 w - -,f4f5
1q4kr/r3bpn1/1p2p2p/1Pp1P1pP/p1PpRPP1/3P3R/1PN1Q3/2B3K1 b - f3,b8d8
r6r/2kb4/1nn1pPqp/3p4/p1pP4/2P5/P2BB2N/1R1Q1R1K b - -,h8g8
1r4k1/p3qppp/4p3/P1n1P3/2Q5/6P1/1r3P1P/RNR3K1 b - -,c5b3
rnbq1rk1/pp3ppp/2p1pn2/3p4/1bPP4/2N1PN2/PPQ2PPP/R1B1KB1R w KQ -,f1d3:c4d5
1r4k1/p4pp1/2r1pn1p/3q4/3P4/R7/1P2BPPP/3QR1K1 b - -,c6d6
8/4Bp1p/1pp3k1/8/4P3/P2K1P2/1P4P1/6b1 w - -,a3a4
4kn1r/rp1q1pp1/3B2p1/pB1p4/P2P4/2P2P2/6PP/R4RK1 w k -,a1b1
8/8/8/3p4/8/R1k5/3p3r/3K4 b - -,c3b4
r3r1k1/1pqbppbp/p5p1/3pP1N1/1BnP2P1/2P4P/P4P2/R2QRBK1 w - -,d1f3
r5k1/5pp1/p3pn1p/n2p4/1qrP2P1/3Q1N1P/PPR2PB1/R5K1 b - -,a8c8
8/8/7K/p7/1k4P1/7P/8/8 b - -,a5a4
3br1k1/r7/p1n1qppB/1p2p3/3pP3/P2P1PP1/1P1QN1K1/R6R w - -,h1h2
2r3k1/4Rp2/1p2bP1p/6P1/4B2P/p1P5/3K4/8 b - -,a3a2
8/6pp/1p1k4/p1bPp3/2B3PP/P1B2K2/1Pb5/8 w - a6,b2b4
r1r3k1/p5pp/1np1np2/4p3/Pq2P3/bP2BN1P/2R1QPP1/1N1R2K1 b - -,b4b3
8/8/7k/6RP/2K3P1/8/8/6r1 w - -,g5g6
8/6k1/7p/P2Q4/4K3/5P2/7q/8 b - -,h2e2
2kr1b1r/pp1npbpp/2p1q3/4PpB1/NPP2PP1/8/P3Q1BP/3R1RK1 w - -,d1c1
3rr2k/6pp/1b2q3/1p1pPp2/pPnB1P2/P1P2Q2/R5BP/4R1K1 w - -,e1d1
