8/5p1k/6p1/3bP3/7P/2q3P1/4QP2/5BK1 b - -,d5b7
r1bqkb1r/pppp2pp/2n2n2/1B2pp2/4P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,f5e4
8/1p2k3/2p2p2/2p2b1P/2Pr3P/rPR1KB2/6R1/8 b - -,d4h4
8/p3kp2/1b2p1q1/4Q3/5P1p/P1p4P/2P4K/3R4 w - -,e5g5
r6r/2q1bkp1/pp2p3/3b1p1p/P4Pn1/1N1B3Q/1PPBR1PP/4R1K1 w - -,b3d4
2rq1rk1/1p3ppp/p3pn2/3nN3/P1BPb3/1P5R/3BQPPP/3R2K1 b - -,e4f5
8/5p1p/3kp3/1p4p1/3K4/pB3P2/P3R1PP/1r6 b - -,h7h6
8/4R3/p1r5/1p2p1kp/1P2Pp2/5P2/P2K2P1/8 b - -,c6g6
1rb2rk1/4ppbp/1qnp1np1/1p6/4P3/1PN3P1/1BPQNPBP/R4RK1 b - -,c8b7
r2qkb1r/pb1n1ppp/2p1pn2/1p6/8/1Q1P1NP1/PP2PPBP/RNB2RK1 b kq -,a7a6
rnbq1rk1/2p1bppp/p3p3/1p1pP3/3P4/P1NB1N2/1PP2PPP/R2QK2R w KQ -,c3e2
r2q1rk1/1b2bppp/ppn1pn2/2p5/P2P4/N1P2N1P/1P2BPP1/R1BQ1RK1 w - -,f1e1
rn3rk1/p2p1pbp/q1b3p1/2p5/2N5/6P1/PP2PPBP/R1BQ1RK1 w - -,g2d5
8/1pp3p1/8/p3k1P1/5N2/1PP1K3/P7/1b6 w - -,a2a3
8/p5pk/1p3np1/4K3/P1Q2BP1/2PP4/6q1/8 b - -,g2g4
r4rk1/1bq2pp1/3bpn1p/p1p1Nn2/2P5/P1BB1N2/1P2QPPP/3RR1K1 b - -,f8d8
r1b1k2r/pp1nqppp/2p5/3p4/3Pn3/2NBPN2/PPQ2PPP/R3K2R b KQkq -,d7f6
r1b2rk1/ppqpbppp/2n2n2/1N2p3/2P2B2/2N3P1/PP2PPBP/R2Q1RK1 b - -,c7b8
r1b2rk1/1pp2ppp/p3pn2/q3N3/1bPP4/3B4/PP1BQPPP/2KR3R b - -,b4d2
r2q1rnk/ppp3p1/3p3p/3Ppb2/1P6/2PQ1N1P/P1B2PP1/2R1R1K1 w - -,d3e2
5r2/pR4p1/2p4k/2P2p2/P2PpK2/8/8/4R3 w - -,e1h1
r2qk2r/p3bppp/bn1p1n2/2pP4/PpN5/1P4P1/1BQ1PPBP/R3K1NR b KQkq -,e8g8
r5k1/1p4b1/p1b1prpp/4ppN1/1PP1P3/2NR3P/P4PP1/3R2K1 w - -,d3d8
5k2/8/7p/p3PK2/8/1B5P/P6b/8 w - -,f5f6
4b3/6B1/3K4/2P5/3P1k2/8/8/8 b - -,f4e4
r1b4r/1p2bk2/p2qpp1p/2p1p1p1/4P2P/2NP1Q2/PPP2PP1/R1B2RK1 b - -,f7g7
8/5R2/8/r5pp/1k6/3K4/6PP/8 b - -,a5a2
2r5/pp1k1p1p/4b1p1/8/1PpP4/4N1P1/P4P1P/R4K2 b - -,d7c6
1r1q1k1r/5p2/pn1p2P1/2pP2p1/2P1p2p/2PBB1PP/2K1QP2/R6R b - -,e4d3
1r1q1rk1/pP3pp1/Bn1b1nbp/4p1B1/7N/2N5/PPP2PPP/R2QR1K1 w - -,h4g6
r3k3/1N1n3p/3P2p1/5p2/p3P3/R6P/6P1/6K1 b - -,f5e4
r2r4/1p3pk1/1n2qnp1/p1b1p3/P3P1NB/3B3P/1P2QPP1/R2R2K1 b - -,f6g4
r1b1r1k1/1pq2ppp/p1pb4/3n4/3P4/3BBN1P/PP3PP1/2RQR1K1 w - -,f3g5
r4rk1/2q1bppp/2p3n1/2PpPQ2/1P1B1p2/5N1P/2P1RPP1/4R1K1 w - -,f5g4
r5k1/1p5p/2npq1p1/8/1p3P2/2b1B2P/P3QKP1/2NR4 b - -,d6d5
r4rk1/p2bq2p/3p1nnb/2pP1p2/2P1pN2/P1N1P1P1/1B1QB2P/1R3RK1 w - -,b2a1
rnbr2k1/1p2bppp/p1qppn2/8/N3PB2/1N3P2/PPPQ2PP/2KR1B1R w - -,d2a5
2r1r3/p2nnkp1/bp5p/4pp1P/2PP2PB/PN1B1P2/4K3/2R4R w - -,e2d2
6k1/1p3p2/5n1p/4q1p1/2PN2P1/2Qb3P/5PB1/6K1 b - -,d3e4
r2qr1k1/2nn1p1p/bp1p2p1/p1pP4/P3PP2/2N1RNP1/1PQ3BP/4R1K1 w - -,e4e5
r1bqk2r/1ppnnpb1/p2pp1pp/8/3PP3/N1PBB3/PP1QNPPP/R3K2R w KQkq -,e1g1
r1b1k2r/1p1n1ppp/p3p3/4q1Q1/1b6/2NB4/PPP1NPPP/R3K2R w KQkq -,g5e5
8/8/r7/P3p1p1/R3Pk2/5P2/6K1/8 b - -,g5g4
2r2r1k/p5q1/QPn1b1pp/5n2/4N3/P3P1P1/3P1PBP/1RR3K1 b - -,a7b6
r3r1k1/ppp2ppp/5n2/q4PP1/b1P5/4P3/P3B2P/R1BQ1RK1 w - -,d1d4
4rk1r/5p2/1B4p1/1N2p3/Pb3n2/3B1Rp1/2P3P1/R5K1 w - -,c2c3
1B6/7p/p1p5/P1P3P1/3pk3/1b6/3K3P/8 b - -,b3f7
rr4k1/2q1ppbp/bn1p1np1/2pP4/8/1PN2NP1/P1QBPPBP/1R3RK1 w - -,f3h4
rn3rk1/p3ppbp/qp4p1/8/3PP3/5N2/3B1PPP/2RQ1RK1 w - -,d2g5
1rbq1rk1/pp2ppbp/3p1np1/2p5/2P5/1PN1PQPP/P2P1PB1/R1B2RK1 w - -,c1b2
3r4/1pk3p1/pNb4p/P3pp2/1P5P/2P2P2/4K1P1/2R5 b - -,c7b8
1r2rnk1/4q2p/b2p1pp1/p1nPp3/1p2P1P1/1PP1RNNP/2BQ1P1K/R7 b - -,e7c7
r1bqkb1r/pp3ppp/2nppn2/8/3NP3/2N4P/PPP2PP1/R1BQKB1R w KQkq -,c1e3:g2g4
r3kb1r/ppqn1ppp/2bpp3/3nP3/1P1P4/P4N2/4BPPP/RNBQR1K1 b kq b3,a7a6
8/pp3B2/3p2n1/P5kp/1P2P3/6KP/8/8 b - -,h5h4
N4rk1/pp2q2p/2n1bn1Q/2p2p2/2Pp1p2/3B1P2/PKP3PP/4R2R b - -,c6a5
r1bq1rk1/p1p2pbp/1pnpp1pn/4P3/2PP4/2N2NPP/PP3PB1/R1BQ1RK1 w - -,c1g5
2r3k1/5p2/1r2q1p1/2b1P2p/Q1p5/2Bp3P/P2R1PP1/4R1K1 b - -,e6c6
1r3rk1/1pp2qb1/p1n2n2/P3p1p1/2N1Pp2/1QP2P2/1P1N1BP1/R3K2R b KQ -,g5g4
rn1q1rk1/p3ppbp/b1p2np1/1p2p3/3P4/PBN2N1P/1PP2PP1/R1BQK2R w KQ -,f3e5
3q1rk1/3rnpb1/1p2p1pp/p1p5/P1P1P2P/1QPnRNP1/5P2/R1B2BK1 b - -,d3c1
r2q1rk1/1p3ppp/p1nbpn2/3p4/3P1B2/2NBPQ1P/PP3PP1/R4RK1 w - -,a1c1
2b1rr2/2q1npk1/p3p1pp/PpNpP3/1PnP4/2QB3P/2R2PP1/2N2RK1 w - -,c3e1
r3k3/1R3p2/4p2p/p5p1/8/5PPP/PP6/1K1R4 b - -,a8a6
r3r1k1/PR3p2/2p1qnp1/2B5/3P2Pp/3QP2P/5PB1/6K1 w - -,d3b1
8/3r1k1p/p4pp1/3b4/P2B4/1P1RKP2/6PP/8 w - -,d4c5
2r1k2r/5ppb/1np1p2p/pp1q3P/3P1B2/P1P3N1/2P2PP1/R2QR1K1 b k -,a5a4
6R1/k1p5/8/3P2pp/5bp1/8/1K3P2/8 w - -,b2c2
8/2pq1k2/5pp1/1pBP1n2/1P2QP1p/5P1P/6K1/8 b - -,f5g3
6r1/P7/KP1Bp3/3k1p2/2Nb4/7p/7P/8 b - -,d5c4
8/7p/1p1p3k/8/1PPR1P2/4p1r1/6B1/5RK1 w - -,d4d6
5b1k/1p3p2/p4N2/3PQPP1/3p3P/3P4/1P3RK1/2r1q3 w - -,f6h5
r6k/p1q3pp/b1p2rn1/2P1bP2/3N4/1Q4P1/PB2P1BP/3R1RK1 b - -,g6f8
r1b2rk1/ppp3b1/2n1p2p/6p1/2NP2n1/2P3P1/PPQ1N2P/R3BBK1 b - -,c6a5
2kr4/5ppp/p3p3/1pp1P1P1/1nP2P2/1B5P/P4R2/6K1 w - -,g1g2
5rk1/2Q3bp/pp1P2p1/4p3/N3n2q/4B3/PP3P1P/2R3K1 b - -,g7h6
1rbr2k1/p1q1bppp/2p2n2/2Ppp3/3P4/2NBP2P/P4PP1/R1BQR1K1 b - -,e5e4
r1bq1rk1/p5pp/1p1p2n1/3Ppp2/2P5/PPQ2N2/R4PPP/2B2RK1 b - -,f5f4
rnb1k2r/pp2q1pp/5p2/QR1Bp3/2P5/3P2P1/3NPP1P/5RK1 b kq -,b8c6
2k2b1r/pp2ppp1/2p2np1/8/3r2P1/2N3qP/PPPBQ3/R2K1B1R w - -,e2g2
3r4/5kpb/2prpn1p/1p6/1p2P3/1P2RNPP/1P4B1/R5K1 w - -,e3e1
4n1k1/2p3p1/4p2p/3r4/4N2P/1R4P1/5P2/6K1 b - -,e8d6
r4rk1/1p3pbp/p5p1/2Q2b2/3pN3/4qPP1/PP4BP/R3R2K b - -,e3d3
5rk1/2qn1rbp/pnp1p1p1/3pp3/2P5/N2P2P1/PB1QPPBP/2R2RK1 w - -,d2a5
