r7/8/8/7k/8/p2K1P2/R7/8 w - -,d3c3
8/p5pp/P2k1p2/2r5/1p1rP3/1R3P1P/5KP1/4R3 w - -,f2e3
r4rk1/1pp2ppp/1p1q2b1/3P4/8/2N2Q1P/PP4PR/R4BK1 b - -,a8e8
4Q3/8/3k4/8/3P3p/7r/2K1Rq2/8 b - -,f2f5
2rqr1k1/4ppbp/3p2p1/1b1P1n2/2P5/1P1Q2P1/5PBP/1RB1R1K1 w - -,c4b5
8/1p4n1/p5p1/P2k3p/1P3P1P/3KB3/8/8 w - -,e3d4
3r1rk1/pp3ppp/1q3n2/4n1Bb/1P1p4/P2B1PN1/2P2RPP/R2Q2K1 b - -,h5g6
8/8/r4k2/4pp1p/1R4pP/6P1/5PK1/8 w - -,b4c4
1k1r3r/1pp2pp1/1bn5/p3p2p/PP2N1Pq/2P2Q1P/3P1PK1/R1B2R2 w - a6,b4b5
r1bq1rk1/pp2ppbp/2n3p1/3N4/3N4/4P3/PP2BPPP/R1BQ1RK1 b - -,d8d5
2r2rk1/p5p1/1p1bp2p/3p1p2/P1pPqP2/2P1P1P1/RP5P/2Q2RK1 w - -,f1f2
2rq1rk1/1b2np1p/1p2p1p1/p2nN1b1/2NP4/PP1B4/1BR2PPP/3QR1K1 b - -,e7f5
5r2/1pR2pk1/p3p3/1r2P2P/1P4P1/5RK1/5P2/8 w - -,f3f4
8/6p1/8/6kp/8/4PR1P/4r1P1/6K1 w - -,g1h2
3r1bk1/1q4p1/r3pp2/p1p5/Pn6/3PBPPp/3NP2P/1QRR2K1 b - -,a6b6
2r3k1/5ppp/pb3P2/1b2B1P1/7R/1P6/1PP4P/1K6 b - -,b6e3
r1b1kb1r/pp1n1pp1/2p1pq1p/3p4/2PP4/1QN2NP1/PP2PP1P/R3KB1R b KQkq -,f8d6
r3r2k/1b5p/pp1pp1p1/2p1b1B1/P1B1Q1P1/1R6/1PP1N1KP/3R4 b - -,b7e4
rnbqk1nr/p3ppbp/2pp2p1/1p4B1/3PPP2/2N5/PPPQ2PP/R3KBNR b KQkq f3,g8f6:b5b4
1k2rb1r/pb3P1p/1n4p1/2p5/3p1P2/1PNB4/PBQ3PP/1K2R3 b - -,e8e1
2b3R1/3k1r1p/2p1pP1B/1pPpP2P/pP2p3/P3K3/8/8 w - -,e3d4
3r4/5pkp/4p1p1/1b2b3/2N1P3/1B3P2/2K3PP/4R3 b - -,e5h2
r1b2rk1/pp2ppbp/2np1np1/2P5/4P3/1NN3P1/PP3PBP/R1BR2K1 b - -,d6c5
2r2r1k/ppq1p1bp/1n1p4/5p2/5P2/1QP1BBP1/PP5P/3R1RK1 w - -,e3b6
8/8/6Bp/3b2p1/4p2P/6P1/3k1P2/5K2 w - -,h4g5
3r4/pn3pn1/2pbbk1p/4p1p1/1pN1P3/4NPB1/PP2K1PP/1BR5 w - -,c4d6
3r2k1/p6p/2R1p2b/3p4/5r2/1P6/P4R1P/5BK1 b - -,d8e8
2rq2k1/p1r1bppp/4p3/1b1p4/PPn5/2B1P1P1/1N1Q1PBP/R1R3K1 w - -,b2c4
3R4/8/4r3/5k2/8/3P4/3K4/8 b - -,e6a6
3r4/p5kp/P2b1N2/1p1p1R2/1p1P3P/1P2P3/6P1/6K1 b - -,g7g6
r1b1qrk1/ppp3pp/2np1n2/1P2pp2/2P5/P1BP2P1/4PPBP/R2QK1NR b KQ -,c6d8
r1bqk2r/pp1ppp1p/2n4b/8/3PP2p/8/PPP2KPP/RN1Q1BNR w kq -,b1c3
rnbqk2r/4ppbp/3p1np1/p7/Pp1NP3/4BP2/NPPQ2PP/R3KB1R w KQkq -,f1b5
5rk1/5p2/3R4/2pPp1qn/p1P1P3/P5P1/8/4QBK1 w - -,d6b6
r2qkb1r/pp3ppp/1np1pnb1/8/3P1P2/3B2N1/PPP1N1PP/R1BQ1RK1 b kq -,g6d3
8/3npp2/3p1k1p/2pP1P2/1pP2KP1/1PbN4/8/3B4 b - -,c3d2
5rk1/N1Rnbp1p/6p1/3pp3/1P6/P3BP1P/5P2/6K1 b - -,f8d8
1r4k1/4n1q1/6B1/p1b4Q/5P2/6P1/7P/4R2K w - -,h5c5
2k2b1r/p1p1pppp/5n2/qQp5/3r4/2N2P2/PPPB1P1P/R3K2R b KQ -,a5b6
b7/8/2p1k1B1/p4p1P/2P3p1/1P1KB3/P6b/8 w - -,h5h6
r5k1/1bq1bpp1/1nn1p2p/p1p1P3/1pP2B1P/1P3NP1/P3QPB1/3R1NK1 w - a6,f1e3
5r2/8/7k/4Q1p1/7p/8/5r1K/8 w - -,h2g1
2rq1r2/1p2ppkp/2bp2p1/p1nN4/P3P3/8/1PP2PPP/R2QRBK1 w - -,b2b3
8/8/2p5/4B3/2k1b3/6KP/p7/8 w - -,g3f2
r4rk1/p2bqp1p/3p2pQ/3np2P/1p2P3/1N3P2/PPP3P1/2KR3R w - -,d1d5
8/4kn2/5p2/2N2P2/4K1P1/8/8/8 b - -,f7h6
8/1nk5/8/3B4/1K6/8/8/6B1 w - -,g1h2
r5k1/1p2rppb/2p2n1p/q2p4/p2P3B/P1R1PP2/1P1QB1PP/2R3K1 b - -,e7e6
6r1/p1pk1r2/1p1b2p1/3Pp2p/2P1PpbP/2PBB1P1/PK3R2/4R3 w - -,g3f4
r3k2r/2pqnppp/pp2b3/3pP3/N1nN4/P1PB4/1PQ2PPP/R4RK1 b kq -,c4e5
r3r1k1/pbqn1ppp/Pp3n2/2pp4/3P4/2PBPN2/2Q2PPP/R1B2RK1 b - -,b7c6
5n2/5k2/3Qppp1/3p3p/3P1P1P/2qNK1P1/5P2/8 b - -,c3b3
rn1qr1k1/2p2pp1/Bp5p/p2n4/3P4/P3PP2/2N3PP/R1BQ1RK1 b - -,b8a6
r3k2r/pppq1ppp/4p3/7b/2PPp3/PP4P1/1B1bPP1P/R2QK2R w KQkq -,d1d2
2rr2k1/pp3p1p/4B1p1/nN2p3/4P3/P1R1P2P/6P1/6K1 b - -,c8c3
r4rk1/ppp3pp/3n1pq1/3R4/3P4/2P5/PPQN1PPP/R5K1 w - -,c2g6
1r1q1rk1/1p1b1pbp/pNn3p1/2Pp3n/8/1N2BP2/PP1QB1PP/2R2RK1 w - -,e3g5
3q1k2/r3b1p1/2p2nQp/p1PpBB2/1p1P2P1/P7/1P5P/4RK2 w - -,a3a4
r1b3k1/3r3p/pp2n1p1/2p1Qp2/2P5/BP4PB/P4P1P/6K1 b - -,d7d1
2r3k1/p1qn1pp1/2rpb2p/2n1p3/2P1P3/P3BP2/4BNPP/1RR1Q1K1 w - -,f2d1
r1b1r3/2p2pk1/p2p1np1/1p1Pp2p/2P1P3/P3R2P/1PB2PP1/2R2NK1 b - -,c8d7
r1bqr1k1/pppn1pbp/3p1np1/4p3/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 w - -,d1b3:b2b3:d4e5
2rr2k1/1b3pp1/p4q2/1ppPp2p/4P3/P3R3/BP1Q1PPP/2R3K1 b - -,f6g5
2r1rk2/1pp1n1b1/3P4/p2PpbP1/2B4R/1PN1B3/1P1K1P2/7R b - -,c7d6
r1b2rk1/1p3pbp/2pp1qp1/p1n1n3/2P1P3/1PN1BPP1/P2QN1BP/1R3RK1 w - -,h2h3
2kr3r/ppp2p2/5b2/3q4/7p/3P1QP1/PP1BPPK1/1R5R w - -,d2c3
r1b2rk1/pp5p/2pp2p1/4ppbn/2PPP3/2N1PR1P/PPB1N1P1/5RK1 w - f6,g2g4
2rq1rk1/pp3pbp/5np1/2np4/2b1pN2/P1N1P1P1/1P3P1P/R1BQRBK1 b - -,g6g5
8/8/RR2nk2/4rp2/4pp1p/6pP/4K1P1/8 b - -,f4f3
6k1/2r5/6p1/1R1R1p1p/P7/5P2/5PKP/2q5 w - -,a4a5
r1bq1rk1/pp1n1pbp/2p1p1p1/3n4/3PP3/1QN2N2/PP2BPPP/R1B2RK1 b - -,d5c3
2kr1b1r/pp2pppp/q1n1bn2/2Pp4/3P4/2N3P1/PP1B1PBP/R2QK1NR b KQ -,c6b4
8/r4pp1/7p/2pk4/8/3K2P1/PR3P1P/8 w - -,b2d2
6k1/6b1/8/p4Q1p/4B2P/6P1/4qPK1/8 w - -,f5d5
r1b1k1r1/4bp2/p2pp3/qp2n1pR/4P1P1/P1N1B3/1PPQBP2/1K1R4 b q -,e5c4
rn1q1rk1/p2nbppp/bp2p3/2ppP3/3P4/2P2NN1/PPB2PPP/R1BQR1K1 b - -,b8c6
5r1k/7q/5P2/2p2NP1/p1P3Q1/4b3/3p2K1/5R2 b - -,h7b7
r3kb1r/pb1n1ppp/4pn2/q1p3B1/Np1PP3/1P1Q1N2/P4PPP/R3KB1R w KQkq -,g5f6
rr6/3qn1k1/3p1ppn/1ppPp3/4P2P/2P2NP1/1PN1QP1K/R3R3 b - -,e7c8
r2r1k2/p4Pb1/1p4p1/n1p3p1/8/1PP3BQ/q4PPP/4RRK1 w - -,h3e6
rnbq1rk1/pp3pb1/3p1np1/2pP4/4P3/2N5/PP2BPP1/R1BQK1NR b KQ -,a7a6
8/1p6/2b4B/7p/p5r1/2k1K3/7R/8 b - -,h5h4
