8/6pk/R6p/8/5r2/7P/7K/8 w - -,h2g3
8/p2pkp2/8/2p1P3/2PnP3/1P3B1R/PK4P1/5r2 b - -,f1f2
8/1pR5/p5k1/P6p/3K4/2P4P/1r6/8 w - -,c3c4
rn1qkb1r/pbp2ppp/1p2pn2/3p4/2P5/1P3NP1/P2PPPBP/RNBQ1RK1 b kq -,b8d7:f8e7
rnbqkb1r/2pn1ppp/1p2p3/p2pP3/3P1P2/2P5/PP1N2PP/R1BQKBNR w KQkq a6,g1f3
8/8/7p/p7/4Q3/K7/3q2k1/8 b - -,g2g3
r6r/pN1nkpp1/2p1pn1p/7P/3q4/1Q6/PPPN1PP1/2KR3R b - -,a8b8
r4rk1/6p1/pp1p1p2/2pP4/b1B1P2R/2P5/1P4PP/5RK1 b - -,a4d7
2kr4/1p1rbpp1/p3p2p/3n4/8/2P3P1/PP2KPBP/R2RB3 w - -,d1d2
r1bqrbk1/pp4pp/5n2/1npp2B1/2P5/6PP/PPQ1NPB1/R4RK1 w - -,c4b5
r3k2r/1pn2ppp/1qpbb3/5p2/pPpP4/P3P1P1/3NNPBP/R1Q1K2R w KQkq -,d2c4
8/8/4K3/2k1q3/8/8/8/8 w - -,e6e5
r3kb1r/pp2p1pp/2p1bp2/q7/3PP3/2P1BN2/P3QPPP/R4RK1 b kq -,e6g4
2r2rk1/1q2ppb1/pp1p2pp/2p5/P2PnB2/2P1PN1P/1P3PP1/R1RQ2K1 w - -,f3d2
r1bqk2r/1p2ppb1/2np2p1/pNp2n1p/2P5/P3PNP1/1P1P1PBP/1RBQ1RK1 b kq -,h5h4
r2qr1k1/1b2npbp/p4np1/1p1pN3/1P1P1B2/PQN3P1/5PBP/3RR1K1 b - -,d8b6
3rkb1r/pp2pp2/2n1bnpp/2p5/4P3/2P2NPP/PPKN1PB1/R1B4R w k -,a2a4
k7/1p1n2pp/p1p2q2/8/2P2PP1/1P2Q2P/PK1N4/8 w - -,b2b1
r4rk1/pb3ppp/1pp1p3/4PP2/2p1P3/5B2/PPQN1q1P/6RK w - -,g1g2
3kn2r/B1b3pp/p1p1pp2/2N5/2P5/8/P4PPP/1R4K1 b - -,e6e5
r4rk1/p4p1p/4qp2/4p3/7Q/2Nb2P1/PP3P1P/R3R1K1 w - -,c3e4
r1b2rk1/Np1q2b1/pB1p1n2/P2Pp1pn/1P2Pp1p/3B1P1P/2QN2P1/R1R3K1 w - -,c2c7
r2qkb1r/1b1npp1p/pP1p1np1/2pP4/4P3/1QN5/PP3PPP/R1B1KBNR w KQkq -,a2a4
r1k1r3/2pn2pp/p3p3/1pb1n3/4PB2/2N5/PPP1B1PP/2K1RR2 w - b6,e2h5
r3qr2/6pk/pb2p2p/1p2N3/3pPP2/2pP2PP/PP2Q1K1/2R1R3 b - -,a8c8
1rbq1r1k/p6p/3b1p2/3B4/7Q/8/PP3PpP/RN2R1K1 w - -,d5b3
r2qkbnr/ppp2p1p/2np4/6p1/2BPPpb1/1Q3N2/PPP3PP/RNB2RK1 b kq -,g8h6
r1bqk1nr/1pp2p2/p3p1pp/3pP3/P1BP4/2N2QP1/1PP2PP1/3RR1K1 w kq -,c3d5
q4k2/2p2p2/3b4/2r3pp/1p2Rp2/1P3P1P/P2RQ1P1/5K2 w - -,d2c2
5rk1/2n1p1b1/pr1p3p/2pP2p1/2P1P3/2N2p1q/1P1QN2B/R4R1K w - -,e2g1
r1b1k2r/pp1p1ppp/4p3/q7/2PN4/2b3P1/P1Q1PPBP/R1B2RK1 b kq -,c3d4
r4rk1/ppq2pb1/4b1pp/P3p2n/4P3/R1PB1N1P/2Q2PP1/2B1R1K1 w - -,a3a4
3r4/6bk/6pp/3N1p2/1P2p3/r5P1/5P1P/2RR2K1 b - -,a3d3
2q3k1/1r4br/pp1p1n1p/2pPpPnQ/P1P1P2B/1P6/4BN2/4R1RK w - -,h5g6
r1b1k2r/1p2q1bp/p1n1pnp1/2p1p3/8/2NP1N2/PPP1B1PP/R1B1QR1K w kq -,c3e4
1kr3r1/pp1bqp1p/8/1N2n3/1P2B1pN/P3P3/1Q3PPP/3R1RK1 b - -,d7b5
r1bq1rk1/pp2ppb1/3p2p1/3P2p1/1n1P4/5N1P/PP2BPP1/RN1Q1RK1 w - -,b1c3
8/5pk1/4qbp1/2pNp2p/r1PrP2P/6P1/PRR1QPK1/8 b - -,f6d8
r7/p4ppp/3p1n2/1k1p4/1R1Pp3/2P1P3/1P1N1PPP/5K2 b - -,b5c6
q4rk1/pbrnbppp/1p2p3/8/2PBN3/1P3PP1/PQ4BP/R4RK1 b - -,b7e4
2r1r1k1/4b2p/4qn2/3pB1p1/P2Pp3/1P1bP1PP/3Q1PB1/R1R3K1 w - -,c1c8
r7/4b2p/5p2/pk4p1/3RP3/5P2/6PP/4BK2 b - -,a8d8
1Rbqrrk1/2n4p/p2p2p1/2pP1p2/P3PP2/2N3N1/3Q2PP/5RK1 b - -,d8f6
r2q1rk1/pb2bppp/4pn2/1Pn1N3/8/3B4/1BPN1PPP/1R1Q1RK1 w - -,d3c4
5rk1/1p3pp1/p3pq1p/3p4/3P4/2R1P2P/PP2QPP1/6K1 b - -,f6e7
r1bqkb1r/pppnpp1p/3p1np1/6B1/3PP3/2N5/PPPQ1PPP/R3KBNR b KQkq -,c7c6
r5k1/6p1/7p/2pp4/7P/3q2P1/1PR2P2/1KR5 w - -,g3g4
5r2/p2r2kp/1ppqbpp1/2p1p3/P3P3/1P1PQN1P/2P2PP1/R4R1K w - -,f1e1
2n5/p4k2/1pp1n1pp/4PP2/1PN2P2/Pr1r3P/1BR2RK1/8 b - -,g6f5
rn3rk1/pp3pp1/5q1p/P4p2/1bBp4/2N1P3/1P3PPP/R2Q1RK1 w - -,c3d5
r1bqk2r/p1p2pp1/2p5/2bpP2p/6n1/3BB2P/PPP1QPP1/RN3RK1 b kq -,g4e3
2r2rk1/pp2ppbp/1qn3p1/3pP3/3P2b1/4BN2/PP1QBPPP/R1R3K1 b - -,b6b4
2rr2k1/1b2ppb1/pp1q1npp/3P4/P1BP4/1QN5/1P2NPPP/2R1R1K1 w - -,e2g3
1rq3k1/2p2pbp/2P2np1/pp6/8/PnN3PP/1P3PB1/R1B1Q1K1 w - -,a1b1
6k1/2nq1ppp/2p1p3/2Pp4/3Q4/1P3PP1/4P1KP/B7 b - -,f7f6
1Q1R1rk1/3R1ppp/p7/8/1p6/5P2/P6P/2q4K w - -,h1g2
1qrr2k1/p2bppbp/1pnp1np1/8/1PPN4/P1N1P2P/1B1QBPP1/2R1R1K1 b - -,d7e8
8/6pk/3Rppp1/8/3n1P2/7P/1r3KP1/8 w - -,f2f1
3k4/3n1pq1/pp1N2p1/2p5/2PR4/2Q5/P4PP1/5K2 w - -,d4d3
r4rk1/3nppbp/3p2p1/q1pP4/8/2N3P1/bPQBPPBP/R3R1K1 b - -,g7c3
r4rk1/ppqb1pp1/2nb3p/2p1p2Q/2N4P/P1PP2P1/2P2PB1/R1B2RK1 b - -,a8e8
1r1q1rk1/p2b1ppp/1p2pn2/2p5/2QP4/P4BP1/P3PP1P/R1B2RK1 b - -,b8c8
2r2rk1/pQ3pp1/2n1bq1p/8/3p1B2/2n2NP1/P3PPBP/2R2R1K b - -,e6a2
1r2r1k1/5qpp/p7/2pP2Q1/2P1p3/6P1/PB3P1P/4R1K1 w - -,b2c3
r3k2r/pp2bppp/1nnqp3/7b/2p5/NPP2N1P/P1BP1PP1/R1BQR1K1 b kq -,c4b3
rn2k2r/3b1pp1/1qpp1n1p/ppb1pP2/4P2N/PBNP4/1PP1Q1PP/R1B1K2R b KQkq -,a5a4
8/8/8/1kb5/1p6/1K1R4/1B3r2/8 b - -,f2e2
r4rk1/pp4p1/2p1p3/bPPp4/P2PpP2/4P3/1B2R2P/5RK1 b - -,a7a6
rn2kb1r/pp3ppp/2p1pn2/2Pp1b2/3P4/1qN1PN2/PP3PPP/R1B1KB1R w KQkq -,a2b3
2b5/7p/2P3p1/1P2k3/8/4pB2/2K3PP/8 w - -,b5b6
6Br/7P/3p1p2/ppb2P2/4P1K1/2k5/8/3R4 b - -,b5b4
r3rbnk/2q2p1p/p2p2p1/1p1PnN2/7Q/2P1B3/PP2B1PP/3R1RK1 w - -,f5d4
8/3n2pp/1p6/p3kp2/2K2N2/PP2PPPP/8/8 w - -,f4d3
8/2k5/4p3/2P2p1p/1pN4P/1P2PpP1/r1b5/2R1K3 w - -,c4d2
r4rk1/p2bq1bp/3p1n2/2p3p1/2PP4/3BPN1P/P1QK2PB/4R2R b - -,h7h6
r6r/p2R1pkp/1p2p1p1/2q5/Q1P3P1/8/PP3P1P/3R2K1 w - -,a4b3
1r2k3/5pbp/4p1p1/pNr4n/P7/3BB3/1P3PPP/R2b2K1 w - -,e3c5
8/8/3K4/3B4/5k2/8/4R3/3r4 w - -,e2f2
r1bqkb1r/ppp2ppp/8/4n3/2Pp4/6P1/PP2PPBP/RNBQ1RK1 w kq -,f1e1:b2b3
1r6/8/1p6/p2p1R1p/Pk6/3nP1P1/1P3P2/3N2K1 b - -,b4a4
R7/P6p/7k/5P2/6K1/r6P/8/8 b - -,a3a7
r3r1k1/Q1p2pb1/1p1p1q1p/6p1/2PNPnP1/1P6/P4PPB/3RR1K1 w - -,a7c7
r1bqr1k1/1p3pbp/p1np2p1/2pN4/2PNPP2/3BB2P/PPQ3P1/R2R2K1 b - -,c6d4
r2qkb1r/1p1Npppp/1np5/p4b2/P2P4/2N2P2/1P2P1PP/R1BQKB1R b KQkq -,b6d7
rr4k1/p1q2pp1/1pbNp2p/2n1P3/1n6/4P1B1/4QPPP/1BR2RK1 w - -,c1c4
