6k1/pQ3ppp/4n3/8/8/qP3PB1/6PK/8 b - -,h7h5
6k1/5rp1/8/3Q4/P2P4/4q3/KR6/8 w - -,b2b8
2rq1rk1/pp2bpp1/4n2p/3pP3/3N2P1/4B2P/PPQ2PK1/R3R3 w - -,c2d2
6r1/p2k4/2pp4/5pb1/2P1p3/1P2N1nK/PB6/R7 w - -,e3f1
r2q2k1/3b1p1n/rp1p1bp1/2nPp2p/1RP1P3/2N1BN1P/2B2PP1/1R1Q2K1 w - -,d1c1
1rbb4/4k1pp/8/pp1Rpp2/8/1BP5/PP3PPP/R5K1 b - -,d8c7
4k3/P6B/5p2/5p2/1b6/3K1P2/RP4P1/4n3 w - -,d3c4
6r1/3kbN2/1p2p3/1Ppn4/3p1P2/P2P1R2/2N4K/8 b - -,e7d6
r2q1rk1/ppp2ppp/1nn1pb2/5b2/2PP4/P1N2N1P/1P2BPP1/R1BQ1RK1 w - -,c1e3
r1bqkb1r/pp2pppp/2n2n2/6B1/2pP4/2N5/PP3PPP/R2QKBNR w KQkq -,g1f3:d4d5:f1c4
3r4/p6p/1p2kp2/2P5/3pPK2/1P6/P2R3P/8 w - -,c5b6
2k2b2/1nnR2pp/1p3p2/2p1pP1N/2P1P2P/1B3P2/1PK2B2/8 b - -,c8d7
3rrn2/1p2kp2/2p3p1/p1n1P1Pp/P2N1N1P/1P2R3/1KP5/5R2 w - -,c2c3
3k4/5Bn1/1NpP2pp/b1P1p3/1P2P3/7P/4NK2/8 b - -,a5b4
4r1k1/1pp2p1p/p5p1/4N3/8/5Q2/1PP2qPP/1K1R4 b - -,f2f3
r1bq1rk1/3nbppp/5n2/2pp2BP/pp1P2P1/3BNN2/PPPQ1P2/2K1R2R b - -,c5c4
2q1r1k1/5p1p/p5p1/p1P1Q3/b7/8/1P1R1PPP/5RK1 w - -,e5d6
8/4k3/PK2p3/8/8/5R2/2P2p2/r7 b - -,f2f1q
r4rk1/1p1N3p/p1n1pn2/3pq3/6p1/N1P1Q3/PP2BPPP/R4RK1 b - -,f6d7
6k1/p4p2/4p2p/3b2p1/P2n4/5PP1/3r2BP/R3N2K w - g6,f3f4
4R3/pp3ppk/6p1/8/8/PP1P1P2/5BKP/2q5 b - -,c1a3
3r2k1/pp1r1bpp/1npN1q2/4p3/4P3/Q4P2/PP1RB1PP/3R2K1 w - -,d2d3
r4r1k/pp5p/3Nb3/6n1/3P4/4P1P1/PP1B2KP/R4R2 w - -,f1f8
2k1rn1r/ppp1bp1p/2q1pp2/P7/2PP4/1P3N2/1B2QPPP/R2R2K1 w - -,d4d5
r1bq1rk1/1p2bpp1/p1np1n1p/4p3/4P3/2N2N2/PPP2PPP/R1BQRBK1 w - -,h2h3
2rrbbk1/1pq2ppp/p3pn2/2np4/PB1N4/1PP3P1/3NPPBP/1QRR2K1 w - -,h2h3
r1b4k/ppp1q1bp/2np1r2/5p2/2PP2p1/3NP2P/PP2B1PB/R2Q1RK1 w - -,h2f4
rn3rk1/pp2qppp/2p1p1b1/3n4/PbBP2P1/1QN1PP2/1P4NP/R1B2RK1 w - -,a4a5
5r2/p5pk/3B2n1/1pp3R1/5P2/1P4K1/P7/8 b - -,f8f6
r1b2rk1/2qn2p1/pp1p1b1p/3Ppp2/2P5/1P3N1P/PB3PP1/2RQRBK1 w - -,b3b4
r3k2r/1bq3bp/pp2p1p1/4P3/3NnB2/8/PPP1Q1PP/R2R3K w kq -,d4e6
3b3q/1r3pk1/4p1p1/1p1pP1NP/p2P1Q1P/P7/1P3PK1/2R5 w - -,h5g6
r4k2/1p2bpp1/p2q2p1/3pn3/7r/3BPP1P/PPQB2P1/1KRR4 w - -,d2e1
7k/3nq3/3p1b2/p1pPpP1r/PpP1R1N1/1P6/1B4B1/4R1K1 w - -,e1e3
2R5/8/8/8/5K2/3pr3/1k6/8 b - -,e3e1
rqr3k1/1b1nppbp/1n1p2p1/p1pP4/P3PP2/1N1BB2P/1PRNQ1P1/R5K1 b - -,b8a7
5r1k/2pn1rqp/1p1p1p2/p2PpR2/2P1P3/1P2NQP1/P6P/5RK1 b - -,f8g8
8/r5k1/8/2b5/2B5/2P1p3/2K5/4R3 b - -,g7f6
2r1qrk1/pp2b1pp/3p1nn1/2pPpbN1/2P5/2N3P1/PP1BQPBP/4RRK1 b - -,g6h8
1n6/5ppp/1k6/1p6/nK1PPPP1/8/7P/3R4 b - -,a4b2
r3r1k1/1bq1bppp/pp1p2n1/2pP4/2P1P3/3QB1P1/P2N1PBP/4RRK1 w - -,f2f4
1rb2rk1/1pn1qnbp/p2p2p1/P1pP4/4pP2/2N4P/1P1NB1PB/R2QR1K1 w - -,d2e4
3rr1k1/2p2p2/b2qn1pp/p7/N1P5/P1R1P1P1/5PBP/2Q2RK1 b - -,e6g5
rn1qk2r/pbp1bppp/1p2pn2/3p4/2PP4/3BPN2/PP1N1PPP/R1BQK2R w KQkq -,e1g1
r3k2r/p1q1ppbp/2p3p1/2BpP3/Q7/2Pb3P/PP3PP1/RN2R1K1 b kq -,e8g8
6k1/4pp1p/1R4p1/P7/4P3/P3K3/7r/8 b - -,h2h3
r4rk1/p5pp/1pp2q2/n2pB3/3P4/2PQ1P2/P5PP/4RRK1 b - -,f6g6
r3r1k1/p3qp1p/1pp1b1p1/8/3BPb2/2NQ1P2/PPR3PP/3R2K1 b - -,a8d8
r1r3k1/2qnbpp1/2p1pn1p/ppPp1b2/1P1P4/P1Q1P3/1B1NBPPP/R1R1N1K1 w - -,a3a4
4rbk1/8/pQ2qpp1/1p2p2p/2b1P2P/2P3N1/1P3PP1/2BR2K1 w - -,b6c7
r4rk1/1b3ppp/4p3/6P1/3RPP2/NP1nB2P/Pn2K3/7R w - -,a3c2
8/5pk1/6p1/5n1p/7P/r4NP1/3R2K1/8 b - -,g7f6
2k5/8/8/6p1/PPpN1n2/2P5/5Kp1/8 w - -,a4a5
1q2rbk1/1ppb3p/3p4/1PPPp1pn/2N1Pp2/r1N2P2/5BPP/1RQ1R1K1 b - -,a3c3
r2r2k1/pp2ppnp/2p3p1/1nP5/PPRp4/1N1P1BPq/4PP1P/2Q1R1K1 b - a3,b5c7
r5k1/6bp/3BN1p1/2p1P3/p7/1r6/5RPK/R7 w - -,e6g7
r3k1nr/pp1n1ppp/2pq4/3N4/4P3/5Q2/PPP3PP/2KR1B1R w kq -,d5e3
2r1b3/6k1/1p1p1pp1/p3p1n1/PnP1P1P1/1PN1P1K1/3N4/1B5R w - -,d2f3
r2q1rk1/pp1n1ppp/1B6/3p4/4n3/1NP2N2/PP2QPPP/R3K2R b KQ -,d8b6
r4rk1/ppqnbpp1/2p2n1p/8/4P1b1/1PN2NPP/PB3PB1/R2QR1K1 b - -,g4h5
4R3/5p2/2p4r/1p1p1k2/1P1P4/4PP2/4K3/8 w - -,e8c8
4k3/8/pp3Q2/4p1pP/6P1/q7/5PK1/8 w - -,h5h6
6k1/1b4p1/5p1p/p2p1P1P/1p1Pn1P1/3B1Q2/qP4K1/2B5 w - -,f3f4
rnbqk2r/pp2ppbp/2p2np1/3p4/8/1P3NP1/PBPPPPBP/RN1Q1RK1 b kq -,e8g8
8/6k1/3RKP1p/8/8/8/8/7r b - -,g7g6
r2qk2r/1ppbn1bp/n2p2p1/p2PpPB1/8/2N3P1/PPPNBP1P/R2QK2R b KQkq -,d7f5
R1br2k1/4npp1/2p1p2p/1qN1P3/1p1PBP1P/1QP3P1/8/6K1 w - -,e4d3
6k1/1p2r1pp/2pN4/p3P3/P7/3N4/6P1/6K1 w - -,g1f2
3r1bk1/1pN2pp1/p1n3qp/5N2/6P1/1Q2PP2/PP5P/3R3K w - -,d1d8
8/3k4/3p1bpp/1PpP1p2/2P1pP1P/5rPK/r5N1/2R2R2 b - -,f6d4
1r2r3/4ppk1/3p2p1/2qP3P/2b1B3/2P2Q2/6P1/2R1R2K w - -,f3g4
1rb1k2r/3p1pp1/p1p2n1p/q3pP2/1b2P3/2NBBQ2/PPP3PP/1R3R1K b k -,b4c5
8/4k3/8/3R4/3P4/6K1/3r2P1/8 b - -,e7e6
8/8/3p1b2/p2p1k2/P2P3p/1PN2K1P/8/8 w - -,c3b5
8/N6p/3k2p1/p4p2/P2K1P2/8/6bP/8 w - -,a7b5
8/8/8/5pk1/6r1/R5K1/8/8 w - -,g3f2
4r1k1/1b3pp1/2p1n2p/4P3/1p2N3/3BR2P/1P3PP1/6K1 b - -,c6c5
8/1p3k1p/p5p1/4Rp2/b2n4/P7/1P3PPP/7K w - -,e5c5
r2r2k1/pp1nqppp/2p1b3/4n3/4P3/bPN1B1PP/P1Q1NPB1/3R1RK1 b - -,a3c5
5n2/7p/6pP/pkp2pP1/5P2/PP2K3/1N6/8 w - -,b2d3
r1q1r1k1/ppp2p1p/3pb1p1/2P1n3/5N2/1PQ3P1/P3PPBP/3R1RK1 b - -,c8b8
1r1r2k1/ppqNbppp/2p1p3/7b/Q1PP4/2B3P1/PP3PBP/R3R1K1 b - -,d8d7
