8/5k2/7R/r7/5PK1/8/8/8 w - -,h6b6
r1bq1rk1/pp2ppbp/2np1np1/2p5/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,d4d5
r1bq1rk1/p5b1/np1p2p1/2pPp1np/1PP1Pp2/P1NN1P1P/3BB1PK/1R1Q1R2 b - -,g5f7
2rb1r2/5kp1/b3p3/pp1pP1p1/2PB1P2/2P1P1R1/P5RP/5BK1 b - -,d5c4
rnq1k1nr/1bp2p2/4p3/p3P1Np/PbP1B1pP/1Q4B1/1P1N1P2/R3K1R1 w Qkq -,e1c1
8/p4p2/7r/R6b/1N2kp2/8/1PP3K1/8 b - -,h5g4
5R2/q4ppk/4p1p1/3p2P1/3P3P/3R1P2/P3n3/1K6 b - -,a7e7
8/1p1nkp2/pN1p3p/PnpP1Pp1/6P1/2P2B1P/1P3K2/8 w - -,c3c4
rnbqkb1r/1p1n1ppp/p3p3/2ppP3/3P4/2PB4/PP2NPPP/R1BQK1NR b KQkq -,b8c6
8/7R/3p1p2/r2k1p2/P3p3/4P1P1/3K1P1P/8 b - -,d5e6
5n2/8/5k2/5p2/7p/4K2P/8/R7 b - -,f8g6
2rr2k1/pp1qbppp/2n1pn2/7b/Q2P4/P3BN1P/1P1NBPP1/2R2RK1 w - -,e2b5
R7/8/4k3/3r3p/5ppP/6P1/8/6K1 w - -,g3f4
5k2/K1R5/P4pp1/4p1P1/7P/1r6/8/8 w - -,g5f6
3q1rk1/4ppb1/p2pb1pB/1p5n/2r1P2P/2N2P2/PPPQN3/1K1R3R w - b6,h6g7
r2r2k1/5ppp/p4q2/1p1p2BP/3N4/PQ5P/1P2BP2/3R2K1 b - -,f6g5
8/8/6p1/7p/5P1P/2N1knP1/6K1/8 w - -,c3d5
rnbqkb1r/ppp2ppp/4pn2/3p4/5P2/3P2P1/PPP1P1BP/RNBQK1NR b KQkq f3,b7b6
6k1/3r4/pb2p1q1/1p1pPrpp/2p5/2P2PBN/PP2Q1K1/R2R4 w - -,d1f1
4r2k/2R4p/p5p1/Np1r4/3b4/5P2/PP5P/3R1K2 w - -,a5c6
6R1/8/5r2/8/8/3n3P/6PK/5k2 b - -,d3e1
6n1/1p1r1pkp/3p2p1/P1nP2P1/P1P2R1P/2N5/2B2RK1/4r3 w - -,c3b5
r5k1/2b1qppp/2p1n3/1p2p3/2P1P3/1B2BQ2/P2R1PPP/6K1 b - -,a8d8
k7/ppr5/r4Qpp/2qpp3/3N1PP1/1P3N2/P1P4P/1K2R3 w - -,f6e5
3r1k2/3r1p1p/1pbN2pP/1pp1P1P1/p4P2/1P4K1/P1PR4/3R4 w - -,f4f5
2b1r1k1/1p2p1bp/3p2p1/r1nN1p2/p1P1P3/4BP2/PPR1B1PP/3R2K1 w - -,e4f5
rnb1k2r/ppp2ppp/3b1n2/1N3p2/3P4/P4N2/1P2PPPP/R1B1KB1R b KQkq -,b8c6
r1bk3r/pp2ppbp/2p3pn/2n1P3/5P2/2P2NP1/PP4BP/RNB1K2R b KQ -,c5d3
r5k1/p2r2pp/3PQ3/5p2/8/P3P1P1/1q3P1P/3R2K1 b - -,d7f7
8/3k4/1pp2n2/p4N1p/2P5/PP2P1P1/4K2P/8 b - -,d7e6
8/1p1rk1p1/pBp2pp1/N1P5/1P1n3P/P1R3P1/2n2P2/5K2 w - -,b6a7
r1b3k1/pp4pp/2p1pn1q/3pP2r/2P2P2/1P2PPQ1/PB4BP/R4R1K b - -,f6d7
rnbq1r1k/pp2b1pp/2p5/3p3n/8/2NP1Np1/PPQBPPBP/1R3RK1 w - -,h2g3
r3r1k1/1pqb1ppp/p2b1n2/3p4/8/2PQB2P/PPNN1PP1/R3R1K1 w - -,e3d4
r4rk1/pp2ppbp/1np2np1/8/3PPB2/2N2BPq/PP2QP2/2RR2K1 w - -,e4e5
8/1pp5/4b1k1/4p3/1PP1P2P/4K1N1/8/8 w - -,c4c5
2rr2k1/p4pp1/1p1bp2p/5q2/2P5/1PN3PP/P3QP2/3R1R1K w - -,h1g2
5bk1/7p/3pqPp1/1prN4/2p5/5QP1/1P5P/2R3K1 w - -,c1d1
2r5/pp3k1p/1bn1bpp1/4p3/4P3/P1BB1N1P/1P3PP1/3R1K2 b - -,b6c5
rnbqkbnr/pp2pppp/2p5/3p4/2P5/1Q3N2/PP1PPPPP/RNB1KB1R b KQkq -,g8f6
1r1q1rk1/n3ppbp/p2p2p1/1p1Pn3/N1P5/1P5P/PB1QBPP1/R4RK1 w - b6,c4b5
2n5/5kpp/r1p2p2/n1Np4/N2P4/4P1P1/5P1P/6K1 w - -,c5a6
5r1k/p5bp/1p4p1/2pnN3/4qPP1/2P4P/1P6/2B1R1K1 w - -,e1e4
8/8/1B2pkp1/P6p/4R3/1Pb2P1P/5KP1/r7 w - -,e4a4
bk1n4/p1q2r2/1pPbp3/1P1p2n1/RB1P2P1/3NP3/4Q1B1/4KN2 b - -,d6g3
6k1/5p2/6p1/p2Nq1b1/2P5/1P1K3p/P4Q2/3R4 w - -,d1h1
8/4k1p1/2p5/6P1/2P2K2/8/8/8 b - -,e7d7
2r1kb2/1bq2pp1/p2pN1n1/1p6/2n1P3/2N1BP2/PPPQBK2/6R1 b - -,c4d2
3r1r1k/q5p1/p7/1p3p1p/1Pb1PPnP/P1N2QP1/1R4B1/5R1K w - -,f1d1
8/6k1/2q1ppbn/1p4p1/2p2PQp/2P4P/3rB1PB/4R1K1 w - -,g4f3
1r5r/2q2nk1/b4pp1/1pp1p3/4PnNP/pPP1QN2/P4PB1/2R1R1K1 w - -,c1d1
q4rk1/2Nbppbp/6p1/3pn3/1P2n3/2PB1N2/4QPPP/2B2RK1 b - -,e4c3
2kr3r/npqbnpp1/p3p2p/3pP2P/2pP2PN/P1P1B3/2PQBP2/R3K2R b KQ g3,c7a5
r2q1rk1/1p3ppb/p1pb1n2/4N1B1/Pn1P4/1BN4P/1P3P2/R2QR1K1 b - -,d6e7
4r1k1/p4ppp/1p3nq1/2pP4/Q7/P1P3N1/5PPP/R5K1 w - -,a1d1
2k5/R2n1pp1/p1pr2p1/8/P2PB1Pr/2p2P2/8/1R4K1 w - -,a7a6
2r2rk1/2q1b3/3pP3/p2Rpp1p/1pB3nP/1P3RP1/P1P1Q3/2B4K b - -,a5a4
rnbq1rk1/p2pbppp/1p2pn2/6B1/2P1P3/P1N2N2/1PQ2PPP/R3KB1R b KQ e3,h7h6
2k3r1/1p6/pBn5/3RbpP1/2P4p/7P/PP2N3/6K1 w - -,b6e3
3r4/8/8/8/5p2/2K2k2/7R/8 b - -,f3g3
1r3rk1/p2b1pbp/1q1p1np1/8/2nP1QP1/2N2B2/P3NP1P/R1B2RK1 w - -,g4g5
r1bq1rk1/ppp1p1bp/n2p1np1/5p2/2PP1P2/2NBPN2/PP4PP/R1BQ1RK1 b - -,c7c5
rnbqk2r/ppp2ppp/4pn2/8/2pP4/P1Q5/1P2PPPP/R1B1KBNR w KQkq -,c3c4
r2n1rk1/pppq2bp/3pb1p1/1P2p3/2P1pP2/3P2P1/P1Q1N1BP/1RB2RK1 w - -,d3e4
3r1k2/1ppr2p1/pn3b2/1P1Pp2p/4PpKn/P2B1P2/1B2NP1P/2R3R1 w - h6,g4h5
2r3k1/2rqbppp/p3p3/1P1n4/3P4/1Q2P3/1B2BPPP/R4RK1 b - -,a6b5
2b1k2r/2q1bp2/p3p1pp/8/3RPBnP/1NPR4/2P1B1P1/2K1Q3 b k -,c7f4
8/7p/2k5/6p1/2K5/5P2/6PP/8 w - -,c4d4
r1bq1rk1/p3bppp/1p2pn2/2pp4/1n1P4/1P2PN2/PBPNBPPP/R2Q1RK1 w - -,f3e5
2r2rk1/1p3ppn/p2p1b1p/5P2/b2PP2P/2q1BQP1/P4NB1/2RR2K1 b - -,a4d1
3N2q1/2p3k1/Q2p1n1p/3Pp2P/2P1Pp2/P1N3R1/8/4K3 b - -,f4g3
r1bqk2r/1p1n1ppp/2p1p3/p3N3/PbBP2Q1/1R6/5PPP/2B2RK1 b kq -,d8f6
r5k1/1p3p1p/5Qp1/1P1p4/4qP2/8/P4RKP/8 w - -,g2g1
r4rk1/4ppbp/1pn3p1/8/8/P1N2P2/1PPB3P/2KR3R b - -,c6e5
8/5R2/8/5pr1/5kP1/7P/7K/8 w - -,f7f8
2rq1r2/p2bppkp/3p2p1/3B4/Pp2P3/5P2/1PPQ2PP/R3K2R w KQ -,e1g1
r1bqkb1r/p1p2ppp/2p2n2/8/4B3/8/PPP1QPPP/RNB1K2R b KQkq -,f6e4
r3r3/3n1pk1/b2q2p1/2pNp2p/3nP2P/1PQ2P2/PN3KP1/R4B1R w - -,f1a6
r2q4/1k4p1/1bp1pn1p/1p2p3/P3P2Q/2P1BP2/1r1N2PP/R2R2K1 w - -,d2f1
r1b2rk1/pp2bppp/4p3/3n4/2BB4/2P2N2/PP3PPP/R2R2K1 b - -,c8d7
r4rk1/pp3pbp/q1pp1np1/2n5/2PNP1b1/2N3P1/PPQB1PBP/R2R2K1 w - -,c3e2
r1bqr1k1/3nbppp/1p2pn2/2pp2B1/3P4/2NBPN2/PPQ2PPP/2R1K2R w K -,b2b3
r1bqk1nr/pp2ppbp/2n3p1/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,d1c1
1r3r2/1pN1np1k/p2p2pp/8/2Pb1P2/6Pq/PP1Q1P2/2RR2K1 w - -,d2d4
6k1/ppq2pp1/2p3P1/3p1P2/3Prbn1/4BQ2/PPP2P2/R4NK1 b - -,f4e3
rn1qr1k1/1b3ppp/p2b1N2/2pp1P2/1p3B2/2NP2P1/PPP3BP/R2Q1RK1 b - -,d8f6
1r6/3kP1r1/6p1/1K3p1p/p1p2P1P/2P1R3/2P2P2/4R3 w - -,b5c4
b1r5/3nkpbp/p5p1/q2pP3/5P2/2N1P3/P1B1N1PP/1Q3RK1 w - -,b1e1
