8/k7/8/PK1N4/8/8/8/8 w - -,a5a6
r1b2rk1/pp2qppp/2nbpn2/2pp4/3P4/2PBPNB1/PP1N1PPP/R2QK2R w KQ -,f3e5
2r2rk1/1p3p1p/p1p1pb2/4R1p1/2P1B3/1P4P1/PQ3P1P/6K1 w - -,f2f4
4r3/pp2qpk1/1np1p1p1/4P2p/3Q4/1BPR3P/PP3PP1/5K2 b - -,e8c8
8/8/1P2pkp1/2R4p/4PP2/8/3r2K1/8 w - -,g2g3
r1b2rk1/ppq2ppp/5n2/2pPp3/2Q1P3/P1P2N2/5PPP/R1B2RK1 b - -,c8g4
2rkbQ2/5q1p/1RnBp3/3p4/8/8/5PPP/5RK1 w - -,f8h6
1r3k2/5p1p/3p2p1/1P2p3/1p2P3/4NP2/6PP/1R4K1 b - -,b8b5
5rk1/5ppp/R3pn2/3p4/8/2rNPnPB/5P1P/3R3K b - -,f6e4
1r3k1r/8/1q3p2/p1nb1P2/P1PQ4/1P4P1/8/1R2R1K1 w - -,c4d5
1n3rk1/3bqppp/pp6/2rPp3/4P3/4N1P1/P2Q1PBP/R1R3K1 w - -,c1c5
8/5k2/3P3p/1pn2p2/5P2/8/5K1P/2N5 b - -,b5b4
1r1rn1k1/1q2bppp/pp1pp3/8/2P1P3/1PN1R2P/PB2QPP1/4R1K1 b - -,b6b5
1n2K3/pk5p/8/P1P2P2/8/8/8/8 w - -,f5f6
r6N/pp6/3pkn1p/1B4p1/1P3p1B/2P1b2P/PK4P1/7R w - g6,h8g6
r4rk1/pp3ppp/4bn2/q1np4/3N1B2/2P1PP2/P2QB1PP/2R1K2R b K -,a8c8
6r1/3k1p2/2p5/p2pP1p1/5PR1/P3P3/5KP1/8 w - -,f4f5
6k1/8/p3p3/1p2Pp2/1P1B2P1/P1P2K2/r7/8 w - -,g4f5
r2qk2r/1p3pp1/p1nbpn1p/3p1b2/3P4/P1N1PN1P/1P2BPP1/R1BQ1RK1 w kq -,b2b4
r3k2r/5pp1/pqn1nbp1/1p6/1P6/P1Q2NP1/1B2BP1P/2R2RK1 w kq -,c3c6
5bk1/1R5p/6p1/8/P1n1p3/2P3P1/7P/7K w - -,b7c7
1rb3k1/5pp1/3r3p/3P4/1p1R4/1B3P1P/3R2PK/8 b - -,g8f8
6k1/p5p1/1p4n1/4p2p/2Pr4/1P3PK1/P3R2N/8 w - -,h2f1
r2q1rk1/pp1bppbp/2Bp1np1/2p5/4PP2/1PNP1N2/PBP3PP/R2QK2R b KQ -,d7c6
8/1R4pk/1p2r1qp/p7/3Q3P/P5P1/1P3PK1/8 w - -,h4h5
r1b3k1/6b1/pq2p1B1/nppr2NQ/2p2P2/P5Pp/1P5P/1R2RNK1 b - -,a8a7
1r1r2k1/ppq1npp1/2p4p/4N3/3PP3/2Q2P2/P5PP/1R1R2K1 w - -,f3f4
8/pp3p2/6p1/1P2k1P1/P3P3/1P2K3/8/8 b - -,f7f6
3b4/5k2/p1pr2p1/1p6/P2p1P2/1P1B1KP1/2P5/R7 b - -,d6e6
3rr1k1/pp3pp1/4qn1p/3p4/3R1P1Q/2P1NR1P/PP4P1/6K1 b - -,f6e4
r1bqr3/p3b1kp/1p1nppp1/3n4/3P3P/P2Q1NN1/1P3PP1/1BBRR1K1 w - -,h4h5
r3k1nr/ppp1qp1p/2npbbp1/8/2B1P3/2B1N3/PPP1QPPP/RN3RK1 b kq -,f6c3
8/1k1R1pp1/1P6/p1P2r2/2K5/7P/8/8 b - -,b7b8
2r1k2r/1bqn1ppp/p2p4/1p4P1/4Pp2/P1N5/1PP1Q2P/2KR1BR1 w k -,f1h3
r4r2/4qpk1/1np1pRp1/1bppP1P1/6QP/1PNP4/1BP5/4R1K1 b - -,f8h8
6k1/1p5p/p1b1qpp1/P2p4/1P1Q1PP1/4PB2/5K1P/8 w - -,h2h4
r1bqk2r/3nbp1p/2p1p1p1/1pp1P3/3P1P2/3BBN2/6PP/1RQ2RK1 b kq -,c5c4
r2q1rk1/1p3pbp/6p1/1Q1R4/p7/4P2P/PP3PP1/R1B3K1 b - -,d8c7
5k2/1p5r/8/3pP2p/P2K3R/8/8/8 b - -,f8e7
8/8/6PK/8/1k6/p6P/8/8 b - -,a3a2
rnbqk2r/pppp1pp1/5n1p/8/2PNp3/2b3P1/PP1PPPBP/R1BQK2R w KQkq -,b2c3
8/1p4R1/p7/3B1P2/4nk2/6p1/P1r1K3/8 w - -,e2e1
r4k1r/p4B2/b1p3pp/qpB1n3/4P3/2N2N2/PPP4P/2KR2R1 b - -,f8g7
r4rk1/2q3pp/2pbpn2/3p4/1P3P2/2P1B3/3N1RPP/3Q1RK1 w - -,e3d4
4r1k1/7p/p2p2p1/P2Pq3/7R/1P3PK1/2Q3R1/6r1 w - -,f3f4
rr1b2k1/2qb1pp1/3p1n1p/p3p3/4P3/1P1Q1B1P/R1PB1PP1/R2N2K1 b - -,a5a4
2kr1b1r/pp3p1p/2bp1p2/2q1p3/2N1P3/2NQ4/PPP2PPP/R3K2R w KQ -,c4e3
5k2/8/5K2/3N1PN1/8/8/8/5r2 w - -,d5f4
2bq1rk1/r3n1pp/p2p4/nP1P1p2/2p2P2/P1P2RN1/1BQ3PP/4RBK1 b - -,a6b5
8/8/1p1k4/8/2KPB3/2N5/8/2r5 w - -,c4d3
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/1PN2NP1/P2BPPBP/R2Q1RK1 b - -,f8e8
6k1/5pp1/p2p2np/PP1P4/7q/6b1/3Q3P/3R3K b - -,a6b5
r2qk2r/b1p2ppp/p1p1bn2/P7/1P1BP3/5N2/5PPP/RN1Q1RK1 b kq -,f6e4
1b5Q/4k3/P6p/8/5q2/1p5P/8/5B1K w - -,h8g7
r2qnrk1/1b1nb1pp/1pp1pp2/p7/2PPPP2/P1NBB1N1/6PP/R2QK2R w KQ -,e1g1
2r3k1/Qn5p/1p2b1pP/3q4/3B1p1b/2P2P2/P3P3/R2R1N1K b - -,h4d8
1r6/p6r/b2PBp2/2k2P2/2p3Rp/2K3pP/P5P1/2R5 b - -,c5d6
5rk1/2p4p/6p1/P2prp2/5R2/4P2P/6P1/2R3K1 b - -,f8c8
3rr1k1/Q1p1q1p1/5p1p/2p1Pb2/1b1p1P2/1P4P1/P3PBBP/2RR2K1 w - -,f2e1
8/6pk/p6p/5p2/P2P2P1/4Q2P/5PK1/4q3 b - -,e1a5
q4rk1/pbr1bppp/1p2Pn2/1N6/2n5/5NP1/PB2QPBP/R2R2K1 b - -,c7c5
3r3k/1p5p/3b2p1/3Bq1P1/2P5/P4R2/7P/2Q4K w - -,c1c3
8/4kp2/p2p4/3Pn3/1p2P2r/1P4RP/2K5/3N4 b - -,h4e4
r1b1qrk1/pp4bp/2p3p1/2n1p3/2P5/2N1RN1P/PPB2PP1/R2Q2K1 w - -,d1d6
3r1r2/1p6/p4kp1/2p1Nb1p/5P2/8/PP3KPP/3RR3 b - -,d8d4
2b2rk1/p2r1pbp/1p4p1/1P2n3/4N2B/1B2P3/P4PPP/3R1RK1 b - -,d7d1
8/p4kpB/5p2/1n1n2PP/2p2P2/5K2/8/B7 b - -,c4c3
1k3r2/1p1R4/2p2pb1/2P1pB2/4P1P1/1P6/5K2/8 b - -,g6f7
q3kb1r/pb2pp2/1pnp1p2/8/5B1p/6P1/PPPQPPBP/3R1RK1 w - -,c2c4
1r3rk1/1p1bppbp/p4np1/4p3/2qB4/2N3PP/PP3PBK/R2Q1R2 w - -,d4e5
r1qrnn1k/6pp/b3pp2/2P2P2/p1BPP3/1p6/3NQ1PP/BRR3K1 w - -,f5e6
2b2rk1/4pp2/1n1p2qp/2pP2p1/4N3/1P3NP1/1bQ2PBP/5RK1 w - -,c2b2
4k2r/1pR1ppb1/p5p1/3r2Pp/3P4/4B2P/PP3P2/5RK1 b k -,b7b5
r3k2r/ppq2p1p/2b1pp2/8/8/3QB3/PPP2PPP/R4RK1 w kq -,a1d1
r2qk1nr/pppb2pp/3b4/3Ppp2/2BP4/2P2Q2/PP3PPP/RNB1K2R b KQkq d3,e5e4
8/p6p/1p3k2/2p3p1/2P1p3/1PP3P1/P4K1P/8 b - -,h7h5
bn1qr1k1/2p2pbp/3p1np1/1p2p3/4P3/2PPBNN1/1PB2PPP/3Q1RK1 b - -,c7c5
2rq1rk1/5pbp/2n1p1p1/p2p3P/1p1P1Q2/PBP5/1P3PP1/2BRR1K1 b - -,b4c3
6k1/1p4p1/1bp1p3/p2pPr1p/P2P1r2/1N2QP1P/1P3RPq/3R1K2 b - -,f4d4
8/5p2/PPp1p3/K1k5/8/8/8/1r6 w - -,b6b7
4r3/5pk1/p2p1p2/1prN1Rb1/1R2P3/1PP3KP/1P6/8 w - b6,b4d4
r2q1rk1/pp2ppbp/2n2np1/3p1b2/8/1P3NP1/PBP1PPBP/RN1Q1RK1 w - -,a2a3
