4k3/1K6/2P4r/8/8/1p6/8/3R4 b - -,b3b2
2rrb1k1/ppq2ppp/4pn2/n7/3P4/1BN2N2/PP2QPPP/3R1RK1 w - -,b3c2
8/5pkp/p5p1/1p6/8/1Pq1P2P/P4PP1/1B1R2K1 w - -,g2g3
3n4/k1p5/1pr3p1/1B6/P3p3/2P4P/2P2PP1/4R1K1 b - -,c6c3
6k1/p7/1p4p1/4r1B1/8/3K3P/P5P1/b7 w - -,g5f6
1rb2rk1/p1p2p1p/1p2nPp1/8/3PB3/2P5/PB4PP/R4RK1 w - -,b2a3
8/2p4p/p1k3b1/8/1P3B2/P2p2P1/2rN1K2/4R3 w - -,e1e5
2r3k1/3nR3/2bP2p1/p4p1p/2P4P/PPB5/6P1/1K6 b - -,c8b8
r1b2k2/8/pp2p2r/3p1n2/1P6/P2NRPP1/6P1/3B1RK1 w - -,e3e5
8/6pk/4p2p/4Pp2/4q3/2Q3P1/5PK1/8 w - -,g2g1
rnbqkb1r/pppppp1p/5np1/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq d3,f8g7:c7c5
1rbq1rk1/p1n3bp/3pp1p1/1Pp2p2/3nPP2/2NPB1PP/PP1Q2BK/R4RN1 b - -,c7b5
r1bq1rk1/pp2bpp1/2n1pn1p/8/3P3B/P1NB1N2/1P3PPP/R2Q1RK1 b - -,b7b6
r2qr1k1/1ppb1pbp/p1np1np1/4p3/PPP1P3/2NP1NP1/5PBP/1RBQ1RK1 w - -,b4b5
8/p7/2p5/2Pk2Pp/1pNp1pbP/1K1P4/P3r3/2R5 w - -,c4d6
r2qkb1r/pp1bnppp/4p3/3pP3/8/1P1B1N2/P2B1PPP/R2Q1RK1 w kq -,b3b4
r4k2/2R3b1/pp1Np1bp/2p5/2PN1pP1/8/PP2BPP1/2K5 b - -,g7d4
2r1k3/1R4p1/2Pp4/3PB3/6b1/3B4/7P/6K1 b - -,d6e5
2b1r1kb/4qp1p/2pp2pB/p7/1rQPP3/1P3R1P/P3N1P1/1R5K w - -,c4c1
8/5pk1/6pN/1n6/4Pp2/5P2/r5PP/3R1K2 w - -,h6g4
rn1qkb1r/pp3ppp/2p1pn2/3p4/4P3/2NP1QPP/PPP2P2/R1B1KB1R b KQkq -,d5e4
8/8/6k1/8/7p/4q3/2K4Q/8 b - -,h4h3
8/3R1p2/4pkp1/r4n1p/1p2RP2/1Bb3P1/P5KP/8 b - -,a5a6
r1bq1rk1/3n1nbp/2p3p1/p2P1p2/P2P4/3B1N1P/1N2QPP1/R1BR2K1 b - -,c6d5
r1bq1rk1/3nbpp1/p3pn1p/1p6/3P3B/1BN2N2/PP3PPP/R2Q1RK1 w - b6,f1e1
r2q1rnk/1b1pppbp/p1n3p1/1p1NP1B1/3N4/1B5P/PPP2PP1/R2QR1K1 w - -,d4f3
2rqnrk1/pp2p1bp/2np2p1/2p2b2/3P1P2/2N1BNPP/PPPQ2B1/R4RK1 b - -,b7b6
rn2kb1r/p5pp/1q2pp2/1p6/P1pPn3/5NP1/1P2PP1P/RNBQ1RK1 b kq -,b5b4
2r3k1/6pp/p3pp2/1p6/3BqP2/bP2P3/P4QPP/5RK1 w - -,f2f3
2rq1rk1/3n1pbp/b1n1p1p1/ppp1P3/3p1B1P/2PP1NP1/PP1Q1PB1/R3RNK1 w - -,f4h6
r5k1/2q1bppp/4p3/3bP1P1/1PpQ1P2/2B5/N1P4P/1KR5 b - -,c7c6
R7/p4pk1/4n2p/1Br3p1/4K1PP/6P1/5N2/8 b - -,c5b5
r3r3/1p2kp1p/2pRb3/p1n1P3/2P1P3/PPN5/2K1B2P/3R4 b - -,e8g8
r4rk1/1b3pp1/2N1pq1p/p1Pp4/5n2/5N2/PP3PPP/R2QRBK1 b - -,b7c6
2q2r2/1pr1pbkp/p1n2pp1/Q7/2P2P2/1P3BNP/P5P1/3R1RK1 w - -,a5c3
r1r3k1/1b6/4p1pQ/3nP3/1p6/pR3N2/2q2PPP/R1B3K1 w - -,c1g5
r3r1k1/ppp2bp1/2qp3p/5p2/3P1N1P/1P3P2/P1PQ2P1/1K1RR3 w - -,d4d5
1rbq1rk1/pppnppbp/3p1np1/8/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 b - -,a7a6
r1b1kb1r/pp1p1ppp/1qN1pn2/8/4P3/8/PPPBBPPP/RN1QK2R b KQkq -,f6e4
3rnrk1/ppq3pp/2pP2n1/5b2/1P3P2/P2N2PP/1Q3NB1/3RR1K1 b - -,e8d6
5k2/1p4bp/2pp2p1/5n2/2P1NPQ1/pP4PP/Pq4BK/8 w - -,e4g5
r1b2rk1/bp4p1/p3pq1p/3p4/8/P1PQ2B1/1P3PPP/R2N1RK1 w - -,d1e3
5rk1/4bppp/p1NNpnb1/1p1n4/8/4P1B1/PP2BPPP/2R3K1 b - -,e7d6
rn1q1rk1/pb3pbp/3p1np1/2pP4/Pp2P3/5NP1/1P3PBP/RNBQR1K1 b - -,f8e8
8/8/6k1/5pb1/6p1/3BB1P1/2K4P/8 w - -,c2d2
r3r1k1/pq1nbpp1/1p3n1p/2pp4/3P3B/2N1PN2/PP2QPPP/2R2RK1 w - -,d4c5
4r3/5kpp/2bprp2/1p6/3R4/2P3P1/1P2BKPP/4R3 w - -,d4d2
r5bk/4b1p1/3N3p/2n2P2/2Pp4/3N2P1/7P/1Q4K1 w - -,d3c5
6k1/p5p1/Bpp1N1np/2Pq1b2/3P4/P4P2/1P2RP1P/4R1K1 w - -,e2e5
r2R1k2/pp3pb1/4p2p/1P4p1/2N5/2P3P1/1P3PP1/5RK1 b - -,a8d8
4r1k1/p2qrpp1/1p1p1n1p/2pP4/Pn2P1P1/1P2R2P/4QPB1/1RB3K1 w - -,c1b2
1rk5/4Rp1p/2Ppnbp1/8/B3P1PP/1P2BP2/5K2/8 w - -,e7f7
8/8/pp1k2pp/3Pnp1P/2P5/1P2K3/6P1/3B4 w - -,h5g6:e3f4
1r4k1/1p1b4/p2p2p1/3Pbp1p/4P1n1/N2p3B/NP6/3R1RK1 w - f6,h3g4
8/8/6nk/4q3/2p4p/P3NQPK/8/8 b - -,e5e6
2r5/1p3pk1/p3bn2/P1N1p1pp/2prP1P1/4KP1P/1PP1B3/2R4R w - -,c5e6
3kB3/8/1p1p4/3Pp1pp/PP2Pp2/5Pn1/5KP1/8 w - -,e8g6
8/1p6/p1p1kbp1/5p1p/1P1P4/2P1BK1P/1P4P1/8 w - -,c3c4
8/3R1Rp1/8/2r2nkp/2p1B3/2P3PP/5P1K/2r5 b - -,c1c3
2rr2k1/1pq1bp1p/2p1n1p1/p1P1p2n/1P2P3/2NB1Q2/P4PPP/1RB2RK1 w - -,a2a3
8/2p5/2B5/2k3p1/1b4P1/p4P2/2K5/8 w - -,c6e8
rnb1kb1r/1p1p1ppp/1qp2n2/8/p1P5/2Np2P1/PP1NPPBP/R1BQK2R b KQkq -,d7d5
7R/p1kq2r1/Pbp3r1/2p1p3/1pP1Ppp1/1P1P1P2/2K2BP1/3Q3R w - -,d1a1
3q1r2/5pk1/5b2/pR1p1Pp1/P1rPp1n1/2P3B1/3Q2P1/2N2RK1 w - -,c1b3
4r1k1/5pp1/pr1p3p/2pPq3/1nB1P3/R1Q2PP1/1P2R2P/6K1 b - -,f7f6
3r2k1/p5pp/2n1p3/4qp2/2B5/PPp3P1/4PP1P/2QR2K1 b - -,d8d1
r2b1k2/2q2ppp/p1p5/4p3/4P1b1/1PN1QN2/P4PPP/R5K1 w - -,h2h3
r3rbk1/3b1p1p/p1Np2p1/1q1Pn3/8/4B1PP/Q3PPB1/2R2RK1 b - -,a6a5
r6k/q4ppp/p3pb2/4B3/1QP5/3r1N2/PP3PPP/4R1K1 w - -,c4c5
8/8/6Q1/8/6k1/8/3pq3/6K1 b - -,g4f4
r5k1/5p2/3Q2p1/7p/p1q4P/4R1P1/5P1K/8 b - -,c4f1
r5k1/1p3pp1/2rp4/p3n1p1/P3P3/1PB1R2P/2R2PP1/6K1 w - -,c2d2
r5k1/pppqn1p1/2np1r1p/4p3/2P1B2N/1PP1B1Pb/P4P1P/R2QR1K1 w - -,d1d3
b4r2/2q3kp/B2b2p1/2pP4/2N1Q3/2P3P1/1P3P2/3R2K1 b - -,f8f5
2r3k1/4P1pp/p4Pb1/1pp4q/4R3/5BR1/PPP5/6K1 b - -,h5f5
2rqkb1r/1b1n1pp1/p3pn2/1p4p1/3Np2P/P1N1BP2/1PPQ4/2KR1BR1 w k -,h4g5
r1bqkb1r/3n1pp1/p2ppn1p/1p6/3NP1PP/2N1BP2/PPPQ4/R3KB1R b KQkq h3,c8b7:b5b4
3b4/5p2/p4pk1/1p3N2/6KP/1PP5/1P6/8 w - -,h4h5
r6k/2p1Rbbp/p4ppn/np6/5PP1/2NB1N1P/PPP5/5KB1 b - -,a8c8
r1bq1rk1/pp3pp1/1b2p2p/3n4/1P1PB3/P1N3P1/2Q2P1P/R1B2RK1 w - -,f1d1
8/8/P2k4/7p/2Bp4/3P3K/8/6r1 b - -,d6c5
r3r1k1/b2R1pp1/p6p/8/2Q2B2/P3P2P/1q3PP1/2R3K1 b - -,b2f6
