8/3N4/8/3p1kp1/3P4/4K2P/1b6/5b2 w - -,d7b6
8/1rn1p1kp/3q1rp1/1ppPNb2/2P5/8/3QBPPP/R3R1K1 w - -,d2b2
1r2r1k1/3n1p1p/p1q1p1p1/2P3B1/3pP3/5PPB/PbRQ3P/3R2K1 b - -,b2c3
3k4/6R1/3P4/2Pp4/2r5/5K2/8/8 w - -,g7c7
8/1p3pp1/p2R1k1p/r7/2P5/3P1P1P/5P1K/8 b - -,f6g5
r1b2k2/pp1n3p/2p1p2p/4Pq2/5p1P/1BN2Q2/PPP2P2/4R2K w - -,c3e2
2r5/2rkb1p1/R1pnp3/1p3pP1/1P1P1P2/2B1PB2/6K1/2R5 b - -,c8h8
2r3k1/pp1n1ppb/1q2pn1p/2rpN3/8/1P1P1NP1/P3PPBP/2RQR1K1 w - -,d1d2
r4r2/ppp1N1pk/5p2/4b1p1/4R3/7P/PPP3P1/2KR4 w - -,h3h4
r4rk1/1q1nb1np/ppbpp1p1/2p2pP1/P1P1PP2/2NPN2P/1P4B1/R1B1QRK1 w - -,e3d5
2kr4/pp3p2/2nbp1p1/3n3p/5P2/1NP3P1/PP1BB1KP/3R4 b - -,d6c7
r2q2k1/1p3ppp/p2p1b2/3Pr3/3p4/3B1Q2/PPP2PPP/2KR3R w - -,g2g4:h1e1
3r4/4kpp1/4b2P/2qpP3/5Q2/8/3RB1KP/8 b - -,g7h6
2r3k1/8/7p/p1P3bP/3r4/4pPp1/PPR3P1/1R2NK2 w - -,c5c6
8/6kp/2q3p1/4R3/3Rp3/4P1PP/5PK1/8 b - -,g7h6
2kr4/pp1nb3/2pp1p2/4p1p1/2B1P2r/3PBPNb/PPP4P/3RR1K1 w - -,c2c3
4q1k1/5r1p/6p1/pp6/5Q2/2p2RP1/5PKP/8 w - -,f4g4
5nk1/pp3pp1/8/2p1q1p1/2P3P1/1P3P1P/P2Q1KB1/8 w - -,d2e3
6rk/pp2nrRp/2p5/3p1p2/3P4/1P2P3/P3KP1P/6R1 w - -,g7f7
2k5/p3b3/2p1b3/P1P1p2p/1P3ppP/r5P1/1R2KP2/3N1N2 b - -,e7f6
r1q2rk1/p1pbbppp/2p2n2/6B1/Q1PpP3/2N3P1/PP3PBP/3R1RK1 w - -,d1d4
5r1k/5p1p/5Pp1/P7/r3P3/1p4N1/1B1R3P/K7 w - -,a1b1
5bk1/3p1p2/1r3npB/1Ppq4/6N1/2Q4P/5PP1/4R1K1 w - -,g4f6
8/2kb4/2p2p2/K1Pp1n1p/3P3P/3B1P2/5B2/8 w - -,a5a6
r2qkbnr/1p1b1ppp/p1n1p3/3pP3/3P4/2NB1N2/PP3PPP/R1BQK2R w KQkq -,e1g1
8/8/3k4/3r3R/1p6/8/5K2/8 w - -,h5h8
8/3k1p2/3n4/1pKN1p1p/5P2/P5P1/7P/8 b - -,d7e6
6k1/4q1p1/6bp/3R4/8/P4Q2/1PrR1KPP/2r5 w - -,f3b3
8/6p1/2n1ppk1/7p/4K2P/6P1/1B3P2/8 b - -,c6e7
8/8/6k1/4n3/1P1p4/4q3/5NP1/5QK1 b - -,d4d3
nnbqkb1r/p4ppp/4p3/4N3/PppP4/4PQ2/1PP2PPP/R1B1K2R b KQk -,d8c7
5rk1/2n1n3/p3pp1Q/4p3/1r2P3/3R3N/PP3PPP/6K1 w - -,d3g3
r1bqkb1r/pp2ppp1/n1p4p/4P3/5Q2/6P1/PP1P1PBP/RNB1K2R w KQkq -,f4c4
rnb1k1nr/1pqp1ppp/p3p3/8/1b1NP3/2NB4/PPP2PPP/R1BQK2R w KQkq -,c1d2
5r2/p2bqrkp/np1n1pp1/2pPp3/2P1P3/P1QBNN1P/1P3RP1/5RK1 b - -,g7g8
7r/R6P/3kp3/2p2p2/p4P2/5K2/5P2/8 b - -,a4a3
6r1/3b1k1p/pp6/2pP4/1P2BP1P/P4K2/8/2R5 b - -,c5b4
r1b1rnk1/ppqn1p1p/2pb2p1/4p3/P1N1P2N/5QPP/1PP2PB1/R1B1R1K1 b - -,d6e7
r1bq1rk1/pp2npbp/2pp1np1/3Pp3/1PP1P3/2N5/P2NBPPP/R1BQ1RK1 b - -,a7a5
8/p7/4p2k/6pp/4P3/5rP1/2QKR2P/q7 b - -,a1a5
r3r1k1/p2q3p/2pn1pp1/2Bp2b1/3P2P1/1P3QNP/P4P2/R3R1K1 w - -,g1g2
1r1qn2k/1b1n1pbp/p2p2p1/2pP2P1/2P2P2/2NQB2P/P1N5/3BR1K1 w - -,e3d2
r1bq1rk1/pp1n1ppp/2p1pn2/b7/2pP4/P1NBP1N1/1P3PPP/R1BQ1RK1 w - -,d3c4
5rk1/5p2/6p1/p1B3Np/P7/1p1r3P/Bb4P1/4R1K1 w - -,a2b1
4r1k1/p4ppp/2b2n2/1p5Q/8/1P1BN1P1/P1PP3P/4R1K1 b - -,f6h5
r7/3p1pkp/3Pb3/3nP1p1/1Np5/P3PBP1/7P/R5K1 b - -,a8a5
4k3/8/2KP3r/4p3/8/8/8/5R2 w - -,f1a1
3N1rk1/pb2p1bp/1p1q1ppn/3n4/5PP1/1P2P2P/PB1Q1NB1/R2R2K1 b - -,f8d8
r1bq1k1r/1p2bp2/p2B1R2/4QPp1/6P1/8/PPP4P/2K2B1R b - -,h8h7
r2r4/1kp5/1p2b1pb/2pN1p1p/p1P1PP1P/P5P1/1PKN4/5R1R w - f6,e4e5
2b3k1/p1q2pp1/2p4p/2N1b3/2P3P1/1P5P/P4P2/2BR1B1K w - -,a2a3
1rr3kb/4pp1p/3p2pB/q2Pn3/1p6/1P3P2/P2QN1PP/2RR3K w - -,a2a4
4r1k1/p4nbp/2pB2p1/2P2p2/NPq5/5R2/P3r1PP/1R1Q3K w - -,d6g3
r1bqkb1r/2p2ppp/p1np1n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQ1RK1 b kq -,f8e7:c6a5
2r3k1/5npp/2pp1p2/p1q2P2/2P1B3/1P6/P2Q2PP/3R3K w - -,g2g4
4r1k1/2q1r1pp/1p3p2/p1p5/N1PnBP2/PP5P/5Q2/1R2R1K1 b - -,e7e4
2r5/p4pk1/1n5p/6p1/4p3/6PP/P2RPPK1/4N3 b - -,c8c1
7r/p4pk1/1p3q1p/6p1/1P6/P4PP1/5PK1/2Q1R3 w - -,c1c7
8/3n3p/6pk/8/3B4/3P1BPP/q4P2/2Q3K1 b - -,g6g5
r5k1/1q3p2/6p1/p3Q2p/3R3P/1P4P1/P4P2/6K1 w - -,d4d6
r4rk1/pppqn1p1/2npp2p/8/3NP1Q1/N1P1P3/PP4PP/R4RK1 b - -,c6d4
2B5/4k3/p2p1nK1/1ppP4/2P5/1P3Np1/P7/8 w - b6,c4b5
rn1qk2r/pp2bppp/2p1p3/3n4/3P4/P2Q3P/1PP1NPP1/R1B1KB1R b KQkq -,e8g8
8/1kr5/p3R2p/1p6/5p2/1P6/4K1PP/8 w - -,e2d2
2R5/r2b1k1p/1p2p1p1/bP1p1p2/p2P4/P2BPPP1/5K1P/1N6 w - -,c8c2
r3kb1r/pp1b1ppp/2n1p3/3p4/3p1Bn1/1PP2NP1/1P2PPBP/RN3RK1 w kq -,f3d4
3r1rk1/1b3pb1/ppq3pp/8/2B5/1Q2nN2/PP1R1PPP/3R2K1 w - -,d2d8
rn2k2r/pb2bppp/1qp1pn2/1p2N3/P1pPP3/2N3P1/1P3PBP/R1BQ1RK1 b kq a3,a7a6
8/p3n3/k2b2N1/2p2p2/3pp3/Pr1p1QN1/1PqB2B1/KR6 w - -,g3e4
3Rr1k1/1n3q1p/p1b2Pp1/1p2p1P1/2p1P3/2P1Q2R/PP4BP/2N3K1 b - -,e8d8
4r2k/p1pbr2p/1p2P1q1/2pQ1pp1/P1P5/1P4PP/2PNR2K/4R3 b - -,e7e6
5rk1/pr5p/4bp1R/2p1p3/3pQn1N/qP1P1PP1/P1PN4/3K3R b - -,f4d5
8/3k4/1p3K2/p1pP2p1/2P1NnP1/PP6/7n/5B2 w - -,f6g5
8/2R2pkp/6pn/3Bp3/3bK3/7P/8/8 w - -,c7d7
8/p2nk1pp/4ppb1/8/1rP1N3/R5PP/P4PBK/8 w - -,a3a7
2rr2k1/pp2npp1/1b1p3p/4p1n1/1PP1P3/PN2N1P1/1B3PP1/2R1R1K1 b - -,g5e4
r5k1/2p3pp/p2n2r1/1pBpp3/8/2PP1P2/PP3RPP/4R1K1 b - -,g6e6
8/8/4p3/p1p1knp1/PpP5/1P1KPB1P/8/8 b - -,f5h6
7r/1p2rkp1/p1pb2p1/3p2P1/1P1R1pnP/1PP2P2/4PB2/1R3K2 w - -,f3g4
r5k1/5ppp/2p5/pb1p4/8/P1P1B1P1/1R3PP1/6K1 w - a6,f2f3
q4rk1/2pbbpp1/2np1n1p/1p2p3/1P2P3/2PPBN1P/3NBPP1/3Q1RK1 b - -,a8b7
1r1q1rk1/pp3p1p/5npQ/1N1Pp3/8/1P3P2/PP4PP/2KR3R b - -,f6d5
2r2r2/1b2qpk1/1p2p1pp/pN1p1n2/2PPn3/PP3N1P/2Q1BPP1/R2R2K1 w - -,e2d3
2br2k1/1pppqppp/7r/p1P5/3Q2B1/PP2P3/R4PPP/5RK1 b - -,d7d6
r1b1k2r/bpp1qpp1/p1np3p/3Pp3/3P4/4PNP1/PP3PBP/R1BQ1RK1 b kq -,c6b8
r2q1rnk/pppn1pbp/3p2p1/3Pp3/4P3/4B1PP/PPPQNPB1/R4RK1 b - -,h7h5
3rr1k1/pp3ppp/1q6/8/1n1p2bN/1P4P1/P2QPP1P/1BR1R1K1 b - -,b4d5
4rr1k/2qb2pp/p2p2n1/2pB1p2/2P2P2/2P4P/P1Q1R1P1/2B1R1K1 w - -,e2e8
