8/8/4pk2/2p3p1/R7/1P1rrP1P/P4RKP/8 b - -,e3e1
r2q2nr/ppbb1pk1/4p1p1/2Pp3p/1P1P4/P1NNQ1PP/5PB1/R4RK1 w - -,f1e1
3qr1k1/2rn1ppb/1pp1p2p/p7/P2PP1P1/1N3P1P/BP1Q2K1/2RR4 w - -,d2f2
3r2k1/p3npb1/2p3p1/7p/4P2P/2QN1BP1/P4PK1/3R4 b - -,g7c3
r2qk2r/ppp1pbb1/1n4pp/3p4/2PP1PPB/5N1P/PPQ1B3/R3K2R w KQkq -,c4c5
b2r1bk1/2q2pp1/3r1n1p/2p1N3/1pP2P2/3B3R/1PQB2PP/4R1K1 w - -,d2e3
r2qk2r/ppp1bppp/1nn1b3/4p3/8/1PN2NP1/P2PPPBP/R1BQ1RK1 w kq -,c1b2
3r2k1/p2r1pbp/1pb3p1/8/2BB4/1PP3P1/4PP1P/R2R2K1 w - -,e2e3
rnbqk2r/pp2bppp/4p3/3n4/2B5/2N2N2/PP1P1PPP/R1BQ1RK1 b kq -,e8g8
3r1r1k/Qp2q1pp/2B2n2/4bp2/1P6/3P3P/P2BPP2/4RRK1 b - -,f6e4
rnbqk2r/3nbppp/p2pp3/6P1/1p1NPP1P/4B3/PPP1N3/R2QKB1R b KQkq -,d7c5
4k3/qbQr1pb1/p2P3p/1Bp1p1p1/4P3/5PP1/2P3P1/R2N2K1 b - -,c5c4
6R1/4k3/1r4p1/3p2p1/2pPp1P1/2P1P2P/2K5/8 b - -,b6a6
r4n1r/pp1b1kp1/7p/4R2P/8/6N1/PP3PP1/R1B3K1 w - -,c1e3
r1b1k2r/pp3ppp/2p1pn2/3p4/2PP4/P1q1P3/3N1PPP/R2QKB1R w KQkq -,d1c1
8/6pk/6p1/4R1Pp/1p1r1p2/5P2/PP6/4K3 b - -,b4b3
r2qnrk1/p2p1ppp/bp2p3/2P5/2n1P3/P1PB1P2/4NBPP/R2Q1RK1 b - -,c4b2
8/1pR5/1p1r1kp1/p4p1p/PnBPp3/4P1P1/1P3P1P/6K1 b - -,d6c6
r1bq1r2/bpp2ppk/p1np1n1p/4p3/P1B1P2B/2PP1N2/1P1N1PPP/R2Q1RK1 w - -,f1e1
r2rn1k1/p2nbppp/3pp3/qPp5/P3P3/1B5P/1P1NQPPB/R2R2K1 b - -,a5c7
7k/5R2/5p1p/P5pP/6P1/5PK1/r7/8 b - -,a2a5
4r1k1/p4pnp/6bQ/1p4R1/2Bp4/P4P2/1PqB2PK/8 w - -,c4b5
1nr4r/1b2q1k1/3bnp2/p2p2p1/P5Pp/1pN1PQ1P/2R2P2/R1N1BBK1 w - -,c2b2
r3r1k1/1p1q2p1/2pn2bp/p2p4/P2B1P2/R4BP1/1P2P2P/2Q2RK1 b - -,g6f5
2br3k/p4rpp/2B1pb2/8/3P3P/2B3P1/PP3P2/3RR1K1 b - h3,f7c7
3k4/pp4p1/5p2/7p/1P1P4/1K1RNP2/6rb/8 b - -,g2g1
5r2/5qbk/2Bp2pp/p2Pp3/P1P2nQ1/4B2P/6P1/R5K1 w - -,a1b1
8/2r1k1p1/R4p1p/5P2/B4K2/1Np5/1n6/8 w - -,a6e6
4r1k1/3qbpp1/p1r1bn1p/1p1p4/8/2N1B1PP/PPQ1PPBK/3RR3 w - -,c2d3
4r1k1/5p1p/6p1/8/r4P2/6P1/5P1P/R5K1 w - -,a1a4
r1bn1rk1/ppq1bppp/3p1n2/2p1p1N1/P1B1PP2/2PP4/1P4PP/RNBQ1RK1 w - -,b1a3
1R6/3p1pkp/3p1bp1/1p3n2/5B2/6PP/PP3PK1/8 b - -,f6b2
8/7p/1Pk3p1/4B1P1/2P1n2P/p1P2p2/P7/6K1 w - -,c4c5
r2qr1k1/1p1bnppp/1p1p2n1/2p5/3NPP2/2PBBQ2/PP4PP/R4RK1 w - c6,d4b5
r1b1k2r/3n1ppp/ppq1pn2/2b5/P1B5/1N3N2/1PP1QPPP/R1B2RK1 b kq -,c8b7
6R1/4kpb1/6pp/4P2r/5P2/5NK1/8/8 b - -,g7f8
r2q1rk1/3bppb1/p1np1npp/1p6/2B1P3/2NQ1N1P/PPPB1PP1/2KR3R w - b6,c4b3
8/1p3pbk/p6P/5P2/PP1r4/3p1R2/3B4/7K b - -,d4h4
2r2k2/1p2b1p1/p1q2p2/4B1P1/5P2/8/PPP1Q3/1K1R4 w - -,e5c3
r2r2k1/1q1p1ppp/p2Qp3/1p2P3/5P2/P1R5/1PP3PP/3R2K1 b - -,b7e4
R7/1p6/7k/p4p1P/2P1bp2/P7/5K2/8 b - c3,h6h5
5r1k/5rp1/2q1pp2/1p1nPb1P/p1pP3Q/P5B1/BP3PP1/2R1R1K1 b - -,f5h7
6k1/1p3p2/p1rnb2p/3p2p1/3P1NP1/3B1P2/PP3KP1/5R2 w - g6,f4e6
3r3k/p5bp/1p2q3/3p4/2Q1pP2/6P1/PP1R3P/3R3K b - -,d5c4
2r3k1/4np2/2pb1qpp/3p4/3P4/3BPN1P/2Q2PP1/2R3K1 w - -,c2a4
rb2qr1k/1b1nB1p1/pp1PBn1p/2p1p3/P3p2N/4P3/1P2QPPP/2RR2K1 b - -,b7c6
2kr1b1r/Bpp1n1q1/5p2/3Pp2p/8/3p1Q1P/PP3PP1/RN3RK1 w - -,b1c3
6k1/5p1p/p3b1p1/4p3/4r1P1/7P/2K5/3R3R w - -,h1e1
r5k1/pp3p1p/4r1p1/2q1n3/2Pp3Q/6PP/PP3PB1/R3R1K1 b - -,a8e8
1q3rk1/p1nb1pbp/3p1np1/2pPp1BP/2P1P1P1/2NB1P2/Pr2N2Q/R3K2R b KQ -,c7e8
3R4/1r3p1p/4pkp1/8/2P1P3/5P2/2K3PP/8 w - -,c2c3
2r5/4kp1p/p3p1p1/1p2p3/4P2P/1BP5/P1P5/1K1R4 w - -,b1b2
r3nr1k/p1pbq1bp/3p4/2PNnp2/1p6/1B2BP2/PP3QPP/1NKRR3 b - -,e7d8
8/R4ppk/2n1p2p/2PpP3/3P1PP1/2Bb3P/3N1K2/8 b - -,c6a7
r2qkb1r/pp3ppp/2p1pn2/3p4/1nPP2bN/N5P1/PP2PPBP/R1BQ1RK1 w kq -,c1g5
5r2/p5kp/1b1r1pp1/n1p5/4R3/P4Q2/1B3RPP/7K b - -,f8f7
rnbqkb1r/ppp4p/3p1np1/4pp2/2P5/2NP1NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
r3kb1r/pb1npp1p/2pp1np1/qp6/3PP3/2NBBP2/PPPQ2PP/R1N1K2R b KQkq -,f8g7
8/8/2R1N3/p4k2/3r3b/5K2/8/8 b - -,d4d3
8/1R5K/8/6P1/2k5/1p5r/8/8 w - -,h7g7
r1b2rk1/pp1pppbp/6p1/q7/3nP1Q1/1BN1B3/PPP2PPP/R4RK1 w - -,c3d5
r1bqk2r/p1p2ppp/2pb4/8/3p4/5N2/PPP2PPP/R1BQK2R w KQkq -,f3d4
8/1pq5/3npk2/1pNp1pp1/3P4/PP2PP2/3Q1KP1/8 b - -,b7b6
rn1q1rk1/1b3ppp/p2bpn2/1p4B1/3P4/1BN2N2/PP2QPPP/R2R2K1 b - -,b8d7
3r4/2p1bpk1/1p2n1pp/p1p1P3/P1P4P/1P3NP1/1B1RKP2/8 w - -,d2d8
3r1rk1/ppp3bp/2n1pnp1/4p1B1/4P3/2N2N1P/PPP2PP1/R4RK1 w - -,a1d1
3r2k1/np1b1p2/r3p1p1/1p1pP1Pp/1PnN1P1P/1RP5/P1NK4/R4B2 w - -,f1c4
r1bq1rk1/pp6/3b3p/2P3p1/2Pp1pn1/3P2P1/P2N1PBP/R1BQR1K1 b - -,f4g3
r3k2r/p4ppp/3B1n2/1p1P4/b3P3/2pB4/P4PPP/1RR3K1 b kq -,a8c8
5rk1/1p5p/2p1qn2/Q3p3/2Pr4/P1N3PP/1P1bBP2/3R1RK1 w - -,g1g2
8/p1r2k1p/1nPrbpp1/R7/3N1P2/4P3/P4KBP/2R5 b - -,e6c4
r2qr1k1/1b1nbpp1/pp2pn1p/2p5/BP2P2B/P1N2N2/2P2PPP/R2QR1K1 b - -,b6b5
2r3k1/2nn2b1/p1p1r1pp/1pPpp3/1P2P3/2N3P1/1P1N1PKP/R1B1R3 b - -,c8f8
1r2b3/1pb1rpk1/pNp2qp1/P7/1P2Pp1p/1BPR1P1P/5QP1/3R3K b - -,c7e5
2rr2k1/pbq1bpp1/5n1p/3p4/N1p5/1N2PBP1/PPQ2PP1/2RR2K1 w - -,b3d4
5k2/8/8/3P4/4p2P/PpP5/2bR1PPK/8 w - -,d2d4
2rr4/4kppp/p7/1p2P3/4b1P1/2B1P3/PP3K1P/R2R4 b - -,e7e6
8/p7/1p2k3/1n3NPP/5K2/5P2/2P5/8 b - -,b5c7
r4rk1/p1pp1pbp/b5p1/1p1P4/3q1P2/1B6/PPP1Q1PP/R1B2R1K w - -,c1e3
r2r2k1/p3ppbp/1pn3p1/1b2n3/2P1PN2/5P2/PP2BBPP/R3K2R w KQ -,c4b5
8/5r2/pBK1k3/P3p1p1/4P2b/8/4RP2/8 w - -,b6e3:e2d2
3qnrk1/1pr1b1pp/2pBp3/p7/P3P3/2N1Q2P/1PP2PP1/3RR1K1 b - -,e8d6
r7/P7/1B6/8/2B1pk1p/1P4p1/6K1/8 b - -,h4h3
