8/8/3q1k2/6pp/8/7P/6P1/1R5K w - -,b1f1
r1bqr1k1/1p3ppp/8/p1pP4/1nPp2P1/7P/PP3PB1/R1BQ1RK1 w - c6,a2a3
1r4k1/5pbp/p2q1np1/1pp5/8/1Q6/PP1NRPPP/5RK1 w - b6,d2f3
r1bqkb1r/pp2p1pp/5p2/3Pn3/2P1pP2/8/PP1B2PP/R2QKBNR b KQkq f3,e5g6
7r/p3kp1p/4p1p1/8/3rP3/4KP2/P4P1P/3R4 w - -,d1d4
7r/p1k2p2/3bp3/6pp/1PP1B3/P4PP1/3K4/6R1 b - -,h5h4
q1k1r3/2p3pp/1nn2p2/5P2/1P1P1B2/P2Q3P/2P2rP1/R5K1 w - -,g1f2
5rk1/p2n1ppp/1p1p1n2/4p3/2r4B/P1N1P3/1P1R1PPP/4K2R w K -,h4f6
rnbq1rk1/1p2bppp/2pp1n2/p3p3/2PPP3/2N3P1/PP2NPBP/R1BQ1RK1 b - -,b8a6
2b1rbk1/1p3p1p/pBp2p2/5P2/6P1/1P3B2/1PPR3P/6K1 w - -,g1f2
2r5/p3pk1p/4p1p1/2b5/4P2P/3R3n/PPP1B3/2KN1r2 w - -,e2f1
1r1r4/2q2p1k/pp4p1/3Ppb1p/8/PP2Q1PP/4P1BK/2RR4 b - -,c7e7
2Q5/8/p7/1p1qp3/1P2k1K1/P7/8/8 w - -,c8a6
4rrk1/ppq3pp/3bbp1n/1Pp5/P1PpPP1P/R5P1/1B2Q1B1/2R2NK1 b - -,h6g4
4B3/5R2/3p4/3Pk3/P2b3p/r7/4KP2/8 b - -,e5d5
8/8/7R/1p6/8/P1p5/1rk5/K7 w - -,h6h5
r3rk2/pp3pp1/1np2n2/4P2p/3P1N1P/5P2/PP1K2P1/2RR4 b - -,f6d5
7k/2p3p1/3r4/R4N1p/P6n/2P5/1P2KP2/8 b - -,d6e6
8/2kr4/3p4/p1qBp3/1P3p2/P1PQ4/K7/8 b - b3,a5b4
8/2qP1k1p/5b2/4rB2/8/5Q2/PP3P1P/3R2K1 w - -,f3h5
r1q1kb1r/1p3ppp/p3pn2/3pBb2/3P3P/1QP5/PP1N1PP1/R3KB1R w KQkq -,f1e2
rr4k1/p3pp1p/2p2qp1/1n2Nb2/Q2P4/1PN4P/P4PP1/2R1R1K1 b - -,b8d8
rn3r1k/1p1nb1pp/3pQ3/q3p1P1/4P3/2N1B2P/PKP2P2/3R1B1R w - -,a2a4
8/pp3kp1/7p/3b1p2/7P/PP4P1/3NK3/8 w - -,e2e3
r3k2r/1ppbqp2/2np1n2/1p2p1p1/1P1PP1Pp/P2Q3P/1BP1NPB1/R4RK1 w kq -,f2f3
8/8/2Rn4/pr2kpp1/8/1N3K1P/P7/8 w - -,c6a6
7k/pp5p/8/1q3p2/3p4/3N1PP1/3Q1K1P/4r3 w - -,d3e1
r1r3k1/1p1nppbp/3pb1p1/8/N1P1P3/1P3P2/3BB1PP/1RR3K1 w - -,d2e3
r1b2k1R/p4P2/2p1p1p1/5nNp/8/8/PPP2PPP/4R1K1 b - -,f8e7
5rk1/6p1/p1p2r1p/1p1pQ3/6q1/2P4P/PP1R1PP1/4R1K1 b - -,g4g6
5rk1/5pp1/4q2p/1Qb1P3/P1p5/1nP2NBP/5PP1/4R1K1 w - -,e1e4
2kr3r/pp3p2/2n3np/3pP1p1/P1pP4/2B3P1/1P3P1P/2KR1B1R b - -,c8c7
1r2rqk1/2p2pp1/4b1np/8/3b2P1/2P1B3/1P2BPP1/2QR1RK1 w - -,d1d4
4k3/1p5Q/3p4/3q2p1/5p2/5P2/6P1/6K1 w - -,g1h2
5rk1/p7/1p1q3p/3P2p1/4Q1P1/8/PP4Pb/4R2K w - -,e4d3
2r2rk1/p1q2pbp/4p1p1/1p2P3/2p1Q3/2P3B1/PP3PPP/R2R2K1 w - -,d1d6
r1bq1rk1/pp1nppbp/2p3p1/8/P2PP1n1/1BN1B3/1PPQ2PP/R3K1NR w KQ -,e1c1
8/5p1R/p3k1p1/1p1bP3/3B1KP1/P3P2P/1P3r2/8 w - -,f4g5
4r3/pk3p2/1p1qpp1p/2n5/5N2/Q7/PPP2PPP/2K1R3 w - -,a3f3
r4rk1/1b3ppp/p3p3/1p1qP3/8/P3QNnP/1PP1B1P1/R4RK1 w - -,f1e1
3r4/pB2kp2/4r3/4p1q1/1P1bQ1Pp/P6P/5PK1/3RR3 b - -,e6f6
8/5R2/6p1/2p5/2P5/1P4k1/P2r4/5K2 w - -,f7g7
rnbqkb1r/p2pppp1/7p/2pP2N1/1p2N3/8/PPP1PPPP/R2QKB1R w KQkq -,g5f3
r2r2k1/p2q1ppp/Q1p1b3/8/3P4/1P2B3/P4PPP/R3R1K1 b - -,e6d5
8/r4p1k/3P3P/1pP1NKP1/1P2R3/8/8/r7 b - -,a1f1
5rk1/7p/2bPq3/1p2P3/3Q1BPb/2PB3P/1P6/6K1 w - -,d3f5
r5k1/1b2q2p/1p3p2/2bp4/3Q1B2/1P3B2/5PPP/5RK1 w - -,d4d3
r3k1nr/p2p1pbp/bqp3p1/2p1p3/Q3P3/N1P2N2/PP1P1PPP/R1B1R1K1 b kq -,a6b5
r3b1k1/1q1r1pb1/2p1p1pp/ppBnP3/3PN3/6P1/PP2QPBP/3RR1K1 b - -,d7d8
1q4k1/1r1p3p/2b1p1p1/2P1PrP1/pB1Q3P/2P2pP1/5R2/4R1K1 b - -,b7a7
r4rk1/2nqppbp/3p1np1/2pP4/P3P3/N5N1/1P3PPP/R1BQ1RK1 w - -,a3c4
1rb2rk1/6p1/3q3p/p1np1p2/5P2/P1PBQR1P/4N1P1/4R1K1 b - -,c5d3
r3k2r/pb1n1p2/2pbpn1p/qp4p1/3PP3/2NB1NB1/PP3PPP/R2Q1RK1 b kq -,d6g3
6k1/2p1qp1p/3b2p1/rB1P3r/1pR1Pp2/1P3P1P/P4QP1/2R3K1 w - -,b5c6
3r1bnk/1pqr1pp1/2p1p2p/p3P2Q/8/PPP3P1/2B2P1P/2B1RRK1 b - -,g7g6
r5k1/6pp/p7/2Nb4/pP6/2KB4/7r/6R1 w - -,c5a4
2r1k1r1/1p2bp2/pq1pbn1p/4p2P/4P3/2NQ1PB1/PPPN4/2KR3R w - -,g3h4
8/5pp1/4p1k1/3n3p/3r1P1P/RP2n1P1/8/2R1K3 w - -,e1e2
8/1b1r2kp/p4pp1/1p6/7P/PP2B1P1/4KP2/2R5 b - -,g7f7
r3nbk1/1r1b1p1p/1P1q2p1/2pPp3/p1P1P3/QR2B3/3NBPPP/1R4K1 w - -,b3b2
4nrk1/1br3pp/p2p1p2/1p3NP1/4Pp1P/3B4/PPP5/2KR1R2 w - -,f1f4
r1bq1rk1/1pp2pbp/p1np2p1/4p2n/B1P1P1P1/2NPBN1P/PP3P2/R2QK2R b KQ g3,h5f4
2r1r1k1/5ppb/1p2p2p/3pn3/1b6/P1NP2P1/4PPBP/2R1R1K1 w - -,a3b4
7R/4b3/1P2k3/2n2p1p/6pP/8/4KP2/8 b - -,e7h4
r1bq1rk1/p1p2ppp/2p1p3/3n4/2pP4/P5P1/P3PPBP/R1BQ1RK1 w - -,d1a4:d1c2
2k5/p4pp1/1p5p/2pR4/5n1P/1P3P2/P7/K1R5 b - -,f4d5
4r1k1/pb1n1pp1/1r2pn1p/8/3N3B/P2BPP2/6PP/2R2RK1 w - -,a3a4
1r1r2k1/R2nbppp/8/1b1pP3/8/3NBP2/1P2B1PP/1R4K1 b - -,b5d3
r3r1k1/1p3p1p/p2p1pnB/2p1qb1Q/P2pP3/3P2P1/1PP3BP/R5K1 w - -,e4f5
6r1/1p1kp2p/3r1p2/3Nb1pP/4P1P1/1P1R4/5RK1/8 w - -,d3f3
2rqk2r/1bpnppbp/p2p1np1/1p6/3PP3/PBN1BP2/1PPQN1PP/R3K2R b KQk -,h7h6
rn1qkb1r/p1pp1ppp/b3pn2/8/3P4/1PN2NP1/P3PP1P/R1BQKB1R w KQkq -,f1g2
2rr4/1B3pk1/p2p1np1/1p6/3R2P1/PP5P/5P2/4R1K1 b - -,c8c3
8/8/6K1/5P2/R7/P2k4/6r1/8 w - -,g6f7
rr4k1/3nppbp/3p2p1/q1pP4/2b1P3/2N2NPP/PPQB1P2/R3R1K1 b - -,a5a6
2nkb1nr/8/pp2p1Np/3pPp1P/P1pP4/2P1B3/2BK1P2/1R6 b - -,e8g6
6k1/pp3p1p/1n4p1/3P1P2/8/2P2nPP/r5B1/1RB4K b - -,f3d2
r3r1k1/1ppb1ppp/3p1n2/p1bN3q/2P3n1/1P1QPN2/PB2BPPP/R4R1K b - -,f6e4
rn2k2r/p1p2pp1/1p2p1n1/P2pP1Bp/2qP3P/2P5/2P1NPP1/R2QK2R w KQkq -,a5b6
8/8/p1r3pp/1p5k/1P1K3P/2P5/8/2R5 w - -,d4d5
2r2rk1/p2bppbp/qp1p1np1/8/1n1PPP2/1N2B1PP/PP1QN1B1/R4RK1 w - -,e2c3
r1r3k1/pp3pb1/2b1p1pn/2B1P2p/4NP2/6PP/PP4B1/R2R2K1 w - -,a1c1
2rr2k1/pb2q1pp/1p2np2/2pp4/P2P3P/1QP1PNP1/5PB1/2R1R1K1 b - -,b7c6
8/pp3k2/1b1Bp2p/1P2Ppp1/P7/5P1P/4K3/8 w - -,d6b4
r1br3k/ppp1N2p/n7/4b1p1/2P1P3/8/PP2BPP1/R3K2R w KQ -,e7g6
8/p2r1n1p/1p1kbpp1/3pp3/5P2/1P1PPNPP/P2K2B1/2R5 b - -,d7c7
2r1rbk1/3n1ppp/p2p4/1p1Pn3/3N2P1/P6P/1PPB4/1K1R1B1R b - -,d7b6
r1b2rk1/ppp1qppp/2np1n2/4p3/2PP4/P3PNP1/1P1N1PBP/R2QK2R w KQ -,e1g1
3r1b1k/4NB1p/1p3P2/p1p3P1/4R3/7r/6K1/8 b - -,d8d3
