1R2k3/2Qb4/5q2/8/7P/5PK1/1P4P1/7r b - -,e8e7
r1bq1rk1/1p1n1pb1/2pp1npp/pP2p3/2P5/N2PPN2/PB2BPPP/R2Q1RK1 w - -,d1c2
7k/3b1B2/8/1p1pp3/5p2/2P1bP2/1P2N1K1/8 b - -,d7c6
5q2/2n5/1k2p3/p1pnP3/PpQ2pP1/1P6/1B2KP2/7B b - -,f8h6
5r2/r4pk1/pp2b1p1/3QP3/R3N1P1/7P/1PP5/1K5R b - -,e6d5
1n2kbnr/1p3ppp/q3p3/3pP3/QP1P4/2N2N2/3B1PPP/4K2R b Kkq -,b8d7
8/5p2/6k1/1R6/1pr4P/6PK/5P2/8 b - -,f7f6
2r1qr1k/1ppbbppn/p1n1p2p/8/2BP4/P1N1PNB1/1P2QPPP/3RR1K1 b - -,h7g5
8/5p2/p3rp1k/1p6/1P3K2/P2Q4/8/8 b - -,h6g7
r2qrbk1/1bp2pp1/1n1p1n1p/p7/P2PP3/2B2NN1/2B2PPP/R2QR1K1 b - -,d6d5
1r1q1rk1/4ppbp/2np2p1/1p3b2/1P1Pn3/1RN2NP1/4PPBP/2BQ1RK1 w - -,c1b2
6k1/1p3pp1/1R6/2pP4/2P5/2K3r1/P7/8 w - -,c3c2
r3k3/4P1r1/6p1/4Rp1p/5P1P/2P5/1KP2P2/q3R3 w - -,e1a1
1rbq1rk1/2n2pbp/pn1pP1p1/2p5/2P1P3/1PN3P1/2Q1NPBP/R1B2RK1 b - -,f7e6
3r4/pp3pkp/2b3p1/2P1p3/2B1P3/5P1P/P1n3P1/1RB3K1 b - -,d8d1
4rrk1/bpp2pp1/p2pqnnp/4p3/1PP5/P2PPNPP/1BQ1NPK1/2RR4 w - -,c4c5
r2q1rk1/pppnppbp/5np1/3p1b2/1P1P4/4PN1P/PBPNBPP1/R2QK2R w KQ -,c2c4
8/p5k1/1p6/7Q/1P3pp1/2n4P/6P1/4rNK1 w - -,h5g4
2Rnr3/1r5k/p5pp/4Np2/3P1b2/B2P4/4P1RP/5K2 b - -,f4e3
4r1k1/3q1pp1/p7/1pbr4/3N1Rn1/1P1RP1P1/PB2Q2P/4K3 b - -,g4e5
8/8/5k2/3p4/1p1PpBP1/3b4/P4K1P/8 w - -,f4d2
3k4/5R2/5P2/4P3/5K2/8/6r1/8 b - -,g2f2
1k6/7b/2p1pp2/6p1/1PNP4/5P2/5KP1/8 w - -,c4d6
r2r2k1/pq3pp1/1p1Pnb2/2p2N1p/7P/4RN2/PP2QPP1/3R2K1 b - -,b6b5
3b2nk/5p2/6p1/2B3p1/P1B4P/8/8/6K1 w - -,h4g5
r5r1/2q1k1p1/p1pbppP1/8/2Q5/4B3/PPP2P2/2KR2R1 w - -,g1e1
8/7p/3PQ3/6k1/1P6/6P1/3q2K1/8 w - -,g2h3:g2f3
r2q1rk1/1p3pbp/p4np1/4p3/P7/1N2B1PP/1PPR1Pb1/R2Q2K1 w - -,d2d8
8/7r/p3pk2/Pp4R1/1Ppr1p1P/5K2/5R2/8 w - -,f3g4
r3k2r/pp2qpp1/1np3p1/3N3n/4P3/1Q2bPP1/PP2BK1P/2R3R1 w kq -,d5e3
6k1/R4pp1/8/4p2p/6PP/2r2P2/6K1/8 b - -,h5g4
4rrk1/p1pb2pp/1qp5/3pP1n1/3N1p2/2P2P2/PP4PP/R1BQR1K1 w - -,g1h1
5r2/8/3p1n2/2kPp2p/Pp2P3/1Pp3P1/2B1K3/7R b - -,f6g4
r4r2/b1p2ppk/p1n1bq1p/1p2pN1Q/3pP1P1/1BPP3P/PP3P2/R1B2RK1 b - g3,a8d8
1r5r/3k4/p3bpQ1/q3p1pp/NbPB4/1P3P2/P5PP/3RR1K1 b - -,d7e7
r3k1nr/ppp1qppp/2nb4/1B1pp3/5P2/1P2Pb1P/PBPP2P1/RN1QK2R w KQkq -,d1f3
8/5b1N/4n1p1/p5P1/3kp3/1P6/3K4/3B4 b - -,d4e5
r1bq1rk1/pp2ppbp/2npn1p1/8/2PNP3/2N1B1P1/PP3PBP/R2Q1RK1 w - -,d4e2:d4c6
1r1q1rk1/5pb1/p2p1np1/1BpP4/Q4Pbp/2N5/PP1B2PP/R3KN1R w KQ -,a4a6
r2q1rk1/1bpnbppp/pp1p1n2/4p3/P2PP3/2N2N1P/BPP2PP1/R1BQR1K1 b - -,c7c6:h7h6:b6b5
3r1rk1/1pq2p1p/p3bnpb/3pp3/4P3/1NPB1P2/PPN1Q1PP/R4R1K w - -,c2e3
2rr2k1/1b3pbp/p4qp1/Q1pp4/N5n1/BP2P1P1/P4P1P/1BRR2K1 w - -,d1f1
5rk1/p3qpbp/8/1P1n4/2R2p2/4pPPB/P2pP2P/3Q1RK1 w - -,d1c2
1rb1r1k1/2q1bpp1/pnpp2n1/1p5p/2PNPP2/1PN1B1PP/P2Q1RB1/3R2K1 w - -,e4e5
8/3rk1pp/1p3p2/P6b/8/6PP/6B1/2R3K1 w - -,a5b6
2r1r2k/Q5pP/5p1P/1b1n1P2/p1p1p3/2Bq4/PP4B1/2R2RK1 b - -,c8c7
8/8/p7/2p1k3/2P2r2/P1K5/3N4/8 w - -,d2b3
2kr4/1pq2p1p/2pbrnp1/p2p1p2/P2P4/2PBPPP1/1PQN3P/1K2R2R w - -,e3e4
q3r1k1/p1r2ppp/5b2/p2PN3/4Q3/4P3/P2RBPPP/1R4K1 w - -,f2f4
6k1/p1b3p1/Pr2p3/3p1p1p/1P1P1PrP/1PpqP1P1/2R4K/R1Q5 b - -,c7d6
2n5/2p2pk1/2qp1npp/1p2p3/1P2P3/Q1PPNNPP/5PK1/8 w - -,a3b3
8/6k1/8/7p/p2PP3/1P3RK1/r7/8 w - -,b3a4
6k1/6pp/4p3/2Pp1r2/8/6PP/2R2PK1/8 b - -,f5f8
8/8/p1p5/1p1k4/1P1P1ppP/3K4/P5P1/8 w - -,h4h5
r1bq1rk1/pp1nppb1/2p2npp/3p4/3PP2B/2N2P2/PPPQ2PP/1K1R1BNR b - -,b7b5
8/5p1k/6p1/p2p4/1p1P1Q2/1P3PPp/5K1P/1q6 b - -,b1c2
8/5p1k/5Qp1/1P1P4/4P2p/7P/2pb1PP1/1q4NK b - -,d2h6
8/5p1k/4prp1/1R5p/p1P4P/8/P1K5/8 b - -,h7g7
r1b3k1/2q3p1/4p3/6P1/3p1rpP/pP2R3/P1P5/1K1RQB2 w - -,e3d3
6r1/1p2k3/1r2pp2/3p1p2/2pP1P1p/P1P1R2P/1P1R1KP1/8 w - -,d2e2
8/2p1q1k1/p4p1r/2NPbQ2/1P4pr/P6P/5PP1/2R1R1K1 w - -,c5e6
8/1p4k1/p7/6NP/4p3/P1P3n1/1P1K4/8 b - -,g7f6
r4rk1/4bp2/pp1p1n2/4p1p1/P3P1q1/2NP2B1/1P1Q1PP1/R3R1K1 w - -,d3d4
5k2/5p1p/pq2b1p1/1n1p4/2p5/P3P2P/1PB2PP1/1NKRR3 b - -,d5d4
r1b1rbk1/pp1n1p1p/2q1p1p1/n2p2B1/N2P4/PP3NP1/4PP1P/1R1QRBK1 w - -,g5d2
r1bqkb1r/1p1pnp1p/p1n1p1p1/8/3NP3/2N3P1/PPP2PBP/R1BQK2R w KQkq -,e1g1
r1b2r2/2p2qbk/3p1np1/pNpP3p/P1P1Pp1P/5P2/1PQBB1KR/5R2 b - -,c8d7
8/2p3pp/8/1p6/2b5/2k2P1P/3R2P1/4K3 w - -,e1d1
6k1/pp2r2p/3n1q2/1PnP1pNQ/2p2P2/4r3/1P4BP/1R3R1K w - -,b5b6
4k3/2B3b1/4K1P1/4P3/8/8/8/8 b - -,g7h8
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq c3,b7b6:e7e6
6r1/p3kp2/3p4/3Pp3/2p1P3/2N2P1b/P3B3/2K5 w - -,c1d2
r2q2k1/ppp2pbp/2b2np1/3P4/P7/2N3PP/1PP2PB1/R1B1Q1K1 b - -,f6d5
2r3k1/1p1n1pp1/1p2pbbp/NN1p4/8/P2PB1P1/1PK1PPBP/7R w - -,c2b1
8/6bk/4q2p/5pp1/5n2/4QP2/1PBr1BPP/1R4K1 b - -,d2c2
r1bq1rk1/p1p1pp1p/2p3pQ/8/8/2nP2P1/PP2PP1P/2R1K1NR w K -,c1c3
r1bq1rk1/pp2ppbp/3p1np1/8/2BpPP2/2NP4/PPP3PP/R1B1QRK1 w - -,c3d1:c3d5:c3e2
r1b2n2/5r1k/p1p1pPp1/P1Np4/3B1P2/2P3R1/2P3PP/R5K1 w - -,a1b1
2R5/8/p2kr1p1/5p1p/7P/5P2/6P1/5K2 b - -,d6d5
rn2k2r/1bq1bppp/pp1ppn2/8/1PP5/P1N1PN2/1BQ1BPPP/R4RK1 w kq -,a1c1
1r4k1/q5pp/4p3/6P1/7P/3p1B1K/1R4R1/8 b - -,b8b2
2n5/2k1r1p1/R1bpqp2/7p/1PP5/2PB1P2/1KQ3PP/8 w - -,a6a5
r5k1/1p1n2p1/3b4/p2qpr1p/4N3/P3BPQ1/1P3P1P/3R1RK1 b - -,d5e6
6k1/pQ4b1/1p4p1/6q1/8/5P2/P4PKP/8 w - -,g2f1
