4b1k1/7p/6p1/8/4B3/7P/3r1PP1/R5K1 w - -,h3h4
r1bqkb1r/p4ppp/1pn1pn2/2pp4/4P3/2PP1NP1/PP2QPBP/RNB1K2R b KQkq -,f8e7
r1b2rk1/ppp2pp1/2np1q1p/4p3/2P5/P1QP1NP1/1P2PPBP/R3K2R b KQ -,c8g4
3qr3/4rpk1/p1p3p1/3p3p/3P1Q1P/1P3P2/P1P4R/2KR4 b - -,e7e3
3r1r1k/1p2q2p/p3Pp2/P1p1bP2/2p1N2Q/3n4/1P2B2P/3R2BK w - -,e2d3
r5k1/r2q1pb1/2p1pnpp/1p6/1P1P4/2P1R1PP/2Q2P2/1BB1R1K1 b - -,a7a1
8/3K1p2/1p6/5pP1/5k2/P2p1P2/8/5N2 b - -,f4f3
1r2r1k1/2pq1pp1/2n2n1p/1pbpp3/4P3/1QPP1NNP/1P1B1PP1/R3R1K1 w - -,e4d5
1q6/5kp1/2p5/2Pp1Pp1/p2P2P1/P2Q2b1/2K2N2/8 w - -,f2h3
1b2rnk1/r5pp/2P1p3/3P3P/4QpB1/5P2/3q1BP1/R1R3K1 b - -,a7a1
rn1qk2r/pp2ppbp/2pp1np1/5b2/2PP4/1PN1P3/PB3PPP/R2QKBNR w KQkq -,f1d3
R2q1rk1/3n1ppb/4pn1p/2bp4/2P5/5NP1/QB1NPPBP/2R3K1 b - -,d8a8
2rr4/pp4k1/6p1/5nqp/8/P1N2Q2/1P4PP/3R1RK1 b - -,g5e3
5R2/5np1/p3r1kp/2B5/2P5/1P4P1/P4P2/6K1 w - -,c5e3
1rbqk1nr/3nppb1/p2p2p1/6Np/Pp1BP2P/6N1/1PPQ1PP1/R3KB1R b KQk -,g7d4
2r3k1/6b1/p5np/2pq1p2/5p2/PR1PB3/2Q2K1P/3R4 w - -,c2c4
2b1r3/r1pn1pbk/1pq2npp/p2Np3/2P1P2N/PP2B1PP/5PB1/2QRR1K1 b - -,c8b7
r1r3k1/5pp1/1q2b2p/2ppQ3/8/P3P2P/P1R1BPP1/2R3K1 b - -,a8a3
r1bqk2r/pp2npbp/2B1p1p1/8/3P4/Q1N2N2/PP3PPP/R1B1K2R b KQkq -,b7c6
rnbqkbnr/ppp1pp2/3p2p1/7p/3PP2P/2N5/PPP2PP1/R1BQKBNR b KQkq -,f8g7
r5k1/2pn2pp/4q3/1P2p1PP/pQ1pNr2/3P4/2P2P2/KR5R b - -,f4f8
7r/1p6/2p1k3/p2p4/P2P2n1/1P2PN2/4K3/5R2 b - -,g4f6
8/p1p3Q1/1p3p2/8/2P2K1k/1P6/P7/8 w - -,g7h7
4r1k1/pp4pp/1b2b3/4p1N1/8/4NP2/PPP3PP/1K2R3 w - -,g5e6
8/6pk/6qp/1P2p3/5p2/P5P1/3Q1P1K/8 w - -,d2e2
2b5/k7/4rR2/1Pp5/6p1/8/2KN1P2/8 w - -,f6f8
2n2rk1/2q3bp/3p2p1/3Pp3/4P1P1/1PNQ1p2/2B1NB1P/5K2 b - -,f3e2
3rr2k/1b3pbp/p2p1n2/qPp2PB1/2P1P2Q/1PNR3P/6B1/5RK1 b - -,f6d7
r3k2r/ppp2ppp/5n2/3qp3/3n3Q/2BP1P2/PPP2P1P/R3KB1R w KQkq -,e1c1
rn1qk2r/pp2p1bp/2p2ppn/3pP3/3P1Pb1/2NB1N2/PPP3PP/R1BQK2R w KQkq -,c1e3:e1g1:h2h3
r3k2r/pp1nbppp/2p1pn2/1PPp1b2/3P1B2/2N2N2/1P2PPPP/R3KB1R b KQkq -,e8g8
3r2k1/1b2bp2/p3p1pq/1p1n4/1P1P1PQp/3N4/1P4PP/3RRBK1 b - -,d5b4
8/1r3pkp/1N1R2p1/pb6/4PP2/P3K1P1/7P/8 w - -,e3d2
r3rk2/2p2ppp/8/3RPb2/p4P2/5N2/1RP2KPP/8 w - -,f3d4
2rr2k1/pq2ppbp/2n1bnp1/2p5/P1N3P1/2P1P2P/1B1N1P2/1R1RQBK1 b - -,b7c7
5bk1/5r2/3p2q1/3Pp2p/4P1p1/3Q2P1/5B1P/2R3K1 w - -,c1c8
6k1/1p4b1/2pnP1p1/p1p1p1P1/P1P1Pp1N/1PN5/2K2P2/8 w - -,h4g6
6k1/8/8/8/5K1Q/5P1P/8/q7 w - -,h4g5
8/8/8/p2K2p1/Pk5p/2p1b2P/2P5/1R6 b - -,b4a4
4k3/n3bppp/4p3/p2pP2P/3P1PP1/1P1KBN2/8/8 w - -,f4f5
r4qrk/1ppn1ppn/3p3p/pP1PpP2/2PbP1RB/P6P/2N2PRK/2QB4 b - -,d4c5
rnbqkb1r/1p2ppp1/p2p1B1p/8/3NP3/2N5/PPP2PPP/R2QKB1R b KQkq -,g7f6
8/6b1/p3k3/3n2P1/4K3/2p5/P3N3/2B5 w - -,a2a3
8/7p/B1p5/K1k3pP/P4P2/8/5r2/8 b - -,f2f4
2rr2k1/p4ppp/qpnB1n2/8/3p4/QN4P1/PP2bPBP/R3R1K1 w - -,g2f1
rnq2rk1/pp2ppbp/2p2np1/3p4/8/1P1P1NPb/PBPNPPBP/1R1Q1RK1 w - -,f1e1
qB4k1/5pp1/1K2b2p/4Q3/4NPP1/3Pn2P/8/8 b - -,e3d5
rnbqk2r/pp2pp1p/5BpP/3p4/2Pp4/2P1P3/P4PP1/R2QKBNR b KQkq -,e7f6
2r3k1/1q1rbppp/1p1pp3/p1n5/2P1PN2/4BPP1/PP2Q2P/2RR2K1 b - -,d7c7
r4rk1/1p2b1pp/1qp1pn2/p1np4/P3P3/2N1B2P/BPP2PP1/1R1QR1K1 w - -,e4d5
2b5/2Q3bk/6p1/1B1Pp2p/P2qp3/4N3/5PPP/6K1 b - -,d4a1
8/5kp1/3bq3/Q2N4/P2R1P2/7P/1r4PK/8 b - -,e6e2
1Q3nk1/1b1r1pb1/2q1p3/2p1P3/6Rp/1P3N1P/1PP2PPK/8 b - -,c6c7
r1bq1rk1/p4ppp/3b1n2/3pN1B1/2pP4/4P3/P1B2PPP/R2Q1RK1 b - -,h7h6
6k1/1p6/p1b5/P1B2qpp/1P3p1P/8/5QPK/8 w - -,h4g5
1br2rk1/1p2npp1/p3q2p/4p3/1P2P3/P4NPP/1B1RQPK1/R7 b - -,f8d8
1r4k1/2p1qppp/2n2n2/p1Pp4/3Pp3/P1B1PP2/5KPP/Q5NR w - -,g1e2
8/1br3bk/p3B1pp/5p2/PN6/5P2/6PP/3R2K1 b - -,c7e7
8/p6R/8/1p1p4/1P6/1KP3rP/P2k4/8 w - b6,h7d7
5rk1/p1r3p1/5p2/4b3/4Q2p/8/P1P3PP/5R1K w - -,c2c4:e4d5
6k1/1p2r2p/1p1n1q2/2nP1pNQ/2p2P2/4r3/1P4BP/R4R1K b - -,h7h6
8/pp3k1p/2p2np1/3p1p2/2PP4/1P1Q1BP1/P4PKP/4q3 w - -,c4d5
3rr1k1/pp1bqpbp/5np1/n1p1p1B1/4P3/N1P2N1P/PPB2PP1/R1Q1R1K1 w - -,a1b1
r2q1rk1/pp1bb1pp/4pp2/2pp1n2/P4P2/1P2P3/1BPPB1PP/RN1Q1RK1 w - -,g2g4
2b3kn/p3p1r1/2ppq3/2p5/8/1P1P4/P1P1KQ1P/R5R1 w - -,e2d2
r5k1/p1q2p2/1p4p1/4b2p/8/B5P1/P1Q2P1P/4R1K1 w - -,c2e4
8/p4kpp/4p3/1B6/2n5/Pp4P1/1P2RK1P/2r5 w - -,b5d7
4r2k/1p1b2pp/1p6/5p2/1P3P2/1Br5/P5PP/4RNK1 w - -,e1d1
rBbq1rk1/pp2b1pp/2p5/3p1p2/3Pn3/2N2NP1/PPQ1PPBP/R4RK1 b - -,a8b8
4r3/pp2rkbp/2p5/8/P2Pp3/2B5/1P2RPPP/4RK2 w - -,e2e3
4r2k/1p4p1/2bq3p/3r4/P3p2P/1P2Q1PB/4R2K/4R3 w - -,e3f4
r4rk1/1bq1bppp/4pn2/p1np4/Pp1NPP2/1P1B4/1BP1QNPP/R4R1K w - -,e4e5
1r6/4qrbk/p3n1p1/4pb1p/1pPpN3/1P1P2PP/P3QBBK/2R2R2 b - -,b8f8
r2q2k1/pp2brpp/2p2n2/3p4/8/2N5/PPP2PPP/R1BQR1K1 w - -,c1e3
6rk/1p1R2b1/7p/P3p3/1P4q1/5PB1/6PK/8 w - -,f3g4
r3kb1r/2q2pp1/p3p3/2p1P2p/1p2bP2/4B2P/PPPQ1NP1/R4RK1 b kq -,e4b7
8/4K3/8/1p1p4/3P4/8/8/k7 w - -,e7d6
3r4/1p3p1k/6pp/1P6/3n4/6P1/5PBP/2R3K1 w - -,c1c7
2r3k1/5pp1/p1r1p3/P1P2Q1p/2R4P/4P1P1/P4P2/5BK1 b - -,e6f5
r3k2r/p6p/2n3p1/2P2q2/p1B1p3/2P3P1/1P2Q1P1/R3K2R w KQkq -,h1f1
5rk1/p4qpp/1pn1r3/2pQP3/2P5/3BB3/P5PP/4R1K1 b - -,c6b4
r3k2r/pp2qpp1/2nbpnp1/2pp4/3P4/1PP1P2P/PB1NBPP1/R2QK2R b KQkq -,c5d4
8/ppR3p1/2n2k2/1r6/7p/1N6/PP4KP/8 b - -,a7a5
8/5pkp/6p1/3R4/4PP1P/5P2/r5K1/8 w - -,g2g3
