5k2/8/6p1/5pP1/1R3P2/5r1p/7K/8 b - -,f8f7
r2q1rk1/1p2b1pp/p1npbn2/4p3/2P5/2NBN3/PP3PPP/R1BQ1RK1 b - -,a8c8:d8d7:c6d4
1rb1kR2/pp1p3p/2nPn3/2p3p1/2B3P1/5NB1/PPP2P1P/2KR4 b - -,e6f8
r1b2rk1/pp2ppbp/n5p1/q1P5/2Q1n3/2N1BN2/PP3PPP/R3KB1R w KQ -,c4e4
8/2r2Nk1/1Q2p3/1p5b/2pPRb1q/2n5/5PB1/4RK2 b - -,c3e4
4r1k1/1p2ppbp/2b3p1/2nNP3/2P5/4RNPP/5PB1/6K1 b - -,e7e6
5r2/pp3k2/4b2p/5pp1/2PR1P2/P7/1P1KB2P/8 w - g6,c4c5
rnb2rk1/2q1bppp/p2ppn2/1p4B1/3NPP2/2N3Q1/PPP1B1PP/2KR3R b - -,b5b4
5b2/p2R1pk1/1p2pNpp/3nP3/8/P4N1P/1r4PK/8 w - -,f6e8
8/p7/1ppk4/5nN1/PP2p1P1/5b2/7K/8 w - -,g4f5
r6r/4bpk1/3q1p2/1B1PnPp1/Pp5p/4B2P/2P2QP1/3R1RK1 b - -,a8b8
2b2N2/5rnk/p4q2/3p2Qp/3N1P2/1PP4P/1P4RK/5R2 b - -,f7f8
r1bqk2r/p2nbppp/1pn1p3/2ppP3/3P1P2/2P2N2/PP2N1PP/R1BQKB1R w KQkq -,h2h4
1r4k1/p1p2r1p/2ppn1p1/4p3/4P3/1P3P2/P1P1N1PP/1R3RK1 w - -,f1d1
r1b2rk1/pp2qppp/3b1n2/3pn3/8/PP1B1N2/1BPN1PPP/R2Q1RK1 w - -,f3e5
3r2k1/1p4p1/4p2p/pPq1P3/2PpP3/1P1R3P/6P1/3Q2K1 b - -,c5e5
r2qk2r/3bbppp/p2p1n2/npp1p3/P3P3/2PP1N2/1PB2PPP/RNBQ1RK1 w kq c6,d3d4
2r1rbk1/1bqn1ppp/p2pp3/p5P1/P3PP2/2N1B3/1PP3BP/R3QR1K w - -,e1f2
8/8/8/2kb4/5K2/5r2/8/6R1 w - -,f4e5
4r1k1/p1n2p1p/1r1p2p1/1ppP4/5P1q/2P3Nb/P2QPPBP/4RRK1 w - -,e2e4
rn3rk1/1bq1bppp/p2p4/1pn1pPP1/4P3/PNN1B3/1PP1B2P/R2Q1RK1 w - -,f5f6
r3kb1r/1pp3p1/2p1p2p/p3P3/6P1/2n3BP/PPP2P2/R2R2K1 w - -,b2c3
8/8/8/1nNk1p2/NPn5/3pp1P1/8/4K3 b - -,d3d2
r5k1/1R1brpn1/1p1p2p1/pN1Pb1q1/1P2Pp1p/P2B1P1P/3QN1P1/2R4K b - -,d7h3
5rk1/6p1/2n4p/pp6/5B1P/2P2NP1/PP4K1/8 b - -,g8f7
2r1k2r/pp2n3/1q2bbp1/3Ppp2/4P2P/4Q3/PP2NBBP/R4RK1 b k -,b6e3
4rq1k/p3rpbp/1p1p2p1/2p4P/2PpPP2/1P1P1QP1/P3R1BK/4R3 b - -,h7h6
r1bqk2r/pppnbppp/5n2/3p4/8/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,e8g8
8/1b2bkpp/pp1p1n2/P3p3/1Pr1P3/2NR1P1P/6P1/1R4K1 b - -,b6b5
3b2k1/1p4p1/p3pr1p/3pN2q/3P4/3QP1P1/PPR4K/8 w - -,h2g2
1k1r3r/1bqnbppp/p1npp3/6P1/1p2PP2/1N1BB2Q/PPP1N2P/1KR4R b - -,d7c5
1rr3k1/p3q1p1/1p6/6R1/2Ppp1nP/P5P1/4PPB1/1R2Q1K1 b - -,g4f6
3r2k1/5p2/4pnp1/2pq3p/7P/1P3NP1/P3QP2/2R3K1 b - -,f6e4
rnbqk2r/pp2ppbp/3p1np1/2p5/4P3/2P2N2/PPBP1PPP/RNBQ1RK1 b kq -,e8g8
2kr3r/1pnb2bp/p1p3p1/2Ppp3/R3P3/1P3NP1/1P1NBPP1/4R1K1 b - -,d8e8
4R3/8/8/5p2/p3kP2/2p3P1/K1P5/2r5 b - -,e4f3
1nb1kb1r/2q1pppp/3p1n2/2pP4/2N1P3/P4P2/3B2PP/3QKBNR b Kk -,g7g6
8/p2k2p1/1r5p/2pp1p2/8/1P3K1P/P1P3P1/4R3 w - -,e1e5
r1rkn3/ppbn1pp1/4p1p1/3p4/P2PP1P1/1P5P/3BNPB1/R1R3K1 b - -,d5e4
5rk1/1bqnr1pp/p4p2/P1pnp3/1pN1B3/3P1QP1/1PPB1P1P/R3R1K1 b - -,g8h8
8/p4kp1/7p/5N2/4n3/P4K1P/1P1r4/4R3 b - -,e4g5
r1b2rk1/p2nqppp/1p2pn2/1P6/2B1P3/2N1B3/1P3PPP/R2QK2R b KQ -,d7e5
r1qr2k1/6p1/2n4p/p1pppn1N/7P/P1BQ2R1/1P3PP1/3R1K2 w - -,g3g7
2r1r1k1/1q3pp1/p2p3p/1p2b3/2nBP3/1B1Q3P/PP2RPP1/1R4K1 b - -,d6d5
r5k1/p4ppb/2p4p/6q1/3PP3/3Q4/P2N1P1P/6RK b - -,g5f4
3k2nr/2qbpp1p/1n1p2p1/2pPP3/1pP2B2/rP1B1PN1/2Q2NPP/4R2K w - -,e5d6
8/8/7p/r2kpp1P/P7/3K1P2/R7/8 w - -,a2a1
1Q6/4q2k/2p3np/3p2p1/p1pP2P1/P1P1NP2/1P1K4/8 b - -,g6h4
8/5pk1/4pqp1/8/P2b3p/7P/3Q1PP1/5BK1 w - -,f1b5
5k2/1pp2pp1/1bnrr2p/p3p3/B3P3/2PN1P2/PP2KP1P/R2R4 w - -,a4c6
1k1r3r/1p1qb1p1/p1p1pp2/2Pp1n2/PP1P1Pbp/4PN2/1B1N2PP/2R1QRK1 w - -,d2b1
1qr1r1k1/1bbn1ppp/p2ppn2/8/1PPNP3/2N1BPP1/3QB2P/R1R3K1 w - -,d4b3
2rq1rk1/1p1nbppp/p2p4/3Pn3/8/1N2B3/PPPQBRPP/R5K1 w - -,a1f1
4r1k1/bp3p1p/p3qBp1/8/3P1Q2/P5P1/1P3P1P/2R3K1 w - -,f6e5
8/5kp1/2pB3p/np5r/3PP3/1PR5/4K3/8 b - -,a5b7
8/5k2/pK6/2B2P2/P4r1p/8/1PP1p2P/4Rb2 w - -,b2b4
8/pr4p1/8/Rp3K2/1P1k4/P7/8/8 b - -,d4e3
4qrk1/1B2bppp/1B2b3/2p1Q3/4P3/r4P2/P5PP/1R1R2K1 b - -,c5c4
2bq1rk1/p2pb2p/4ppn1/2p4Q/1r6/P1N2N2/1PP2PPP/R1B1R1K1 b - -,b4c4
2rq1rk1/pb1nnpbp/1p2p1p1/2ppP3/3P4/2P1BN2/PPBN1PPP/R2QR1K1 w - -,d2f1
8/8/6K1/p6P/P1k5/3p4/8/8 w - -,h5h6
4b3/pp5p/2p2k2/1PPp4/PK1N1P2/8/7P/8 b - -,f6e7
nr3rk1/1p1bppbp/p2p1np1/q1p5/P1PP4/1P1NP1P1/1B2NPBP/R2Q1RK1 b - -,a5c7
2b2rk1/p4ppp/3r4/q1N5/8/1P2PPP1/PQ5P/2R1R1K1 w - -,b3b4
1k1r3r/pppnbp2/4p2p/6pn/PP1PP3/3B1NPP/3BKP2/1RR5 b - -,h8f8
R7/3q1pkp/1pn3p1/1N1ppb2/1b1P4/4PN1P/4BPP1/2R3K1 b - -,e5d4
2b1r1kn/1p2b1p1/r1ppPn2/p5p1/P1BN4/2N1R1BP/2P3P1/4R2K b - -,a6b6
2rq1rk1/1p3pbp/p1np2p1/3N1b2/PPB5/R1P5/3N1PPP/3Q1RK1 w - -,c4e2
4n1k1/3b1p1q/1r1P4/2p1p3/2p1P1P1/PrN1QP2/8/1NK4R w - -,h1h7
3r2k1/5pbp/pp4p1/2p2b2/PnP1nP2/1PN1B1PP/6B1/5RK1 w - -,c3e4
3rr1k1/p4pb1/1p2bnpp/8/2PnP3/B1N2N2/PP2BPPP/R3K2R w KQ -,f3d4
2k1r3/2p4p/1p2q3/p1p5/4pP2/1PP1Q2P/P1K5/4R3 b - -,c5c4
3r2k1/4bp2/N3p1pq/1p1b4/3P1PQp/8/1P2B1PP/3Rn1K1 w - -,d1e1
8/4k1p1/3p1p2/1n1PpP1p/p3P3/7P/2K3P1/4B3 b - -,b5d4
r2qr1k1/1ppbbppp/2np1n2/p7/4P3/1PN3PP/PBP1NPB1/R2QK2R w KQ a6,e1g1
3q1r1k/p1p3pp/3p2b1/2p1b3/7r/1P2B1N1/P1PQ1PPP/3R1RK1 b - -,d8e8
r4rk1/1p1b1p1p/1q1p2pb/p1nPp3/4P3/1P3N1P/P1B1QPP1/R1B1R1K1 b - -,h6c1
r4r2/1pnbq1kp/2pp1np1/4pp2/1PP5/2NPP1PP/1Q2NPB1/R4RK1 w - -,b4b5
r4rk1/p1p2ppp/2p5/4p3/2Qq4/6P1/PP2PP1P/2R2RK1 b - -,d4b2
r7/4k1pp/5p2/2n1pP1b/p1R5/P4PPP/5K2/4NB2 b - -,e7d6
8/6kp/2p3p1/2N2p2/2bPP3/5qP1/5P1P/4Q1K1 b - -,f5e4
2b5/5rk1/p3p3/3pR3/2p2PP1/P7/1PP5/KR6 w - -,b1f1
