8/R7/4k3/p1p5/3nB2N/r2P2P1/7P/7K b - -,a3a2
4r1r1/7k/1pp2Qq1/p2pP2p/3P4/P7/2P3PN/5R1K w - -,f6g6
r2q1rk1/1b1nbppp/pp1ppn2/8/2P1PP2/1NNBB3/PP2Q1PP/R4RK1 w - -,a1c1
1r2R3/1p1k3p/1P3p2/R1Pp1pp1/3P4/3K1P2/6PP/8 b - -,b8e8
1r6/3P2pp/p5k1/R7/5p2/2N2n1P/8/5K2 w - -,a5d5
r3k3/pp1qn2p/2n1N1p1/8/4Q3/6R1/P4P1P/R5K1 w q -,g3d3
4r1k1/1r2q1bp/3p2p1/1NpP4/2P1p3/2BB4/2Q2PKP/5R2 w - -,d3e2
r1bqkb1r/1pppnpp1/p1n4p/4p3/4P3/1B1P1N2/PPP2PPP/RNBQK2R b KQkq -,d7d6
1rb4k/3qb1p1/p3p2p/3pPr1P/3P1P2/1P2B2Q/R5R1/2N3K1 b - -,e7f8
r1b2rk1/bpp1qpp1/p1np1n1p/4p3/4P2B/1BPP1N1P/PP1N1PP1/R2Q1RK1 b - -,c8e6
8/8/5k2/p4Pp1/Pp1K4/1P3r2/2P5/6R1 w - -,g1e1
7r/2pk1p2/1pbp1P2/2p2KP1/2P1P3/3B4/2P5/5R2 b - -,d7e8
8/8/4pk2/8/2N2pp1/2R5/4K2r/8 w - -,e2f1
1r1q1rk1/2nb1nbp/pp1p2p1/2pP1p2/P1B2P2/1RN1P1BP/1P1N2P1/3Q1RK1 w - -,d1e2
7k/8/3p1p1p/1Q3p2/8/4P1PP/5qBK/8 b - -,f2e3
r1b2rk1/1ppqppb1/pn1n2pp/3PB3/8/2N2N1P/PPP1BPP1/R2QR1K1 w - -,f3h2
r1br2k1/pp2ppbp/6p1/q1p1P1N1/2B5/1P2P2P/PB3PP1/R2Q1K1R b - -,d8d1
r2q1rk1/pp2bppp/2n1pn2/3p4/3P4/P1NBBQ1P/1PP2PP1/R3K2R w KQ -,f3g3
rnbqk1nr/ppp1ppbp/6p1/8/8/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,g8f6
5bk1/1b1q1pp1/p6n/1p1p4/1P1P4/P1N5/4BPP1/2RQ2K1 w - -,d1d3
2r2rk1/4ppbp/pn4p1/1p6/3N4/2P1PN2/PPR1K1PP/3R4 w - -,e2f2
8/7R/8/1p3p1P/5k2/1r3P2/4K3/8 b - -,b3b2
2r5/1p1qbkpQ/1np1bpp1/1p6/5B2/3P2P1/PP3PBP/2R1R1K1 b - -,c8g8
r4rk1/p2nq1p1/3p3p/2pPpp2/2P1P3/R1P1BPP1/4Q1KP/5R2 w - f6,e4f5
3r2k1/1p1P1ppp/pB3bb1/4r3/P3P3/2N3PB/1P5P/R5K1 b - -,f6e7
5n2/5p2/R2P1kp1/1p4p1/1P6/6PP/P7/5K2 b - -,f6e6
rn3rk1/1p1bqppp/2pp1n2/p2Pp3/2P1P3/5NPP/PPQN1PB1/2R2RK1 b - -,c6d5
2rq1rk1/pp1b1pbp/2n1p2p/3pP3/1P1P4/P1NB1N2/2R2PPP/3QK2R w K -,e1g1
3rr1k1/pp3pp1/8/4P1Q1/2Bq1n2/PP6/2P2PPP/R4R1K w - -,a1e1
r3kb1r/1pp1qp2/p1np1npp/1B2p3/3PP3/2N2Q2/PPP2PPP/R1B1R1K1 w kq -,c3d5
8/4k2p/1n6/4B1p1/8/3K1pP1/PP3P1P/8 w - -,d3e4
r1bqr1k1/1pp2ppp/2np1n2/p1b1p3/2P5/2NPP1P1/PP2NPBP/R1BQ1RK1 w - a6,b2b3
r4rk1/pp2ppbp/2np1np1/8/4PPq1/1NN1BQ2/PPP3PP/R4R1K w - -,h2h3
r2q1rk1/1pp3bp/3p1n2/p1nPpb1P/2P5/2N1B3/PP1N1P2/R2QKB1R w KQ -,h1g1
r1bq1rk1/4ppbp/1np3p1/ppp1P3/8/1P1P1N1P/PBPNQPP1/R4RK1 w - a6,d2e4
q3k2r/1p3ppp/p1p1p3/3pP3/1b6/3QP2P/PP3PP1/R3K2R w KQk -,e1e2
1r3rk1/1p1n1pbp/p2p2p1/2pPp3/P1PnP3/1PQ1B1PP/5PB1/1R3RK1 b - -,d4e2
3r2r1/k1q5/B3p2p/3pP1p1/6PP/b3P3/Pp2Q3/1K3RR1 b - -,d8b8
8/1Q6/p4k2/P7/3r4/4K3/8/8 b - -,d4d6
8/5p2/1p3P2/5rPk/1KP5/8/8/6R1 w - -,b4c3
5k2/5p2/2b1p3/1pb1p1p1/3qPrP1/1B1Q3P/1PP1N3/1K2R3 b - -,d4e4
8/3kb3/8/2p5/2PpNK2/3P2P1/8/8 b - -,d7e6
7k/1r2n2p/4R1p1/p7/P3PP2/b7/6PP/3R2K1 b - -,h8g7
3rr3/1kp2nbp/ppp1bpp1/8/1P2PP2/P1NRBN1P/2P3P1/2KR4 b - -,d8d6
rn1qk2r/pbpnbpp1/1p5p/3pP3/1P1P4/P2B1N2/3N1PPP/R1BQ1RK1 b kq -,e8g8
4R3/5pp1/1rp4p/5k2/1P1K4/5P1P/5P2/8 w - -,d4c5
r1bqr1k1/ppp2pbp/5np1/3pP3/4P3/2PB3P/PP1N1PP1/R1BQR1K1 b - -,f6e4
r2qr1k1/ppp2pb1/2npbnpp/8/4P3/2N1BNPP/PPP2PB1/R2QR1K1 w - -,d1d2
2bq1rk1/r6p/p3ppp1/1p2Q3/3pP3/1P1P4/PP2N1PP/4RRK1 w - -,e5g3
8/5ppp/p1k1p3/2PbP1P1/2p1pP2/2K1P1P1/P5B1/8 b - -,c6c5
1R6/pp2k3/2p1pp2/Pr4P1/8/7P/4NK2/8 b - -,f6g5
5r1k/1p1N2b1/p2p3p/6p1/2P2r2/8/PP2RP1P/3R2K1 b - -,f8f7
4rbk1/pp1r1pp1/8/7p/2R5/2B5/PP3RKP/8 w - -,g2f1
8/1k6/5R2/1p6/1Pb2K2/2P5/3N4/4r3 b - -,c4d5
8/Q1p1kppp/1p2pn2/1Nb5/2q4P/5P2/PP1K1P2/7R b - -,c4b5
6k1/5pp1/2p1pb1p/7P/2PPQ3/q3B1P1/1r3PK1/2R5 w - -,e4f3
8/4kp2/pr4p1/4K1P1/4P3/8/R7/8 w - -,e5d5
2R5/2p2pk1/1p1p4/1P5p/2P1P3/4QK2/5P2/3q2r1 w - -,e3e2
rn1qk1nr/pp2ppbp/2p3p1/3p4/4P3/2NP1b1P/PPPB1PP1/R2QKB1R w KQkq -,d1f3
2rr4/1p3kpp/p3bp2/2n1p3/P7/2B2PP1/1PP2K1P/R3RB2 b - -,e6d7:e6f5
r1br2k1/2q2ppp/p2bpn2/6B1/Pp1N4/1BP4P/1P3PP1/R2QR1K1 w - -,g5f6
r1b2rk1/ppp1q1pp/2n2n2/4p3/2P5/3B1NN1/PP3PPP/R2QR1K1 b - -,c8g4
5r2/bp1qkpRQ/2r5/4p3/PP1p4/8/5PPP/2B2RK1 b - b3,d4d3
2b1k2r/3n1p1p/1q2pp2/1pb5/r2NB3/4B3/PP3PPP/2RQK2R b Kk -,e6e5
8/8/2k3r1/pp1bPp1p/5B2/1PP3P1/P3R2K/8 b - -,c6d7
4rrk1/2p1np1p/p2pq1p1/2p5/2P5/1P4P1/PQ2PPBP/2RR2K1 w - -,e2e3
rnbqkb1r/1p3ppp/p3p3/8/3N2P1/2P4P/P1P2PB1/R1BQK2R b KQkq -,d8c7
4rnk1/p1q2ppp/1pr2n2/3p1N2/3PP3/P2Q1P2/1B2R1PP/5RK1 w - -,e4e5
1r1q1rk1/bppb2p1/p2p3p/5p2/P1PP1BnP/2NQ2P1/1P3PB1/R4RK1 w - -,a1e1
r1bq1rk1/pp3pp1/2nbpn1p/4B3/3P4/2NB1N2/PP3PPP/R2QR1K1 b - -,b7b6
r3k2r/1pqnbppp/p1p1pn2/2Pp1b2/1P1P3N/2N1P3/PB3PPP/R2QKB1R w KQkq -,h4f5
2rr4/5kbp/p3pnp1/1p1pp2P/2n1P1P1/1NP2P2/PP2B3/1KBR3R w - -,e4d5
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq -,g8f6:d7d6:f8c5
r1b2r1k/1pp4p/p2p4/3Pp2R/2P2qP1/5P2/PPQ3B1/1K1R4 b - -,e5e4
8/6kp/B2p4/2pPn2b/1pP5/1P6/P4RKP/8 w - -,a6c8
1r3rk1/1pqb1pbp/p2p1np1/n1pPp3/PPP1P3/2N3P1/3NQPBP/1RB2RK1 b - b3,c5b4
8/2r5/p1k5/1p1R3p/4nNp1/1PP5/2K3PP/8 w - -,d5e5
1r6/2kb4/2n1p3/6P1/1p3P2/2p1R2P/5K2/2R5 b - -,c6e7
2r1r1k1/1p2qpbn/p2p2pp/P1pPn3/2N1P3/2N1B3/1P2QPPP/4RR1K w - -,c4b6
