1r6/5pkp/8/R2p4/Pp3PK1/1Pr5/7P/5R2 b - -,b8d8
r4rk1/pp2qppp/n3b3/3Q4/5B2/6P1/P2NPP1P/3R1RK1 w - -,d5a5
r3r1k1/pp3ppp/2nq1n2/6B1/3p4/P2B4/1PPQbPPP/R3R1K1 w - -,g5f4
6k1/5ppp/2p1r1r1/8/Pbq5/4PQBP/6P1/RN3RK1 b - -,e6e3
r2q1rk1/1bpnbpp1/pp3n1p/3p4/3P3B/2NBPN2/PPQ2PPP/3RK2R w K -,e1g1
2brqr2/1pp1ppkp/p5p1/Pn1P4/1R3N2/1P4P1/2Q1PP1P/3R2KB b - -,e8d7
5rk1/5ppp/p1q5/3p4/2pPrP2/2P2Q2/P4P1P/R3R1K1 w - -,e1e4
B1R5/5bnk/7p/5p2/6pP/1N6/r4PP1/6K1 w - -,b3d4
6k1/p5pp/2n5/3Q1pq1/8/1P2P1P1/P4PP1/6K1 b - -,g8f8
r3k3/p4pQ1/1p1p4/3q1P2/P7/2P2P1P/1PBn4/6RK b - -,e8d7
r4rk1/pbqnbppp/1p1ppn2/2p5/3P4/1P1BPN2/PBPNQPPP/R2R2K1 w - -,a2a3
2kr1b1r/1b1Bqp1p/4pp2/4P2Q/8/2N5/PPP3PP/2KR3R b - -,d8d7
2k4r/2p5/p6p/Pp1Pp1p1/8/8/1PP3PP/5RK1 w - -,f1f6
r1rq2k1/pp1nbpp1/4p2p/3p4/1PNP4/P1NQP1BP/5PP1/1R3RK1 b - -,c8c4
8/1B3pk1/4b1p1/P1R4p/5P2/4P3/r4PKP/8 w - h6,a5a6
4k3/1R3p1p/6p1/6P1/8/4PK1P/rp6/8 b - -,e8d8
rn1qk2r/pbpp1ppp/1p2pn2/6B1/2PP4/P1P2N2/4PPPP/R2QKB1R b KQkq -,d7d6:h7h6
6k1/8/K7/1p3pp1/1P5p/P4P2/6P1/8 w - f6,a6b5
r1qr2k1/pp1n3p/2p2bp1/5p2/2PP1B2/5BP1/PP2RP1P/2RQ2K1 b - -,g6g5
r5k1/1p1bnrp1/1q2p2p/p3Q3/2P1B3/1P4P1/PB3b1P/1R3R1K w - -,b1d1
2b1r1k1/1q1nbppp/2p5/2PpP3/rp6/1N2BNQ1/P4PPP/R3R1K1 w - -,e3h6
4q1k1/p1r2p1p/1p1Rn1p1/3QP1N1/2p1P2P/2P3P1/P4P2/6K1 b - -,c7c5
r1r3k1/pp2ppbp/2Qp2p1/8/N3PP2/3B3P/PPPB1nP1/2KR3R b - -,c8c6
8/3k1RP1/2n3K1/8/8/1b6/8/8 b - -,b3f7
r4rk1/ppqn1ppp/2pbpn2/3p4/4P3/P2PQ1PP/1PPB1PB1/R2NK2R w KQ -,e3e2
r2qkb1r/pbpp1p2/1pn4p/8/4P1p1/2NB1NP1/PP2QPP1/2KR3R w kq -,f3h4
1rbq1rk1/3n1ppp/3bpn2/1pp5/8/2NP1NP1/1PQ1PPBP/R1B2RK1 w - -,c1g5
2r3k1/pprb1ppp/8/2np4/3N2P1/1P1BPP2/PB1PK2P/6R1 b - g3,a7a6
r4rk1/4b2p/p3q1p1/1pppPpn1/P7/2P2P2/1PB3PP/R1BQ1RK1 w - -,d1e2
3rkb1r/1p3ppp/p1B1p3/3q4/P2P2Q1/8/1P3PPP/R1B2RK1 b k -,b7c6
r1bqk2r/ppp1bppp/2n2n2/3p4/2PP4/2NB1N2/PP3PPP/R1BQ1RK1 b kq -,c8e6:e8g8
rnbq1rk1/pp3pbp/2p3p1/3p2P1/3P4/1QNBPN2/PP3PP1/R3K2R b KQ -,d8e7
2bq1rk1/1p3pp1/1n1P3p/r1bn4/2Np4/PQ1B1N2/5PPP/R3R1K1 w - -,c4a5
8/p4n2/1p3k2/r4p2/2P2RPP/5P2/b3R2K/8 b - -,a2b3
6k1/5p2/1r2p1pp/1B6/1n1RPPP1/P7/6P1/6K1 b - -,b4c6
q4r1k/p5bp/5p1n/1pQ5/4P1pP/3B4/PPP3P1/R4RK1 b - -,a8b8
r2r2k1/ppp3bp/1nn3p1/5p2/3P4/1PN1B1P1/P2RNP1P/5RK1 w - -,f1d1
r3rnk1/ppq2pb1/2p2n1p/2P1p1p1/1P6/PQN1PBBP/5PP1/3R1RK1 b - -,a8d8
8/1p2kpp1/1P5p/4p3/1n6/1B1R1PP1/1r5P/7K w - -,d3c3
1rbq1r2/2p2ppk/3p2np/4p3/1p2P3/1B1PPNQ1/1PP3PP/R4RK1 w - -,f3d2
5rk1/p4qnp/1r2p1p1/8/Pp1PQ3/1B3N2/1B2K1R1/8 b - -,a7a5
r2r2k1/1pq2ppp/2p1p3/2P5/p1RP4/P3P1P1/1PQ3P1/5RK1 w - -,f1f4
3q1rk1/1b1n1pp1/1r1n3p/p1pP4/1b2NN1P/2B3P1/1PQ2P2/R2R1BK1 w - -,e4d2
2rk2nr/ppp2ppp/2p1b3/2b5/4PB2/2N5/PPP2PPP/2KR1B1R b - -,d8e7
8/7p/2p5/6p1/PkP2PP1/3K3P/8/8 b - -,g5f4
8/2p2pk1/pp3R1r/6p1/PP6/2N4r/1R4K1/8 b - -,h3h2
r1b1kb1r/pp3ppp/1q1ppn2/4n3/4PB2/1NN5/PPP1BPPP/R2QK2R b KQkq -,a7a6:c8d7
r1b2rk1/pp2ppbp/6p1/q1nP4/5B2/2P1P3/P1QN1PPP/2R1KB1R b K -,c5a4
r2q1rk1/4bp2/p1np2pp/1pp1p2b/P3P3/1BPPNPB1/1P3P1P/R2QR1K1 w - -,g1g2
1r4kb/2r2p2/6pB/1ppbp2p/8/R2P1PP1/1qNQP2P/R5K1 w - -,d2a5
r2q1rk1/pb1pppb1/1pn1n1pp/4P3/B3N3/5N2/PBQ2PPP/R3R1K1 w - -,h2h4
r3r1k1/pp2ppbp/1n3n2/3p1pB1/P1pP4/2P1PN2/1P1N1PPP/R4RK1 w - -,g5f6
5r1k/4r2p/2p1pq2/1pP1Rp2/p2PQP1P/P7/1P3K1R/8 w - -,e4c6
r5k1/p4p1p/1np3p1/4n3/4Pq1P/5P2/PP2B3/1KQN3R b - -,f4c1
8/4p1k1/3pP3/PB1P2K1/1p1b4/1P6/8/8 b - -,d4c5
4rk2/ppr3pp/2p1bp2/8/3P4/P1R1PPP1/7P/2R2BK1 w - -,f1d3
2rqrbk1/1b3ppp/pp1p1n2/2nP4/P1p1P3/2N1NPP1/1P5P/R1BQRBK1 b - -,c5b3
r2q1rk1/1ppb1p1n/p5pp/Q1PPp3/7N/4P1P1/PP4BP/R4RK1 b - -,h7g5
r3k2r/pppq2pp/2n1pn2/2b1p1B1/4P3/2NP1N2/PPPQ2PP/R3K2R b KQkq -,e8c8
r1b1k1nr/pp3p2/2n1p1p1/3pPq2/3P3p/P4N1P/3BBPPQ/2R1K2R b Kkq -,g8e7
5rk1/2q1bppp/B2pb3/4n1P1/P3P2P/4B3/1rPQ1R2/R2N2K1 b - -,b2b8
r1bq1rk1/p1bn1ppp/3p4/2pP3N/2p1N3/P4QP1/1P3PBP/R4RK1 w - -,f3c3
8/5p2/2Kp4/3P4/5kNP/R4P2/b3r3/8 w - -,c6d6
r1b1r1k1/ppqn1p1p/2pp1np1/4p3/2PPP3/2N2N2/PPQ2PPP/3RRBK1 b - -,b7b6
8/R7/2pk1p2/1p2r2p/1P1KP2P/3B1b2/2P5/8 b - -,f3g2
r3r1k1/2qnbp1p/p2p2p1/P1pPn3/1pN1PB2/3B4/P1Q2PPP/R4RK1 w - -,f4e5
r6r/1pqbbkp1/p2ppn1p/8/3NP1P1/2N4Q/PPP1B2P/2KR3R b - -,b7b5
8/2p1r1pk/2R4p/3K1P1P/6P1/8/8/8 b - -,e7d7
2br1rk1/p1q1ppbp/1pp3p1/3n2Q1/3PN2N/1BP3P1/PP3PP1/3RR1K1 w - -,a2a3
r1bq2k1/2pp1Rb1/p1n3p1/1p6/4P3/2P5/PP4PP/RNBQ2K1 b - -,g8f7
2r2rk1/q3np2/pp2p3/4Pb2/1P1PpRp1/P2N2P1/3Q2B1/5RK1 w - -,g2e4
r3r1k1/p1p1n1pp/1p1q1pn1/3p4/3P4/P1PPNQP1/5P1P/1RB1R1K1 b - -,c7c5
r2q1rk1/pppnbppp/5n2/3p2Bb/3P4/2NBP3/PPQ1NPPP/R3K2R w KQ -,e2g3
8/p7/4k2p/1p2p3/2p1K1P1/3r4/PP2R2P/8 w - b6,e2g2
1rbq1rk1/p3npbp/1p1p2p1/nPp1p3/4P3/P1PPBNP1/5PBP/RN1QR1K1 w - -,c3c4
2n3rk/ppnqr3/2pppb2/1P3p1p/P1PP1B2/3Q2P1/3NRPBP/4R1K1 w - -,d3f3
3r1qrk/pp5p/8/2Pp1b2/3NpP1Q/1P4P1/P7/3RRBK1 w - -,e1e3
r2q2k1/3rbpp1/2p1pn1p/1p6/1P1P4/2P3PP/B1Q2PK1/2BR1R2 b - -,d7a7
2k5/pp4pp/1bp5/5p2/5N2/3R3P/PPn3P1/5K2 b - -,c2e3
r1bqk2r/ppp1b1pp/2n5/3p1p2/3Pn3/2NB1N2/PPP2PPP/R1BQ1RK1 w kq f6,c1f4
r2qk2r/pp1n4/2p1p1pn/3pPp1p/1b1P1P2/P1N1BR1P/1PPQB1P1/R5K1 b kq -,b4e7
1r2r1k1/2p1qpbp/3p2p1/p1nP4/1pR1PB2/1P4PP/P2Q1PB1/4R1K1 w - -,e1c1
