8/7p/3Q2pk/4p3/4Pq2/5P1P/5KP1/8 b - -,f4h4
1R2n1k1/3q1bp1/5p1p/1p6/p4B2/P2p2PP/1P1N1PB1/6K1 b - -,g8h7
4N3/1b3p2/6p1/2k3P1/2p3K1/2P1R2P/5r2/8 b - -,f2g2
r1br1b2/qp2nkp1/p3Nn1p/8/3P4/P7/BP1BQPPP/2RR2K1 b - -,d8d5
5rk1/2p2p2/3p2pQ/1pb1p3/4P2p/1B1P1PP1/1PP1K3/7q w - -,h6g6
2r1r1k1/2p2ppp/1p1p2n1/pP1P1NPq/P2PPR1P/6R1/2Q5/6K1 w - -,f4g4
7k/7p/6p1/Q1p5/1p1pq3/1P5P/5PP1/6K1 b - -,e4e1
8/5r2/p5r1/8/2PQ1p1k/5K2/1P6/8 w - -,d4h8
r1b2rk1/1p3pbp/3Q1Np1/pP1N4/2P2P2/8/P3q1PP/2KR3R b - -,g8h8
2rq1rk1/pb1pbppp/1p2pn2/2n5/2P5/2N1PN2/PPQBBPPP/R2R2K1 w - -,d2e1
8/5ppk/1Q2p2p/2p5/P6P/6P1/1P3PK1/4q3 b - -,e1e4
8/3n1kp1/2pP3p/1p3p2/P2B1P2/1P3KP1/7P/8 b - -,g7g6
3Bk2r/pp3pp1/4p1p1/nP6/3P2P1/P6P/4nPK1/R4R2 b k -,e8d8
8/2p2pk1/1p2n2p/p1p1P2P/P1P3N1/1P1K2P1/1B3P2/4b3 b - -,g7f8
4Q3/6k1/2p3p1/2Pp4/8/1P3bP1/P2KNq2/8 w - -,e8e5
8/5b2/pp2Nnpk/8/2P2p1P/8/PP3P2/2KB4 w - -,e6f4
8/2k5/2r5/1K3p2/P3p1p1/4R2p/8/8 w - -,a4a5
r2q1rk1/pp1bbppp/2n1p3/3pPn2/1P1P4/P4N2/4BPPP/RNBQ1RK1 w - -,c1b2
r6r/2p2pk1/p2bb1pp/1pnNp2n/4P3/P1N2PP1/1PP2B1P/2KR1B1R b - -,c5d7
r1b2rk1/1p2bpp1/p3p2p/2PqP3/P7/3B1N2/1P3PPP/2RQ1RK1 b - -,e7c5
r1bqnrk1/pppn2bp/3p4/3Ppp2/2P5/2NBBP2/PP1Q2PP/2KR2NR b - -,a7a6
r5k1/4q2p/p2p2p1/2P1p1b1/b2pP1N1/3P2QP/P3N1P1/5R1K b - -,a8f8
2r2rk1/p2q1ppp/1p1p2n1/3P4/2PP1B2/1P3Q2/P5PP/4RRK1 w - -,f3g3
5rk1/2q2p2/1pN3p1/p2rp1b1/P7/1P3R2/1B3QPP/5RK1 w - -,c6e5
4r1k1/1r6/p2q1bp1/Pb1Pn2p/1p1NPBnP/1B4Q1/1PP3P1/1K1RR3 b - -,g8h7
r1b1k2r/1p1n1pb1/1ppB2p1/3Pp1qp/2P1P3/1R3P2/P1B1N1PP/3Q1RK1 w kq -,f3f4
3rrbbk/1p2n1p1/2pqp1Pp/p4p1P/1PQPPP2/P1N1B2B/6R1/5R1K w - f6,e4e5
6k1/1q3p1p/6p1/3N4/3Q1Pn1/8/PPr3PP/3R2K1 w - -,h2h3
1rbq1rk1/pp2ppbp/2np1np1/2p5/4P3/P1PP1NP1/1P3PBP/RNBQR1K1 b - -,h7h6
2rqr1k1/4n1bp/4bpp1/pp1Np3/2PpP3/PP4P1/3B1PBP/1RQ2RK1 w - -,c1e1
r1b1r1k1/1p4pp/2p1p3/8/p1p1BP2/6P1/PP2P2P/2R2RK1 w - -,a2a3
r4rk1/pp1n1ppp/1qp2n2/3p4/3P4/1PNQ1B1P/P1P2PP1/R4RK1 b - -,f8e8
r1b2rk1/1pq2pbp/3p2p1/p2p4/3Pn3/1Q1BB2P/PPP2PPN/2R1R1K1 b - -,c8e6
1k1r3r/ppq1bpp1/1np1p1b1/3pP2p/1P1P1BP1/2P5/P2QBPP1/R3NRK1 w - -,g4g5
r2qk2r/pp1nbppp/2p1p1bn/3pP3/3P4/2P5/PP1NBPPP/R1BQNRK1 b kq -,c6c5:h6f5
6k1/1p3pp1/2p4q/3n4/6Q1/P3PP1p/1P3P1P/3N2K1 w - -,g1f1
8/Q4nk1/K4p2/P2P2p1/3q2P1/5P2/8/8 b - -,d4d5
8/6pB/5r2/4k1K1/8/8/8/8 b - -,f6h6
r2r2k1/4qppp/p2p2n1/1p6/3RP3/2P3Q1/PP2B1PP/5R1K b - -,f7f6
4r1k1/1q3p1p/2bp2p1/1pp3B1/2PbRNP1/1P6/2B4P/2QR3K b - -,e8e4
3r2k1/p3brpp/1p6/1B6/8/1N4P1/Pn3P1P/R4R1K w - -,a1c1
3rq1k1/p3ppbp/n2r2p1/1ppP4/4P1b1/2P1BNP1/P1Q2PBP/1R1R2K1 b - -,e7e6
2q1r1k1/2p3pp/1rp1b3/p2pPp2/3Q1P1P/B1R3P1/PPP5/2K1R3 w - -,c3c5
4rr2/R2Rb3/4Bk1p/p4P2/6P1/6KP/P7/8 b - -,e7b4
4r1k1/6pp/2p5/p1P5/P2Rp3/8/2r2P1P/4R1K1 b - -,c2c5
r1bqk2r/1p2ppb1/p1np3p/4n1p1/3NP3/2N3B1/PPP1BPPP/R2Q1RK1 w kq -,d4f5
4r1k1/q2b1ppp/1b1n4/1p1Pp3/pP2P3/N1BB2NP/1Q3nP1/5RK1 w - -,f1f2
5r2/6k1/1p2b3/p1p1n3/3pP3/1P1PqPpp/PR6/3QNBK1 w - -,g1h1
1r2k2r/p2qbppp/2p1bn2/3pp1B1/Q3P3/2NP2P1/PP3PBP/R4RK1 w k -,a4c2
r1bqr1k1/1p1n2bp/p2p2p1/2pP1p1n/P7/2N2NP1/1P1BPPBP/1RQ2RK1 b - -,d7e5
8/5k2/5R2/P6p/2pB1K1P/2P2P2/4b3/7r b - -,f7e7
2k5/1b6/3p2p1/1P6/2PKP3/4N3/R7/6r1 b - -,g1h1
r4rk1/pppn1ppp/1q2Pn2/5b2/2B5/P1B2N2/1PP2PPP/R2Q1RK1 b - -,f5e6
r1b1r1k1/1pqnppbp/p2p2pB/2pP1P2/P1P1P1P1/2N2R1P/1P1QB3/R5K1 w - -,h6g7
1rr1k3/p2n2p1/1p1P1p1p/1P2p3/1B6/7P/P4PP1/2RR2K1 b - -,e8d8
1nr1r1k1/1b2qp2/1ppb2p1/p2p3p/P2Pn3/1P2P1P1/N1RN1P1P/R1Q1BBK1 b - -,e4g5
rn1qbrk1/pp4pp/8/2pP1p2/2N2b2/5P2/PP2N1BP/R2Q1RK1 b - -,f4g5
6k1/2r3b1/4b3/1KNr2p1/3p4/1N6/PP1R3P/6R1 b - -,e6d7
r3r1k1/5pp1/2Q2b1p/p3pq2/1p6/P3B2P/1P3PP1/3RR1K1 b - -,e8c8
4r2k/6p1/p1q4p/1p6/8/1PPQ1PP1/P2R2KP/8 w - -,c3c4
R7/8/6kp/1r6/6PK/6P1/8/8 b - -,b5c5
1k2bn1r/8/1p1qpbpr/pP1pN2p/P1pP1P2/2P3PP/K1B2R2/2Q1NR2 b - -,h6h7
3b2k1/1p4p1/2pB3p/p2p1r2/P2P4/2P4P/4RPP1/6K1 b - -,g8f7
r2qr1k1/pbpn1pbp/1p1p1np1/4p3/2PPP3/1PN2N2/PBQ1BPPP/R4RK1 w - -,d4d5
2r2rk1/1p3ppn/p2p1b1p/5P2/3PP2P/2R1BbP1/P4NB1/6K1 w - -,c3c8
8/2R5/4kp2/2p1r3/5K2/8/8/8 w - -,c7c6
1r3rk1/1p3pb1/p2p2pp/q1pQ1n2/2P1N3/1P2PR1P/4P1B1/5RK1 b - -,f5e3
8/p2k2rp/4p3/3n1p2/2p5/4P1P1/PP3PKP/2R5 w - -,c1c4
1r1q1rk1/p2nppbp/2np2p1/2p3B1/1pN1P3/2PP1Q1P/PP3PP1/2R1RBK1 b - -,d7e5
r1b2r1k/pp4pp/1n6/7Q/3P1B2/6P1/q4PBP/1R2R1K1 b - -,a2c4
4rbk1/1qr2p1p/pnp3p1/4p3/4P1B1/PP6/1BR1QPPP/3R2K1 b - -,c6c5
6k1/1B3b1p/p4p1r/P4pp1/2PP4/1P6/5PP1/4R1K1 b - -,g8f8
r4rk1/ppqn1p1p/2pbpp2/8/Q1PP4/5BP1/PP1B1P1P/R3R1K1 b - -,g8h8
6k1/ppP2ppp/5nn1/1N6/5q2/PP1r1P2/1B4Pb/R4R1K w - -,c7c8q
4rk2/p2nbp2/1pp3p1/6P1/P3RB2/2PB3P/5PK1/8 w - -,f4e3
r1bq1rk1/pp1nbppp/4pn2/8/Q1pN4/6P1/PP2PPBP/RNBR2K1 w - -,a4c4
2r1r1k1/pp5p/5ppb/P2qp3/8/2Pn3P/1PN1RPPB/RQ4K1 b - -,c8d8
r1bqk2r/ppp2ppp/2n5/3n4/1b1P4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,c1d2
2k1r2r/1p3ppp/1Bbq4/2np4/PQ6/2P2B2/5PPP/R2R2K1 b - -,c5e4
8/2P4q/3K4/8/8/1k6/8/8 b - -,h7f5
8/p7/3kP1pp/3P4/Ppp2K1P/1P6/8/8 w - -,b3c4
r4rk1/pp3pbp/1n1q2p1/1Ppp4/3P2b1/1QN1PN2/P3BPPP/R1R3K1 w - -,d4c5
