8/8/1B4p1/2p5/2k3P1/3n1K2/1P6/8 b - -,c4b3
rnb2rk1/ppp2ppp/3b1n2/8/2BP4/5N2/PP3PPP/RNB2RK1 w - -,b1c3
1r2r1k1/ppp2pbp/2n1pqp1/3p4/1PPPbQ2/2B2NPP/P3PPB1/2RR2K1 w - -,f4f6
8/1p1rr1k1/2nN2p1/PRP4p/7P/1R4P1/8/6K1 w - -,b5b7
3rk3/p3q1p1/1p2Pr2/3P1P1p/2Q5/6R1/PP2R2P/6K1 b - -,e7c5
2r3k1/Q1q1pr2/6pp/2p2b2/2P5/4B1P1/Pb2PPBP/3R1RK1 w - -,a7c7
r2q1rk1/3n2bp/1pp1pnp1/p1Ppp3/1P6/P2PP3/1B1NBPPP/R2Q1RK1 w - -,d2b3
8/2kP4/7P/8/5K2/8/2r5/8 b - -,c7d7
6k1/4b2p/p2pp3/1p4P1/6r1/P4R2/2P4P/1KB5 w - -,f3c3
3r1rk1/pb5p/1pq2b1P/4p1p1/4p1Q1/2P1P1R1/PP1B2P1/R4NK1 w - -,d2e1
5k2/p2r1p2/5npp/2p5/2Bp4/1P4PP/P1P2PK1/4R3 w - -,c4b5
r3k1n1/3p1p2/b2P4/pp1Qb1p1/4Pp2/PB3q2/1PP5/R1BK4 w q -,d1d2
8/1r4k1/6p1/8/5PP1/3R2K1/8/8 w - -,g3f3
r3k2r/pp1qbpp1/2n1pnp1/3p4/3PPB2/1QN2PP1/PP5P/R3KB1R w KQkq -,e1c1
8/2k2Pb1/6K1/8/8/1R3N2/8/3r4 b - -,g7f8
1rbqr1k1/2p2pb1/1n1p2pp/1p6/3nP3/1PP1B1NP/2B2PP1/R2QR1K1 w - -,c3d4
1r2N1Q1/3kbp2/p1q1p2p/Bp2P3/3p1P2/P2P4/1P6/R3K3 b Q -,c6h1
r3qrk1/1bpnb1pp/p2p4/1p2pp2/1P2P3/2PP1N1P/1P3PP1/R1BQRNK1 w - -,f3g5
6K1/8/4Q3/2k5/6p1/1B6/8/6q1 w - -,e6c4
2r5/p2rkp2/5p2/4n3/R4N1P/1b4P1/P4P2/4RK2 w - -,a2b3
8/1p3rbk/2p3pp/5b2/2q5/2N1Q2P/PP4PN/3R3K w - -,h2f3
q3r3/r4pkp/p1P3p1/Q2Pp3/1P2b3/8/4B1PP/2RR2K1 b - -,f7f5
Rr4k1/5p2/4p1p1/3nq2p/8/3Q2P1/5P1P/R5K1 b - -,b8a8
5k2/3b1ppB/2p4B/2bp3Q/8/6PP/6PK/4q3 w - -,h6g7
2r3n1/p3rpk1/1p1q2pp/3pR3/3P2P1/P2BQP2/1P3KP1/4R3 b - -,c8c7
r3br1k/2R3p1/p4nNp/1q3Q2/4P3/8/PP3PPP/5RK1 b - -,e8g6
4rbk1/1p4r1/pB1p4/P2Pp1n1/NP2Pp1p/2R2PnP/5N2/2R1K3 w - -,a4b2
r2qkn1r/1b2p2p/p1p1p1p1/3p2N1/3b1P2/1BN5/PPP1Q1PP/2KR3R b kq -,d4c3
8/3r1pk1/p2P2p1/1pp1r1P1/8/P4R1p/1P3P1P/3R1K2 w - -,f3e3
6k1/8/6P1/p7/3BpK2/8/p4P2/3n4 w - -,f4e4
r7/4kpp1/rB2b3/P3P2p/2pKP3/7P/6P1/1RR5 b - -,e7d7
r1bq1rk1/pp2bppp/2p5/8/P1B1PQn1/2N5/1PP2PPP/R1B1R1K1 b - -,e7d6
3br2k/5r2/5pp1/1R5p/P1P2Q2/1P2PPPq/1B5P/5RK1 w - -,f1d1
r1b2rk1/ppppq1bp/n4np1/1N2pp2/2P5/3PPNP1/PP3PBP/1RBQ1RK1 b - -,c7c6
8/1p1bkpbp/2n1p1p1/2PpP3/3P3P/2BB1N2/4KPP1/8 b - h3,f7f6
r2q1rk1/pp3pp1/3p1b1p/8/2PQPP2/3P3P/PP4B1/R4RK1 w - -,d4f2
r4rk1/p5pp/1bNNp1b1/4P1q1/1R3p2/1Q6/P4PPP/5RK1 b - -,g8h8
r3qrk1/ppp3pp/5n2/8/2P3b1/P1pB1N2/2Q2PPP/3R1RK1 w - -,d1e1
r1b2rk1/1pp2pp1/2np1q1p/p3p3/2PPP3/P1Q2NP1/1P3P1P/R3KB1R w KQ -,d4d5
rnbq1rk1/pp1p1ppp/3b1n2/2pP4/8/2N2N2/PP2PPPP/R1BQKB1R w KQ -,g2g3:c1g5:e2e4
1rr3k1/3b1pbp/3p1np1/2nPp1BP/pq2P1P1/2N3R1/1P1NBP2/RQ3K2 b - -,h7h6
rb5r/pq4p1/1p2k3/1N1nNpp1/2QPn2P/6P1/PP3PK1/2RR4 w - -,f2f3
1qr2bk1/3n1p2/2b1p1p1/r6p/1p1pPP2/1P1N2PP/R1P1QBBK/8 w - -,a2a5
8/8/8/5K2/5P2/8/4r2k/8 w - -,f5g6
8/5p1p/4kp2/1N1p1N2/r5P1/1n2P2P/4KP2/8 b - -,a4a2
8/2r5/p4pp1/1p2k2p/PP2P3/1K2R1PP/2P5/8 b - -,c7c4
1r2b1k1/3nqp1p/4p1pP/1p1pP1N1/1P1P1Q2/3B4/5PP1/2R3K1 w - -,c1c7
r1q2rk1/1pp1n1pp/1p1p1n2/1B2p3/4P3/1N3QP1/PPP2P1P/R4RK1 w - -,f3g2
2r2rk1/pp1nqppp/2pbbn2/4p3/2PPp2N/PP4PP/1B1N1PB1/R2QR1K1 w - -,d2e4
4b3/pp3pkp/2p2qp1/P2n4/3N4/6PP/1PP2PB1/3Q2K1 w - -,c2c3
3q1rk1/pb1p1p1p/1p2nnpQ/2rp4/3N4/P1N3P1/1P2PPBP/2RR2K1 b - -,d8e7
8/8/3K1kp1/5p2/p3r2P/R7/8/8 w - -,a3h3
r1q1nrk1/1p1bbppp/3p2n1/2pP4/P1P1PP2/2N1B3/2BQ1N1P/2R2R1K w - -,f1g1
r1b1k2r/1pqp1ppp/p1nbpn2/8/3NP3/P1N1B3/1PP1BPPP/R2QK2R w KQkq -,d1d2
r1b1qrk1/pp4bp/5np1/2p1n3/2P2p2/BP3N2/P1QN1PBP/R4RK1 w - -,a1e1
8/8/p1nB4/7p/PPk2KpP/8/8/8 b - -,c6b4
r4rk1/1ppbqp1n/n2p2pb/p2Pp3/2P1P2p/P1N2P2/1P2BBPP/R2QRNK1 w - -,a1b1
r6k/p4pbp/6p1/3pP3/1P3P2/2r5/P3QRPP/6K1 w - -,e2d2
2r2k2/3n1pp1/2b1p2p/p1p5/8/1P2P3/PN2BPPP/2R2K2 w - -,e2f3
2rr2k1/p3qPp1/N5p1/8/8/2P4P/4QPP1/4R1K1 b - -,e7f7
r1bqk2r/p1pp1pp1/1pn1pn1p/8/1bPP3B/2N2P2/PP2P1PP/R2QKBNR w KQkq -,e2e4
rnb1k1nr/1pq1bppp/p2pp3/8/4PP2/1NNB4/PPP3PP/R1BQK2R w KQkq -,d1e2:e1g1
2k2b1r/pp2pppp/2Br1n2/2p4q/Q2P2b1/2P2N2/PP1N1PPP/R1B1K2R b KQ -,d6c6
r2q2rk/3bbp1p/p1np1p2/1p1N1P2/5PP1/3B4/PPP2Q1P/1K1R2R1 w - -,d1e1
r1b1kb1r/2qn1ppp/pp1ppn2/8/P2NPP2/2NB4/1PP3PP/R1BQ1RK1 w kq -,d1e2
r1q1rbk1/ppp2pp1/3p2np/4p1N1/1P1PP3/2P1N1B1/P1Q2PPP/R3R1K1 b - -,h6g5
3r2k1/5p1p/2Pq2p1/1P1nR3/3P1P2/4Q2P/6P1/7K w - -,e5e8
8/8/2P2kp1/1K6/1P6/3p4/8/8 b - -,f6e7
2rqk2r/b2n1pp1/4b3/1p1Np3/p1N1P2p/2PB1Q1P/PP4P1/1KBR1R2 b k -,b5c4
8/8/7B/4k2K/R3P3/5n2/5Pr1/8 w - -,h6e3
r1b3R1/1p1n2P1/3kp2b/1p1p4/2p5/8/PPP1BPP1/R3K3 b Q -,d6e5
2rq1rk1/b2b2pp/p1pp1p2/4n1PN/1P6/P3P3/1B1P2BP/R2Q1RK1 w - -,g5f6
5rk1/1p1Q1ppp/3n2r1/p2p4/P2N1q2/2P5/1P2RPPP/4R1K1 b - -,f4g5
r3nrk1/pb1p3p/1p1q1ppQ/8/2PpPR2/1P5P/PB4P1/1BR3K1 b - -,e8c7
5bk1/3r1p1p/p1p1pnp1/8/N1P5/P3B2P/1P3PP1/4R1K1 b - -,d7d3
r2q1rk1/pp2ppbp/3p2p1/2n2b2/2P5/1PN3P1/PB1QPPBP/R4RK1 b - -,d8d7
r3r1k1/3q1pbp/1p1p2p1/p1nR4/P1P1PP2/5NB1/1PQ4P/4R1K1 b - -,d7a4
r3q3/p1pb2k1/1p1p1b1r/3Pp1p1/2P1PnP1/4R2P/PP1QN1BN/R5K1 w - -,e2g3
rnbqkb1r/pp3ppp/4pn2/1NP5/3P1B2/Pp3N2/5PPP/R2QKB1R b KQkq -,f6d5
8/p1n5/P3p1p1/5p2/3k1P1P/5K2/4B3/8 w - -,e2f1
4r1k1/7p/6p1/2nN4/P7/2b2P2/6PP/3R3K w - -,d5c3
r3qbk1/2pQ2p1/np2p2p/p3Bp2/2P5/2N3P1/PP2PPKP/3R4 w - -,d7e8
k7/1p1q1pp1/p2p1b1p/P1nP4/1Q1Nr1P1/2P4P/1P6/1K1R1B2 b - -,d7e8
r2r2k1/pbq1b1pn/1ppp1p1p/4pP2/2P1P2P/PPN2N2/1BP1Q1P1/3R2RK b - -,d8d7
8/2pn4/p2pp1k1/P3p1Pn/3PP3/R1P1KP2/5RP1/1r6 w - -,a3a4
2b5/3nk1pp/1p2p3/p2pNp2/3N1P2/P2PP2P/1P3KP1/8 w - -,d4f3
r1bq1rk1/1p1n1pbp/p2p2p1/2pP4/PnB1PP2/2N1BN1P/1P4P1/R2QR1K1 b - -,b7b6
1rb2rk1/3n1ppp/4p3/p1qpP3/1p1Q1P2/3B4/PPP1N1PP/1KRR4 w - -,c2c4
