3Q2R1/8/4rkp1/1p6/4q3/5p2/5P1K/8 b - -,f6f5
r4rk1/ppp1qbb1/2n2npp/3Npp2/7P/4PBBN/PPPQ1PP1/1K1R3R b - -,f6d5
r4rk1/pb2bppp/1q1p4/1pn1p3/4P3/1PP1Q1P1/P3NPBP/R1B2RK1 w - -,f2f3
N2k3r/3bnpb1/pq2p1pp/n2pP3/3P3P/P3B3/1P1N1PP1/1BRQK2R b K -,b6b2
8/2B5/2b2b2/7p/4k2N/6K1/8/8 w - h6,c7b8
8/4n3/3k1Rp1/1P3p2/P6P/1n4P1/5PK1/8 b - -,d6e5
7r/8/3k4/5P1K/7P/8/8/4R3 w - -,h5g5
2r3k1/ppBR1ppp/2n1r3/8/4P3/5P2/1P3KPP/7R b - -,e6e7
1rr3k1/3nbppp/p1q5/4p1PP/N6Q/pP1N1b2/P1PR3R/1K3B2 b - -,e5e4
3r2k1/pp3p1p/2n3p1/3p4/N4P2/1P4P1/P4P1P/4R1K1 w - -,a4c5
r4rk1/p3ppbp/2p2Bp1/2Pp3q/8/2NQ2Pb/PP2PPBP/R4RK1 b - -,g7f6
2r2rk1/3qpp1p/1n1p2p1/Np6/nP5P/P3P3/4NPP1/Q1RR2K1 b - h3,d7g4
2b5/p3r2p/2p1pk2/8/2B4R/1P3P2/P4K1P/8 w - -,c4d3
rnbqk2r/ppp1ppbp/1n1p2p1/4P3/2PP1P2/2N1B3/PP4PP/R2QKBNR b KQkq -,c8e6:e8g8
r1b1qr1k/ppb1n1pp/2p2n2/2P1p3/1PB1Pp2/P1N3P1/1B1Q1P1P/3RK1NR w K -,f2f3
r2q1rk1/1pp1n1b1/3pP1pp/pP3p2/2P1Pp2/2N5/P3BPPP/2RQR1K1 b - -,c7c6
1q2r1k1/r2n2pp/p1bb1p2/2pNp3/1pP1PP2/1P3QP1/PN5P/B2R1RK1 w - -,b2d3
r1b2rk1/pppn1qpp/3b4/3p4/7B/1NP2B2/PP3PPP/R2Q1RK1 b - -,c7c6
1r3bk1/1q3p1p/6p1/p1p1PP2/1nP1Q3/5NB1/1P1R1K1P/8 w - -,e4h4
1r1q1rk1/pp1n1p1p/2pp1bp1/4p3/2PP3P/2N1PB2/PPQ2PP1/R3K2R w KQ e6,d4e5
r1bqkbnr/pp1p1p1p/2n1p1p1/2p5/4P3/2NP2P1/PPP2P1P/R1BQKBNR w KQkq -,f1g2
8/8/8/2kp4/p1P2R2/P4P2/2KR4/r1r5 w - -,c2b2
r7/ppknr1pp/2p2p2/2b1p3/2B1Pn1B/P7/1PPRNPPP/2KR4 w - -,h4g3
2r5/ppr3k1/1n4pp/1Rp1p3/4P1B1/8/PP4PP/1K1R4 b - -,c8f8
r3kb1r/1p1b1p1p/pqnppp2/8/4PP2/1NN5/PPPQ2PP/2KR1B1R b kq f3,e8c8:h7h5
r2r4/7k/2p2pb1/p6p/Pp2Pq1P/1N3P2/1P2RK2/2Q4R b - -,f4d6
6k1/3qB2n/6r1/p1pPQN2/2P1p1P1/P6P/4N3/1r3K2 w - -,f1f2
r1bqk2r/pppn1ppp/8/4p3/2PpB3/3P2P1/PP1QPP1P/R3K1NR b KQkq -,e8g8
5k2/pp3ppp/8/4R3/3P4/P5P1/RP2rPKP/3r4 b - -,e2d2
2r1nrk1/2qbbppp/p1npp3/6P1/1p2PP2/PNN1BB2/1PP4P/R3QRK1 w - -,a3b4
2rrq3/5pk1/pp2pnp1/4N1p1/1P3Q1P/3P4/4PPK1/2RR4 w - -,h4g5
3k4/5p2/5N1P/4KNn1/8/8/8/8 b - -,g5h7
2r2rk1/1pBn1ppp/1p2bb2/1N1p4/3P4/P2B4/1P3PPP/2R2RK1 b - -,g7g6
6k1/1p3p2/1np1b1p1/2p4p/2P1PP2/1PR3PP/3rNKB1/8 w - -,c3f3
r1b1k2r/pp1pppbp/2n3p1/q1n5/2PN4/2N1P1P1/PP3PBP/R1BQK2R b KQkq -,c5e6
6b1/8/2k4P/2p4N/p7/P2PK3/6p1/8 w - -,e3f2
1rb1k2r/1pqnbppp/p1p1pn2/2Pp4/N2P4/4PN2/PPQ1BPPP/R1B1K2R w KQk -,e1g1
q1r1r1k1/3Q1ppp/pB6/P1P1bP2/4p3/1N6/1P4PP/3R3K w - -,d7d2
8/5k1p/pp1R3P/1r6/8/1P4K1/P7/8 w - -,d6c6
6r1/p3kr2/Pp2pnpp/1Pp1P1PP/2Pp1P2/3K4/5R2/5R2 w - -,g5f6
2rq1k1r/1b1nb3/pn1pp1Qp/1p6/4P3/P1N5/1PP2PB1/R1B1K2R w KQ -,c1h6
4r3/p1n3kp/1p1qpnp1/4Rp2/2BP1P2/1P5P/P2B2P1/4Q1K1 w - -,d2c3
r2qr1k1/1p3pbp/p2p1np1/2p3B1/P2nP3/2N2P1P/1PPQB1P1/R3R1K1 b - -,d8a5
8/6kp/q5p1/6b1/8/PP1Q1P2/3pK1P1/7R b - -,a6a3
6k1/2n3r1/p1Pp4/3PpQ2/2K2p2/1PN2P2/8/4r3 b - -,e1c1
r4rk1/1p3p1p/2bpn1p1/2q1p3/1PP1P2P/p5P1/2NQ1P2/R3RBK1 b - -,e6d4
r5k1/5r1p/3R4/pp3p2/2b2n2/P4PK1/1P4PP/4R3 w - -,g3f4
r2qk2r/pb1nbppp/1p1ppn2/8/2PNPP2/P1N1B3/1PQ1B1PP/R3K2R b KQkq f3,a7a6
8/6k1/8/p5N1/K6p/4n1pB/8/8 w - -,a4a5
3r1b2/p3npk1/4p1p1/1qPrP1Pp/1p1P3P/1P3NN1/P2RQPK1/3R4 b - -,b5b7
3r2k1/1p1q1b2/p1n1pRpp/8/2PbQ2P/6P1/P4PK1/1B1R4 b - -,d7e7
4R3/8/8/8/5nk1/8/1r3K2/8 w - -,f2e1
5b2/1Rr2bkp/6p1/3p1p2/4p3/3P2P1/4PPBP/1R4K1 b - -,c7c2
5r2/8/3k4/1p6/4K1p1/1PR3P1/8/8 w - -,b3b4
1r5k/p5b1/3N2pp/5p2/1BB5/P2p2P1/5PKP/8 w - -,c4d3
2r3r1/n3kppR/4p3/3pP1N1/1P3PP1/8/1P4K1/2R5 w - -,c1a1
5rk1/3q1ppp/p1pb4/1p1n4/3P4/1BP2QP1/PP1B3P/R5K1 b - -,f8e8
r1bqk2r/ppp1bppp/4nn2/3p2B1/3P4/2NBP3/PPQ2PPP/R3K1NR w KQkq -,g5h4
2b1rr1k/2q1b1pp/p2p1n2/1p6/2n1PN2/P1N4Q/1PP2BBP/4R1RK w - -,h3g3
8/4k2p/7P/R7/2K2p2/6r1/p7/8 b - -,g3g2
r1bqr1k1/pp1n2pp/2p1p3/3p4/2PPp1Bb/4P1B1/PPQN1PPP/R4RK1 w - -,g3f4
r3k2r/1p1n1ppp/p1b1p3/8/P5P1/2N4P/1PP2P2/2KR1BR1 b kq a3,d7f6
Rn1q1rk1/1bp1bppp/3ppn2/1p6/4P3/3P1NP1/1PP2PBP/1NBQR1K1 b - -,b7a8
5k2/ppp3p1/1bb2r1p/8/5B1P/2PB2P1/PP6/2K1R3 w - -,d3c4
3rk3/6Q1/1pP5/p1q1p3/P7/1P3RP1/2P4K/8 b - -,d8d1
r1bqk2r/pp2npp1/1bn4p/1B1p4/7B/1N6/PPP1QPPP/R3K1NR b KQkq -,c8e6
5qrk/2r2p2/1p1p1Pp1/p1nPp2p/PnP4P/1PN3PB/3Q4/1R3RK1 w - -,c3b5
r2qrbk1/pppn1ppp/5n2/4p2b/2P1P3/1P1B1N1P/PB1N1PP1/R2Q1RK1 b - -,d7c5
3r4/pp3kb1/b1p2ppn/7p/4PP2/2B1NBPP/PP3K2/R7 b - -,g7f8
3r4/p4kpp/1p6/2n3P1/4PP2/P1N1B3/1PK4P/8 b - -,c5e6
3r1rk1/pp3pp1/3b1q1p/3P3b/3NQ3/2B5/PP3PPP/R3R1K1 b - -,h5g6
r2qk2r/1bp1npb1/pn1pp1pp/1p6/3PP2P/2N1BPPN/PPPQ4/1K1R1B1R w kq -,f1d3
r1b1k2r/1p1nbppp/p1q1p3/1N6/2P5/3B4/PP3PPP/R1BQ1RK1 w kq -,b5d4
3b2k1/p4pp1/1p2p2p/2q5/6N1/8/PPP1QPPP/6K1 w - -,g4e5
8/8/5pp1/3k3p/1pbP3P/p4PP1/P1K5/2N5 b - -,d5d4
r5k1/pp1rppbp/n4qp1/BN3n2/P2P4/1Q3B1P/1P3PP1/R3R1K1 b - -,f5d4
r3k2r/ppp1q1pp/1nn5/5p2/1b1Pp3/2NbP1P1/PPQ1NPBP/R1B1R1K1 w kq -,c2d1
2r1k2r/1bq1ppb1/p2p1np1/1p2n2p/3NP1PP/1BN1BP2/PPPQ4/1K1R3R w k h6,g4h5
8/3b1p2/1p1p1r2/p1k1n1p1/P1P1P1Pn/1P2KPR1/7R/3B4 w - -,h2d2
