3R4/p5pk/6rp/4q3/8/3Q3P/PP2K3/4N3 w - -,e2d1
r3kb1r/pp1n1p1p/2p1pp2/3q3b/3P4/2P1BN1P/PP1QBPP1/R3K2R b KQkq -,d7b6
1r3rk1/3qbppp/p1p1p1n1/2PpP3/3B4/4Q1PP/PPPN1P2/4RRK1 b - -,d7a7
8/8/1pkp4/6p1/1KP5/PP1R4/6r1/8 w - -,a3a4
8/8/R1p5/1p6/2p5/P2k4/KP6/5r2 b - -,d3c2
rnbq1rk1/pp1pbpp1/4pn1p/8/3P3B/3B1N2/PPPN1PPP/R2QK2R b KQ -,b7b6
2r3k1/pp3pp1/4p2p/3pP3/2q1n3/BN2Q3/PPr3PP/1K2R3 b - -,e4d2
5k2/R4p2/6p1/p6p/7P/4P1P1/r4P2/6K1 b - -,f8g7
3r3k/1p2r2p/p2N1P2/2P1n3/1R4PP/3p4/PP1R2K1/8 b - -,e7c7
3r1k2/2R5/1p2P1n1/6p1/P2p2P1/8/6BK/8 b - -,g6e7
r3qrk1/1pp3bp/p2p2p1/1bPPp3/1P2p3/4BP2/P1RQB1PP/1KR5 w - -,f3e4
rn1qkb1r/ppp2ppp/4pn2/5b2/2PP4/2N2N1P/PP3PP1/R1BQKB1R b KQkq -,c7c6
5k2/5ppp/p7/3B3b/1P6/4r2P/P1P5/2K4R b - -,f8e7
2r1k2r/pp1b1p2/4p2p/3pPn1P/6R1/P1BP1N2/5PP1/R3K3 w Qk -,e1d2
r4rk1/2P1bppp/1q1pnn2/1N2p3/PP2P1b1/4BN2/2B2PPP/R2QR1K1 b - -,b6b7
r1b1r1k1/pp3ppp/2p5/8/1P1n4/P5P1/5PBP/R1B2R1K w - -,c1b2
2q4k/6p1/7p/p2n4/4QP2/4P1PP/7K/8 b - -,d5f6
rn1qkb1r/pb3ppp/1pp2n2/3p4/3P4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,b8d7:f8d6
8/8/1k4p1/6P1/2PK4/8/N7/r7 b - -,a1a2
8/3B4/k5n1/2K5/p1N5/P7/8/8 w - -,d7a4
2rq1k1r/1p2bp1n/p1p1p1p1/P1PpPn1p/R2P3P/3N2P1/1P1BQP2/5KNR w - -,f1e1
r2rbbk1/1p3pqp/6p1/PppP4/2N1PP2/4Q1PP/1P6/R3RBK1 w - -,c4b6
r4rk1/1bq2pbp/pp1p2p1/8/PP1Bn3/5N2/5PPP/1R1QRBK1 b - -,d6d5
r7/3r4/pRp3pk/4B3/4b3/5P2/1P4PP/5RK1 b - -,e4d5
5rk1/Q1p2pp1/1p5p/8/4q3/6P1/PPPR3P/1K6 w - -,d2d1
r1b2rk1/p1q3bp/1np2p2/3P2p1/1p2pPP1/4B2P/PPPQN2N/R3K2R w KQ -,d5d6
1r2k2r/1q1nbpp1/p2pb3/4p1P1/1p2P2p/4BP2/PPPQN2P/1K1R1B1R w k -,e2c1
8/pp2r3/5nk1/3p2B1/1P1b4/PB6/8/3K1R2 w - -,g5h4
8/1n1N2kp/n2p2pP/p1pP1pP1/2P2P2/1P3B2/3K4/8 b - -,g7g8
r4r1k/5p1p/p5p1/3P4/2qPp1QP/3R4/P1P2P2/4K1R1 w - -,d3e3
k1r1b3/1pqn1pp1/p1r1p2p/3pPP1P/3R1QP1/P1N1R3/1PP5/1K3B2 w - -,g4g5
5k2/4pp2/3p1q2/2pP3p/5P1P/4R3/8/2K5 b - -,f6f4
r1bqkb1r/pp4pp/2n1pn2/2pp4/3P4/P1P5/1P3PPP/RNBQKBNR w KQkq -,g1f3
5kr1/7p/2q2p2/4p3/1p2Q3/4R3/1PP3PP/6K1 b - -,c6c5
1r6/1r3pkp/R5pb/P7/N1p1P3/2P2P2/1n4PP/1R3K2 w - -,a4c5
r4rk1/p1q2ppp/1p1bp3/3P2R1/6Q1/2P5/P2B1PPP/R5K1 b - -,f7f5
6k1/6pp/4pp2/3p4/3P1BPP/1b2PP2/5RK1/2r5 w - -,f2b2
r5k1/pp1nq2p/2p1b1p1/2P1p3/1P3r2/4QN1P/P2N1PP1/R4RK1 b - -,e6d5
7r/p3kp2/3p1q2/3Pb3/1pp1R3/4Q1PB/rP3PK1/7R w - -,e4c4
8/k7/8/1Q6/P3q2P/8/6K1/8 w - -,g2g3
4R1k1/p4bpp/3q1p2/Bp1p4/5P2/P4Q2/1PP3PP/6K1 b - -,f7e8
r3k2N/4p1bp/p1P3p1/4np2/2p5/2P1BP2/5P1P/R4KR1 w q -,f3f4
2r2rk1/p2qbppp/3p1n2/1ppbp3/3nP3/3PNPP1/PPP1NR1P/R1BQ2K1 w - -,e4d5
7r/2k4r/1R3p2/P1R3p1/3P2P1/4PPK1/5P2/8 b - -,c7d7
3r2k1/p6p/4p1p1/n1prq3/1P6/P2R1P2/4N1PP/1Q1R2K1 w - -,b1c2
r1bR4/b4Bpk/p4n1p/1p6/2p5/6NP/PP3PP1/4B1K1 b - -,c8b7
8/R4pk1/6p1/8/6PP/2r2PK1/8/8 b - -,c3c5
r1b1rnk1/pp2qp1p/2pp2p1/6Pn/3QP2N/2N5/PPP1BP1P/1K1R2R1 b - -,h5f4
4rBk1/1b6/8/1p1P1q2/pPp5/P3ppQ1/7P/2RR2K1 b - -,g8f8
r5kr/pp2Qpbp/2p3p1/3q1pB1/3P4/5P2/PPP4P/2KR2R1 w - -,e7b7
2rq1rk1/pbpn1ppp/1pnp1b2/3N4/2QPP3/P4N2/BP3PPP/R1B2RK1 w - -,f1e1
3kr2r/pBpb1ppp/8/4p3/2P2P2/8/P1P2KPP/1R5R w - -,h1d1
6k1/p4pp1/q1p4p/5Q2/2nb4/1B3P2/PP4KP/R1B1r3 b - -,e1g1
1rbqkb1r/p2n1pp1/1p2p2p/2p5/2Q1P3/6P1/PP2PPBP/RNB2RK1 b k -,b6b5
r1b2rk1/ppp1qppp/3p4/4n3/2P2B2/P3P3/1P1QBPPP/R3K2R w KQ -,e1g1
r1r1b1k1/4q1pp/2p1p3/p1RpNp2/Pn1P4/1P2PPP1/3Q2BP/4R1K1 b - -,c8b8
2r3k1/p4p1p/1p2p1p1/PQ6/2P2P2/3rP1P1/4RK1q/2R5 w - -,f2f3
rnr3k1/pb2qpp1/1p2p2p/2p5/3P4/2R1PN2/PPQ1BPPP/4K2R w K c6,d4c5
1r3r1k/2p3p1/p1q2b1p/P2p1P2/1p1Pp1P1/4B2P/1PP1Q1K1/R4R2 w - -,h3h4
r5k1/3b2bp/1q1p2p1/1p1P4/1N1pPp2/3B1P2/PQ4PP/R5K1 b - -,a8c8
1n1r1rk1/1q3pbp/b3p1p1/1NpP4/P1p1P3/2N4P/1PB1QPP1/1R3RK1 b - -,e6d5
rr6/p2kbppp/2p1p3/3n4/2R5/1N4P1/PP2PP1P/R1B3K1 w - -,c1d2
r2qr1k1/1p1n1ppp/2p2n2/p3p3/P3P3/1N2QBPP/1PP2P2/R4RK1 b - -,d8c7
2krr3/1pp2qp1/p1np1p2/5b1p/2P3P1/1PQ1B2P/P1P1BP2/2KR3R b - g3,f5e4
4rrk1/p1pq2pp/3p3b/2pP4/2P5/1PBRP3/P4PQP/5RK1 w - -,e3e4
1r3qk1/1p1b1pb1/p1pp2p1/4rpNp/2P2NnP/1P1QP1P1/P2P1PB1/2R1R1K1 b - -,g7f6
8/p7/2b5/2r4k/P6R/7P/8/4B1K1 b - -,h5g6
1n1r2k1/r3n1b1/p2qb1pp/2p1pp2/8/PN1PP1P1/1BQ1NPBP/2RR2K1 b - -,d8c8
6k1/p5bp/2r2pp1/2p1p3/8/P2P2P1/3BPPKP/2R5 b - -,g7f8
6k1/1PQ3p1/4pp2/5bp1/3P4/2K1p3/1B2Pq2/8 b - -,f2e1
8/8/8/2rB4/6p1/4k1P1/8/6K1 w - -,d5b7
8/n1N2k2/3p3p/1p1PpPp1/1P2P1P1/1P6/8/3K4 w - -,d1e1
8/1p1r4/p6R/4kp2/P3n1p1/1P2N3/6K1/8 w - -,h6h5
r3k2r/5p1p/4p1p1/1pR5/7P/1B2B3/PKP2Pb1/7R b kq -,g2h1
r2q1rk1/p2n1ppp/4pn2/3b4/1p6/P3QNP1/4PPBP/R1B2RK1 w - -,a3b4
2Q1n3/1p4k1/6p1/3ppr1p/1R2q2P/6P1/P1P2P2/5RK1 w - -,b4e4
4R3/8/8/5ppk/8/3r4/5K2/8 w - -,e8a8
r1b2rk1/ppbnq1pp/2p1p3/2Pp1p2/3Pn3/1PN1PNP1/PBQ2PBP/R4RK1 b - -,e7f6
rnbqk2r/pp2ppbp/3p1np1/2p5/4P3/2PP1NP1/PP3PBP/RNBQK2R b KQkq -,b8c6
8/8/4qpk1/7p/8/3Q2P1/7K/8 b - -,f6f5
8/6k1/1pp3pN/2p1b1P1/4P3/Q7/2P3K1/3q4 b - -,d1e2
4k3/8/3bqBp1/1p4P1/3QpP2/8/1P3PK1/8 b - -,d6f4
