8/8/2R5/6p1/1P4P1/r2p1K1P/2k2P2/8 b - -,c2d1
rn1qk2r/pp2bppp/4p1b1/3pPn2/3P4/3N1N2/PP2BPPP/R1BQ1RK1 w kq -,d3f4:g2g4
2r1kb1r/1b3pp1/pqp1p2p/1p1nP3/4P2B/PQ6/1P1N1PPP/R3KB1R b KQk -,d5f4
r2qkb1r/1b1npp1p/pp1p1np1/8/2PNP3/5P2/PP4PP/RNBQRBK1 b kq c3,f8g7
4r1k1/5ppp/3B1b2/8/1p2P3/1P6/1r5P/3R1R1K w - -,e4e5
r1b2rk1/1pq1bppp/p3p3/2pnP3/8/6P1/PPP2PBP/RNBQR1K1 w - -,c2c4
r5k1/1b2Rpbp/p2p2p1/1p3P2/3n4/2P2Q1P/PP3PP1/3R2K1 b - -,b7f3
4kb1r/pp1r1p2/4q2p/3pP1p1/2pP4/2P2Q2/P1P2BPP/R4RK1 w k -,f2e3
r1bqr1k1/ppp3pp/2np1n2/4pp2/2PP4/BQP1P1P1/P3NPBP/R3K2R w KQ -,a1d1
rqr3k1/5ppp/b2p4/B1nPp1b1/6P1/1P2R1NP/1P3PB1/R2Q2K1 w - -,e3c3
3r1r2/6qk/p1nR1b1p/2p3p1/2B1P3/1P2RNQP/5PP1/6K1 b - -,f6e5
8/6kp/p1q3p1/2r2p2/3Q4/2n1P1P1/P4P1P/2R1R1K1 b - -,g7g8
3q4/p1p3kp/1r1p1rp1/3N4/5Nb1/4QnP1/PP3P1P/R3R2K b - -,f3e1
1r1q2k1/1pn1r1bp/1Q1p1pp1/P1pP4/1p2P3/1P4PB/1B3P1P/3RR1K1 w - -,f2f4
8/5npk/p6q/2p2p2/P2p4/1P5P/2P1Q1P1/5BK1 w - -,e2a6
r1b2rk1/6pp/3p1p2/1ppP4/p3qP2/1P2P1R1/PB1Q2PP/3R2K1 w - -,d2e2
4n2k/2r3bp/3p4/1P4p1/3pPp2/1B3P2/P5PP/2R4K w - -,c1c7
br1rn1k1/1q3ppp/pp1ppb2/3P4/4PP2/4N1P1/P2QBB1P/2RR2K1 w - -,e3c4
8/1p4kp/p7/1rR5/1P3KPP/P7/8/8 b - -,b5b6
8/1K4pk/r5Np/5R1P/8/8/8/8 b - -,a6a1
8/5p2/8/3KP2p/5k1P/8/8/8 w - -,e5e6
2r1r1k1/1p1b1p1p/p4qp1/3p4/3N4/1PbQP2P/PNR2PP1/3R2K1 b - -,c3d4
r1b2rk1/ppq1bppp/4pn2/2p5/2P1BN2/1QB1P1P1/PP3P1P/R4RK1 w - -,e4g2
rn3rk1/1q2bppp/2p1p3/1p2N3/pP1PP3/5QP1/5PBP/1RB2RK1 b - -,f7f6
2krn3/p3bp1p/4p3/2prB1p1/P1N5/2P4P/1P3PP1/R3R1K1 w - g6,c4a5
r4rk1/ppn1qppn/2pp3p/4pP2/4P1P1/2NP1B2/PPPQ2RP/R5K1 w - -,a1f1
r1q2rk1/3b3p/p2p2p1/nppPpp1n/4P3/1PP3PP/P1B2P1K/R2QRNN1 w - -,e4f5
1k1r3r/ppp2q1p/3b4/PP1p1pp1/3P4/2N2Q2/2P2PPP/R4R1K w - -,b5b6
8/7p/1B4pP/n2k2P1/P4K2/8/8/8 b - -,a5c4
r1bq1rk1/ppp1ppbp/2n3p1/4p3/3P1Pn1/2N2N2/PPP3PP/R2QKBBR w KQ -,d4e5
r2qn1k1/3bn1bp/3p2p1/p2Pp3/Pp2P3/1P2B1P1/3QN1BP/2RN1rK1 w - -,g1f1
rnbqk1nr/2p1ppbp/p2p2p1/1p6/3PPP2/2N1B3/PPP3PP/R2QKBNR w KQkq b6,f1d3:a2a3:g1f3
8/8/R6p/5p2/2P2k1P/p2r4/6K1/8 b - -,d3d2
4r3/1ppb1k2/p2p1pn1/PP1P1pp1/2P2P2/2NN2P1/5K1P/3R4 b - -,e8h8
8/4k3/3p4/3P4/b3KP1r/4P3/1Rp5/2R5 w - -,b2b4
r1bq1rk1/pp3pbp/2n1p1p1/4N3/3PpB2/6P1/PP2PPBP/2RQ1RK1 b - -,c6d4
r4rk1/2qn1ppp/pn2p3/1pb1P3/5B2/1NN2Q2/PPP3PP/R4R1K w - -,b3c5
6R1/8/3r2n1/pk2N1p1/1p2K1P1/1P6/P7/8 b - -,g6e5
r1b2r2/3q1p1k/p2b4/3Pp1Q1/1p4pN/8/PP3P1P/2R2RK1 w - -,g5h5
3b2B1/8/3k4/5P1K/2P5/8/8/8 b - -,d8f6
8/8/4kp2/1R3p1p/1P1r3P/6K1/8/8 b - -,d4c4
8/4k1p1/7p/3n4/8/1r1BP3/1p1K4/1R6 b - -,e7d6
2R5/8/1k6/8/2Kp1r1p/8/8/8 b - -,f4g4
6k1/2R2p2/7p/3bp3/P7/1r4PP/7K/8 w - -,h2g1
8/4kp2/pr4p1/5p2/PPR2P2/6P1/5K1P/8 w - -,f2e3
1rb3k1/p4pp1/1pB1pb1p/4N3/1PP5/P5P1/5P1P/3R2K1 w - -,f2f4
3rr1k1/pb4bp/1pq1n1p1/4ppP1/2p5/3P3Q/PPPBN1PP/2RB1R1K b - -,e5e4
2kr1b1r/pp2pppp/q1p1b3/P3P3/3P2P1/2B5/1PP3BP/R2QK2R b KQ -,c6c5
6k1/3bqpp1/2p4p/8/1P1Q4/5B1P/5PP1/6K1 b - -,g8f8
r3kb1r/5ppp/p3b3/qp2p3/8/2P1nB2/PP3PPP/R1BQK2R w KQkq -,f3c6
r5k1/3q1ppp/3Pp3/Q1rb4/p1pP1B2/5P2/P5PP/1R4K1 w - -,d4c5
r4rk1/2pbqnpp/1p1p1n2/3Ppp2/1PP5/4PP2/1BQ1BNPP/2R2RK1 b - -,f8b8
8/3k3p/5p2/2bp1N2/1p3P2/1K4P1/7P/8 b - -,d7c6
r1b3kr/1pNn1pb1/3p2p1/p2Pp1q1/2P1P3/5QNP/PP2B3/1K3R1R b - -,f7f6
1rr2nk1/1p1b1ppp/p2p1n2/3P4/P1q1P3/2N1bPP1/1BQ2NBP/R1R4K w - -,g2f1
r1bq1rk1/pp1nbppp/2n1p3/3pP3/5P2/PNNB1Q2/1PP3PP/R1B1K2R b KQ -,d7c5
4k2r/4bp1p/pq2bp2/4p3/2P1p3/5P2/PPN3PP/2KrQB1R w k -,e1d1
r2q1rk1/pp2ppbp/1nB3p1/4P3/5Bb1/2N2N2/PP2QPPP/R4RK1 b - -,b7c6
3R4/2p1r1k1/1p4p1/5p1p/1PP1n2P/2R3P1/4BK2/8 w - -,f2f3
4r1k1/1r4p1/1q2n3/1pbpBp2/p2P1Pp1/P3P1P1/1RNQ3P/1R4K1 b - -,c5f8
8/4r3/3p1kp1/2p4p/P1P5/7P/5P2/1R3K2 w - -,a4a5
r1br1bk1/1pR2p1p/4n1p1/p2pP3/q5P1/3NB2P/1P1Q1PB1/2R3K1 w - -,c7c2
5r1k/1ppB1r1p/1pnp1bp1/3Np3/4P3/2P3PP/PP3PK1/3R1R2 w - -,d7e6
3r2k1/p4ppp/1p2p3/B7/P1P2P1n/3bPB2/5KPP/R7 w - -,a5b4
8/7p/4k3/8/4PK1P/8/8/8 w - -,e4e5
r1bq1rk1/pp3p1p/3bp1p1/3pB2n/3P3P/2PB4/PP1N1PP1/R2QK2R b KQ -,d6e5
8/5k2/6p1/8/3n1KPP/6B1/8/8 b - -,d4e2
5R1k/p7/2p4p/4p1p1/1qBpr3/1P1R2Q1/P1P3KP/8 b - -,b4f8
1qr1r1k1/1bbn1ppp/pp1ppn2/8/1PPNP3/PQN1BPP1/4B2P/2R1R1K1 w - -,e2f1
r4rk1/1bq1bppp/pp6/n1pp4/3P1P2/2P1B1P1/PP2NQBP/R3R1K1 w - -,a1d1
8/1b6/p7/6pp/3Pp3/1P2N1P1/P4K1k/8 b - -,h2h3
8/1p3p1k/2p2b1p/p2r1P2/P7/2P4P/1P1BK3/5R2 w - -,d2e3
3q3k/1r1p1n1p/p1p1rppN/2pN3n/2P1P3/PP6/1B4Rp/3Q1R1K b - -,f7h6
r1b1r1k1/ppp3pp/3p1b2/3P1p2/3pPP2/P2P2P1/1P1B2BP/R3R1K1 b - -,c8d7
r1bqk2r/ppp2pp1/2n2n1p/2b5/2p1p3/2N1N1P1/PP1PPPBP/R1BQ1RK1 b kq -,e8g8
r2q1rk1/pp3ppp/2nBpn2/3p4/3P4/2NbPN2/PP3PPP/R2QK2R b KQ -,d8d6
1r4k1/1b1nqpp1/r2ppn1p/p1p5/2P5/P1BBPN2/1PQ1RPPP/3R2K1 w - -,f3d2
r1bq1rk1/1p2bppp/p1npp3/2n5/3NP1P1/1BN1B3/PPP1QP1P/R3K1R1 w Q -,e1c1
rnbr2k1/1p3ppp/1q2p3/p2n4/2Nb4/4P1P1/PP2QPBP/R1B2RK1 b - -,b6a6
r3k2r/4bppp/pqPp1B2/1pn5/5P2/3B1Q2/PPP3PP/2KRR3 b kq -,g7f6
2kr4/p4ppp/2p1p3/1p2P1P1/1nB2P2/7P/P1P2R2/6K1 w - b6,c4b3
