1k2r3/3R3R/8/3pp3/8/P1P5/KP6/3r4 w - -,a3a4
1nb2rk1/r3qp1p/3p1npQ/3Pp2P/pp2P1P1/3B1PN1/PKP5/3R2NR w - -,g1e2
8/5k1p/p2R2p1/1pB5/1Pb5/7P/4pKP1/3rN3 b - -,d1a1
r5k1/pp1rpp1p/2p3p1/2N5/PnP5/7P/1P3PP1/2R1R1K1 b - -,d7c7
r3k2r/3q1pp1/bn1Pp3/pp2Pn1p/1bp1Q3/2N2N2/1P1B1PPP/R3KB1R w KQkq -,f3g5
2r2rk1/pp4bp/4bpp1/8/2PqN1PP/P2P1Q2/6B1/4RR1K w - -,e4f2
1r3rk1/pb2qpbp/1p2pnp1/3p4/3P4/2N1PNP1/PP3PBP/2RQ1RK1 w - -,a2a3
1r2r1k1/1ppbqpp1/3p1n1p/p1b5/2P5/1PN1P1P1/PBQ2PBP/R4RK1 w - -,a1d1
r2qkb1r/p2n1ppp/2p1p1b1/2ppP3/3P2P1/2N1BN1P/PPP2P2/R2Q1RK1 w kq -,d4c5
rb1r2k1/pR1R2pp/1pn2p2/5P2/1PN1P3/P3B3/6KP/8 b - -,d8d7
6k1/5p1p/p3b1p1/4p3/3r2P1/2K4P/8/1R2R3 b - -,d4f4
6k1/pp4p1/2p5/3p4/3Pr2b/1P1QP3/P3R2P/2BK1q2 w - -,d1c2
3r4/8/3pkn1p/p2bp1p1/8/BP4R1/P1K3PP/3R4 w - -,a3c1
rnbq1rk1/ppp1bppp/4p3/3p4/2P1n3/1P3NP1/P2PPPBP/RNBQ1RK1 w - -,c1b2
8/p7/3b3p/5pp1/k1P5/3NK1P1/P4P1P/8 w - -,e3d4
2r3k1/ppqr2pb/2p3N1/4RP2/1P2p2Q/P3b3/1B4B1/5R1K b - -,e3d4
r1bq2k1/pp4b1/3p1nnr/1N1Pp1p1/4PpP1/3N1P2/PP2BB2/2RQ1RK1 b - -,c8d7
r7/2p3p1/P4n1p/1k6/8/R4KPP/5P2/8 w - -,a3e3
2r1q1k1/p1r1np2/1pn1p1p1/3pP2p/3P1N1P/P1R2NP1/1PQ2PK1/2R5 w - -,c2d2:g2h1
rn2k2r/pp2bppp/1qp1pn2/3p4/2P3b1/5NP1/PPQPPPBP/RNB2RK1 w kq -,d2d3
2Q5/6pk/r7/2R4p/p3bP1N/P3P2P/3q2PK/8 b - -,a6h6
8/7p/8/8/4kP1P/1K6/5r2/2R5 w - -,c1c7
rnbq1rk1/pp2ppbp/2pp1np1/6B1/2PP4/2N1PN2/PPQ2PPP/R3KB1R b KQ -,b8d7:a7a6
8/5p2/6p1/rB3b2/3k1b2/5PNP/1R5K/8 w - -,b5f1
r3b2r/6pk/p4n1p/1q2N3/4P3/6Q1/PP3PPP/2R2RK1 w - -,c1c7
8/p7/2p4r/3k3P/P6R/2PK4/1P6/8 b - -,c6c5
5k2/8/5P2/r5pp/1p2N3/1BpK1P2/8/8 b - -,h5h4
2rq1rk1/1b1n1ppp/p3p3/3P2P1/1b3P1P/2NQB3/1PP5/1K1R1B1R w - -,c3a2
5r1k/1p2prbp/1n1q2p1/pNp5/P1P1QP2/1P1RB1P1/7P/3R2K1 b - -,d6c6
2r5/5k2/1p3qp1/1N2p2p/P2p2n1/1P4P1/3QPP1P/5RK1 b - -,h5h4
3rq3/p1r3pk/1p3p1p/1P4nP/P1P1bN2/6R1/1Q2B1P1/5RK1 w - -,g3e3
5r2/8/2k5/8/2P1K2P/5p2/5R2/4n3 w - -,h4h5
r2r2k1/4n1pp/4q3/1p1p1p2/2bP4/2B1P1P1/1Q3PBP/R2R2K1 w - -,a1a3
8/b7/8/5Nk1/5nP1/5P1P/7K/8 b - -,a7f2
6k1/q5pp/2p5/r1np4/5N1P/6P1/2Q2P2/1R4K1 w - -,c2f5
3q1r1k/1bp3pp/1p2ppn1/r7/P2PP3/Q4NP1/5P1P/R3RBK1 w - -,a3b3
r7/6p1/2p1kp1p/1pn4P/4P3/n1P3P1/R1BR4/3K4 b - -,e6e7
r1b1kb1r/pp2pppp/2p5/8/2Pq2P1/2NPB3/PP1KBPnP/R2Q3R b kq -,g2e3
r2r1nk1/1bn1qp2/p5pp/1pppP3/5PP1/2N1P1BP/PPQ5/1B2RRK1 b - -,d5d4
8/5pk1/2p2p1p/2Pbn3/5B2/5PP1/4BK1P/8 b - -,e5d7
r1b1kb1r/1p1n1p2/p1n1p2p/4P3/3NN1p1/1B4B1/PP3PPP/R2R2K1 b kq -,c6e5
2r2rk1/p4ppp/1q6/1B1p4/4n1b1/1N1QP3/PPP3PP/R4RK1 w - -,a2a4
8/2R2Pkp/3r2p1/8/2B1pp1P/1P6/P7/6K1 b - -,d6d8
r1b1k3/p5pp/2p1p3/2BpP1q1/4p3/1P2PrPP/P3Q3/R2NK2R w KQq -,h1f1
8/7R/6rP/5k2/8/5P2/5K2/8 b - -,f5g5
3R4/8/2p3p1/1pk3r1/4p3/2P2Pp1/PP4K1/8 w - -,f3e4
1R6/1pk2pp1/4p2p/8/1KP2P2/6P1/3r3P/8 w - -,b8f8
r2q1rk1/2nbppbp/p2p1np1/1ppP2B1/2P5/2NBPN2/PP3PPP/2RQ1RK1 w - -,f3d2
r4bk1/pb3ppp/1pq1p3/8/2P1B3/1P6/PB3PPP/3QR1K1 b - -,c6c8
5R2/8/4p1k1/5p2/r7/5K2/7P/8 w - -,f8g8
8/5p2/1n2k1pN/8/5KP1/7P/8/8 w - -,g4g5
6k1/p5p1/3bp2p/2p1np2/2P5/7P/PP1NNPP1/6K1 b - -,e5d3
r2q2k1/bp3ppp/p7/7n/N2n4/P4P1P/1P3P1B/2RQ1RK1 b - -,d8h4
8/3R1kb1/1p4p1/1r5p/8/4B1P1/5PKP/8 b - -,f7g8
6k1/R7/4r1Kp/3n2p1/8/5PP1/8/8 w - -,g6h5
r1b1k2r/5pbp/p1p1p1p1/q1ppP1B1/N1Pn4/1P1P1N2/P4PPP/R2QR1K1 b kq -,a8a7
r2qk2r/pp1n1pp1/2pb1n1p/3p4/3P2bB/P1NB4/1PP1NPPP/R2Q1RK1 w kq -,f1e1
8/3R3p/pk6/1p2pp2/1n6/r3P2K/5P2/2R5 w - -,d7d6
r4rk1/p3qpb1/1p1pb1pp/4p3/2P1P3/1PNRQ1PP/P4PB1/R5K1 b - -,f8d8
8/p4pk1/4pb1p/3q2p1/p2P2P1/P2Q1N1P/1P2RPK1/2r5 w - -,e2c2
r5k1/1b2qppp/pp2p3/8/3Q4/1BP1P2P/PP4P1/3R2K1 w - -,d4b6
r1bqk2r/ppp2ppp/2N5/1B1pP3/4n3/8/PPP2bPP/RNBQ1K1R b kq -,b7c6
4r1k1/p1pq1pp1/1p1P3p/4Pb2/1P6/P1Q3P1/6BP/3R2K1 b - -,c7d6
r1k2r2/pp1n1Qp1/2p3p1/3p2Pn/3P4/5PqP/PP1B2B1/2R1R1K1 w - -,d2a5
5k2/2R3pp/p1p2p2/5N2/1rP3P1/8/8/6K1 b - -,g7g6
1r1r2k1/5p1p/2npp1p1/1p6/1p2P3/P1NP4/5PPP/1R1R2K1 w - -,a3b4
8/3b1kp1/4ppp1/pp1pP2r/r2B1P1P/PRP1K1P1/2PR4/8 b - h3,g6g5
r3k2r/1b1q1pbp/pp2p3/n2p1p2/P2N4/2P1PNP1/1P3PBP/R2Q1RK1 b kq -,a5c4
2kr1b2/1pqn4/p7/5p2/4p2P/2B5/PPP5/2KR1BQ1 w - -,g1g5
r3k2r/p3pp2/1q3bp1/1p6/2B1RP1p/7P/P1P2QP1/5RK1 w kq -,f2b6
2k5/R6p/2p5/P1N3pP/3r4/2r5/6P1/6K1 w - -,c5e6
6k1/8/p2P4/P3b1pp/4N3/5p1P/1pK5/8 b - -,e5d6
r2q1rk1/ppp2ppp/2n2n2/4p3/1bBPP1b1/2NQB3/PP1N1PPP/R3K2R w KQ -,d4d5
8/8/1p6/2bR2p1/2P4p/5knP/8/4K3 w - -,d5g5
rr6/4k1pp/2pbp3/1pn1p3/4P3/1B3P2/1PPKN1PP/R2R4 w - -,d2e1
r4rk1/pppN1pb1/4q2p/1B1p2p1/3p4/3Q1PP1/PPP2P2/R5K1 w - -,d7f8
3r1b2/pp6/4k1p1/3pP2p/2pB1P2/6P1/PP3PKP/4R3 b - -,b7b5
r1r3k1/4ppbp/1p1n2p1/1Bp5/2PPb3/N3P1P1/PB1R1P1P/R4K2 b - -,a8a5
r3qrk1/2bnn1pp/2p1p3/1pPpPp2/pP1P1PP1/P1N1B2P/Q3B1b1/R4RK1 w - -,g1g2
r3r1k1/1pqn1pp1/2p1bn1p/p1b1pN2/2P1PP2/1P4PP/PBQN2B1/R3R2K b - -,e5f4
1n2R3/6kp/p4q2/1p1pbppQ/5p2/PP5P/5PP1/2R3K1 w - -,c1c8
2br1rk1/p1p1q2p/3bppp1/2p5/3PpP1Q/1P2P2R/PB2B1PP/3R2K1 w - -,d4c5
8/1p4pk/p1r1q2p/8/5P2/3Q2P1/PP5P/3R3K b - -,h7g8
3kR3/pp1n1ppp/2p4n/3p4/3P2P1/1PNN1P2/P1P4P/2K5 b - -,d8e8
2r3k1/4q1p1/6Pp/3pNp1P/b3pP2/4P1K1/1Pp2R2/3Q4 w - -,d1d5
6k1/2p1rp1p/2B3p1/8/P3P1bP/1PQ3P1/K2R4/5q2 b - -,f7f6
8/7N/8/K4p1p/8/6kP/8/8 w - -,h7g5
5rk1/3nq2p/1p2p1p1/p2pr3/1PP5/P2Q1PP1/4B1P1/1R1R2K1 w - -,f3f4
