8/3k4/4N2R/4K3/8/8/8/r7 w - -,h6h7
r4r1k/pppqnbpp/3b1p2/3PpP2/4P1Q1/2Nn2P1/P3NBBP/1R3RK1 w - -,f2e3
r1bqk2r/pppp1ppp/2n1pn2/8/1bP5/PQN2N2/1P1PPPPP/R1B1KB1R b KQkq -,b4e7
8/2p5/1p1p1k1p/2bP1P2/p1P3B1/P3r2P/1P1K4/2R5 b - -,h6h5
5rk1/1p1rbppp/1np3b1/p6P/P2P1nP1/1BN2P2/1P6/R1B1R1K1 w - -,c1f4
5rk1/p3b1p1/p1rp1p1p/4p3/R6P/1NB2bP1/PPPR1P2/2K5 w - -,b3a5
r1b2r1k/bpp3p1/p2p2qp/4pn2/6P1/1BPP1N1P/PP3P2/R1BQRK2 w - -,f1g2
2rr2k1/pb3pp1/1p2n2p/3pP3/6Q1/1B3P1P/P5PK/4R3 w - -,f3f4
r2q1rk1/3bbppp/p1nppn2/1p4B1/4P3/1NN5/PPPQBPPP/1K1R3R w - b6,g5f6
r2qk1nr/1b1nppbp/p1Pp2p1/1p6/4P3/2N1BP2/PPPQN1PP/R3KB1R b KQkq -,b7c6
1k1r4/1ppr1pp1/p1pq1n2/b3RP2/6P1/P1NP2QP/1PPB4/1K1R4 w - -,d1g1
r1b2rk1/2q1ppbp/p2p1np1/2pPn3/P1N1P3/2N5/1P2BPPP/R1BQK2R w KQ -,c4e5
5r2/pR4pk/2p1r3/2P2pBP/P2PpK2/8/8/4R3 w - -,h5h6
rnb2rk1/1p3ppp/p2qpn2/3p4/3P1P2/2NBP3/PP4PP/R2QK1NR w KQ -,g1f3
6k1/p4pp1/4p1p1/3pP1Q1/5P1P/2P2RK1/6P1/r6q b - -,a1a2
8/8/1n6/3p4/3P1k2/6p1/5pK1/8 b - -,b6c4
r2q1rk1/pp2bpp1/2bppn1p/8/3NP3/2NQBP2/PPP3PP/R3K2R w KQ -,e1c1
3r3r/1bk2p1p/p2pp3/4b3/PpN1P3/5BP1/1PP4P/1K1RR3 w - -,e1f1
r1bq1rk1/1pnnbppp/p2p4/4p1P1/4P2P/2N1BN2/PPPQ1P2/R3KB1R b KQ -,b7b5
4r3/4P1k1/p3R3/5r1p/P1p2p1R/2N5/2b2P1P/7K w - -,c3e2
8/7p/p1p1Rkp1/8/7P/1P6/P4PP1/6K1 b - -,f6e6
3r4/5pkp/b4np1/2Rp4/1r6/1P4P1/P3NPBP/3R2K1 w - -,e2d4
8/1R3pp1/p3kn2/P3p3/1P2PP2/1r3BP1/6K1/8 b - -,b3b2
2kr4/1b1npp1p/1q1p1n2/p4P2/1p1P2r1/P2B1NB1/1P2Q1PP/4RR1K b - -,f6h5
5rk1/3q2p1/1p2pbQ1/pN1p4/P1PPp3/1P1n3P/5PP1/2RR2K1 w - -,d1d3
1r6/8/3R1k2/p3p3/2P2p1P/1n3K2/2B5/8 b - -,f6e7
8/3r1k2/2R3pp/3N1p2/1P1bp2P/6P1/5PK1/8 w - -,d5f4
r2qrnk1/1p4pp/2p1b3/p2pPp2/Pb1NBP2/2N1B2P/1PP3P1/3RQRK1 b - -,f5e4
r1b1k1nr/1pp4p/p1npq1p1/3Q4/4P3/2P2N2/P4PPP/RNB1R1K1 b - -,g8e7
2r3k1/p6R/Npp2q1Q/3p2p1/1P1P2P1/8/P7/2R2r1K w - -,c1f1
r1bq1rk1/p3ppb1/1np4p/3p2p1/3P1B2/2N3P1/PP2PPBP/R2Q1RK1 w - -,f4c1
r3r1k1/1ppq1p1p/3p2p1/1NnPb3/8/1P2PB2/P2Q1PPP/2R2RK1 w - -,b5d4
2b2rk1/4nppp/p2qp3/3pN3/1p1P1P2/3BPQ2/PP4PP/5RK1 w - -,f3h5
2b3k1/6p1/pP4Np/7P/8/4P3/2p3PK/2n5 b - -,g8f7
7r/1P6/1K1N2p1/4npk1/7p/7P/4R1P1/8 b - -,e5d7
2kr1b1r/pppq1ppp/4p3/n2n4/8/P1NP1Q2/1PP1NPPP/R1B2RK1 b - -,a5c6
8/r6p/6p1/1kp1Bp2/2N5/3K2P1/7P/8 b - -,a7d7
8/5B1p/5pp1/p1k5/8/2b2PP1/1P1K2P1/5b2 w - -,d2c3
8/5k2/6p1/3P4/2n2p2/2P2P1K/8/3N4 w - -,d1f2
7R/5p2/5n2/5kpp/2P5/5K1P/6P1/8 w - g6,h8h5
8/8/8/3p4/3P2k1/3b2p1/3b2N1/6K1 w - -,g1h1
8/3n4/Rr1Pk3/4p2p/8/5NPP/5PK1/8 w - -,a6a8
3k4/1pr2p1p/p3p1p1/8/2P2P2/1P1R1KPP/P7/8 b - -,d8e7
6r1/8/1p3R2/1PpP1b2/2P5/P3k1K1/8/8 w - -,g3h2
2kr1b1r/2p2p1p/p1n1bNp1/1pq3N1/5B2/5Q2/PP3PPP/R3R1K1 w - -,a1c1
5r1k/pp4p1/4Nb2/7p/5PPq/1B1Q3P/P3P1K1/5R2 b - -,f8c8
r1bq3r/pp2kpp1/2p1pn1p/4P3/7Q/3B4/PPP2PPP/R1B1K2R b KQ -,d8a5
1nbr4/1p2ppkp/6p1/1Pp5/1r6/1B2P3/P2N1PPP/2KR3R b - -,b4b5
6k1/2p1Bn1p/1pB2Pp1/p5P1/2P2R1P/4K3/P1b5/3r4 w - -,f4d4
r1b2rk1/1p1nqppp/p1p2n2/4p3/PbBPP3/2N2N2/1P2QPPP/R1B2RK1 w - -,d4e5
4k2r/1p1nbppp/1q1pb3/p3p1P1/4P2P/1NP2Q2/P1P2P2/1K1R1B1R w k -,b1a1
1R6/2p1Q2p/p1q2pk1/4p3/3rP3/P4BP1/P1p2P1P/6K1 b - -,c2c1q
r4rk1/2p1qppp/p1np1n2/2b1p3/Pp2P1b1/1BPPBN2/1P1N1PPP/R2QR1K1 b - -,b4c3
r1bq1k1r/p3np2/4p1p1/2ppP3/Q4P1b/2PP4/P3N1BP/1RB2RK1 b - -,a7a5
rn1qk2r/pp3pp1/2p1p1p1/8/P1BPn3/2P5/5PPP/R1BQ1RK1 w kq -,d1b3
r5k1/3q1bpp/2pb1p2/p6r/1p1P1P2/P1BQN1P1/1P2R2P/4R1K1 w - -,a3b4
3r1rk1/p5p1/b1pp4/5qQ1/4N3/1P3P2/P5pP/3RR1K1 w - -,g5f5
3r2k1/1p1r2pp/p3pp2/7b/N3PP2/3n2PP/PR4B1/5RK1 w - -,b2b6
b1r1qrk1/p2nbpp1/1pp1p2p/8/2PP1BNP/1P1R2P1/P3QPB1/3R2K1 b - -,d7f6
8/4bk2/6n1/2ppPp2/pr1P1P1p/5N2/1PK3P1/2B4R w - -,h1d1
2b3k1/r4pp1/2BBpb1p/p7/8/1P4P1/P3PP1P/3R2K1 w - -,e2e4
8/8/8/7N/7K/5k2/6r1/8 w - -,h5f6
1r2q1k1/1rn1np2/p1p3p1/2Pp3p/PP1Pp2P/2Q1P1PB/1R1N1P2/1R2K3 w - -,h3f1
3r1rk1/1q2bp1p/p1bpp1p1/1p2PB2/3B1PQ1/P1P5/1P2N1PP/R2R3K b - -,e6f5
8/2kr2p1/p3pb2/6N1/2qn4/2N3RP/1P3PP1/4Q1K1 w - -,g5e4
8/1p4k1/p5P1/5R2/4p1pP/1P4q1/P7/5K2 w - -,h4h5
3rr1k1/pppn1ppp/5qb1/2b1p3/2P1P3/1P1R2NP/PBB2P2/R3Q1K1 w - -,a1d1
r3r1k1/pb3ppp/1p2p3/3p4/2P1n3/B3PN2/PP2KPPP/R2R4 w - d6,c4d5
r3r1k1/2q2pp1/p1n2np1/1pbp4/8/2N1PPP1/PP1B2KP/R2QRB2 w - -,a1c1
4r1k1/1br2pb1/1p6/pP1q1Bpp/2pPp1P1/4P1NP/P1Q2PK1/1R2R3 b - -,h5h4
rn1qkb1r/pp3ppp/2bpp3/3nP3/3P4/5N2/PP2BPPP/RNBQ1RK1 w kq -,a2a3
8/8/7P/b4kP1/2K2P2/4n3/8/8 w - -,c4b3
r2r2k1/pp1nqbbp/3p1n2/1PpPpp2/2P5/1QN3P1/PB2NPBP/4RRK1 b - -,h7h5
2Q5/3n1pkp/1r1pqnp1/3p4/3P4/3NP1P1/3N1PKP/2R5 b - -,g6g5
r1b2rk1/pp2qpp1/2pn1n2/3p3p/PP1P4/2NBPPN1/6PP/1RQ2RK1 w - h6,f1e1
1r3rk1/2p1b1pp/pnp2p2/5q2/2P1NR2/1P1P2Q1/PB4PP/3R2K1 b - -,f5g6
3r3k/pp4pp/2b5/4n3/3Q1R2/3p1PR1/PP1K1P2/1B5q b - -,e5c4
2rn2k1/1b2q2p/3p2p1/1P3p2/2PB1P2/5B2/6PP/1R1Q3K w - -,f3b7
8/1R6/2nr3p/1p2p3/2k5/p3NP1P/PP2PK2/8 b - -,c4c5
r3k2r/pp1qppbp/2np1np1/8/3NP3/2P1BP2/PP4PP/RN1Q1RK1 b kq -,e8g8
r1b2rk1/ppqpppbp/5np1/8/1nP1P3/3BBN1P/PP3PP1/RN1Q1RK1 w - -,b1c3
Q1bqn3/2b3pk/3p2p1/2pP2Np/4PB1P/2PB2P1/8/6K1 b - -,h7g8
