4b3/8/p4P2/Pp1p4/2kN1Kp1/2P3P1/8/8 b - -,b5b4
8/Pr3pk1/4pb2/5np1/8/6PP/R2R4/5K2 w - -,a7a8q
r3r1k1/1bq1bppp/pp1p1n2/4nN2/3QPB2/2N2B2/PPP3PP/R4R1K w - -,a1d1
r1bq1rk1/ppn3bp/4pnp1/2pp4/P3P3/2N2NPP/1PP2PB1/R1BQ1RK1 w - -,d1e2
r1b2rk1/p1q1pnbp/p1p2pp1/3pP3/N2P1P2/4BN2/PPP3PP/R2Q1RK1 w - -,a4c5
6k1/4pp1p/6pb/4P3/2PBb3/8/1P3KPP/2r2BR1 b - -,c1c2
r1b2rk1/pp2bppp/1qn1pn2/2p5/2BP1B2/2P2N2/PP4PP/RN1Q1R1K w - -,d4c5
8/8/3k2Kp/3P4/8/8/8/8 w - -,g6h6
2rq1rk1/p3b1pp/1np1ppb1/3p4/1P1P1B2/P3PP2/1N1QN1PP/2R2RK1 b - -,b6d7
6k1/1p3p2/6p1/5b1p/1P1R3P/8/BKPR1PP1/r6r b - -,a1g1
r4k1r/pp3ppp/3p1n2/2pP1Q2/2P1Pp2/2qB4/P3KPPP/1R5R b - -,b7b6
r4rk1/pp2ppbp/1qnp1np1/8/N1b5/1P4P1/PBN1PPBP/R2Q1RK1 b - -,b6a6
r2q1bk1/2p2ppp/p2p1n2/1p1P4/2nB1P2/1PN2B2/P1P2QPP/4R1K1 b - -,c4b6
1rbq1rk1/pp2ppbp/2np1np1/8/2PNP3/1PN1B1PP/P4PB1/R2Q1RK1 b - -,a7a6
r3r1k1/1q2bppn/p1p1p1p1/PpPpB3/1P1P4/4PN1P/2Q2PP1/R1R3K1 w - -,e5h2
6R1/1p2kp2/2b1p3/2P1P3/p4PP1/K2B2r1/2P5/8 w - -,a3b2
r4rk1/pb4pp/1p1qp3/2pp1p2/3P1P2/2PBP2P/PP2Q1P1/R4RK1 b - f3,c5c4
r2q1rk1/1b5p/pnp1pbp1/1p3p2/2pP1B2/P1N1P2Q/1P3PPP/3RKB1R w K -,e3e4
1R6/pp1r1k1p/2p3p1/2P1Bb2/8/P4p1P/5PP1/6K1 w - -,g2g4
r3r3/1pp2pk1/3p1npp/Pp2p3/1P2P3/2PPN2P/4RPPK/3R4 b - b3,c7c6
r1b2rk1/ppq2pbp/6p1/3Pp3/2n1P3/2P1B3/P2Q1PPP/2R1KBNR w K -,f1c4
r1br2k1/2q1bppp/p4n2/np1P4/3N4/7P/PPB2PP1/R1BQRNK1 b - -,d8d5
2r2k2/6p1/3pR1Pp/p4b2/1p1p4/5P2/PP6/K5R1 w - -,e6d6
8/5pk1/ppbN2p1/8/1P5p/2r2P1P/P2RK1P1/8 w - -,d2d3
r4rk1/pppqppb1/2np1npp/8/1PP5/2NP1NPb/P3PP1P/1RBQR1KB b - b3,f6g4
rn1qk2r/pbppppbp/1p3np1/6B1/3P4/2P2N2/PP1NPPPP/R2QKB1R w KQkq -,e2e3
1rbq1rk1/p3n1bp/1p1p1pp1/3Np1B1/1PPp4/P2P2P1/4PPBP/1R1Q1RK1 w - -,g5d2
8/5p1p/5kp1/8/PR6/r7/5P2/5K2 b - -,g6g5
r1b2rk1/pp3ppp/2pq4/8/P7/2N2Q2/1PP2PPP/3R1RK1 b - -,d6g6
1brr2k1/1pq2ppp/2P2n2/p1Ppp3/3P4/P3B2P/4bPP1/R2QRNK1 w - -,e1e2
2r2rk1/1b4bp/3p2p1/2pnP3/4pN2/3q2P1/PBR3BP/Q1R4K b - -,d5f4
r1b1k2r/pp1nbpp1/2p1p2p/q7/2QP4/2NBPNn1/PP3PPP/R3K2R w KQkq -,h2g3
r3k2r/p2bppbp/2np1np1/qpp5/4P3/P1PP1N1P/1PBN1PP1/R1BQ1RK1 w kq -,f1e1
rnbq1rk1/pp1nbppp/8/1BPpP3/1P6/5N2/P2N1PPP/R1BQ1RK1 b - b3,a7a5
1R6/4pk2/3p3p/2pP1Pp1/nr2P1P1/5K2/8/1N6 w - -,b8b4
2k4r/1r2bp2/Q2pp3/1p4p1/2q1Pn2/P3R2P/NPP2BP1/1K1R4 b - -,e7f6
rnb1kb1r/pp2pppp/2p2n2/3q4/8/5N2/PPPPBPPP/RNBQK2R w KQkq -,d2d4:e1g1
8/8/6pp/p2k4/6PP/P6N/3K4/1b6 w - -,d2c1
8/4k1pp/4p3/4P3/8/1r6/1PR2KPP/8 b - -,e7f7
r1bq1rk1/p3npbp/1p1p2p1/2p1p3/P1NnPP2/2NP2P1/1PP3BP/R1BQ1RK1 b - f3,c8b7
8/1R6/8/2P5/8/1p1k2K1/2r5/8 b - -,c2c3
r2k4/4p2p/3p1pp1/P1bP4/1Rp1P3/P4PP1/3BK2P/8 w - -,b4c4
rn1qkb1r/pp2pp1p/2p2p2/5b2/3P4/2P5/PP3PPP/R1BQKBNR w KQkq -,f1d3:g1f3:g1e2
3r2k1/pb1r2pp/1p2pp2/8/1PP5/b1BN1PP1/P5P1/1R1R2K1 w - -,b1b3
8/5p2/8/4p1p1/4B1Pp/4kP1P/1r6/5K2 b - -,e3f4
8/1p3k2/p1p1nnp1/2P5/P2B3P/3K4/2P5/5B2 b - -,f6d5
r1bqk2r/pp2nppp/2nb4/2pp4/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq -,e8g8
4rrk1/p1p2p1p/2p3p1/2Q5/2P5/Pq4P1/5P1P/4RRK1 w - -,c5c6
4r1k1/5pp1/2p4p/1p6/1Pq5/6PP/2PQ1P2/3R2K1 w - -,c2c3
r3k2r/p3bpp1/7p/2npN3/8/6P1/PP3P1P/R3BRK1 w kq -,a1d1
4r1k1/1pp2p2/p1q2np1/4p3/P1P4Q/BP4P1/5P1P/3R2K1 w - -,d1d3
4r2k/8/6p1/3Q1P2/p7/2P1KN1r/PP1R3q/8 w - -,e3d3
2r3k1/r4pbp/3Bp1p1/ppPbN3/3P4/1P5P/5PP1/1RR3K1 b - -,d5e4
5bk1/1p3p2/1Pn3qp/1p4p1/3pP3/1N1P1P2/rB1Q2PP/4N1K1 w - -,d2c1
6k1/5p1p/4n1p1/8/R4PB1/3r3P/5PK1/8 b - -,e6d4
3R1b2/1p3rkp/pB4p1/3Npp2/2b4P/P7/1P3PP1/6K1 b - -,c4d5
r4rk1/p1q1npbp/bpnpp1p1/2p5/2N1P3/2PP1NP1/PP3PBP/1RBQR1K1 w - -,a2a4
2r2bk1/p4p1p/b3p1p1/3qP3/5P2/1PpR4/P1Q3PP/3R2K1 b - -,a6d3
8/2r2pk1/p3p3/Pp4p1/1P1K2P1/4Nb2/8/5R2 w - -,f1f3
r2qk2r/1ppnbpp1/p1np3p/4p2b/B3P3/2PP1N1P/PP1N1PP1/R1BQR1K1 w kq -,d2f1
6k1/1p3pbp/1N1r2p1/nn1PN3/5P2/4K1P1/1B5P/3R4 w - -,b6c8
r1r1qbk1/3n1p1p/2bQ2p1/1P2p1P1/2p1P3/P1N1BPN1/1K5P/R2R4 w - -,d6d2
r7/pp3pQ1/3bk1p1/2Pqp3/6PP/PPB5/K3BP2/8 b - -,d5c5
5rk1/2R2ppp/1pp1p3/5n2/1qP3Q1/7P/5PP1/3R2K1 w - -,c7c6
6k1/5p2/2b2b1p/5N2/p7/2r1BPP1/5K1P/3R4 w - -,f5h6
1r1q1rk1/pp3ppp/2npb3/2pN2b1/2B1P3/2PP2B1/PP4PP/R2Q1RK1 b - -,g5h4
1r1r3k/6pp/3pQ3/n5P1/Pq2Pp1P/1p3P1B/1P6/1KR4R w - -,c1c7
r1b2rk1/pp3ppp/1nn1p3/6B1/4P3/P7/1P3PPP/R3KBNR w KQ -,g1f3
r1bq1rk1/pppnbpp1/4pn1p/3p4/2PP3B/2N1PN2/PP3PPP/2RQKB1R b K -,d5c4:b7b6:c7c6
2kr3r/1b1n1qb1/p1p2npp/1p2p3/4P1PN/P1N1B2P/1PP2QB1/2KR3R b - -,f7e6
rn1qkb1r/pp3ppp/2p1pn2/8/2PP2b1/2N2N2/PP2BPPP/R1BQK2R w KQkq -,e1g1
r4rk1/5ppp/4p3/p3q1N1/1nP5/Q5P1/5PBP/R5K1 w - -,g2a8
2r4r/1b1k1ppp/p7/2n5/1Q6/B1P5/5PPP/5RK1 w - -,b4d4
8/5kp1/5pp1/q1Bp4/3PP2P/6P1/4NK2/8 b - -,d5e4
6k1/4p1bp/3p2p1/3P1N2/2p1K3/r4P2/Pr1B2PP/3R3R b - -,g6f5
r1bqk2r/1ppp1p2/p1n1pn1p/6p1/3PP3/P1P2NB1/2P2PPP/R2QKB1R b KQkq -,f6e4
8/5k1p/3p4/3P1p2/r1pK4/prP3P1/R4P1P/4R3 w - -,h2h4
6k1/3rrppp/P1q3n1/3p4/2PQ4/2B2P1P/6P1/R4RK1 b - -,f7f6
2r3k1/1qr1bpp1/pp2p3/1P2N3/Q1P1n3/P4PPp/4N1KP/2RR4 w - -,g2f1
8/np1kb2p/4pp2/B2p4/3P2P1/1P1NPP2/8/3K4 w - -,d1e2
5rk1/Rp3ppp/6b1/8/8/2P3Q1/1q3PPP/4R1K1 w - -,g3d6
r5k1/pR3pbp/6p1/8/r7/4B3/P4PPP/5RK1 w - -,f1b1
8/7k/3b4/1p1q1p1p/p2Bp1pP/P1Pr2P1/1P2QP2/3R2K1 b - -,d6g3
4R3/1bk5/p3p3/1B1pq3/3N3B/P1P5/1P5P/5n1K w - -,h4d8
1rbq1rk1/1p2npbp/p1np2p1/2p1p3/2P5/PPN1PNP1/1BQP1PBP/3R1RK1 b - -,c8f5
