8/p4p2/6k1/1R6/PP3KP1/8/8/1r6 w - -,b5b7
r3kb1r/pp1b1ppp/4p3/q2pP3/3P1n2/5N2/PP1NBPPP/R2Q1RK1 w kq -,f1e1
1r4k1/3n1ppp/2q5/1r1pP3/5P1P/Qp2B3/P1PR2P1/1K1R4 w - -,c2b3
5nk1/pQ4pp/4p3/q7/2B5/4P1P1/3r1P1P/5RK1 b - -,a5b6
r1b1kb2/ppp2pp1/2n2q1n/3pp3/8/3P3P/PPPQPB2/RN2KBR1 b Qq -,d5d4
r3r1k1/2q1bppp/p1bppn2/1p4B1/4P1PP/2NB1P2/PPPQ4/1K1R3R w - -,h4h5
r1b3k1/p5np/2p1prpB/3p4/6P1/8/PPP1BP1P/R4RK1 b - -,a8b8
r1bqkb1r/3n1p1p/p1n1p1p1/1p1pP3/2pP1P2/2PB1N2/PP2N1PP/R1BQ1RK1 w kq -,d3c2
r2r2k1/1b2bppp/p3pn2/1B2N3/Pn6/4P3/3BNPPP/R2R2K1 w - -,d2b4
3r2k1/6b1/pp4pp/3q1p2/P3P3/2PpP1BP/1P1Q2P1/3R2K1 b - -,f5e4
r4rk1/1b1nq1pp/3b1n2/2p1p3/3pP3/1P3NP1/PB1N1P1P/R2QRBK1 w - -,f1d3
r6r/1pknbnpp/2p1bp2/p3p3/2P1N3/4PN2/PP1BBPPP/2R2RK1 w - -,f1d1
8/8/5kpp/R2P4/5K1P/p7/6P1/r7 w - -,a5a6
r1b3r1/1pq1pk2/p2b1npp/2p5/2P2P2/2NB2P1/PPQ1N2P/2KR3R w - -,c1b1
rnbqk1nr/pp4pp/4pp2/bN1pP3/3P4/PpP2N2/5PPP/R1BQKB1R b KQkq -,b8c6
1r1q1rk1/1p3pbp/p1nppnp1/2p5/P3PPP1/3P3P/1PP5/RNBBQRK1 b - -,b7b5
8/2Q5/5q1k/8/3P3P/8/p4P2/7K w - -,c7c1
r1b2rk1/pp1pqpb1/2p1n1pp/4P3/P1B5/2NQ2B1/1PP2PPP/3R1RK1 b - a3,a7a5
r4b2/8/1p2pk1p/2n1p1pP/2P3P1/5P2/P1R1BNK1/8 b - -,f8e7
r1bq1rk1/p4nbp/1pp2pp1/1P2p3/4P3/2NPBN1P/2P2PP1/R2Q1RK1 b - -,c8d7
5k2/5p2/3p2p1/pB1P4/4PP1p/7P/2r3P1/5NK1 w - a6,f1e3
3rr3/1pk3pp/p1n2p2/3bp3/8/2B5/PPP1BPPP/2KR2R1 w - -,b2b3
rnbqk1nr/pp3ppp/2pp4/2b5/2PN4/2N5/PP2PPPP/R1BQKB1R b KQkq -,g8f6
r1b1qrk1/1pp3pp/1p2pn2/8/3R4/1N2Q3/1PP2PPP/1K3B1R w - -,f1d3
r4r1k/p1q3bp/1p2p1p1/4p3/2PnN3/1P1Q4/PB3PPP/R3R1K1 b - -,c7d7
2kr3r/pp2qp1p/1np1b1p1/3p3n/3P4/1NNBP3/PPQ2PPP/1K1R3R b - -,h5g7
r5k1/pp3rpp/2b1p3/4Bn2/3p1P1q/PP3R1P/3Q2PK/RB6 w - -,b1f5
5r2/1p3k2/3p2pp/1np5/2R1P2P/PpB2P2/6K1/8 w - -,c3b2
3q2r1/2p2rk1/1p1p2pR/1P1N2P1/2P1Pp2/3Q1P2/3B2K1/8 w - -,d2c3
rn1q1rk1/pb2bppp/1p2p3/8/3PP3/P2BB1N1/5PPP/R2QK2R b KQ -,b8c6
5r1k/pp2qp1p/3r1N2/4P3/8/1PP2Q2/P5PP/4R1K1 b - -,d6f6
r6r/2q1kpp1/p1pbbn1p/1p2p3/4P2Q/1N6/PPP1BPPP/R1B2R1K w - -,f2f3
8/4nkn1/3p2p1/2pP2P1/1pP5/1P3KN1/8/3B4 w - -,d1c2
r3r1k1/4npp1/Pn3q1p/2Np3P/1p1P1BQ1/b5P1/5PB1/R2R2K1 w - -,a1b1
r1r3k1/p5pp/q3pp2/2Pp4/3Q1P2/1P2P3/P5PP/R4RK1 b - -,a6a3
6k1/5pb1/6pp/Q7/3p4/3Np1P1/6BP/1r4K1 w - -,g2f1
r1bqk2r/pp1p1ppp/2n1pn2/8/1b1NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,f1d3:d4c6
r4rk1/pp1n1pp1/1qpbpnp1/8/2PP4/1QN1B1P1/PP2BP1P/R4RK1 w - -,f1d1
3rr1k1/5pp1/4n3/1p6/4P2p/1Bq2NPP/4QP1K/5R2 w - -,b3d5
2q2bk1/1r3p2/1Qp3pp/1p2p3/4P3/2P2P1P/1P3BPK/R7 w - -,b6a5
r1b1k2r/1p1pnppp/p1n5/4p3/4P3/8/PPPB1PPP/RN2KB1R b KQkq -,d7d5
2kr3r/p1pqbp1p/bp1pp1p1/n4P2/2PPP3/2PB2N1/P3Q1PP/R1B2RK1 w - -,a1b1
4k3/Nb2p2p/3p2p1/PP1n4/8/8/5KPP/8 w - -,g2g3
5k2/p2r1ppp/8/R2b4/2pN4/2P3P1/3K1P1P/8 w - -,d2c1
8/8/4pk2/3nNp2/3P2pP/3KP3/5P1P/8 b - -,f6g7
8/3b1kp1/4p3/pp1pP3/r2Br3/PRP2KP1/2P3R1/8 w - -,g2e2
r2q1rn1/2p2pbk/p1bp1npp/1p2pP2/3PP1N1/2P3NP/PPB3P1/R1BQ1RK1 w - -,d4e5
8/8/4k3/p7/6K1/1r6/R6P/8 w - -,a2a5
rn1q1rk1/ppp1bppp/3p1n2/8/3P1Bb1/3B1N2/PPPN1PPP/R2Q1RK1 b - -,d8d7
r3k2r/np1bbpp1/1nq1p2p/p1ppP3/P2P1P2/2P5/1PB3PP/RNBQNRK1 b kq -,e8c8
r4rk1/1p1bqpbp/p2p1np1/2pP4/2P1P3/1PNBB2P/P2Q2P1/R4RK1 b - -,f6h5
r3k2r/ppq1bpp1/2p1Pnnp/3p1p2/3P4/1N1N4/PPP3PP/R1BQ1RK1 w kq -,e6f7
6qb/4k3/p1p1p1pQ/Pp1pP1P1/1PnP1PB1/2P3B1/4K3/8 w - -,g3h4
2r3k1/pp3pp1/4p1p1/3p4/6P1/1P1PP2P/P1r2PK1/R4R2 w - -,g2g3
3q1rk1/2p1p1bp/6p1/r2P1b2/3N3Q/6P1/P3PP1P/R1B2RK1 b - -,d8d5
b7/8/P3k3/1B1pp1p1/1B3b1p/5P1P/4K1P1/8 w - -,b5e8
4rbk1/5pp1/8/2pR4/2p5/5Pqp/P2B4/5Q1K b - -,c4c3
6k1/6pp/8/r3B3/5P2/8/1p4PP/1R5K b - -,a5a3
3r3k/1p2qb2/3p2pp/2p5/2PnNPP1/1P4QP/6B1/5R1K w - -,f4f5
7r/4kp2/4p2P/2NpP1R1/3P4/p1P1Pb2/K1P5/8 w - -,g5g3
r4rk1/1p1qbppb/2p1pn1p/p7/PnPN1P2/2BPP3/2N1B1PP/R2Q1RK1 w - -,c2b4
3r3r/1b2qpk1/pp1p4/5P2/1PP1PpPp/P4N2/5Q2/4RBK1 b - -,e7f6
4r1k1/7p/1pR3p1/5p2/8/2P3P1/5P1P/6K1 b - -,e8e1
4r3/p1p1P1bk/2q3pp/1pBr4/3P2Q1/1P4P1/P4P1P/R3R1K1 w - -,e1e6
6k1/6b1/4K1pp/5r2/1B6/3Q3P/8/8 b - -,f5f6
8/p4k2/2p5/P4p1P/3P3P/1p1n1K2/8/2B5 w - -,c1a3
8/3b4/3q1bk1/5pp1/2N5/3P2P1/4PP2/6K1 w - -,c4d6
rnbq1rk1/pp3ppp/2p2n2/3p4/1b1P4/2N3P1/PP1BPPBP/R2QK1NR w KQ -,d1c2
2r3k1/r3npp1/2p4p/4q3/Pp2P2P/1P2Q1P1/5PB1/2R3K1 w - -,e3a7
8/8/2k2r2/1pp5/pP2p3/P1P4R/3K4/8 w - -,h3h5
1r6/p1pbr2k/3b1n2/3P2pp/3PppP1/1PN4P/P2BBP2/2R2KR1 b - -,h5g4
8/3R1pk1/5p2/1P3P1p/4P3/p1N3P1/P1r5/6K1 b - -,c2c3
8/5pp1/p2k3P/1p6/2p1K3/2P5/PP4P1/8 b - -,g7h6
8/8/1pbkp2p/p5p1/3PnPP1/P2B2K1/1P6/2B5 w - -,d3e4
6k1/2R4p/p2p1np1/8/5r2/1PN4P/P3K1P1/8 w - -,c7a7
8/5k2/1p2n1p1/pP6/P5KP/2BB4/5b2/8 w - -,d3e4:d3c4
r4rk1/pb1q1ppp/1p2pn2/6B1/2BP4/2P5/P4PPP/R2Q1RK1 w - -,g5f6
8/1p1rk1b1/p3p2p/4Pp2/1PR1bp1P/P4N2/4BPP1/4K3 w - -,c4c5
3r1r1k/1ppn2qp/5pp1/p1b5/P2B3Q/2P5/BP3PPP/R2R2K1 w - -,a2e6
3q1rk1/3b1p1p/p2p1pp1/2nP4/1pPN4/6P1/P2QPPBP/5RK1 b - -,a6a5
5r1k/ppp2p2/6p1/7B/3Pr3/5N2/PP2NPK1/8 w - -,e2g3
