6k1/KP6/8/8/8/P7/8/q7 b - -,a1a3
2r1rbk1/1p3ppp/p1n1pq2/2Pp4/1P3B2/P2BP3/4QPPP/2RR2K1 w - -,f4g3
r1b2rk1/pp1nb1pp/2p1p3/q1Pp1p2/3P1B2/2n1PN1P/PPQ1BPP1/R4RK1 w - -,b2c3
2r5/3rkpp1/p3p2p/1p1b4/4B3/P1P2PP1/1P1R1KP1/3R4 b - -,c8d8
q1r1rbk1/1b3p1p/1nN3p1/1PpP4/4p3/1Q5P/PN2B1P1/2R1R2K w - -,a2a4
r1bq1rk1/pp1nppbp/3p1np1/8/2PNP3/1P6/PBQ2PPP/RN2KB1R w KQ -,b1d2
r2r2k1/pp1nppbn/2p3p1/6Pp/3P1P2/4BbNP/PPP1B3/2KR3R w - -,e2f3
rn2kr2/1bq2p1Q/pn1p1b2/1p2p2N/1P2P3/2N4P/P1P3B1/R1B2RK1 b q -,b8d7
r3k2r/pp1qbpp1/1np1p2p/N3P2b/3P4/1B2BP1P/PP3P2/2RQ1RK1 w kq -,g1g2
5b2/3n1k2/1p1npp2/p2p2p1/3P2P1/1PNBPP2/P5K1/4B3 b - -,f8e7
r7/2r2k1p/1Q2p3/4qpp1/P2Rp3/4P1P1/5P1P/5RK1 b - -,a8a5
r1b2b1r/pp3kpp/2p2p2/3p4/3P1B2/5N1P/PPP2PP1/R4RK1 w - -,f1e1
r3r1k1/2R2pp1/p1b4p/8/2n1PP2/2N5/PPP3PP/4R1K1 b - -,e8c8
r5k1/4ppbp/3p1np1/1qnP2B1/2p1P3/7P/1PBN1PP1/3Q1RK1 w - -,d1e2
r4rk1/1ppnqbpn/1b1p1p1p/3PpP2/1PP1P3/2N3PP/4N1BK/1RBQ1R2 w - -,c3a4
8/5ppk/7p/3p1p2/2qPbP2/4Q1P1/3r1B1P/4R1K1 b - -,c4a2
r1bqr1k1/pp1nbppp/2pp1n2/8/3NP3/2N1BQ1P/PPP2PP1/2KR1B1R w - -,g2g4
r7/2p3p1/r3bk1p/P1p2p2/2P1P3/R2B1PP1/5KP1/R7 b - -,f5e4
r7/p1k1q3/Qpnp1bp1/2p1p3/2P1P1B1/P3B3/1P3PP1/1K5R b - -,c6b8
2bq1rk1/pr4bp/3pp1p1/2pp4/8/1P1P2NP/P1PBQPP1/1R2R1K1 w - -,e1f1
3r4/ppk3pp/1bprP3/1P3p2/5P2/5KP1/P1R1B2P/2R5 w - -,b5c6
r1k5/p1n5/3R4/2p1PP2/4Q3/7P/qP4P1/6K1 w - -,e5e6
5r2/4ppkp/2Np2p1/5b2/2P5/4PB2/1r1n1PPP/R4RK1 w - -,c6e7
8/1p1k2r1/8/1P1P1Rpp/4P3/B2K4/6Pb/8 w - -,e4e5
4r1k1/pp4pp/1qp1rb2/3p4/3P4/1P1QP1P1/P3R2P/R1B1K3 w Q -,c1b2
8/4k1pp/3rn3/p7/PPP5/5P2/6PP/2K1R3 w - -,e1e5
1r4k1/3p2p1/bqpPp1Qp/p1n5/2P5/P4RP1/1P3P1P/5RK1 w - -,b2b4
8/8/6Bp/5p2/K4P1P/4k3/8/1b6 w - -,a4b4
8/8/1p1R2p1/5p1k/5r1P/3B4/5PKP/8 w - -,d3e2
4nrk1/1b1n3p/p2p1qpb/Pp1Ppp2/1P2P2P/1Q3NP1/3N1PB1/2B1R1K1 w - -,b3c2
2k3r1/pp3p1p/2p1np2/8/4P3/5PP1/PP1rNK1P/3R3R b - -,d2b2
r3k2r/pbqnbp1p/1p2p1p1/4p1N1/3P4/2PB3Q/P2B1PPP/4RRK1 b kq -,b7d5
r1bq1rk1/pp1nbppp/2npp3/2p5/3PP3/1P3NP1/PBP1QPBP/RN3RK1 b - d3,c5d4
2kr3r/pp2pp1p/2n3p1/1bP5/4n3/P3BNP1/2R1PPBP/4K2R b K -,b5a4:d8d7
r1r3k1/1bqnbpp1/3ppn1p/pB6/P1P1PBP1/1N3P1P/4NQ2/2RR2K1 b - -,e6e5
8/8/1p5k/p7/P6p/1P1Q3K/5q2/8 w - -,d3d6
r1b1rbk1/1pqn1p1p/2pp1np1/p3p3/P2PP3/2PB1NNP/1P3PP1/R1BQR1K1 w - -,d3c2
6k1/6pp/p4r2/PppPrP2/8/4PR2/2P4P/R5K1 w - -,a1d1
r1b2rk1/pp1nq2p/2p1p3/2Pp1pP1/1P1P4/2N5/P1Q1PPBP/1R3RK1 b - -,e7g5
r4rk1/q2nppbp/b2p2p1/2pP4/P5n1/1PN2NP1/2QBPPBP/1R3RK1 b - a3,a8b8
r1b2rk1/ppp2ppp/3b1q2/3p4/3P4/2P3P1/PP3P1P/R1BQRBK1 w - -,d1h5
r4q1k/1p2Qp2/1npp1N2/5b2/p1PP4/8/PP2KN2/7R b - -,h8g7
3r2k1/1bq2pbp/pp1prnp1/2p5/P1P1PB2/2N2P2/1P1QB1PP/3R1RK1 w - -,f4g5
8/2r5/p2R4/1p2p1kp/1P2P3/P3K3/2P2N2/8 b - -,c7c3
1r1r2k1/2p1bppp/1np1p3/p7/Pn1PN3/1P2P1P1/5P1P/2BRRBK1 b - -,b6d5
8/r5k1/7p/4RK2/6PP/8/8/8 w - -,h4h5
rn1q1rk1/4ppbp/p1p3p1/1p3b2/P1pP3B/2P1P3/3NBPPP/RQ2K2R w KQ -,b1b2
8/3n3p/R5pk/1Np1n3/8/8/6PP/6K1 w - -,g1f2
6k1/5p1p/4p1p1/1P1p4/4n3/1Q4P1/4q2P/R6K b - -,e4f2
r5k1/1p2br2/2p1bp2/p2p4/5BP1/2P5/PPP1B3/1K2R2R w - -,h1h5
8/4k3/6K1/4R2p/r4P1P/8/8/8 b - -,e7d6
4q3/2p1rp1k/1p1prnp1/7p/1PPQPP1P/5BP1/4R1K1/4R3 w - -,d4d3
2q1bnk1/2r2pp1/p2p4/Pp1Pp1P1/1b2P3/1P2B1P1/R3B1K1/3Q2N1 w - -,g1f3
r1b1r1k1/ppppqpp1/2nb1n1p/4p3/P1BPP3/1QP2N2/3N1PPP/R1B1R1K1 b - a3,f6h7
rnbqk1nr/p2pppbp/1p4p1/2p5/2PPP3/2N5/PP2NPPP/R1BQKB1R b KQkq d3,c5d4
r2q1r1k/pp2p1bp/1n2bnp1/3pNp2/1P1P4/1QN3P1/PB2PPBP/3R1RK1 w - -,c3a4
r2r2k1/1p1qbppb/4p2p/2p5/PpP1PPn1/1Q1P1N2/1B2B1PP/R4RK1 b - -,d7c7
1b5r/pb2qpk1/1p2pn2/4N1p1/3P4/5P2/PP2Q1PB/1B1R2K1 b - -,f6d7
2r3k1/p4ppp/4p3/3p4/3qn3/3NPNP1/2r2PBP/5RK1 w - -,f3d4
5b2/3k4/1p6/pp1p1p1p/3P1PpP/P1P3P1/1PN1K3/8 b - -,d7e6
r1bq1rk1/ppp1bpp1/2n1p2p/3p4/2PPn2B/2N1PN2/PP3PPP/2RQKB1R w K -,h4e7
8/8/4k3/2r4p/3p2n1/6K1/3NP3/R7 b - -,g4f6
r2qk2r/pp1n1pp1/2p1pn1p/3p4/3P1B2/P1bQPN2/1PP2PPP/R4RK1 w kq -,d3c3
2r2r1k/p3bppp/b3p2q/2p4n/2P2P2/2B4P/PPBN1QP1/4RRK1 b - -,e7d6
1rr3k1/1b2bpqp/p2pp3/2n1n3/2PNP1p1/1PN1BPP1/Q5BP/2RR3K w - -,f3f4
8/2pq3k/4p1rp/p1P1Qp2/1p1P4/5R1P/PP3PP1/6K1 w - -,d4d5
6k1/8/7p/p5pP/NpNb4/1P4p1/P1r3P1/3R3K b - -,c2e2
r2r2k1/pp1qbppp/2nppn2/8/2PNP3/1PN5/PB3PPP/R2Q1RK1 w - -,d1d2
r2k3r/pppn2pp/3bpn2/4p3/4P3/2N2P1N/PPP3PP/R1B1K2R w KQ -,h3f2
5rk1/pqpn1rpp/3p4/3Pp1R1/2p4P/P3PP2/1PQB1P2/2K3R1 w - -,c2c4
4k3/ppq2p2/1bp5/4p1rp/1PN1P1n1/2P2QP1/P2R1PB1/6K1 b - -,g5g6
4rb2/1n5p/ppb1p1k1/2p1Pp2/P1P2PP1/1PB5/2B1NK2/3r1R2 w - -,f1d1
2rbk1nr/1p1q1ppp/pBnpb3/3Np3/2P1P3/N7/PP2BPPP/R2Q1RK1 b k -,g8f6
r3r1k1/1b2qpb1/n1p1n1pp/p3p3/P1B1P3/Q3BNNP/1P3PP1/2RR2K1 w - -,a3c3
3rr1k1/qp3pp1/2p2b1p/4N3/1P1P4/1b4P1/3Q1P1P/R3RBK1 b - -,a7d4
1r3k1r/5p2/4p2p/3pPn1P/3P4/pqPR3N/5P2/2Q1K1R1 b - -,b3b2
4r1k1/1p3ppp/2pq4/Q4n2/P7/2P4P/1P2RPBK/N7 w - -,f2f4
r4rk1/ppqnbppp/2pp1nb1/8/2PNP3/1QN2P2/PP2B1PP/R1B1K2R w KQ -,e1g1
8/3r1pkp/4p1p1/1P6/5P2/6P1/7P/1R5K w - -,h1g2
8/6k1/1pB1brpp/p1p3n1/P1Pb1BP1/6K1/1P1NR3/8 w - -,c6d5
3b1rk1/1p4pp/p1p1r3/2PpP2b/1P1P1p2/R4P2/1P1BB2P/6RK b - -,e6h6
3rr3/5pkp/3p2P1/p7/Pp5q/1P3P2/1P1Q2P1/1K1RR3 b - -,e8e1
r3k1nr/1bqnbpp1/3p3p/4p1P1/1p2PP1P/p2BBQ2/PPPNN3/1K1R3R w kq -,b2b3
r1bqr1k1/pp2bp1p/2p1nnp1/3pN1B1/3P1P2/2NBP2P/PPQ3P1/R4RK1 b - f3,e6g7
