8/8/p1r2kpp/R7/4P3/4K1P1/8/8 b - -,c6c3:c6b6
7k/5p2/5Nr1/p1N1p1P1/2B3KP/1P6/P7/8 w - -,c5e4
2r2rk1/1bpnqpp1/pp1b1n1p/3p4/P2P3B/1QN1PN2/1P2BPPP/R2R2K1 w - -,e2d3
r1r3k1/pp1n1ppb/1q2pn1p/2BpN3/8/1P1P1NP1/P3PPBP/R2QR1K1 b - -,c8c5
rnbqr1k1/ppp2pp1/1b1p3p/3PP3/1P6/3BP3/P1Q1NPPP/R1B2RK1 b - -,d6e5
8/1p4Q1/p1b3p1/3pPp1k/3q4/8/P4PP1/1R4K1 b - -,d4e4
rn1q1rk1/5ppp/bp2pn2/p1pp4/P1PP4/1PB1PN2/4BPPP/R2QK2R b KQ -,c5d4
8/p5k1/1p6/6Bp/P1p4P/2Pn1KP1/1P2r3/1R6 b - -,e2b2
1rb1k2r/4n1bp/p3pnp1/q2p4/1p1P1N2/1P2N1P1/PBQ2PBP/R4RK1 b k -,c8d7
r2q1rk1/pp1nbppp/2p1p3/8/3Pn1b1/2P2NP1/PP3PBP/R1BQR1K1 w - -,e1e4
r5k1/ppq3p1/1np3Np/8/3PQ3/4P3/PP3rPb/R1BB3K w - -,d1b3
r1bq1rk1/pp3ppp/2p2n2/3n4/3Q4/2N2NP1/PP2PPBP/3R1RK1 b - -,c8e6
2r5/4p3/q6k/5Q2/1P2P2r/1KN5/1P1R4/8 w - -,b4b5
r2q1rk1/pb1pbppp/1p2pn2/8/2Pn4/1P1BP3/PB1N1PPP/R2Q1RK1 w - -,b2d4
2kr3r/1p1n1pp1/p1pNp1b1/2Pp4/1P1PP1Pp/2P2P1P/8/R1b1KBR1 b Q -,c8c7
rnbq1rk1/p2pbppp/1p2pn2/2p5/3P4/1P1BPN2/P1P2PPP/RNBQ1RK1 w - -,c1b2
2r2rk1/pb2q1pp/1p2p3/5p1Q/1n1P4/2P2N2/P4PPP/1B1RR1K1 b - -,g7g6
2rr2k1/pp2ppbp/6p1/2p2q2/3Pn3/2PNP1P1/PB2QP1P/R2R2K1 w - -,a1c1
8/1p3pkp/p2q4/2p2n2/P4Q2/2P3PP/1P4K1/5B2 b - -,d6f4
rnbqk2r/pp2bpp1/2p2n1p/3p4/3P1B2/2NB4/PPP1NPPP/R2QK2R b KQkq -,c8e6
8/8/5pk1/4p3/1R2Pr2/6K1/8/8 w - -,b4a4
1rq1r1k1/2pb1ppp/3p1n2/1p1Pn2N/1P2P3/6QP/P3B1PK/1RB2R2 b - -,f6h5
r4rk1/1bq1bppp/ppnppn2/8/P3PP2/1NN1BB2/1PP1Q1PP/R4R1K w - -,e2f2
rnb1k2r/ppp2ppp/3p3q/b2N4/8/4PN2/P1PP1PPP/R2QKB1R b KQkq -,c7c6
r7/r1pqbpk1/1p2b3/3pP1p1/P1nP1p2/2PB4/2Q3P1/RNB2RK1 w - -,g2g3
8/5p2/2k4p/4P1p1/2K5/1P1N1P1P/8/6n1 w - -,c4d4
r1b2rk1/pp1nppbp/1qp2np1/8/2PP4/2N2N1P/PP2BPP1/R1BQK2R w KQ -,e1g1
6k1/3p2p1/1pn1pq1p/3n1p2/8/2rN1P2/Q2R2PP/R5K1 w - -,d3f2
8/p4pk1/2R3pp/8/3r2r1/1PK5/P6P/5R2 b - -,d4d7
b2r3k/p3qpp1/5r1p/2Nnp3/P2P4/1R3PPB/7P/2QR2K1 w - -,c5e4
2q4k/4n1bp/p2p2p1/1p1Pp1B1/1P2B1P1/3Q3P/P4PK1/8 b - -,e7g8
8/br3p2/5kp1/4p3/4P3/2PB3R/2K5/8 b - -,a7c5
r1b1k2r/1ppqnppp/3p2n1/p1bN3Q/2P2P2/P2BPN2/1P4PP/R1B1K2R w KQkq -,c1d2
r2q1rk1/1p1bp1bp/p1p5/2Pp1pp1/PP1PnP2/3BP2P/2QBN1P1/R4RK1 b - -,d8e8
3r4/1p2nk2/p6Q/2P2p1P/3PnN2/P7/1P4P1/6K1 b - -,e4f6
4R3/3r2k1/1p3pPp/3b4/5BPP/5n2/8/R5K1 w - -,g1f2
8/1p1b1k1p/p3n3/6p1/PP1pP1K1/2rP4/5P2/R2BN3 w - -,g4f5
2b4r/1p2kp2/2q5/1R5p/4pP2/4Q3/r3B1PP/5RK1 b - -,c8e6
2k5/1Rr5/PK6/8/8/8/8/8 b - -,c7c1
8/7k/3P4/4p3/1r6/8/8/1K1R4 w - -,b1c2
1r6/3bk2p/8/p3p1P1/4P3/r7/6RP/3RKB2 b - -,a3e3
8/p3pp1p/5k2/2R3p1/P7/1P4Pb/1r3P2/3BK3 w - -,c5a5
6rk/7p/ppb3pq/2p4r/2PpPp1P/P2B1P2/1PR2QP1/6KR w - -,h1h2
2rqbrk1/1p1nbp1p/3np1p1/1PBpN3/3P2P1/2NBPQ1P/5P2/R1R3K1 w - -,e5d7
1r1q1rk1/1p1bbppp/p2ppn2/8/PnPNP3/2N1BP2/1P2B1PP/2RQ1RK1 w - -,d1d2
8/1pr5/p2Rk3/P5pp/1B6/P3KP2/6P1/8 b - -,e6f5
rn2kb1r/pp5p/2pqbnp1/4p3/1PBp4/3P4/P1PNNPPP/R1BQK2R b KQkq -,f8g7
2r2rk1/1p3pp1/p1n1b1p1/8/2P5/1P3B1P/P1N2PP1/R3R1K1 b - -,f8d8
rr4k1/p1R2p2/5p1p/3p4/3Pp1b1/6P1/PP3PBP/4R1K1 w - -,h2h3
rnb1k2r/1p2bppp/p3pn2/2Pq4/1P6/2P2N2/P2N1PPP/R1BQKB1R b KQkq -,e8g8
r3k2r/3bbp1p/pn1ppp2/2pP4/p3PP1N/N1PB2P1/PP5P/1K1RR3 w k -,d3f1
8/3Q4/1pr2Pp1/3k4/8/5q2/5P1K/8 b - -,d5c4
3r1rk1/3q3p/1pnpb1pQ/2p1n3/p1P1P3/1P4P1/P3NNBP/3R1RK1 b - -,a4b3
rn2k2r/pbp1bp1p/1p2pp2/3q4/3PN3/2PB1N2/PP2QPPP/R3K2R b KQkq -,b8d7
r4rk1/pp2bpp1/2p4p/4qN2/4n3/1B2P3/PPQ2PPP/2R2RK1 w - -,f5d4
3r4/3rn1k1/p3q1p1/1p1nPpPp/5P2/1BBR1Q2/PP6/2KR4 w - -,a2a3
3rr2k/1R1n2qp/p4bp1/1n3p2/2Np4/BQ2P3/P4PPP/4NRK1 w - -,e1f3
8/4r1pp/1kn2p2/pp6/8/PP1R1N1P/5KP1/8 b - -,b5b4
4k3/8/6R1/1p3pP1/pBbK1P2/P1P5/1P5r/8 b - -,h2b2
r1b2rk1/1pq1bppp/p1np1n2/4p3/3NPP2/P1N1B3/1PP1B1PP/R3QRK1 w - -,f4e5
8/1r3ppk/4p3/4P2p/R4P2/8/6PP/6K1 w - -,h2h4
r3r1k1/1p2qppp/p1p5/2Np4/3Pn3/4P2P/PP2QPP1/2R2RK1 b - -,e4d6
8/8/5pp1/PR2pk1p/7P/r3P1P1/5PK1/8 b - -,g6g5
r1b1qr1k/pp1n2bp/2P5/2Ppppp1/3Pn3/4PN1P/P2NBPPB/2RQ1RK1 b - -,b7c6
8/8/3k4/p2p1p1p/3K4/1P4PP/P7/8 w - -,h3h4
r2q1rk1/1b1nbppp/p1p1pn2/1p6/P3P3/2NP1NP1/1PQ2PBP/R1B2RK1 b - e3,b5b4
2R3br/k4pp1/1p2p3/2p1P3/5P2/1B6/PP4PP/6K1 w - -,f4f5
7q/p1p1k3/p2rpp2/3b4/2Q4p/2P1PN2/P4PP1/1R4K1 w - -,c4c7
8/8/1RB5/1P2kpp1/P7/2P3P1/7r/5K2 b - -,h2c2
8/p2r2kp/5np1/1p1r1p2/3P4/1P1R1KP1/P4N1P/3R4 b - -,f6e8
6r1/5p1p/5p1k/1Q1p1q2/P2P1n2/2P1R2P/1P3P1K/4N3 w - -,b5f1
r3r1k1/1p2bp1p/p3B1pB/3pP3/3q3n/4Q1NP/PP3P2/R5RK b - -,d4e3
r2q1rk1/pb1n1pb1/3p1npp/1ppP4/4PP2/6P1/PP3NBP/RNBQ1RK1 w - -,c1e3
8/8/6k1/4R3/6P1/r4PK1/8/8 b - -,a3b3:g6f6
r1bq1rk1/pp1p1ppp/5n2/4n3/2PQPB2/2N3P1/PP3K1P/R4B1R b - -,d7d6
1r3r2/3q1pkp/B2p2p1/P1pQ4/8/R7/6PP/5R1K b - -,b8e8
r3qrk1/2pb4/p3p2p/2n1PpP1/2p5/2N1P3/PPQ5/2K3RR w - -,g5h6
r1b2rk1/ppp2ppp/2n2n2/4p2q/1b6/2NP1NPP/PP1BPP2/R2QKB1R w KQ -,f1g2
rnbqkb1r/p2ppppp/8/1ppP4/4n2B/5N2/PPP1PPPP/RN1QKB1R b KQkq -,c8b7
2r3k1/1p3r2/4p3/1PPpPp2/6pp/8/2R2PPP/1R4K1 b - -,f7e7
r2qk2r/1bpn1ppp/pp2pn2/8/Pb1P4/2NBPN2/1P2QPPP/R1B2RK1 b kq -,d8e7
8/5p1k/4nQp1/4P2p/8/7P/5PPK/3r4 b - -,h7g8
2b3k1/p4pp1/1p1p3p/8/3PB3/4P3/PP4PP/6K1 w - -,g1f2
2r2rk1/N1p2ppp/bpQ1p3/p7/Pq1P4/6P1/1P2PP1P/2RR2K1 b - -,c8a8
8/7R/3p2p1/3PpBk1/5p2/5P1P/7r/3K4 b - -,g5f5
2rq2k1/5ppb/1p2p2p/p3Q3/2P5/PP3BP1/3r1P1P/2R1R1K1 b - -,d8e7
3rr3/pp2b1pp/2kpbp2/2p5/4P3/4NPB1/PPP2KPP/3RR3 w - -,d1d3
