8/5k2/4p3/1p3p2/2bN1r2/PPK1R3/8/8 b - -,c4d5
5rk1/q5bp/3pRpp1/1p1P4/1Pn2P1B/7P/3Q1NP1/7K w - -,d2e2
8/2k5/7R/8/1KP5/8/8/6r1 w - -,b4b5
8/3kb3/6R1/p1p1p1p1/P1P1P1P1/1PK2P2/7P/8 b - -,e7d8
r3n1k1/q2b1pp1/3p2np/1ppPp3/2P1P3/1P1BPN1P/1Q1N2P1/4R1K1 b - -,b5b4
5r2/b4rk1/6p1/pp2p2p/8/1P5P/P1N1RPP1/5RK1 w - -,c2a3
1r1qr1k1/pp1b1pb1/2pp2p1/5p1p/2P3nP/1PN1P1PN/P1QP1PB1/2R2RK1 w - -,f1e1
7k/4p2p/2Q1Pbp1/8/6P1/6r1/5r2/7K w - -,c6e8
1rb2rk1/3np1bp/p2q2p1/2pP1p2/B1P1pP2/N3B2P/PP1Q2P1/1R3RK1 b - -,g6g5
1qr3k1/5ppp/1r2p3/1Q6/P4P2/5NnP/4B1P1/R1B3K1 w - -,b5d3
5r1k/6np/3p2pB/3Bb3/q7/2P3P1/1P2QP2/3R2K1 b - -,f8e8
rnbqkbnr/pp2pppp/3p4/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -,g8f6:d6d5:g7g6:e7e6:e7e5:b8c6
r1bqk2r/pppnppbp/5np1/3p4/3P1P2/3BP3/PPPN2PP/R1BQK1NR w KQkq -,g1f3
r4r2/pq1pk1pQ/1p2p1R1/5n2/5P2/8/P1P3PP/5RK1 w - -,g2g4
7r/1pp2kp1/p2p4/3PpP2/PPPQ1nP1/R4P2/2K5/1R3r2 b - -,h8h2
rn1qk2r/3b2pp/p2Bp3/1p1N1p2/3P4/P7/1PP1Q1PP/R3K2R b KQkq -,e8f7
r7/7p/bqr3pk/1B2Qp2/P2B4/1P6/5PPP/R5K1 b - -,b6c7
3nk1r1/5p2/qnb1pP1b/4P3/2pP2Pp/2P1N3/2BB2P1/1R2Q2K w - -,d4d5
1rbqk2r/1p1nbpp1/p2p1n2/2pPp2p/2P1P2P/2NB1P2/PP2N1P1/R1BQK2R w KQk -,a2a3
r4r2/1pq2pk1/p5p1/7p/P1PR4/Q6P/1P4P1/R4BK1 b - -,a8e8
6k1/1p1b1pbp/3q2p1/pPp1p2n/P1PnP3/2N1BNPP/3Q1PB1/6K1 b - -,d7e6
8/1p6/p3k3/2B5/2P1b3/1P3p2/P2K1P2/8 w - -,a2a4
r3r1k1/pp1qbppp/4pn2/2n3B1/3N4/2P3N1/PP2QPPP/3RR1K1 b - -,d7c7
1r4k1/3brpbp/p2p4/P2P4/2pqPP2/1pN1R3/1P3RBP/4Q2K b - -,b8e8
1q2r2k/3b2pp/Q1n2n2/p3pp2/1p6/P2P1NP1/1Br1PPBP/RR4K1 w - -,d3d4
rnb1kb1r/pp2pp1p/5p2/3p4/8/8/PPPPNPPP/R1B1KB1R w KQkq -,e2f4
2rq1rk1/1b1n1ppp/p4b2/1ppp4/3PnP2/1PP1BNPP/P3N1BK/2RQ1R2 b - -,a6a5
1b6/4k3/P1b5/2N5/2P1N1p1/6P1/4K3/8 b - -,b8a7
r2q1rk1/1p2npbp/2npb1p1/p1pNp3/2P5/P5P1/1PNPPPBP/1RBQ1RK1 b - -,a8b8
2r5/1p2bpk1/4r1p1/3R3p/1p2P2P/2P2PB1/1P3K2/3R4 w - -,c3b4
8/1bP5/p1N2k1p/Pp4p1/1P1p2P1/5P1P/5K2/8 b - -,f6e6
8/1k2Rp2/3r3p/6pP/4P1P1/8/1PK5/8 b - -,b7c6
r1bq1rk1/pp1nbppp/2p1pn2/2Pp4/3P1N2/P1N1P3/1P2BPPP/R1BQK2R w KQ -,f4d3
r7/pbkn1p2/p2p2p1/3Pp2p/2P1P2P/1PK2BP1/3NP3/R7 w - -,f3g2
2rq1rk1/pb3p2/2p1p1p1/2PnR1Np/P7/1B4QP/1P3PP1/3R2K1 b - -,d8f6
r1bqr1k1/1pp2pbp/p5p1/3np1NP/1P6/P2PP1P1/5PB1/1RBQK2R b K -,d8g5
2r2rk1/1bq1ppbp/p5p1/Ppn5/8/2P1BB2/1P1N1PPP/R2Q1RK1 b - -,b7f3
8/2b2kp1/2p2p2/p1pq4/P2p2QR/6P1/6K1/8 w - -,g2h2
4rbk1/p7/2Np2q1/PP1P2P1/1P1B4/4p1KQ/8/8 w - -,h3h8
5rn1/p1p5/1p1p2k1/3P1Rp1/2PK2P1/3B4/PP6/8 b - -,g8e7
r1bq1rk1/pp2ppbp/2np1np1/8/2B1P3/1NN1BP2/PPP3PP/R2Q1RK1 w - -,d1e1
q1r3k1/5pp1/4bn2/8/2pR1Q1p/PP3P2/1B4PP/2KR4 w - -,b3c4
rn1q1rk1/pp3pbp/4bnp1/3pp1B1/2P5/2NP2PP/PP2NPB1/R2Q1RK1 b - -,d5c4
rnbqkb1r/pppp1p1p/6p1/3pP3/3P2Q1/P7/1PP2PPP/R1B1KBNR w KQkq -,c1g5
8/8/4pkp1/8/5P1n/3K4/5P2/8 w - -,d3e4
r2qr1k1/pp3pb1/2npb3/2p3p1/2P1P3/2NQ2B1/PP2N1PP/R4RK1 w - -,c3d5
r2q2k1/1p3pp1/1pp2n1p/2np1b2/P7/1Q1PPNP1/1P2P1BP/R3R1K1 w - -,b3b4
1r1qr1k1/5pbp/p5p1/4p1n1/P1Np4/2P2P2/1P2B2P/R2RQ2K b - -,e5e4
5r2/pkp1n1p1/1p1p3p/P2Pp2P/2P1NrP1/2P2P2/R3K3/5R2 b - -,f8d8
5rk1/6pp/1p3n2/pP6/3P4/8/1Pr3PP/R1B2RK1 w - -,b2b3
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2P2N1P/PPBP1PP1/RNBQK2R w KQkq -,e1g1
r1r3k1/pp1q1ppp/1n2bn2/3p4/PQ1Pp3/1P2N1P1/4PPBP/R1B2RK1 b - -,c8c6
rn6/pp3pbk/3p2pp/3N4/q1r3P1/7Q/2RB3P/3K3R w - -,d5e3
8/7p/6p1/1p4PP/pPkp4/Pb3K2/8/1B6 w - -,b1g6
3r4/p2qppbk/1p2b1pp/2p1P3/2P5/1P3NP1/P3QPP1/4RNK1 b - -,d7d3
1rq1k2r/3b1pb1/pp1p4/2pPpp2/P1P1P1BP/2N1B1P1/1P6/R2QK2R b KQk -,f5g4
r2r2k1/pp4pp/1b4n1/2p2b2/5p2/2P4P/PP3PP1/RNB1RBK1 w - -,b1d2
8/3r2R1/8/8/4k3/2B2np1/1P6/2K5 w - -,g7g3
r5k1/bp4pp/p4qn1/3p1r2/5p2/1N3Q1P/PPP2PPB/R4R1K w - -,a1d1
r4rk1/2qnbppp/p2pb3/1p2p1Pn/4P3/1NN1BP2/PPP2Q1P/1K1R1B1R b - -,b5b4:a8c8
8/1B4k1/5p2/p5p1/P2b4/6P1/5PKP/8 w - -,b7e4
8/4kp2/1p1n3p/p2Bq1p1/2P5/PQ4PP/5P2/6K1 b - -,e5a1:e5d4
r2qrnk1/p3bppp/np6/2pPN3/5B2/P1N4P/1P3PP1/R2QR1K1 b - -,e7d6
5b2/5Qk1/3p1p1p/8/4P3/1P5P/1B4P1/6K1 b - -,g7f7
4r3/1kr2Q2/2b2p2/7p/1N1P1P2/1P4P1/P4K1P/8 w - -,f7h5
r1b2rk1/3n1pp1/2pBp2p/p2p4/8/4PP1P/PPP1B1P1/2KRR3 w - -,d6f8
r1b1k2r/1pq2ppp/p3p3/3nn3/1b2Q3/2N1BP2/PPP1N1PP/2KR1B1R b kq -,d5e3
r1b1k2r/1pqnbppp/p2pp3/6P1/4PP2/1NN5/PPPBQ2P/2KR3R b kq f3,d7b6
4r1k1/p5b1/5r2/1ppbpP2/8/2P1N3/PP5P/3R2RK w - -,d1d5
8/8/6k1/1R6/p7/rp5P/4K1P1/8 w - -,e2d3
3r1rk1/1p6/5p2/p2n2p1/3B3R/PB6/1P3P2/K5R1 w - -,f2f4
2r1r1k1/1ppbqpb1/3p1npp/pN6/2P1P3/1PN1BP1P/P3Q1P1/3RR1K1 w - -,e2f2
6k1/8/3P4/p4Np1/8/2P4p/P3r2b/1K3R2 w - -,f1h1
8/2p5/5p2/1nN1pk1p/1P6/4K1PP/8/8 b - -,c7c6
1rb2rk1/2q2p1p/3p1pp1/8/2PR4/6P1/3QPPBP/R5K1 b - -,c8e6
2r3k1/5pbp/3pp1p1/1r2B3/R7/4NPP1/4P1KP/3R4 b - -,b5e5
2b2r2/2p3bp/3k4/p2p4/Pp1P4/1BP1RpP1/1P3P1P/1K2R3 w - -,e3e7
r4rk1/1pqbbppp/p3p3/8/2PPQ3/1B6/P4PPP/R1BR2K1 w - -,c1f4
r4rk1/3npp2/8/p2Pp2p/P1Q1N1p1/2P1q3/2R3PP/5R1K w - -,c2e2
6k1/6p1/8/6p1/q3BpP1/2n1nP2/1R5P/4R2K b - -,c3e4
5k2/1R6/5p2/p4P2/3P3P/pb1BP3/5K2/2r5 w - -,b7b3
