7b/4k3/8/pN1p2K1/P2P4/8/5P2/8 w - -,g5g6
rn2kb1r/1ppqpppp/p4n2/7b/3PNB2/3B1P2/PPP1N1PP/R2QK2R b KQkq -,f6e4
r4k2/1p1b1p2/p4n1p/3p1P2/2rP4/2N1R2P/PP4B1/4R1K1 w - -,c3d5
6R1/8/3K3k/8/4bp2/4rB1P/6P1/8 w - -,f3e4
rn1qkbnr/1b1p1ppp/p3p3/1p6/3NP3/2NB4/PPP2PPP/R1BQK2R w KQkq -,d1e2:e1g1
3rr1k1/p1pq2p1/1p3b1p/n2P1p2/2P2Bb1/6P1/P1RN1PBP/2Q1R1K1 b - -,e8e1
B7/4k1n1/4p3/p1P3PP/8/P1bQ4/1p1r1P2/1K5R b - -,d2d3
r5k1/1bp1rpb1/1p4pp/2Q5/p6P/P2pP1BN/1P1N1PP1/1R4K1 b - -,b6c5
8/8/1p2p2p/p2p1k2/P2P4/1P1bPP2/6K1/R1Nr4 b - -,h6h5
rn2k2r/p1q1npp1/1p2p2p/2ppP2P/b2P4/P1PB4/2PB1PP1/R2QK1NR w KQkq -,d1g4
4r2k/5p1p/p1Np4/1p1P1p1q/7R/2P1bPr1/PP5P/3R1B1K w - -,h2g3
2r1r3/pp1bppkp/3p1np1/q2P1P2/3N2P1/2P4P/PP1Q2BK/R3R3 w - -,g4g5
8/4k3/4R3/3K4/8/3N4/8/7r b - -,e7f8
8/1p6/p4p2/6p1/1r3k1p/1P1R4/1PP2KPP/8 b - -,f6f5
5rk1/8/2q1rbp1/2p4p/p3pB1P/2PbR1PN/P4R2/4Q1K1 w - -,g1h2
8/4k3/4p3/3b1p2/r1p2Pp1/2K3Pp/1PP1B2P/4R3 b - -,e7f7
3q1rk1/1b1nbpp1/p3pn1p/2r5/Pp5B/2NBPN2/1P2QPPP/R2R2K1 w - -,h4f6
2rq1rk1/pb3ppp/1p2p3/4N1b1/PnBP4/2n1B3/1P2QPPP/3RR1K1 w - -,b2c3
2rq1rk1/pb1nbppp/1pn1p3/8/2p1PP2/2P4P/PPBB2PN/R2QRNK1 w - -,b2b4
r4rk1/2p3pp/b1p5/p2pPp1q/3P4/2P1BPP1/P2Q3P/2KR3R b - -,a8b8
r5k1/1p2qppp/n1p5/3rp3/PpQ5/1N1P2PP/4PP1K/R1R5 w - -,c4e4
r4rk1/1b1nqppp/p2b4/1ppPp3/8/1P1PPNP1/PBR1BP1P/Q4RK1 b - -,b7d5
3q4/2PP2k1/4B3/4p3/P3P2p/3R2p1/6PK/8 w - -,h2h3
r2q1rk1/pp2bppp/4bn2/3pn3/5B2/2N3P1/PP1QPPBP/2R2RK1 w - -,f4e5
4n3/2pr1kpp/1p2pp2/3b4/1B1P2P1/3PK2P/1P2BP2/2R5 b - -,d7d8
2r4k/p4qpp/1p3pn1/3B3r/2p5/P1P2N2/1P3PPP/3RRQK1 b - -,h5d5
4r1k1/pp1q2p1/2n1pr1p/3p4/3P1b2/P1BR1N2/1P2QPPP/4R1K1 b - -,f4d6
8/4PQpk/8/8/1Pr3KP/5PB1/8/5q2 w - -,g4h5
2r1kb1r/1bq1nppp/p2p4/3P1NP1/1pP2P2/1P2B3/P3Q2P/1R2K2R w Kk -,e3d4
r1b2rk1/1p2qppp/1p1b4/p2Bp3/P3P3/5N2/1PP1QPPP/R4RK1 w - -,e2e3
r2r2k1/1b1n2n1/1p1p1ppp/p1pPp3/2P1P1B1/P1B1R1P1/1P1N1P1P/R5K1 w - -,a1f1
r3r1k1/3n1p1p/2pq2p1/1pb1p3/1B2P3/3PN2P/2PQ1PP1/R4RK1 w - -,b4c5
r1b1k2r/1pqp1ppp/p3pn2/2b1n3/3NP3/2NBB2P/PPP2PP1/R2Q1RK1 w kq -,g1h1:a1c1
2r3k1/pp4bp/3n2p1/3Pp3/q3P1P1/2NQ4/P2B2PP/R5K1 b - -,a4d4
5rk1/1q2bpp1/1p2pn1p/rN2n3/P2N3B/1Q2P3/5PPP/R2R2K1 w - -,d4e6
r1bqk2r/1pp2pp1/p3pb1p/3n4/3P3P/3BBN2/PPPQ1PP1/R3K2R w KQkq -,f3e5
8/4k2p/3p4/3Pp3/1r2P2P/1pNn4/1P2R2K/8 w - -,e2d2
1Bb1Qnk1/5ppp/1p6/p1qp4/8/P3P2P/1P2BPP1/6K1 b - -,c8d7
1rbq1rk1/p3npbp/2np2p1/1ppN4/4PNP1/3P3P/PPP3B1/R1BQ1RK1 b - -,c8e6
8/p2pk3/1p2p3/1P4p1/2P5/1PK3P1/7r/R7 w - -,a1a7
8/8/8/3N2k1/1K6/p7/P7/1n6 w - -,d5e3
r2r4/pp3pk1/2n1bqp1/2p1p2p/1PN1Pn2/P1pP3P/5PPN/R1QR1BK1 w - -,c1c3
rn2k2r/ppp2ppp/4pn2/3q3b/1bPP4/2N2N1P/PP2BPP1/R1BQK2R b KQkq -,b4c3
rnb1k2r/pp2q1pp/5p2/QR2p3/2P5/3P2P1/3NPPBP/5RK1 w kq -,g2d5
r1bqk2r/1p1n1pbp/p2p2p1/1BpP4/Pn2PP2/2N2N2/1P4PP/R1BQ1RK1 w kq -,b5e2
2r3k1/pprbq1p1/2n1p2p/3p1p2/3P4/P1R1PN2/1P1QBPPP/5RK1 b - -,c6d8
r2q1rk1/2pn1ppp/1p1pp3/p2P4/2PQ4/2N3P1/PP2PP1P/R4RK1 w - -,d5e6
8/4k3/7p/1pp1Pp2/p1b2K2/P1N5/1P6/8 w - -,f4f5
r1nq1rk1/1p1b2pp/p1B1pb2/2P2p2/2Q2B2/2N2N2/PP3PPP/R2R2K1 b - -,b7c6
8/p4p2/1k6/1P6/2n2q2/2Q4P/p5B1/7K w - -,c3a1
8/7R/8/7p/4k3/7r/3K4/8 w - -,d2e2
3q2k1/3np1bp/pr4p1/2ppP3/6B1/1P1P4/PB4PP/R4Q1K w - -,f1e1
2rq1rk1/p1nnbppp/b3p3/1p1pP3/3P3P/4QNP1/PP3PB1/R1BR1NK1 b - h3,d7b6
r4rk1/1bq3pp/pp3p2/n1p2P2/8/2PPB2B/2P2QPP/R2R2K1 w - -,e3f4
4q2k/1b1nb2p/pn1ppp1B/1p5N/3PP3/1P3Q1P/P3R1B1/6K1 w - -,h6g7
6k1/8/8/4N2p/4R2K/8/2r5/8 b - -,g8g7
8/1p6/3p4/p1bPp1p1/PkP3Bp/1P5P/2K5/8 w - -,g4f3
r5nr/pppk3p/3p2pb/3Pp3/2P1P1p1/4B3/PP2KPPP/RN5R b - -,h6e3
6k1/6p1/1rbnpp1p/p2p4/2pP4/2P1P2P/PrB2PP1/R3NNK1 w - -,f1d2
r1r3k1/pp2ppbp/2qp1np1/8/N2nPP2/3BQ2P/PPPB2P1/2KR3R w - -,e3d4
rn2r1k1/ppp2pbp/6p1/4n1B1/2P1P3/2N2B2/PP4PP/2KR3R w - -,c3d5
6k1/pp3pp1/2p5/3p2q1/PPnB3R/2Q1P3/6P1/5K2 b - -,g5h4
6k1/5pp1/4b2p/1p6/1p4P1/qPP2P1P/1Q2R3/rNK5 b - -,e6b3
r1b2rk1/pp3pbp/4n1p1/2pNp3/2P1P2q/3BB2P/PP1Q1PP1/R4RK1 w - -,f1d1
1r3bk1/5p1p/6p1/4p1P1/7P/p3BP2/P2RQ1K1/2q5 b - -,b8b2
8/6kp/2b3p1/4pp2/p6P/b1N3P1/2B1KP2/8 b - -,a3c5
4rr1k/1p4p1/2b4p/8/p1P2q2/P1Q1p3/1P2R1PP/3R1BK1 w - -,c3e1
1k6/1p6/p2p1r1p/3Pp1pP/PP1n4/2R2P2/1K6/2R5 w - -,c3c8
8/8/3k4/8/2P1KP2/b2B4/8/8 w - -,e4f5
3rr1k1/pp3ppp/1n6/2pPq3/4P1b1/PB1QR3/3N1PPP/1R4K1 b - -,g4h5
r2q1rk1/pp2ppbp/2n3p1/8/3P2b1/2PB1N2/P4PPP/R1BQR1K1 w - -,d3e4
r2q1rk1/1p3pbp/p3pnp1/n1P5/P7/2N1PQ1P/BP3PP1/R1BR2K1 b - -,d8e7
2r1r1k1/1p1b2p1/p3p3/P2pPpNp/1P1P4/4P3/6P1/R1R3K1 w - -,c1c5
8/8/6p1/p1k2p1p/P1p2P1P/6P1/3K4/8 b - -,c5b4
8/b3kp2/3p1n2/3PpPQ1/1r2P1P1/3B4/8/7K w - -,g5h4
4rrk1/pp1b2pp/2p5/5p2/2Pp1N1P/3PnBP1/PP2P3/1K2R2R w - -,e1c1
8/6pp/3n1p2/p1k1p3/1pp1P3/P1P2PP1/1PBK3P/8 w - -,a3b4
2q2r2/1pp1n1bk/r3bppp/p7/7R/2P1N1P1/PPQ2PBP/R1B3K1 w - -,b2b4
r5k1/2p2ppp/1p2p3/2n1P3/3R4/P3P1P1/1p2P1KP/R7 w - -,a1b1
8/p1k5/8/Ppp5/1P4P1/5K1p/5P1r/6R1 w - -,b4c5
3q1rk1/5pbp/p2p2p1/n1pn4/2P2P2/6P1/P2NP2P/R1Q2RK1 w - -,c4d5
rnb1kb1r/pp2pppp/1q1p1n2/2p5/3P1B2/2N1P3/PPP2PPP/1R1QKBNR b Kkq -,g7g6
8/8/4R1pp/1k6/2r5/5P2/3K4/8 w - -,e6g6
r2qr1k1/3b1pp1/p1n1p2p/1nBpP3/p1pP2P1/2P2N1R/2PQ1P1P/R4BK1 b - -,f7f6
1k1r1b2/4r2p/p1p5/Pq1ppQ2/1Pp3NN/2P1P3/5RPP/5b1K w - -,f2f1
k1r5/1p6/p6p/3RQ3/P7/2N1n3/KPP5/6q1 w - -,e5d4
1r4k1/1r1bppb1/p2p1np1/2pPn3/Pqp1P3/2N1NP1P/RP1QBBP1/5R1K b - -,g7h6
