8/1p5k/p5pp/8/P2qB3/3p2PP/1PbQ3K/8 w - -,e4b7
r1bq1rk1/pp2ppbp/2np1np1/8/4PP2/2N3PP/PPP1N1B1/R1BQ1RK1 b - -,d8b6
6r1/1p2R3/p6p/P2P3P/2P3p1/1P1k2K1/4p3/8 w - -,d5d6
2r1r1k1/1p3ppp/1n5q/1Pb1P3/p1P2Pp1/P5P1/1BQNR1KP/R7 w - -,a1c1
5r2/4n1k1/pp3q2/3Bp2p/4Q1pP/P5P1/1P1R2PK/8 w - -,d5b3
2r1k3/1q6/4Q3/1b1P4/1p2B3/6P1/1P5P/n6K b - -,e8d8
r3k2r/ppq1bppp/2n1pn2/1B6/8/2P1BQ1P/PP3PP1/RN3RK1 w kq -,e3f4
r1bqk1nr/pp4bp/2np1pp1/2p1p3/2P1P3/2NPBN1P/PP2BPP1/R2QK2R b KQkq -,g8e7
5r1r/k4n1p/ppq2P2/3bP1p1/2pP4/2P3Q1/PPBB4/2K1R2R w - -,h1h7
1r1q1rk1/1pb2ppp/p2np3/1p6/P2Pb3/1QB2NP1/4PPBP/R3R1K1 w - -,g2h3
8/4k3/2b5/1p6/5P1p/P5pP/4B3/6K1 w - -,e2g4
1rb5/p7/3k4/3pR3/2p2P2/6P1/P7/5K1R w - -,h1h8
2r5/5p2/r3p2k/8/N1P4P/Rn1n2P1/4R1K1/6B1 b - -,d3c5
rnq1kb1r/2p1npp1/1p2p2p/p2pP3/P1PP4/1N1QBN2/1P3PPP/R4RK1 b kq c3,c8a6
2r1k2r/ppq2ppp/2n1pn2/3p4/2PP1bb1/PP1B1N2/1BQN1PPP/R4RK1 b k -,h7h5
1r6/2pqn1bk/2p3pp/p1B3p1/P1N1B3/1P2P1P1/2Q2P1P/6K1 b - -,b8d8
4r1k1/Qp3qbp/3p1np1/2pP1p1n/2P2P2/1P1B3P/P3NBP1/1R4K1 b - -,f6e4
2r4k/7p/4p1p1/1q2P3/1Rp2P2/2P3P1/1PQ4P/4rBK1 b - -,b5d5
6B1/8/3r1kpp/2R5/5K2/7P/8/8 w - -,g8d5
r3kb1r/pp1n1pp1/1qp1pnp1/2Pp4/3P4/1Q3NP1/PP2PPBP/R1B1K2R b KQkq -,b6b3
r1bq1rk1/4bppp/pp1p1n2/2p1N3/P1B1P3/8/1PP1NPPP/R1BQR1K1 b - -,d6e5
4bk2/p4p1p/4p1p1/1PNn4/P2r4/8/4BPPP/2R2K2 b - -,f8e7
8/5p1p/6k1/4p3/p1q2p2/b1PR1PP1/P1RK3P/6B1 b - -,f4g3
2rrq1k1/1b1n1pbp/1p1Bpnp1/pPp5/P1P5/2N1PN1P/2Q1BPP1/R2R2K1 w - -,d6h2
8/6k1/5bp1/1q3p2/1pNrp3/1P4Q1/2P2PP1/R5K1 b - -,b5d7
r4rk1/1pB1qppp/2p5/p1P5/1P6/P4nPP/1Q3PK1/R4R2 b - -,e7e4
4k2r/pp1n2bb/3p4/qN1Pppn1/8/2P4B/P1P1QP2/2KR3R w k -,h3f5
2r3k1/p6p/bp1rp1p1/n4p2/2P2P2/PPb1N1P1/2P2B1P/1R2RBK1 w - -,e1d1
3k4/6pp/2pb1p1n/1p3b2/3q1N2/4rBP1/3N2KP/3Q1R2 b - -,d6f4
2kr4/1p5p/p1b4q/8/4n3/8/PPP1QPP1/3RR1K1 b - -,e4d2
4r3/2qbr1kp/2np1pp1/p1p5/2PpPP1P/PP1Q1BP1/3NR3/4R1K1 b - -,c7c8
r1b2rk1/pp1nqppp/4p3/2p5/2BPn3/P1B1PN2/1P2QPPP/R4RK1 w - -,c3e1
2r3k1/q2n2pp/4p1b1/1p1p4/3PpPP1/1PP1N2P/2R3B1/2Q3K1 w - -,c1d2
3r2k1/6bp/nN4p1/4p1N1/8/7P/5PP1/2R3K1 b - -,g7h6
r3qr1k/pp4pp/2np1p1b/2pNp3/P1B1P1P1/1PPP2PQ/R4P2/5RK1 b - -,e8g6
rn1q1rk1/pb3ppp/1p1p1b2/3Pp3/4P3/2N2NP1/PP2QP1P/R3KB1R w KQ -,h2h4
r4rk1/1p1q3p/p5p1/2pP1p2/2P2R2/6P1/PPQ4P/R5K1 w - f6,a1e1
1k1r4/1pp1bpq1/p1p1n3/4P2p/3NQ3/2B3P1/PPP2PK1/4R3 b - -,e6d4
3q1k1r/3b1p2/pn3N1p/3pPp1P/5Q2/1B6/PP4P1/2R3K1 b - -,d7e6
8/7p/4p1p1/5p2/2k2n1P/2p5/4KP2/4R3 w - -,e2d1
8/4B3/5p2/bp1p1k2/3P2p1/3KP1P1/7P/8 b - -,a5e1
1r1q1rk1/pp1bppbp/2np1npB/2p5/4P3/2NP2PP/PPPQNPB1/R3K2R b KQ -,b7b5
r1b2rk1/1pq3bp/3P2p1/p3p3/Nn2p3/B7/4BPPP/1R1Q1RK1 b - -,c7d8
6k1/1R3pp1/7p/4P3/4rP2/1P5P/r5P1/5R1K b - -,e4e2
rnb2rk1/ppp2ppp/4pn2/3p4/2P5/1PN1PN2/P2PBPPP/R4RK1 b - -,c7c6
3b2qr/5kpn/2rp1p2/1p1NpPp1/4P2P/1P2B3/P3Q2R/6RK b - -,g5h4
5rk1/p1p2qp1/2p3r1/1p1bB2p/3P4/1PP1QP1P/P4RP1/R5K1 b - -,h5h4
3r3r/p4kp1/5p2/1p1q3p/Q3Np2/2P1bP2/PP4PP/R3R2K w - b6,a4c2
8/pp1k2r1/3Pn3/4P3/1P4PR/2K5/8/8 b - -,e6g5
3r1rk1/pp1n1p1p/2p3p1/q2P1n2/8/2NQ1N2/PP3PPP/R4RK1 w - -,g2g4
r2qkbnr/ppp3pp/2n1pp2/3P2B1/3P4/2N2P2/PP3PPP/R2QKB1R b KQkq -,e6d5
3q2k1/1p3p1p/p3p1p1/4P3/2Q4P/8/PPP2P2/6K1 b - h3,h7h5
r1b1k2r/ppp1qppp/2nb4/5n2/4Q3/2NB1N2/PPP2PPP/R1B1K2R w KQkq -,c1g5
2rqnrk1/pp2ppbp/6p1/3pP3/2nP4/P1N2N1P/1P2QPP1/2BR1RK1 b - -,e7e6
8/5p2/ppk1p2p/6p1/r1PK1PP1/PR2P3/7P/8 b - -,b6b5
1rb1r1k1/1p2qp1p/p5p1/P1Q2n2/5P2/1N2P2P/1P2B1P1/R2R3K w - -,c5e7
8/8/8/R7/P1K2k1p/2P5/8/3r4 w - -,a5h5
8/8/3b1k2/pBpPpP2/P7/3K2r1/8/1R6 w - -,d3e2
3kr3/r3b1Qp/2qp1n2/p3RB2/np3P1B/8/PPP3PP/1K1R4 b - -,f6g8
2rqr1k1/1p3ppp/2p1nn2/3pp3/1PP1P1b1/3PBPP1/2Q1N1BP/1R1R2K1 b - -,g4h5
1r6/5p1p/8/3pk1p1/2p5/6P1/RP1KPP1P/8 w - -,d2c2
r1b2rk1/p1q1bppp/2p2n2/2n1p1B1/Pp2P3/1B3N2/1PP1QPPP/R2N1RK1 w - -,f3d2
r1bq1r2/1pp1npbk/p2p2pp/4p3/3nP3/PBNP3P/1PP2PPN/R1BQ1RK1 w - -,b3a2
8/3k4/7R/8/8/3KRnp1/8/6r1 w - -,e3f3
2r2r1k/p2n1pbp/1n2p1p1/1p1qP1P1/4N1NP/3P1QB1/PP6/R3R2K b - h3,c8c2
4N1k1/6pp/5b2/2B1p3/1P3pb1/8/3r2PP/R5K1 w - -,e8f6
2k2r2/1pp1n1p1/p1b5/2p2P2/3rN3/5PN1/PPP3pP/R2R2K1 w - -,c2c3
r2qr1k1/pp3ppn/2p1b3/3n2Pp/2pPN2P/2N1PP2/PP2Q1B1/2KR3R w - -,h1e1
r6k/1p5p/p4r2/4p1Pp/7P/2B3K1/PPn1Q3/7q w - -,e2e5
2r2r2/p1qn1pkp/3n2p1/2pb4/2N5/1P1B1N2/P3QPPP/R1R3K1 b - -,d6c4
r1bq1rk1/1pp1bpp1/p1np1n1p/P3p3/2B1P3/3P1N1P/1PP2PP1/RNBQR1K1 b - -,f6h7
r1bq1rk1/3p1ppp/1pn1pn2/p1b5/2P5/P1N1PN2/1PQ1BPPP/R1B2RK1 b - -,c8a6
rnbq1rk1/pp1pppbp/6p1/8/2PN2n1/2N3P1/PP2PPBP/R1BQK2R w KQ -,e1g1
r3k2r/pppq1pbp/2nppnp1/8/2PPP3/1QN1BB1P/PP3PP1/R3K2R w KQkq -,e4e5
r4rk1/pp1bqpb1/n2p1npp/3Pp3/4P1P1/2N1B2P/PP1NBP2/R2QK2R b KQ -,f8c8
r1b2rk1/2q2pp1/pp1bpn1p/2pnN3/3P4/2PB1N2/PP1BQPPP/R4RK1 w - -,d4c5:f1e1
1R6/5k2/5p2/1P3p1p/1r6/5K2/8/8 w - -,b5b6
6k1/5pb1/2q2npp/pNn3r1/5R2/P6P/1Q3RPK/1B6 b - -,f6g4
8/5pk1/3p2p1/p7/P1q5/5RP1/5N1P/6K1 w - -,f3f4
8/6Kp/1p1k4/p3p2P/8/2P2B2/Pn6/8 b - -,d6e7
