8/r7/1k3K1p/1p3P2/8/1Bp5/1p5P/1R6 b - -,a7a1
2r2rk1/Qp2ppbp/1n4p1/8/1q6/4B3/PP3PPP/R3RBK1 b - -,b6d5
1R6/8/r3bpk1/7p/5p2/B4P1P/6P1/6K1 w - -,a3b2
3r1rk1/pp3ppp/2b5/b7/3P4/P1NB4/1P1K1PPP/R6R w - -,b2b4
r2qkb1r/pbpn1ppp/1p1ppn2/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq -,b1c3
r1b1k2r/pp1n1ppp/2n1p3/3pP3/1b1N1P2/q1N1B3/P1PQB1PP/1R2K2R w Kkq -,b1b3
8/8/8/8/6k1/5pp1/4R3/5K2 b - -,f3e2
r2k1b1r/pp2p1pP/2pn2Q1/q2p4/3P4/2P4N/PP2Pp1P/R1B2K1R w - -,h3g5
3r3k/p6p/4Q3/q4p2/4rBn1/2P3P1/P6P/R4R1K w - -,e6c6
7k/6p1/7p/8/1p2QN1P/6PK/1q6/8 b - -,b4b3
1r4k1/p3q1pp/3p4/2p1nP1Q/1p6/3P3P/PPP3B1/5RK1 b - -,b8f8
b2r3k/6p1/1p5p/1PnPP2q/5P2/7P/2Q3P1/3RR1K1 w - -,e5e6
8/p1r3p1/5k1p/R1N5/Pn1K4/1P3PP1/2P3P1/8 w - -,d4c3
1qr1rn1k/1b2bp1p/p2p3Q/1p1p2P1/1Pn1PP2/PB5R/2P1N2P/3R3K w - -,f4f5
2b5/1p3p2/p7/6pk/P2Nrp2/1P1R2P1/2P2K1P/8 w - -,c2c3
1rq2rk1/5pb1/3p2p1/2nP1b1p/7P/P2pPPP1/1P1N4/R1BQK2R w KQ -,a1b1
rnbq1rk1/pp1pppbp/5np1/2p5/2P5/1PN2NP1/PB1PPP1P/R2QKB1R b KQ -,b8c6
r3qrnk/3b1pbp/1ppp2p1/p1nPp1B1/2P1P1P1/1NN2Q1P/PP3P2/R3KBR1 w Q -,a1d1
8/1kp5/8/pp6/6R1/6P1/2r5/5K2 w - -,f1e1
3r1k2/p5rp/1p3p2/1PpBb1p1/2P5/3PR1P1/4RPKP/8 w - -,e3e4
r5k1/1p4pp/2ppp3/8/p2pP3/P2P1P1P/1P3K2/2R5 w - -,c1c4
r4rk1/pp1qbppp/2n1bn2/3p4/5B2/1BNP1R1P/PPP1N1P1/R2Q3K b - -,f6h5
8/5pk1/2p1n1p1/2PpPqPp/3P4/4QNP1/5PK1/8 w - -,g2f1
r2nrbk1/2p2pp1/7p/pp2p3/2N1P2q/2P1BQ1P/PP3PP1/R4RK1 w - b6,c4d2
r2qr1k1/1p3p2/1bn4p/p2p2p1/3Nn1b1/2PB1NB1/PPQ2PPP/R4RK1 w - -,d3e4
r6r/p1p1kppp/2pbb3/8/4PB2/6P1/PPP4P/R3KB1R w KQ -,e1c1
6k1/1pp2ppp/2n5/r7/2B1bPP1/4N3/3K3P/7R w - -,h1e1
2rr2k1/3bqpb1/p2p2pp/2nPp3/P1N1Pn2/B6P/2BN1PP1/1R1QR1K1 w - -,e1e3
r2qk2r/1p1bbp2/p1npp2p/4n1P1/4P2B/2N2N2/PPPQ2PP/1K1R1B1R w kq -,f1e2
2b3k1/5p1p/p2p2p1/Pp1P4/3Nr3/3R3P/1P3PP1/6K1 w - -,d3e3
6k1/2r2p2/1q2pbp1/3p3p/p2N3P/P3P1P1/1P1Q1P2/3R1bK1 w - -,g1f1
3k4/5p1p/1pPB1p2/pB1Pn3/3K4/P6b/8/8 w - -,c6c7
2r4k/1bpr1qbp/1p4p1/pP1p1p2/P7/1Q1PPBP1/1BR2P1P/5RK1 w - -,f1c1
1kr2b2/4q3/p1p1Q3/P7/1PpN2N1/2P5/5KPP/8 b - -,e7e6
b7/1q2p1kp/1p3pp1/3Q4/2P5/6P1/PB3P1P/6K1 b - -,b7c8
r1b1kb1r/pp1n2pp/2n1pq2/3p4/3P4/3B1N2/PP1N1PPP/R1BQK2R w KQkq -,d2f1
8/5k2/3p3p/1p2b3/8/2P4K/2B3P1/8 w - -,c2d3
1r1qr2k/3bRpbB/3P3p/ppn3p1/2p5/P4NBP/1PQ2PP1/R5K1 b - -,d7e6
r2q1rk1/1p1bppbp/3p1np1/pN6/Pn1NP3/2P1BP2/1P2B1PP/R2Q1RK1 b - -,b4c6
6k1/2p2pp1/8/2Pr2Pp/pP3P2/P1b5/2p1K1P1/2B1R3 w - -,e1f1
2r3k1/4pr1p/p2p2p1/6Pn/q2RPP1R/nNQ5/1KP3B1/8 b - -,a3c4
2r1r1k1/qb3pp1/pb1Bpn1p/1p2n3/3N4/PB2P2P/NP2QPP1/2RR2K1 b - -,e5c4
1qrr1bk1/pb3p1p/1pnppnp1/8/1PP1PP2/PNN2B2/4QBPP/2R2RK1 b - -,f8g7
8/p2rk1Q1/1p2p3/5rp1/3P4/P7/1P3P2/6K1 b - -,e7d6
6k1/4Q2p/p4Np1/P3p3/3qn3/1p5P/1P3PP1/6K1 b - -,e4f6
8/2kn4/4Rp1p/2p2P2/2P1PK2/8/8/8 w - -,f4g3
1r4k1/1qb5/2n1p3/1r3p2/p1QPp1nP/P1P5/1P1R1BP1/4RNK1 b - -,c6d8
2r3k1/5pp1/p2r1b1p/3P4/2p3P1/2P4P/PP1R4/1KNR4 b - -,h6h5
2r5/1p1qn1kp/p2p1np1/3Ppp2/PPr1P3/2N2PPP/1B1Q2K1/R1R5 w - -,e4f5
r4k1r/1b2bpp1/1qp1p2p/3p4/p3nBPP/P1N2Q2/1PP1BP2/2KR3R w - -,c3e4
1r2r1k1/2p2pp1/2ppQ2p/p1b5/N1P1n3/1P2P1PP/PB3P2/2R2RK1 b - -,e8e6
8/p7/1p1Q2kp/n1p4p/4q3/5N2/P4PPK/8 b - -,g6g7
5r2/3N4/1K1k4/1B6/P7/8/3b4/8 b - -,f8f4
1rbqr1k1/1pp2pb1/p2p1n1p/3Pp1p1/2Pn4/1PN3PP/P2BPPB1/2RQNRK1 b - -,e5e4
8/p6p/1pn2p2/2p5/4k3/1PP4P/P3K1P1/2B5 w - -,c1h6
r1b1k2r/pq1nb1pp/1pn1p3/1Bpp1p2/3P1B2/3N1N2/PPP1Q1PP/R3K2R b KQkq -,c6d8
4Nk2/R7/2p1Qp2/2P1p3/pP4p1/P7/1B3q2/7K b - -,f2f1
4Q3/1p3Bbk/7p/6p1/3q4/7P/1P3PP1/6K1 b - -,d4d1
r1bqkb1r/1pp2ppp/p3pn2/8/3PB3/5N2/PPP1QPPP/R1B1K2R w KQkq -,e4d3
r5k1/p1p2r2/R2p4/1P1P1bpp/2P5/5PK1/3N3P/4R3 w - h6,e1e3
2r5/r4pkp/p4q2/2p4Q/PpP1Pp2/1P6/6PP/R2R3K b - -,a7b7
2r3k1/4bppp/3ppnn1/q7/Npr1PP2/1P1BQ2P/PB4P1/3R2K1 w - -,d3c4
r1bq1rk1/pp2bppp/4p3/2n5/1n1N4/6P1/PPQ1PPBP/RNBR2K1 w - -,c2c4
3k4/1p4pp/2p2p2/p1P1pn2/P1K1P3/8/1P3PPP/8 w - -,e4f5
r5k1/3nqpb1/2p1b1pp/3pP3/1p1B1P2/2P3NP/1PB1Q1P1/3R2K1 w - -,e2f2
r4rk1/p2nqpp1/Qp2p2p/8/3p4/2R1PN2/PP3PPP/3R2K1 w - -,f3d4
5qk1/3n1p2/p1r1pBpp/2brP1N1/Pp1p3R/7Q/1P3PPP/3R2K1 b - -,d7f6
3k4/R7/3K4/P7/8/r7/8/8 b - -,d8c8
2rq1r1k/3nbppP/p2p4/1p1Np3/2n1P2P/1N2B2R/PPP1QP2/2KR4 b - -,d7f6
R7/4kp2/4p3/6Rp/1r6/5n2/PP6/3N1b1K w - -,a8a7
5qk1/2rn1pbp/p3p1n1/1p1pP1B1/3P3p/1P6/P3QPPN/1B2R1K1 w - -,e2h5
R1b2rk1/1pqnr3/2pN1np1/2P1p3/1P3P2/2N4P/3QPPB1/3R2K1 b - -,f6h5
7k/6q1/1p2r1P1/2pP1P1K/2P4Q/7P/p7/8 w - -,d5e6
r2Q4/1b3rk1/p3p2p/1pq1Pp2/P1pR1P2/2P2R1p/4B1P1/6K1 w - -,f3g3
5r2/4qpk1/1pp3p1/4b2p/P7/4P2P/BPQ3P1/5RK1 b - -,e5d6
r2q2rk/p5bp/bpn1ppp1/5n2/2PP4/B1NBPN2/4Q1PP/1R3R1K w - -,d4d5
1rr3k1/4Bppp/2p1p1b1/p1qpP3/Q2N4/2P5/P4PPP/R4RK1 b - -,c5e7
r2qr1k1/2p2pp1/b1P4p/p2pP3/8/4RNnP/PPQ2PP1/R5K1 w - -,f2g3
8/3r1pk1/4p3/1p4b1/p2P3p/P1R1N1rP/1P3KP1/3R4 b - -,f7f5
r1bqrbk1/p2n4/2p2pPp/2Pp4/3P1B2/1P1B4/3N2PP/R2Q1RK1 b - -,f8g7
1k6/pbpp4/1n6/2p1PN2/2P2Prp/1P1B4/PK3R1P/8 b - -,h4h3
5k2/5p2/3q4/2pr2pp/1pQ2p2/1P2bP1P/P1R3PK/4R3 w - c6,c2e2
2b5/4k3/7p/pB1p1p2/3P3P/4K1P1/P7/8 b - -,e7f6
