8/8/p1k1b3/2b2P2/1pP5/1P4Kp/3BN3/8 b - -,e6f5
r2r4/pp1nbk1p/2p1b1p1/2p2p2/2P5/1P1NPP2/PB2BP1P/2KR2R1 b - -,a8c8
r1n2rk1/1p1qb1pp/4p3/1NPpnp2/3P1Bb1/8/P3BPPP/R2Q1RK1 w - -,f4e5
2r2rk1/1pq2ppp/4b3/pQ6/P7/4B3/2P2PPP/R2R2K1 b - -,h7h6
r2qkb1r/pppn1ppp/3pbn2/4p3/1PP5/4PN2/PB1PBPPP/RN1QK2R b KQkq -,g7g6
4rrk1/pp1q2pp/2p2pn1/7P/2PP4/1P3NQ1/P5P1/4RRK1 b - -,g6e7
7r/5p2/p1bp1kpp/8/1qP1P3/7P/4Q1P1/3R1RK1 b - -,f6g7
8/5ppk/8/4p3/PR6/r5P1/3KP2P/8 w - -,b4e4
rnbq1rk1/5ppp/2p1p3/pP1n4/2pP4/6P1/1PQNPPBP/RN3RK1 w - -,c2c4
r5k1/5p1p/2b1p1p1/2P5/2B2P2/p1R5/5KPP/8 w - -,c4a2
3b4/1p6/2r3p1/p4p1p/P2PpPkP/1P4P1/3R2K1/B7 b - -,c6b6
3r2k1/p1p1pp1p/Bb2b1p1/4B3/3rP3/1P3P2/P1R1K1PP/7R b - -,d4e4
2r5/pRP3p1/4R2p/2k5/1pp2PP1/2b4P/8/6K1 w - -,g1f1
3R1bk1/3Npp1p/r5p1/2p5/1r6/1P4P1/5P1P/1R4K1 b - -,a6d6
rn3rk1/1b2bpp1/pq2p2p/1pp5/3P2N1/2NBP3/PPQ2PPP/3R1RK1 w - -,d3e4
8/3k1p2/4p3/4P1p1/7p/1P2RP1P/1rr1NKP1/8 w - -,f2f1
r4r2/p1kn2bp/8/4ppB1/3p1P2/1R6/P1P1N1PP/3R2K1 b - -,d7c5
1r3rk1/pp1b2pp/1Qp1p3/3nPp2/3P4/6P1/PP1N1PBP/2R2RK1 b - -,d5b6
r1b2bk1/pp1qp3/3p3p/2pP2pB/2P1p3/4P2P/PP3PP1/R2Q1RK1 w - -,d1c2
2k5/p1p1rp1p/1pb3p1/2p4n/2N1P3/2N2P1P/PPP3P1/2KrR3 w - -,c1d1
3br3/p7/1pr1p1k1/3p4/P2B2P1/2P3P1/1P2R1K1/4R3 w - -,e1f1
8/5kp1/2p4p/np5r/3PP3/1PR3B1/4K3/8 w - -,g3d6
1r3r2/2q2pk1/1p1Nb1p1/p2pPp1p/PP1Q1P2/2P5/6PP/R3R1K1 w - -,h2h3
2b2r2/p1p1kn1p/2p2pp1/2N1p3/2P1P3/1P2KN1P/P2R1PP1/8 w - -,c5d3
2br2k1/pp2rppp/2pq1nn1/2Np1B2/1P1P4/P3PPN1/2Q3PP/3RR2K b - -,g6h4
2rqk2r/pb1pbppp/1p2pn2/8/4P3/1NNP4/PP1BQPPP/R4RK1 w k -,g1h1
4b3/6k1/8/K3p2P/P7/8/8/3B4 b - -,e5e4
5r1Q/1b1q1k2/pn4P1/2bp2P1/8/8/NPP5/1KB4R b - -,f7g6
r1b1r1k1/4bpp1/pq1npn1p/1p6/1P3B2/P1N1PN1P/2Q1BPP1/2RR2K1 w - -,f4e5
2rq1rk1/pp2bppp/8/3Np3/3P2Q1/Pn3N2/1Pb2PPP/R1B1R1K1 w - -,g4c8
r3r1k1/Qp3p2/2bq4/3p2pn/3P3p/P3PP1P/3B2P1/1RR2NK1 w - -,a7c5
8/2r2p2/6p1/3kp3/1B6/7R/6PK/8 w - -,h3d3
5qk1/1pQ2p1p/2pp2p1/2n1rP2/1PP5/P2B3P/5PP1/3R2K1 b - -,e5e7
3r2k1/ppp2p2/3p2p1/5n2/2PPR2q/1P3P2/P2Q2P1/2R3K1 b - -,h4f6
2k5/pp1r1p1p/1np1pBr1/5p2/P1PP4/1P4P1/5PKP/2RR4 w - -,f6e5
r4qk1/1b1n1p2/1b1N2pp/p2p3Q/P3r3/1NB4P/1P4P1/3R1R1K w - -,h5f3
1r2r1k1/ppq4p/2p1p1p1/5nN1/P2P1n2/B2R3Q/5K1P/1B4R1 w - -,h3g4
1rb2r1k/3n1p2/pP1p3p/3Pq1p1/1R2P3/2N4P/3Q1PP1/4RBK1 b - -,b8b6
5rk1/r3b2p/2Bpqnp1/p1p1p2n/P1P5/1P4PP/1B1NQP1K/4RR2 w - -,f2f4
1nr4r/1p1nk1p1/p2pb2p/4pp2/N1P1P3/1P2BP2/PK4PP/3R1B1R w - f6,e4f5
8/8/8/2B2p1p/4p2P/1r1k2P1/5PK1/8 b - -,d3e2
3r1nk1/pb2b1pp/1p2Pp2/2p3q1/P3P1N1/1PQ2BP1/1B1r1P1P/2R2RK1 w - -,c1d1
r1b1qrk1/ppn3bp/2p2n1B/4pp2/2P5/2N2N1P/PP2BPP1/R1QR2K1 w - -,h6g7
1r6/5p2/1r2pkp1/p1bp3p/P1bN1P1P/2P3P1/1P1R2R1/2KB4 b - -,f6e7
8/2k1b3/4p3/K2pP1p1/3P2P1/8/4N3/8 b - -,c7c6
8/6Rp/5P2/ppk5/3pr1PP/8/3K4/8 b - -,a5a4
4rrk1/p5p1/2p5/2ppp1p1/5p2/1P1P1N2/P1P3PP/5RKR b - -,g5g4
8/PK6/6p1/3pk3/1R6/8/r7/8 w - -,b4b6
r3kb1r/pp1npp1p/4n3/2qN2p1/3pP3/6Q1/PPPB1PPP/R3K1NR w KQkq -,g1f3
6B1/1p1r2b1/p5pk/1q6/1P2Q3/P3N1P1/5PK1/8 b - -,g7f6
r2qk2r/pp1nbpp1/2p2np1/8/2pR4/2N1P1P1/PP2QPBP/R1B3K1 b kq -,d8c7
r3r3/p2b3k/2p2pp1/8/2NQq3/4P3/PP2B1Pb/R3RK2 b - -,e4d4
5rk1/p3R1pp/1p2P3/8/1P6/P7/6bp/7K w - -,h1g2
8/1B6/8/8/5kpp/5n2/8/7K b - -,f4g3
8/5k2/3p1np1/3Pp3/4P2R/1n2P2P/4K3/8 w - -,h4h8
5rk1/pp1q2pp/2n2r2/2p1N3/Q1Pp2b1/3P2P1/PP4BP/R3BRK1 b - -,f6f1
n4rk1/3n1ppp/1q6/pNb1p3/P3Q3/3P1PPb/1P2P2P/R1BR3K w - -,c1d2
4b1k1/pp3p1p/2n1p1p1/2q5/4B3/4PN1P/PP1Q1PP1/6K1 b - -,g8f8
r2q1rk1/1p3ppp/p2pbn2/4p3/2PnP3/1N1BN3/PP3PPP/2RQ1RK1 b - -,d4b3
r3k3/3pbpp1/p3p3/2p1P3/2P4r/PPB2P2/5PK1/R4R2 b q -,a8b8
8/p2qp1k1/2p2prp/3rp1p1/1PQ5/P2PRP2/2P1KP2/7R w - -,e2d2
r1bqk2r/pp2bpp1/2nppn2/2p4p/4PP2/2NP2PP/PPP3B1/R1BQK1NR w KQkq -,g1f3
r1bQ4/ppq2rk1/4p2p/4Pp2/1bp3p1/2N5/PP2BPPP/3R1RK1 w - -,f2f4
2b3rk/7p/p2p1n1q/1p1PpP2/8/2NN1RrP/PP2Q3/2R4K w - -,e2f1
3r4/p2kr3/B1b3p1/2ppPpPp/P4P2/2P5/R4K1P/3R4 w - -,a6c4
4nr2/1r3p1k/p2p1n1p/1ppP1Pp1/P1N5/2N4P/1PP3P1/R3R1K1 w - -,a4b5
6k1/pp2p2p/3p1npQ/5P2/4P3/5P2/Pqr1K3/2R4R w - -,c1c2
r1bqr1k1/pp1p1ppp/n1p2n2/2b5/2P5/2N2NP1/PP2PPBP/R1BQK2R w KQ -,e1g1
3rqrk1/2p1ppbp/b5p1/p1nPP1B1/1p6/5N1P/PPB2PP1/R2RQ1K1 b - -,f7f6
rnr3k1/pp1qppbp/3p1np1/8/2PNP3/1PN1BP2/P5PP/R2QK2R b KQ -,d7e8:b8c6:b8a6:a7a6
3r3k/p3q1p1/2p4p/5Q2/4p3/1B1nP1P1/P4PKP/8 b - -,d8f8
3qNk2/2r2p2/p3p1pn/4P2p/2pP4/5Q1P/PP2R1P1/5RK1 b - -,d8d4
r7/5r1k/p1R4p/Qb1Pq1p1/8/P3P3/1P3PPP/2R3K1 w - -,c6c7
8/2p1k3/2P5/1r5p/3BPKbP/1p6/8/2R5 b - -,e7e6
r2q1rk1/pp1bbppp/4p1n1/3pP3/5N2/3P1NQ1/PP3PPP/R1B2RK1 w - -,c1e3
r7/1p1b1p1k/2ppn1pp/1P6/p1P1P3/4QPq1/P2R2P1/3R1BK1 w - -,e3f2
R3k2r/1bqnbppp/2npp3/1pp5/4PP2/2PP1NPB/1P1NQ2P/2B2RK1 b kq -,b7a8
r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,h2h3:d2d3
r2qkb1r/ppp2pp1/4pn1p/8/2PP4/5N2/PP2RPPP/R1BQ2K1 b kq -,f8e7
6k1/3b2p1/pp2p2p/3pP3/P1BP2PP/2r1B3/5P2/R4K2 b - -,d5c4
r5nk/p5rp/1p5q/3R4/Q3B2b/1NP4P/PP6/1K2R3 w - -,e1d1
r1bq1rk1/ppp3pp/3p1pn1/8/P7/5N2/1PPBQPPP/R3R1K1 b - -,d8d7
r1bq1rk1/pp1nbpp1/4pn1p/2pp4/2PP3B/3BPN2/PP1N1PPP/R2Q1RK1 b - -,b7b6
r2r4/8/pbp3pk/4Bb2/4N3/1R6/1P3PPP/5RK1 b - -,f5e4
r4rk1/2q1bppp/p3P3/1p1p4/3B4/8/PPP3PP/3RQRK1 b - -,e7d6
