8/1n4n1/7R/2k4p/4NP2/3K4/7P/8 b - -,c5d5
3r1rk1/1R6/2PN2p1/p1P4p/4R3/6P1/P3nPKP/8 b - -,e2c3
r4rk1/pbqn2B1/6p1/3p1p2/N3p3/1P1B3P/P1PQ2P1/1R3RK1 b - -,g8g7
3r4/1R4kp/p2rnpp1/q2p4/3Q4/5N1P/PP3PP1/2R3K1 b - -,d8d7
r1bqr1k1/bp3pp1/p1pp2np/4p3/1PP1P3/P3P1P1/1B1NQPBP/2R1R1K1 b - -,c8e6
n2r2k1/4R2n/1p1P1qpp/pNpPQp2/P1P2P2/7P/6PB/7K w - -,e7h7
r2r2k1/pp2pp1p/6p1/8/2n2P2/4PB2/PP5P/R3K2R w KQ -,e3e4
r3kb1r/1p3ppp/p1n1pn2/8/2p1P3/5PP1/PPPB3P/R2NK1NR b KQkq -,f8c5
5k2/5p1b/7p/1N4bP/1p2PpP1/1B3P2/P2R2K1/2r5 w - -,d2c2
r2q1rk1/2p1bppp/p1n1b3/1p1pP3/4n3/1B3N2/PPP1QPPP/RNBR2K1 w - -,c2c4
rn1qkb1r/ppp2ppp/4pn2/3p1b2/1P6/4PN2/PBPP1PPP/RN1QKB1R w KQkq -,a2a3:b4b5
r1b2rk1/pp2ppbp/1qp2np1/3pB3/3P3P/P1N1P3/1PP1BPP1/R2QK2R b KQ -,f6d7
r2n1rk1/pppqn1b1/3pb1pp/1P2pp2/2P5/2NP1NP1/P1QBPPBP/1R3RK1 w - -,f3e1
4r2k/2q3bp/6p1/2n1pp1n/1r4N1/2R2P1P/1PB2P1Q/2B1R1K1 b - -,c7e7
8/3R1rk1/1p6/1Pb5/7P/3B2K1/8/8 w - -,d7d5
R7/2p2p2/P1Bb1k1p/r2P4/2K2P2/6P1/8/8 w - -,c6b7
2r2rk1/pn1q2b1/1p1pp1pp/1Pp2p2/P1P1P1n1/2NP1NPP/2QB1PK1/1R2R3 b - -,g4e5
2r2rk1/p4ppp/1p2p2q/3nN1b1/3PQ3/P1Pb4/5PPP/R2RB1K1 w - -,e4d3
r2q1rk1/1b1nbppp/p1p1p3/P7/1p1PP3/2NQB1P1/1P3PBP/R4RK1 w - -,c3e2
6r1/p3q1rk/Pp2pb1p/2p1p1p1/4PpQ1/1PBP3P/2P2PP1/R2R2K1 w - -,g4h5
8/2R2pk1/4p2p/6P1/r7/6P1/5PK1/8 b - -,h6g5
4k3/1p4p1/pbn1r2p/3pBp2/1P1P3P/P4NP1/5P2/3R1K2 b - -,e8f7
r1nr2k1/pp3pb1/2p1b1pp/4p3/1P2P3/P2PB1P1/2R2PBP/1R2N1K1 w - -,g2f1
1r1qr1k1/3bppbp/2np1np1/1p6/1P2P3/P2BBNNP/3Q1PP1/3RR1K1 w - -,d2e2
1q1r1rk1/p2nbpp1/bpn1p2p/2p1P3/2P4P/1PB2NP1/P2NQPB1/R2R2K1 b - -,b6b5
2b5/p4p1p/1p1kn1p1/1P1p4/P2N1P2/4PB2/5KPP/8 b - -,e6d4
8/4kp2/8/3K1PP1/5B2/8/1b6/8 w - -,d5c6
8/8/2BpKp2/k1pP4/p6r/8/1R6/8 b - -,a4a3
8/pp2k1R1/8/8/3r4/4p3/PP2K3/8 b - -,e7d6
1k1r3r/ppq2pp1/3bpn1p/8/3RN2P/2P3PN/PPQ2P2/2K4R b - -,d6e5
1r3r1k/p1p1nb2/2pp1p2/4PPp1/8/2N1PB2/PPPR4/2K3R1 b - -,d6e5
r1b1r1k1/1pqnbppp/2pp1n2/p3p3/2PPP3/2N2N1P/PPQ1BPP1/1RB2RK1 w - -,c1e3
2R5/p7/2B1kr2/4p2P/3b4/7K/P7/8 b - -,e6f5
3r2k1/1pr2pbp/p1p1bnp1/8/1PPpPB2/2NB4/P4PPP/2RR2K1 b - -,c7c8
5k2/5pp1/1r1pn2p/pP2p3/P3P3/5P2/2B3PP/1R5K w - -,c2b3
8/2R2p2/7p/4k1p1/pPb4P/4K1P1/1P6/8 b - -,c4d5
1r6/3nk1Bp/4p3/n1p2p2/2P5/1P1R4/5PPP/5BK1 w - -,d3h3
2b1r1k1/p4pp1/1r2n2p/2pBRN2/2P2P2/7P/P5P1/4R1K1 b - -,g8f8
2r1rnk1/p1q1bpp1/1pn1p1b1/2ppP1P1/5BN1/2P3P1/PP3PBQ/R3R1K1 b - -,f8h7
rq3rk1/1p2bppp/pBbppn2/P7/4P3/2N3P1/1PP2PBP/R2QR1K1 b - -,f6d7
8/pp1r1k1p/2p2p2/3P2pP/1Q1P4/5P2/P1q3P1/4R1K1 b - -,c6d5
r2q2k1/3b1p1n/rp1p1b2/1NnPp1pp/1RP1P3/4BN1P/2B2PP1/1RQ3K1 b - -,f6e7
r1r3k1/pp1bppbp/2np1np1/q7/3NP2P/1BN1BP2/PPPQ2P1/R3K2R w KQ -,e1c1
r2q1rk1/pb1n1pbp/1p2p1p1/4P3/3P1B2/5N2/P1Q1BPPP/3RK2R w K -,f4g5
6k1/1Npn3p/p3p1p1/1p6/1P1r4/P6P/5PP1/4R1K1 w - -,e1e6
r1bqk2r/pp1pppbp/2n2np1/8/3NP3/4B3/PPP1BPPP/RN1QK2R w KQkq -,b1c3
8/1R5p/p7/2k1N1p1/1nP1K2r/1P3P2/8/8 w - -,e4e3
4R3/2p2rk1/5p2/3q2pQ/8/7P/6P1/7K b - -,f7f8
3k2rr/2qbbp2/p1np1n1p/P1p1p1p1/1pP1P1P1/1P1PB1NP/R3BPK1/R2Q2N1 b - -,d8c8
8/3Q4/5k2/2P2p1p/1q2p3/6P1/6K1/8 w - -,d7d8
3r4/pp3kpp/8/8/3p1R2/1PqQ2P1/5PPK/8 b - -,f7g8
8/5R2/8/4pkP1/5p1p/1PK2P1P/8/5r2 b - -,f5g5
8/5p2/6pp/5kn1/8/3NP1P1/4K2P/8 b - -,h6h5
8/8/1K3p2/4p2p/6k1/3R2P1/8/8 b - -,f6f5
r2qr1k1/pppnb1pp/1n3p2/3pN3/3P1P2/1QP4P/PP1N2P1/R1B2RK1 w - -,e5g4
r4rk1/pp1b1p1p/1q2pbp1/8/2p1P3/1NP3B1/PPQ2PPP/R4RK1 w - -,b3d2
r1q2rk1/pp1bpp2/n2p2p1/2pP4/2Pb2P1/2N5/PP1NP1B1/R1BQ1R1K b - -,g8g7
2r1k3/1pb2p2/p1p1pnp1/2P4r/1P1P1Pp1/2BB2P1/1P5P/R3R1K1 b - -,e8d7
r1bqk2r/pp1nppbp/2p2np1/6N1/2BP4/4B3/PPPQ1PPP/R3K1NR b KQkq -,f6d5
2r2rk1/p3q1bp/1pP3p1/3pP3/3N1P2/P2bB1Q1/1P3RP1/4R1K1 w - -,b2b4
2k5/pp3p2/2p1p1p1/P7/2P2P2/1R4P1/1PBr3r/1KRn4 b - -,d1f2
3r2k1/pp3pp1/2b1p2p/q1P5/3rB3/P5P1/1P2QP1P/2RR2K1 w - -,d1d4
r5k1/1p3pp1/2p1n2p/4P3/1PQ2P1q/7P/6PK/2B2R2 b - -,e6c7
q5k1/4p2p/3p1np1/1Nr5/P1p1P3/R5P1/1PQ4P/5K2 w - -,a3e3
2r1k2r/1b2bppp/pq6/1p1pp1PP/4P3/P1N2P2/1PPQB3/2KR3R w k -,c3d5
2r5/5k2/p2b2p1/1p1R1p1p/3P3P/2PK1PP1/P2B4/8 b - -,f7e6
r1b1kbnr/pp4pp/1qn1pP2/3p4/3P4/P4N2/1P3PPP/RNBQKB1R b KQkq -,g8f6
2r3k1/5p2/p3p1pp/R7/p1r5/5BP1/P4P2/6K1 b - -,c8b8
rnbqk1nr/pp1p1ppp/2p5/8/1bPp4/6P1/PP1NPPBP/R1BQK1NR b KQkq -,g8f6
rnb2rk1/ppq2ppp/4pn2/2pp4/2PP4/P1PBPN2/5PPP/R1BQK2R w KQ -,d1c2
1rq2rk1/2nbppbp/3p1np1/RPpP4/7N/1PNQ2P1/1B2PP1P/4R1KB b - -,c8b7
6r1/1R1R2p1/5pk1/1P5p/1r5P/5KP1/5P2/8 b - -,g6f5
r2q1rk1/ppp3bp/3p2p1/n2Pp3/2P1Q3/5BP1/PP3P1P/R1B2RK1 b - -,a5c4
r2q1rk1/p4ppp/R2p1b2/3QpP2/1p2P3/1P6/1PP1N1PP/5RK1 b - -,a8c8
2rq1rk1/1b1p2bp/p5p1/2pP1p2/1p6/P2nPP2/1PQ3PP/1NBR1RK1 w - -,c2d3
r1b2rk1/pp1nppbp/5np1/2p5/1qBP1B2/Q1N1PN2/PP3PPP/R4RK1 w - -,a3b4
r1b2rk1/pp3pp1/2B2q1p/2P5/1b1p4/1QN1PN2/PP3PPP/R3K2R b KQ -,d4c3
r4rk1/1p1b1ppp/1qn1pn2/p1b5/2PP4/PP1B1N2/1B1NQPPP/R4RK1 b - -,c6d4
