8/r7/4k3/r6R/4P3/4KP2/8/8 w - -,h5h6
rnb2rk1/ppq3bp/2pp1np1/4Pp2/2P5/1PN1PN2/P1QBBPPP/R4RK1 b - -,d6e5
2kr3r/p1p2R2/2p1p3/2b1P3/6p1/1PB4P/P1P3P1/R6K b - -,g4h3
2r1rbk1/1b1n1ppp/ppqp1n2/4p3/1PP1P3/2N1B3/P2NBPPP/1QR2RK1 w - -,c3d5
r1b1k2r/pp1nqpp1/4p2p/P1p1N3/R2P1B2/2pBP3/1bQ2PPP/3K3R w kq -,e5c4
r1b1k2r/ppp1qp2/2nppn1p/6p1/1bPP4/2N1PNB1/PP2BPPP/R2QK2R b KQkq -,f6e4
4rrk1/6b1/p2qp1pP/1p3p2/2pP1PnP/P1P2QN1/1P6/R1B2RK1 b - -,g7h6
8/p6p/1r1bk3/2p1p3/2K1P1p1/1PB3P1/P2R1P1P/8 w - -,a2a3
5k2/5p1p/1pp1np2/4p3/B1P5/2qPP1P1/4QPKP/8 b - -,e6c5
r1n2rk1/ppp1p1bp/4Ppp1/P7/3q4/1B3Q2/1PP2PPP/RNB3K1 w - -,b1c3
r2q1rk1/pb3pb1/1p2pnpp/3n4/3P4/1BN2N2/PP1BQPPP/2R1R1K1 b - -,d5b4
1k1rr3/1p2bpp1/p1np3p/q2NnP2/6PP/4B3/PPPQB3/1K1R3R b - -,a5d2
2rq1rk1/1b1nbpp1/pp1ppn1p/2p5/P3P3/2PP2PP/1P1NQPBN/R1B1R1K1 b - -,d8c7
r4rk1/2q1bppp/p4n2/1p1PN3/2pP2b1/2P1B3/PPQN1PPP/R3R1K1 w - -,a2a4
8/ppkBp3/2n4p/8/2n2P2/2P5/P1K4P/2B5 w - -,d7g4
r3k2r/pp1b1p2/4p1pp/3pP2P/3P4/P2KB3/2P2PP1/R6R b kq -,d7b5
8/6p1/7p/1Rp1r3/2P5/R7/4k1PK/3r4 b - -,e5h5
3rbrk1/ppqnbppp/2n1p3/8/2PP4/1N1N1B2/PBQ2PPP/1R3RK1 w - -,d4d5
4k2r/pp3ppp/1br1pn2/8/8/1NP5/PP3PPP/R1B2RK1 w k -,c1f4
r4rk1/1pq1bppp/p1bppn2/8/2PQP3/1PN3P1/PB3PBP/R3R1K1 w - -,a1d1
8/2p5/1p3pk1/p1pPpNn1/P1P1P1R1/1P3r2/2K5/8 b - -,f3h3
6k1/1p2ppb1/3p2p1/qP3P1p/2P1P1b1/3Q4/5BPP/5BK1 b - -,a5a1
2k1brnr/ppq3b1/2n1p1Pp/3pP3/1PpN1B2/P1P3P1/2B2P2/RN1QK2R b KQ -,c6d4
1qr3k1/rp2nppp/p1np4/3Pp3/P3P3/1N1BQ3/1P3PPP/3R1RK1 b - -,c6b4
5k2/2R2pp1/p6p/1b2P3/8/7P/6P1/6K1 b - -,b5d3
1r1qr1k1/1p3pb1/p2p1n1p/2pPn1p1/P3P1b1/2N3B1/1PQNBPPP/R4R1K w - -,g3e5
r5k1/pb6/1p1qpr1p/3pN1p1/2pP2P1/2P1P2P/PP2Q1K1/3R1R2 b - -,a8f8
7r/5p1P/pp2kP2/3pP2R/5r2/2PK1pR1/P7/8 w - -,g3g1
r3kbnr/3b1p2/1q2p1p1/3pP2p/p2P1P2/4QN1P/2B2BP1/1NKR3R w kq -,d1d3
r2q1rk1/1bpn1ppp/1p1ppn2/p7/2PP4/1PB2NP1/P1Q1PPBP/R3R1K1 b - -,b7e4
3q1k1r/3r2p1/ppnpbp1p/2n1p3/2P1PP2/1NN5/PP1QB1PP/R4RK1 b - -,f8g8
1rbq1rk1/4bppp/ppnppn2/8/2P1P3/2N1B3/PP1NBPPP/R2Q1RK1 w - -,a1c1
6k1/8/6P1/p5K1/3Bp3/p7/5P2/3n4 w - -,g5f4
r4k2/1p1n1pr1/p1p4p/3NP1q1/3P1p2/1P1Q1B1b/P4P1P/2R1NR1K b - -,c6d5
r1b2rk1/1p2bppp/p1n2n2/2qp2B1/8/1R1BPN2/P2N1PPP/1Q3RK1 b - -,h7h6
2r4r/4ppk1/7p/4p1p1/8/3Q3P/PqPRKPP1/3R4 b - -,b2a2
8/5k2/ppnnpp1p/3p4/P2P2P1/1PN2N2/5P1P/5K2 w - -,f1e2
4rrk1/p5b1/1p4p1/2pPp1qp/2P5/3Q1PB1/P3R1PP/4R1K1 w - -,e2e4
rn1q1rk1/pbp2pbp/1p3np1/3p4/3P4/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,c1f4
r3kb1r/ppq1n1p1/2n1pp2/1B1p2p1/3P2PP/2NQ4/PPPB1P2/2KR3R b kq -,h8h4
r4r1k/6p1/pp3b1p/3b4/3q4/2N5/PPR2PPP/3Q1RK1 w - -,c3d5
1qr1r2k/3bppbp/p1np1np1/1pP5/4PP1Q/1PN2B2/P1NB2PP/2R2R1K w - -,b3b4
8/2p1kpp1/1p6/2p1PnN1/b1P4p/5P1P/P4KP1/2B5 w - -,g5e4
R7/p5k1/1p5p/1n1rpBp1/1K4P1/P4P2/1P5P/8 b - -,d5c5
2kr1b1r/pbpp2pp/7q/2p1Pp2/1nP2P2/PPQ5/3N2PP/R1BK1B1R b - -,b4c6
2r1r1k1/1p2bpp1/1qpnbn1p/p2pN3/3P1BP1/2RQPP1P/PP2N3/1B3RK1 b - -,a5a4
1rbq1rk1/pp3pbp/n2p1np1/2pP4/P3P3/3B1N1P/1P1N1PP1/R1BQ1RK1 b - a3,a6b4
8/2Nn1k1p/5pp1/2nPr3/7R/6PP/5P2/5K2 b - -,h7h5
r1bq1rk1/5ppp/p1np3b/1p1Np3/4P2P/N1PB1Q2/PP3PP1/R3K2R b KQ -,c6e7
8/r4k1p/p5p1/RP6/2pN2P1/2PbpP2/7P/4K3 b - -,f7e8
q2br1k1/pb3pp1/3r3p/BppPN3/4QP2/PP1R3P/6P1/3R2K1 w - -,a5c3
r1b1r1k1/ppq1bppp/5n2/4p1B1/8/3B1Q2/PPPN1PPP/4RRK1 w - -,f3g3
2k1r2r/1ppq2p1/pb2b3/8/PP1pP2p/3P1Q1P/2P3BB/1R3R1K b - -,d7a4
3rrnk1/ppq1bppp/2p2n2/8/2NPP1b1/1P1N2P1/PBQ3BP/R4R1K w - -,c4e3
r2q1r1k/5ppp/1b6/p1p1P1BP/P1B3Q1/5n1P/5P2/1R3RK1 w - -,g4f3
r1bqkb1r/pp2nppp/2p5/3Pp1B1/2B5/2P2N2/PP4PP/R2QK2R b KQkq -,c6d5
8/1Q2K3/P5p1/6k1/8/7q/8/8 b - -,h3h7
8/1p4k1/p1p1Qppp/2Pn4/5PP1/2N3PK/Pr1b4/8 b - -,d2c3
2k2b1r/ppp2ppp/1nn5/8/2P3b1/2N1BN2/PP3PPP/2Kr1B1R w - -,c3d1
5rk1/4ppb1/1qp4p/p3P1p1/3r4/P1Q3BP/1PP2PP1/R3R1K1 b - -,f8d8
1q3rk1/1r2bp1p/pBbppnp1/P1P5/1R2P3/3B4/1P1NQPPP/5RK1 b - -,d6c5
r3kb1r/p2bnppp/1q2p3/2ppP3/8/2PB4/PP1NQPPP/R1B2RK1 b kq -,e7c6
8/7p/ppk2p2/3p1q2/3p3K/1P4P1/4Q2P/3R4 b - -,f5g5
8/8/2b5/P1k3pr/3p1p2/1R5P/3K1P2/8 b - -,h5h8
r1bqkbnr/pp3ppp/2n1p3/8/2Pp4/1P3NP1/P2P1PBP/RNBQK2R b KQkq -,g8f6
r3r1k1/1p2qp1p/2np2p1/p7/2b1P3/6PP/P4PB1/BRQ1R2K b - -,b7b5
8/8/5k2/p7/1r4PK/8/1p6/1R6 w - a6,h4h5
4r3/5rkp/3n1pp1/ppqPp3/8/PQ1B4/1PP3PP/R4R1K w - a6,a3a4
rnbq1rk1/pp3ppp/2pb1n2/3pN1B1/3P4/1BN5/PPP2PPP/R2Q1RK1 b - -,b8d7
6rk/6rp/1p1q1p2/p1p2B2/PnP1p1PP/3PPQ2/5K2/R2R4 w - -,f3e4
2r1r1k1/1N4bp/Qpq3p1/5p2/1P2p3/6P1/P4PBP/2BR2K1 w - -,g2f1
2r3k1/p7/4r1p1/3p2Pn/5B1Q/1q2P3/3RBPK1/8 w - -,e2h5
2r1k2r/1b1n1ppp/pq2p3/1pb3B1/6n1/2N1PNP1/PP1Q1PBP/R4RK1 b k -,h7h6
5b1k/1p3qpp/p2pp3/2n3B1/2B1P3/4Q2P/PPP3P1/7K b - -,f8e7
r1b2rk1/pp1n1p1p/1q1p1np1/3Pp3/4P3/5P2/PP1Q2PP/RN2KBNR w KQ -,b1c3
2k1rb2/1p3ppp/p1p5/4n3/1P1B4/P3P1N1/5PPP/2R3K1 b - -,c8c7
8/K1k5/8/P7/7P/8/4b1B1/8 b - h3,e2g4
r1b2rk1/1pqn1ppp/2p5/p3p1B1/PbB1P3/7P/1PP1QPP1/R2N1RK1 b - -,h7h6
r1bqk2r/ppp1nppp/2np4/2bNp3/2P5/4P1P1/PP1PNPBP/R1BQK2R b KQkq -,e7d5
r3k1nr/1p1bq2p/p3p1p1/3pPp2/B2b4/2N3Q1/PPPB1PPP/4RRK1 w kq -,c3e2
1nr3k1/5pBp/pp2pPp1/3p2N1/3P4/6P1/P1R2P1P/4R1K1 b - -,c8c2
4Nbk1/5ppp/1q6/1P2p3/3r4/P2pQ1P1/5P1P/2Rb2K1 w - -,c1d1
r4r2/pb2qppk/1p2pn1p/1Bp1N3/P2PpP2/2P1P3/1P2Q1PP/R4RK1 w - -,f4f5
r3k2r/1b1nbpp1/1qn1p3/p1ppP3/1p3PP1/2PP1NN1/PP1B2B1/2RQ1RK1 w kq -,c3c4
1R6/p6r/5k2/2p2p2/N5nP/P2b2P1/6B1/6K1 b - -,h7e7
r5r1/1pp1kp2/1p1p1q2/3Pp2p/4PnB1/2P3R1/PP3PP1/R2Q1KN1 b - -,h5g4
