8/p1r2k2/P1K2p2/4b1p1/4Q1P1/7P/8/8 w - -,c6b5
2br1rk1/bpp1q1p1/p1n2p1p/3np3/2NP4/2P2N1P/PPQ2PP1/2BRRBK1 b - -,e7f7
3r2k1/Rp1r3p/5pp1/4p3/1Pn3P1/7P/3b1PKB/1R2N3 b - -,b7b6
8/pp1kr1p1/6Rp/3p4/P1pP4/2P2P2/1rPK2P1/R7 b - -,b2b6
4rrk1/1q4pp/p2bb3/2pN3Q/8/1P2B2P/P1P2PP1/4RRK1 b - -,g7g6
2kr3r/pppq1ppp/2n2b2/3N1b2/8/3P2P1/PP2PPBP/R1BQ1RK1 w - -,d5e3
1r2k3/8/R5pp/4P3/3N1nP1/7P/8/6K1 b - -,b8b4
6k1/5p2/1K6/2P1PN2/4r1p1/7p/3R3P/8 b - -,e4e5
4rrk1/1ppb1p1q/p2p1P2/P6n/6N1/2P5/1PB2PPb/R1BQR1K1 w - -,g1h2
r1b1k2r/1pq1ppb1/p2p1npp/4nP2/P2NP3/2N1B3/1PPQ2PP/R3KB1R w KQkq -,f1e2
r4rk1/1b2bppp/pB1p1n2/4p3/1pq1PP2/P1N1QB2/1PP3PP/3R1RK1 w - -,f3e2
6k1/1p2p1q1/3p4/p2P4/4br2/5N2/PP4B1/5QK1 w - -,g1f2
r1n1r1k1/2qbbp2/p2p2pB/PppPp3/4P3/1PP2p1P/2B2P1K/R2QRN2 w - -,d1f3
r2qbrk1/4Nppp/4pn2/pp2N1B1/3P4/4P3/P1Q2PPP/1RR3K1 b - -,d8e7
1kbqr2r/1p3p2/p1pb2n1/P1N3p1/1PRP4/3BP1P1/3KN1Q1/R7 b - -,d8e7
4r1k1/2p2pp1/p1p1q2p/4B3/4pPb1/P1P3Q1/1P4P1/4R1K1 b - -,e6f5
r2q1rk1/p4pbp/2n1b1p1/1N1np3/1P6/B5P1/P2PNPBP/2RQ1RK1 b - -,d8b6
r1bqk3/1p1n1p2/p3p3/3pP1Q1/3NnP2/1N6/PPP1B1P1/2R1K3 w q -,g5d8
r4rk1/3q1ppp/p7/1ppb4/P7/3P2NP/B2B1PP1/Q3R1K1 w - -,d2h6
6k1/1R3p2/r1n1p1p1/3pP2p/b1pP1P2/5NPB/4K2P/8 w - -,e2d2
6k1/1pp5/p2p2p1/3P1r1p/PPP1p3/4B1P1/1b2K2P/2R5 w - -,c1b1
4r1k1/pp3ppp/3n4/3p4/8/1NP5/P4PPP/1R4K1 w - -,f2f3
7k/1q4bp/3pr3/r1nNpp2/5P2/4B2P/1P1Q2P1/5RK1 w - -,d2a5
1k1r3r/1bp5/ppq1pR2/4P1pp/P2P2p1/2P1N3/1PQ3PP/R5K1 b - -,g4g3
8/q5kp/3p4/p1b1p3/2B1Pp2/1P3P2/P2BQ2P/7K w - -,e2g2
8/8/2p5/1pP2pp1/2p1b3/2P4k/8/6K1 b - -,g5g4
8/1p2k3/2pp2r1/p3nb2/P1P3B1/1P3PK1/3R1N2/8 b - -,f5e6
6k1/3r4/p3pppR/1p1p4/3P2PP/P1P5/1P3P2/6K1 b - -,g8g7
8/1B4k1/pR4p1/Pb6/1r6/6P1/7K/8 b - -,b4b2
1R6/8/3p4/2n5/3k4/2b5/1pK5/1B6 b - -,c5d3
2r2rk1/pb3ppp/1p2pn2/2n5/q1P5/4BNP1/PQ2PPBP/R1R3K1 w - -,c1c3
r2q2k1/pp3pb1/n2p1np1/2pP2N1/5P2/P6B/1P3P2/1R1QR1K1 b - -,a6c7
3rr1k1/4R1p1/p2P3p/1p5b/1B2Bq2/8/2Q3P1/2R3K1 b - -,e8e7
3r1b1r/P4kpp/2Q1p3/2ppq3/4p3/2N5/1P3PPP/R3R1K1 b - -,f8d6
1n3r1k/3b2bp/r2p4/p1p4p/PpP1NB1q/1N6/1P1Q1PPP/R2R2K1 w - -,f4d6
rnb1k1nr/2q1bppp/p2pp3/1p4P1/3NP3/1BN1B3/PPP2P1P/R2QK1R1 b Qkq -,b8c6
r1bq1rk1/1p2bppp/2pp4/p1n1nN2/P2QPB2/2N5/BPP2PPP/R3R1K1 b - -,c8f5
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/2N1PN2/PPQ2PPP/R1B1KB1R w KQ -,f1d3:a2a3
4r2k/6pp/2p2r2/ppN1bP2/6Q1/P2BP2q/1PP5/7K w - -,g4h3
r1r3k1/3bp1b1/2pp1nqp/5pp1/1PPN4/2B1P1P1/2Q2PBP/1RR3K1 b - -,f6e4
rr4k1/2q2p1p/3b2p1/p1pPp3/P3Q3/3B1PP1/7P/1R1R2K1 w - -,b1b5
1b1r3k/1p1q1p2/1P1p2pp/3Nn3/1P5P/2R1P1P1/2Q2PB1/6K1 b - -,h6h5
5rk1/1r1p1ppp/p3pn2/1q2n3/4P3/P4PN1/NPP2QPP/1R3RK1 w - -,a2c3
8/pp3kq1/2p1pp2/3r4/3P4/5P2/PPP4Q/1K1R4 w - -,a2a3
r1bqr1k1/3nbppp/pppp1n2/4p3/P1PPP3/1PN2N2/2Q1BPPP/R1B2RK1 w - -,d4d5
1r3r2/p5k1/2p5/6pp/2b5/6P1/PP4P1/2R1R1K1 w - -,c1c4
5k2/r1pR4/1p6/2pPpP2/2P1n3/2r5/P3BK2/6R1 w - -,f2g2
4r1k1/1p1Q2pp/p1p1np2/2P5/4P3/Pb4PB/4qP1P/B1R3K1 b - -,g8f8
2r1r1k1/p2nN1p1/1p3p1p/3p4/3P4/P2QP3/5PPP/2R3K1 b - -,g8f7
r1br2k1/p1q1ppbp/1pn3p1/2pnP3/8/2P2NP1/PP1NQPBP/R1B1R1K1 w - -,a2a3
1r1r4/4k1p1/2bpp2p/p1p4P/2P1pPP1/P1R1P3/1PB5/2KR4 w - -,d1g1
r2qr1k1/pp1n1pbp/3p1np1/2pP4/4PP2/2N2B1P/PP4P1/R1BQR1K1 b - -,a7a6:d8a5
4r1k1/2q3pp/2p5/1p2P3/p1b2Pn1/P1Q2R1P/1PP3P1/4R2K b - -,g4h6
8/2k3p1/1p1n1p2/1K1p4/3P1NPP/8/8/8 w - -,b5b4
7r/8/3p1rB1/ppp1kP2/4PRRp/2P4P/1Pb4K/8 w - b6,h2g1
r1b2rk1/1p1nqppp/p3p3/8/2P5/1N3BP1/PP3PP1/2RQR1K1 b - -,f8d8
8/1p5p/3nk3/5pp1/Pp1Pp3/2r1P3/5P1P/1R3BK1 w - -,b1b4
1r2q1k1/2n1b1p1/p2p3p/2pPp1r1/2N1Pp2/R4P2/1PPKN1PR/7Q b - -,b8b4
r2q1rk1/2pbbppp/p1np1n2/1p2p3/P3P3/1BNP1N2/1PPB1PPP/R2Q1RK1 b - -,a8b8
1R6/3p3p/6pk/5p2/4P3/P1Q3P1/r3qPKP/8 w - -,c3f3
2qr1rk1/pp2bpp1/2n2np1/2p5/5P2/1PN1PBP1/P1Q3KP/2BR1R2 b - -,c8e6
5k2/p1p2pbp/1p1p2p1/3P1b2/7P/2P1B1P1/PP2KPB1/8 b - -,f8e7
r4rk1/pp1q1pb1/2pp2pp/4P3/P1P5/4PQBP/1P3PP1/R4RK1 b - -,d6e5
1r1b2k1/3b4/3p2p1/1P1P1p1p/2B2P1P/6P1/1Q4K1/8 b - -,b8b6
r6r/ppn1qpkp/2pn2p1/3p4/1P1P2b1/P1N1P3/1Q1NBPPP/R1R3K1 b - -,g4e2
3r4/1pqrnkbp/p2ppnp1/2p5/2P1NP1B/P3PB1P/1PQR2P1/3R2K1 b - -,f6e4
6k1/1p1nppb1/p2p2p1/3P4/5PP1/1Pq1BB2/P2Q1P2/6K1 w - -,d2c3
6k1/p1q2ppp/1p3n2/3Br3/2P5/P4QP1/5P1P/3R2K1 w - -,f3f4
8/p1k5/3b1PN1/3p3N/1p1P4/1Pn5/P2K4/8 b - -,c3a2
8/kpp1Qp1p/p7/2Pp4/PP1P4/5KPP/2q5/3R4 b - -,c2d1
2q1r1k1/1p3ppp/p3r3/3p4/2bRP3/B1P3P1/P1Q2P1P/3R2K1 w - -,f2f3
r2q3k/pp3Qb1/2p2n1p/4Bbp1/8/PB3P2/1P4PP/3R2K1 b - -,d8e8
8/6p1/4k2p/6pP/R7/4PP1K/6r1/8 b - -,g2g1
6k1/5p2/2q3p1/4b3/P6P/4Q1P1/5P1K/8 w - -,e3e5
r1q2rk1/pb2ppbp/1pnp1np1/8/4PP2/1NN1BB2/PPPQ2PP/R4RK1 w - -,h2h3
r5k1/1pp1rp2/1b1p4/3Pn1p1/1P2PqPp/P6P/1BR1QPB1/5R1K b - -,f4f6
r1b3k1/p3q1p1/4p2p/4Q3/2B5/8/5PPP/1R4K1 b - -,c8d7
6k1/2p2p2/p1pp2pp/4PP2/2P3P1/6P1/3RQK2/1r5q b - -,h1g1
2r2rk1/1p1bnp1p/p1Pp2p1/2n5/3NPP2/1P5P/P1P1N1B1/1R3RK1 b - -,b7c6
r1b3k1/1p3p1p/2pp2p1/p7/2P1P3/1PN2Pq1/1P1QB3/R3R2K b - -,g3h3
8/r7/5Rp1/1p2k1K1/1B2b1P1/P6P/8/8 b - -,a7d7
8/5k2/p2p4/P2b3p/2rP2pP/2B3K1/1P3RP1/8 b - -,f7e7
8/1p6/p4k2/P2Bp1p1/3nP2b/4B2P/1r3P2/R5K1 w - -,a1a2
8/4p3/3k3p/3p1pp1/Pp1P4/1P1K1PPP/8/8 w - -,d3e3
8/7p/3k2p1/p3r3/2PK2P1/7P/B7/2R5 b - -,e5e2
6k1/3P2p1/1p6/p1ppPr1p/P6P/1P3PK1/8/2R5 b - -,f5f8
1q2r1k1/p2r1pp1/1pbppn1p/8/1PP1P3/2N1QP2/P2R2PP/3R1BK1 b - -,b8a8
