8/8/3rk3/1R2pp2/8/5PK1/8/8 w - -,b5a5
k1r5/p2R4/6p1/N1Pp1p2/3Pn3/3K4/P5P1/5n2 b - -,e4f6
r1bq1rk1/1p1nbppp/p1p1pn2/3pN3/2PPP3/2N3P1/PP3PBP/R1BQ1RK1 b - e3,d5e4
2rq1rk1/pb1n1Npp/1p1bpn2/2p3N1/3P4/3B4/PPP1QPPP/R1B1R1K1 b - -,f8f7
r1kn4/5q2/3pp1pp/1Pp5/2B1P1PP/2Q2P2/PP6/1K1R4 b - -,d8b7
2r3rk/pp3pp1/3qp2p/8/2nP1N2/4PbQ1/P4PPP/R2R2K1 w - -,g3f3
1rbq1rk1/6pp/p1np4/3Nppb1/1pP1P3/3Q1B2/PPN2PPP/R4RK1 b - -,f5f4
2b1r3/4q1kp/r5p1/1Q3p2/p1P5/1N1n1PP1/P5BP/R4RK1 w - -,b3d4
3r4/3Pk3/6p1/p1N1p2p/1pBp3P/P4P2/5KP1/8 w - -,f2e2
4kB1r/p7/1p2BR2/n1p1p3/2P1P3/2Pb2P1/8/6K1 w - -,f8g7
8/5k2/p1qpp3/2p2p2/2P2Pnr/1PB5/P3Q1RP/6K1 w - -,e2d3
8/3n4/5k2/7P/3P2K1/2N5/8/8 b - -,d7f8
r1br2k1/pp2qpbp/n1p2np1/4p3/2P1P3/P1N1BN1P/1P2BPP1/R2QR1K1 w - -,d1c2
5r1k/1r6/1p3pq1/p2N4/P1P1pR1p/1P1bB2P/3Q2P1/6K1 w - -,f4h4
2b5/2n2k1p/5p2/2pP4/2P1Pp2/3B2BP/3K4/8 w - -,g3f4
1k6/1pr5/p7/3pQ3/P3pP2/1q4PK/3R4/8 b - -,b3a4
4k1r1/p1p5/1p1p1R2/1P1P4/P3P1b1/3P2Q1/5K2/3q4 w - -,g3e3
2r3k1/1q3bp1/7p/1P1pp3/8/4PP1P/3QBP2/2R3K1 w - -,c1c8
4rrk1/pbpnq3/1p1p3p/5pp1/2PPpPP1/P1P4P/2Q1P2B/2KR1B1R b - -,f5g4
3r2k1/1p3pp1/p3qn1p/3pNQ2/3R4/1P2P2P/P4PP1/6K1 w - -,f5e6
r1b1k2r/pp1pppbp/2n3p1/q7/2PP4/1PN3P1/PB3PBP/R2QK2R w KQkq -,e1g1
8/p3nk2/3p1pp1/n1p1p2p/2P1P1bP/3P1N2/P3BPP1/1N4K1 w - -,b1c3
8/pB6/1n1pk1n1/2p5/8/2N4P/PP3K2/8 w - -,b7a6
1k1r3r/pp3p2/4qp2/2R1n2p/2Pp1Q2/1P2P3/P2PB1PP/3R2K1 b - -,d4d3
6r1/1pp2p2/2p1k3/p1b1P3/6P1/2P2PB1/PP2K3/1R6 b - -,g8h8
8/6rk/2N5/2p1pQ2/2P1P2p/7q/PBP3p1/6K1 b - -,h3f5
r1b2rk1/pp6/8/3pnp1P/2p3pR/2P5/PP2B1P1/2KR1N2 b - -,c8e6
8/p2rqp1k/1p4p1/4P2p/1P2Q3/P6P/6P1/5RK1 b - -,f7f5
8/6kp/6p1/1PqpQ3/2r1p3/4P3/6PP/3R2K1 b - -,g7g8
8/1p3p2/3kp3/5pP1/1p1r3p/1R5P/1PP1KP2/8 w - -,c2c3
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2NB4/PP2NPPP/R1BQK2R b KQ -,a7a6:b8d7:e7e5:c7c6:b8c6:c7c5
7Q/3qk2p/p1p3p1/2p2b2/2B1r1P1/8/PP5P/5R1K w - -,g4f5
6k1/1N4pp/p1n2r2/2P5/3p4/5R2/PP1K2PP/8 b - -,f6h6
4r1k1/3r2pp/pp3p2/2np4/P2NnP2/2P5/1PB3PP/3R1R1K b - -,g8f7
2r3k1/6p1/p1b2rn1/1p1R2N1/1P5p/4RP2/6PP/5BK1 w - -,d5c5
8/5k2/2R2p2/6p1/6r1/4K3/8/8 b - -,g4f4
8/8/4bk2/4p3/1rN3Pp/1PR1K3/6P1/8 b - -,e6g4
2N1k1r1/1p1n1p1p/r1pBp3/8/1bP5/6P1/P3PPBP/R4RK1 b - -,b4a5
8/4B3/pK6/1p3kp1/1P5p/2P3P1/1P6/5b2 w - -,g3h4
b1r1rqk1/p2n1pbp/1p2p1p1/2p5/2PP4/PP3NP1/1BQ2PBP/2R1R1K1 w - -,c1d1
r2q3r/pp1bb1k1/4p1pR/3pPPn1/PP6/3B1N2/3B1PK1/R2Q4 b - -,e6f5
r1b2rk1/1p1nppbp/p4n2/5qp1/2NB4/N1P2B2/PP3PPP/R2QR1K1 b - -,g5g4
5k2/7p/1p1P1p2/pB2pP2/P3P2P/8/n2K4/8 w - -,d2c2
1r6/8/4pp2/6p1/4B1P1/4P1K1/5P2/4k3 w - -,e4g2
8/8/5p1k/3N1P1p/r6P/4KRP1/2b5/8 b - -,a4a3
r1bqk2r/1p3ppp/p1nppn2/8/2QP4/5N2/PP1NPPPP/R3KB1R w KQkq -,e2e3
r5kr/5pp1/p1QPp2p/3pP1q1/1P6/2P2P2/P4P1P/RN3R1K b - -,g5f4
1r4k1/p4p1p/4r1p1/5q2/2PQ4/1PN3P1/P4PKP/R7 b - -,b8e8
r1br1q2/1p4kp/p1p1p3/Q7/2P2P2/1P4R1/P5PP/R6K b - -,g7f7
2k4r/ppp2ppp/3rb3/4q3/2P5/2PBPR2/P1Q3PP/1R4K1 b - -,c7c5
r5k1/8/5R2/4KN2/2p3p1/8/8/8 w - -,e5f4
1r1q1rk1/2p1bppp/p2p1n2/n3p3/Pp2P3/2PP1b1P/1PBN1PP1/R1BQR1K1 w - -,d1f3
2r2rk1/p2q1pb1/1p1nb1p1/3p2Pp/3P3P/1NN1P1Q1/PP1B2K1/4RR2 b - -,d6f5
8/pp6/2p1k1n1/2Pp2p1/PP1B3p/2P3PP/5P2/4K3 w - -,e1e2
r4rk1/qp1b1pbp/p1n2np1/4p3/P1B2P2/2N1PN1P/1P1BQ1PK/2R2R2 w - e6,g2g3
q4rk1/3n2b1/r3pn1p/2pp2p1/4P3/1QN2NPP/PP1B1PK1/R3R3 w - -,e4d5
qr4k1/2p1ppbp/2p3p1/3nN3/r2P4/P5P1/1BQ1PP1P/R4RK1 b - -,g7e5
1r4k1/6b1/R2p2pp/1bpPp3/1p2P3/1P1PB2P/4K1B1/5R2 b - -,b5a6
r4rk1/4bpp1/1q1p1n2/pp1Pp2p/5P2/1N1B4/PPPQ2PP/1K1RR3 b - -,a5a4
1rb2rk1/p2qnppp/1pn1p3/2p5/Q7/P1NP1NP1/1P2PPBP/2R2RK1 b - -,e7d5
2rq1rk1/1pp2ppp/pnb1pn2/8/3PP3/3Q1NP1/PP1N1PBP/2RR2K1 b - e3,c6b5
r1b2rk1/ppp1qppp/2np1n2/1B2p1B1/4P3/2PP1N1P/P1P2PP1/R2Q1RK1 b - -,c6d8
2r2Nk1/1p3ppp/p4n2/4p3/1b2P3/4B1PP/1PP2PB1/R2q2K1 w - -,a1d1
r4rk1/pp4pp/4Pp2/3pnP2/3q1B2/7Q/PP5P/4RR1K w - -,h3g3
r3r1k1/p4ppp/2pbn2n/3p1N2/N2P3q/P3PQ1P/5PP1/R1B2RK1 b - -,h6f5
8/6pp/p3k3/1p1b4/8/P1P2P2/2PK2PP/8 w - -,d2e3
8/6k1/3R3p/3Pn1p1/p7/P5PB/1r5P/7K b - -,e5f3
r1b2rk1/4bpp1/ppqppn1p/8/2P1P2B/1BN5/PP2QPPP/R4RK1 w - -,a1c1
2rq1rk1/1p2bppp/p2pp3/n3P3/b2PQ3/P1P2N2/B4PPP/R1BR2K1 w - -,d1e1
8/5k2/1p3p2/4n3/3N1nP1/2p3KP/5P2/5B2 b - -,f4e6
r1bq1rk1/ppnnppbp/2p3p1/3pP3/2PP4/1PN2N1P/P3BPP1/R1BQ1RK1 b - -,d5c4
r3k2r/pp2qppp/2n2n2/8/1b1Pp3/2N3P1/PPNBQP1P/R4RK1 b kq -,b4c3
r4rk1/p1pbpqb1/1p1p3p/1NnP1p1n/2PN2p1/P3P1B1/1PQ1BPPP/2KR3R w - -,g3h4
r1bqr1k1/ppp2ppp/3p4/8/1bP5/4P1P1/PB1P1PBP/R2QK2R b KQ -,c7c6
r1b1k2r/pppn1pp1/3bpq1p/8/3P4/3B1N2/PPP2PPP/R1BQ1RK1 w kq -,c2c4
r2q1rk1/2nb1pbp/pp1p1np1/2pP3P/P1P3P1/2N1B3/1P1NBP2/R2QK2R b KQ -,a8b8
rn1q1rk1/pb2ppbp/1p1p1np1/8/2PNP3/2N1BP2/PP2B1PP/R2QK2R w KQ -,e1g1
1k6/5ppp/1p6/8/1brPB3/2p3P1/5P1P/2R3K1 b - -,b4a3
2b1r1k1/1p1q1p1p/2p2Qp1/8/7P/4P1P1/5PB1/R5K1 w - -,a1a8
1q4k1/R7/1nQ1pbp1/1P3r1p/3P4/6P1/1P3P1P/R5K1 w - -,a7a8
3r2r1/p2nk1p1/bpp1pp1p/4P2P/2P2PRB/P1P5/6P1/2KR1B2 b - -,e7f7
r3qr1k/ppn3p1/2p1bb1p/2P1p3/1P2P3/PQ4PN/1B4BP/3R1RK1 w - -,b3f3
