1R6/8/3nk3/1n2N2p/5P2/5K2/7P/8 w - -,b8h8
1r1q1rk1/2p2ppp/1p2p3/2n5/p1P1B3/P3Q1P1/1P2PP1P/R3R1K1 w - -,e3f4
8/p1r2kpp/1p3p2/2n2P2/2bB2P1/2P1P2P/6B1/r3R1K1 w - -,e1a1
5k2/5pp1/1p5p/p7/P1P2r2/3n4/4RNPP/6K1 b - -,d3f2
2r2kr1/p4p2/q3pQpp/p2pP3/3P4/R1P5/3K1PPP/1R6 w - -,b1b4
5k2/p3b2p/4p3/1rp1Pp2/2R2Pp1/1P2B1P1/P3K2P/8 b - -,a7a5
r5k1/ppn1nRqp/2p1p1p1/2PpP3/3P2P1/1P1BB1QP/P5K1/2R5 b - -,g8f7
3n1b1r/pp3kpp/4np2/8/2P3B1/2B5/P2N1PPP/4R1K1 w - -,d2e4
2rq1rk1/pb2bppp/1pnppn2/2p5/4P3/2PP1NP1/PP2QPBP/R1B1RNK1 b - -,b7a6
8/p1k2p2/2nnp1p1/3p2P1/1p1P1P2/2PB2P1/PP1N1K2/8 w - -,g3g4
5k2/5p1p/p3p1p1/2r3P1/7P/5PK1/P7/1R6 b - -,c5a5
1r4k1/4ppb1/3p2p1/2pPn2p/Q1P1P3/3qB1PP/5PB1/2R3K1 w - -,a4c2
r2r2k1/1b2bppp/4p1n1/8/2PB4/P2P2N1/5PPP/1R2RBK1 b - -,d8d4
8/5p1k/5Qp1/1p2P2p/1P3P2/P2q3P/6PK/8 b - -,d3c4
3q2k1/5p2/bp1p2p1/p2P1n2/P1R4p/2N4P/1P1Q1BP1/6K1 b - -,a6c4
3r1r1k/pp3P1p/2p2n2/2P1Nbp1/2B5/8/PP3PPP/3RR1K1 b - -,h8g7
r2q1rk1/1p2b1pp/p1nppn2/P3p3/4P3/2N2N2/1PP2PPP/R1BQ1RK1 w - -,c1e3
r2qbrk1/p6p/2p2p2/2Pp1p2/N2pn3/5P2/PPQN2PP/R3R1K1 b - -,a8b8
2rq1rk1/p4pbp/1pn1b1p1/2pnp3/8/1PNPP1PP/PB1QNPB1/3R1RK1 b - -,d8d7
q1r1k2r/1b1nbp1p/pp1ppp2/8/2PN4/PP1BPP2/1BQ3PP/2RR2K1 b k -,h8g8
r3r1k1/6p1/4p2p/2bn1p1P/p1KP4/5P2/1P3BP1/4R2R w - -,d4c5
r2q1r2/3bppkp/3p2p1/n7/1pN1PP2/1P4PP/P2QB1K1/2R1R3 w - -,c4e3
r2q1rk1/pp2ppbp/2p3p1/3pn3/2PP1P2/1P1QP3/PB4PP/R4RK1 w - -,f4e5
3q1rk1/prp2ppp/4p3/8/2RP1n2/P5P1/4PP1P/3Q1RK1 w - -,g3f4
2r3k1/1pr1bpp1/4p2p/8/p3R3/2P4P/1P3PP1/3R3K w - -,e4a4
8/p1R1k3/4p3/7r/P4p2/2P2K2/8/8 b - -,e7d6
r1b1r2k/1p2q1pp/p3nn2/2p1B3/3P1P2/3BP2P/PPQ3P1/4RRK1 w - -,d4d5
8/8/P7/8/2K5/1P5r/5k2/8 b - -,h3h6
2N5/R2np2p/3pk3/5p2/2P2P1P/2r3P1/8/3K4 w - -,d1d2
3rk2r/4bp2/p3p3/2p2p2/5Pq1/3R2N1/P1P1Q1PP/5R1K w k -,e2e5
6k1/6pp/p4p2/4pR2/8/8/1Pr3PP/3qQK2 b - -,d1d3
rn1q1rk1/pbppbppp/1p2pn2/6B1/2PP4/P1N5/1PQ1PPPP/R3KBNR w KQ -,e2e4
2qr2k1/3R1pp1/pbQ4p/1p2N2P/4Pp2/PP6/1P3PP1/6K1 w - -,g1f1
6k1/1p3pp1/p1q1b2p/8/2PQ4/P3N2P/1P3PP1/6K1 b - -,c6a4
1q2r1k1/5b1p/n2p2p1/2p2p2/2Pp1P2/5B1P/1N1QN1PK/2R5 w - -,c1a1
r4rk1/pb1nq1pp/1p1b4/2ppNp2/3PnP2/1P1BP2R/PB1N2PP/R2Q2K1 w - f6,e5d7
3r1r1k/pp4p1/3b2Q1/5p1n/3q1P2/1B6/PP4PP/R4RNK b - -,h5f4
6k1/4q1pp/r3pp2/3b4/2p3N1/2B4P/1P1QBPP1/6K1 b - -,e7c7
5rk1/p1ppb1pp/1pn1p3/7q/2PP1P2/1PBQP3/P5BP/5RK1 b - -,e7d6
8/6kp/1p2Bpp1/1n1P4/1Q2p2P/6PK/P4q2/8 b - -,f2f1
2q2k2/2p2p2/1p1p2p1/p2P3p/P2P3P/1P1Q2P1/5PK1/8 w - h6,d3c2
r3k2r/pp3p2/q6p/2np3P/1b1R2p1/2N1P1B1/1PQ2PP1/4K2R b Kkq -,a8c8
4nrk1/p4q2/3p4/2p1p2p/2P1Pppb/B1NQ1P2/P1P3PP/1R4K1 b - -,g8h8
1r3rk1/p4ppp/2p5/q2nP3/8/P2Q4/4NPPP/2R2RK1 b - -,d5e7
2r2rk1/6pp/1B1R4/4p1P1/2R1pp1P/PP1nP3/5P2/6K1 b - -,c8c4
1r5r/pP2pp2/1k1p3p/R1n3p1/2P5/5BP1/P4PP1/4K2R w K -,a5b5
8/2n1k3/p1p3K1/2PnBp2/PPB5/5P2/8/8 b - -,d5e3
r1bq1k1r/ppp1n1bp/3p1n2/3PpP2/2P5/2N1BQ2/PP3P1P/R3KBNR b KQ -,e7f5:c8f5
8/7p/3p2pk/1R1Pp3/P2qb2P/6P1/7K/5Q2 b - -,d4d2
2R1q3/5ppk/5n1p/p1Q1pN2/1p2P3/1P3P1P/r5P1/6K1 b - -,e8d7
rnbqkbnr/pp3ppp/4p3/3pP3/1p6/5N2/P1PP1PPP/RNBQKB1R w KQkq -,a2a3:d2d4
2r3k1/5p1p/b3p1p1/3pP3/1p1pnP1P/1P1P1NP1/P2RQ1BK/2q5 w - -,d2d1
r4nk1/1bpn1qp1/5p1p/p2Pp2P/2N1P1P1/B1P5/P4QB1/5RK1 w - -,f1b1
4rk2/1p3p2/8/p2P4/1b2B1R1/6K1/PP6/8 b - -,b4d6
rq2k2r/p1pbb2p/4n1pB/2ppPp2/8/1NPB3Q/PP3PPP/R4RK1 w kq -,c3c4
4B3/3P4/4k1p1/p3P3/P2n1K1P/2N5/2b5/8 b - -,d4c6
rn1qk2r/pp2ppb1/2p1b1pp/3nP3/3P4/1B3N2/PPP3PP/RNBQ1R1K b kq -,a7a5
r1bqk2r/1p3ppp/p1p1pn2/2b5/2P1P3/P1NB4/1P3PPP/R1BQ1RK1 b kq -,e6e5
1rbq1rk1/4ppnp/p2p4/2p2p2/2P1P3/2N3PP/PP4B1/1R1Q1R1K w - -,d1d2
r1bqk1nr/pp3pbp/2p3p1/2p1p3/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq e6,b1a3
5k2/1p1r1q1r/p1p1pBp1/PnPbPp1p/1P3P2/4R2P/2BR2P1/4Q1K1 b - -,d5c4
1r4k1/2qnbppb/7p/3p4/2P3P1/2n2N1P/Q3PPB1/2R2NK1 w - -,c1c3
3nq1k1/3b1p2/2pP2p1/2N1bp1p/8/1P1QP1P1/r5BP/2RR2K1 w - h6,c1c2
8/p1r1bR2/kq3P1p/4P1p1/2pr4/1Pp2Q2/P1P4P/1K3R2 b - -,d4f4
8/7p/4kpp1/1B1p4/nB4P1/7P/5P2/6K1 b - -,a4b6
r1b3R1/p3k2p/1p2pnpb/1N6/2P5/5NK1/PP2B1PP/8 w - -,b5c7
r1b2rk1/p1p1qppp/2p1pn2/8/2pP4/2N3P1/PPQ1PPBP/R3K2R b KQ -,a8b8
6k1/5qp1/3p3p/2p5/1p1pP2P/1P1P2P1/2Q3K1/8 w - -,c2a2
3r2k1/1p1r1ppp/1p1p2b1/pN6/PnPRBPPq/1P2B2P/8/3QR1K1 b - -,b4d3
r1br2k1/1pR2pp1/4q3/2Rp2p1/p2P4/P2QP1P1/1P3PP1/1B4K1 b - -,g7g6
rn3rk1/1bq1bppp/pp1ppn2/8/P2NPP2/2N1BB2/1PP3PP/R2Q1R1K b - -,b8d7
8/5Q2/p5pk/3P3n/3q3p/1P5P/P5BK/5R2 b - -,h5g3
2r3k1/1b4p1/pqn1p1p1/8/3R1P2/7Q/PPP4P/1K4R1 w - -,h3e6
6k1/5ppp/3b4/3n1p2/p2N4/P4KP1/1P1B1P1P/2r5 w - -,d2c1
rn1qkb1r/1p2pppp/2p2n2/p7/P1BP2b1/2N1PN2/1P3PPP/R1BQK2R b KQkq -,e7e6
r1bqk1nr/pp1pppbp/6p1/1B6/3pP3/2N5/PPPP1PPP/R1BQ1RK1 w kq -,c3e2
5r1k/3r1pb1/p1N3bp/8/1P5P/5B2/4RPP1/2R3K1 w - -,e2a2
2r2k2/P4p2/1B4p1/8/1Kp1bP2/2R3P1/8/8 b - -,e4d5
3rr3/pp1bpk1p/4npp1/2qN3P/1PP5/6P1/P3QPB1/3RR1K1 b - -,c5c8
2r5/6pk/1BP5/1n1R1p1p/3pr2P/1P4P1/5PK1/R7 b - -,b5c3
3rk1Rr/p1p2p2/2p4p/2b1P3/2b1NQ2/2PB4/PPK2P1P/R1B1q3 b k -,h8g8
3q2k1/2r2p2/1pPB1bp1/p2Qp2p/4P3/1P3PPB/P3K2P/8 w - a6,a2a4
rnb2rk1/pp2qpbp/2pp1np1/4p3/3PP3/1B3N2/PPPNQPPP/R1B2RK1 w - -,c2c3
rnb2rk1/p1q4p/1ppbpnp1/3p1p2/2PP4/2NBPP2/PPQBN1PP/R4RK1 w - -,h2h3
8/4r1p1/3p3p/1k3P2/p2K2PP/R7/5P2/8 b - -,e7e1
r2qk2r/pp2nppp/2nb4/3p4/3N2b1/5N2/PPP1BPPP/R1BQ1RK1 b kq -,e8g8
