8/4p3/7R/P3bk1p/r7/5p1K/5P1P/4B3 b - -,a4a1
r2r2k1/1p2qppp/2p5/p2pN3/1b1Pn3/1P2P1P1/P1Q2PP1/RR2B1K1 b - -,d8d6
7R/8/b3N3/P5k1/1P4p1/r7/3K4/8 b - -,g5f5
4r3/8/p4k2/8/1P5N/P1pB2P1/2K2b2/8 b - -,f2g3
r5k1/2pb1qp1/p1n1p2p/4R3/2p1Q3/P1B2P1P/1P4PK/2R5 w - -,e5c5
q4rk1/pbrnbppp/1pp2n2/3p4/3P4/1P1N2P1/PB1NPPBP/2RQ1RK1 w - -,d2f3
4r3/8/7P/3k1PP1/1p6/3p1K2/1P1B4/8 b - -,d5e5
1rb1qrk1/p1p3bp/6p1/1NpPp3/2P1P3/6P1/PP2Q3/R3KN1R b KQ -,a7a6
r2q1rk1/pp2bppp/2pp1n2/8/4PBb1/1PNP1N1P/1PP3P1/R2Q1R1K b - -,g4h5
8/p2b4/1p3kpp/3B1p2/2P2P2/6P1/PP1K3P/4r3 w - -,d2e1
r1bqk2r/p1pnbppp/2p5/3pP3/3N4/8/PPP2PPP/RNBQ1RK1 b kq -,d7b8
r2r2k1/1pb2p1p/p1n1b1p1/8/Q3Nq2/2P2N2/PP3PPP/3BRRK1 w - -,g2g3
r1bqr1k1/5p2/pp2nbp1/3p4/3P4/P2BB1PQ/1P2NP2/2RR2K1 w - -,h3g2
1k6/2p5/2N4p/2pPq1pP/4r3/5R2/K5P1/8 b - -,b8c8
4B3/8/1p5p/2b1k3/P2pp3/6rP/2K5/3R4 w - -,e8c6
8/p1p1N2k/2p3Rp/4p2b/2q1p3/P6P/K5Q1/8 w - -,a2a1
k4rr1/pp1q1pp1/4b2p/3pPp1P/n1pP1B1N/P1P2R1R/2P2PP1/2Q3K1 w - -,f4d2
r1bq1rk1/1p2ppbp/p2p1np1/4n3/3NP1P1/2N1BQ1P/PPP2P2/2KR1B1R w - -,f3g2
8/5pp1/4bk2/3p4/2p5/2P1KP1P/3RN1P1/r7 w - -,d2b2
rnbqkb1r/p1p1pppp/1p3n2/3p2B1/3P4/4P3/PPPN1PPP/R2QKBNR b KQkq -,g7g6
r4rk1/pppb2pp/5p2/4b3/5B2/3B4/PPP3PP/4RRK1 w - -,f4e5
r1bqr1k1/bpp2pp1/p1np1n1p/4p3/2B1P3/2PP1N1P/PP3PP1/R1BQRNK1 w - -,c4b3
8/4bpk1/6p1/7p/2r1PP1P/5K2/P4P2/1R6 w - -,b1b7
2Rr2k1/pq2bpp1/1p5p/nP1n4/8/P4PB1/B3QP1P/3R2K1 b - -,b7c8
8/8/7B/3pp3/n1k5/1r6/1pK5/3R4 w - -,h6g7
8/2bk4/8/2BP3p/p3Kp2/7P/P7/8 b - -,c7d6
8/4n3/p2kp1p1/Pp1p2Pp/1P1P1P2/3KB1P1/8/8 b - -,e7f5
1rr3k1/4bppp/p3p3/1pn3P1/5P2/2P1BB2/PPK4P/3R3R w - -,d1d4
1r1q1rk1/1bn1bpp1/3p1n1p/pppP4/4PP2/P1N3P1/1P3NBP/R1BQ1RK1 w - a6,c1e3
4k3/3n3p/1pN1p1p1/pnb2p2/1P3P2/P2KP2P/1B3PB1/8 b - -,a5b4
3r1rk1/1Q1nnppp/4p1b1/3pq3/2PN4/4B3/P4PPP/2R1KB1R b K -,e7f5
rnbq1rk1/ppp1p1bp/5np1/3p1p2/1P1P4/5NP1/P1PNPPBP/R1BQ1RK1 b - -,f6e4
2qrnrk1/1b1nbpp1/pp1pp2p/8/1PPNP3/2N3B1/P1QRBPPP/3R2K1 b - -,e8f6
2R5/8/pp1Br1p1/b3Ppk1/3r4/4RK1P/8/8 b - -,d4h4
2r3k1/3R1p1p/2r1pbp1/p3p3/PpB1P3/1P5P/2P5/5N1K b - -,c6c7:c8c7
2r5/pbr1b2p/1pn2kp1/3Bpp2/4P3/1N2BP2/PPR3PP/2R3K1 w - -,a2a3
8/5p1k/8/6p1/6P1/5K1P/P1q2Q2/8 b - -,c2c6
r3k3/3Rb1pp/p4p2/P1p5/8/2P1BN1P/5PP1/6K1 w - -,d7c7
8/4kppp/1r1p4/pBn1p3/P3P3/2P2PP1/2K4P/3R4 b - -,g7g6
2krq1r1/ppp1b3/2n1p3/4Pn2/1PPpQ3/P4NP1/1B2PPB1/R4RK1 b - -,e8g6
nrbq1bk1/1p3p1p/p2p1np1/2pP2N1/P3N3/3B3P/1PPB1PP1/R3Q1K1 w - -,e4f6
r2qnbk1/1b3p1p/p2p1np1/2pP2N1/2B5/1P2N3/PBQ2PPP/3R2K1 b - -,b7c8
2r3k1/p1r1npbp/1p2p1p1/3pN2n/3P1P2/2PN1PB1/PP4KP/4RR2 b - -,e7f5
2kr3r/1p2qb1p/p3pp2/2bp4/3N1PPQ/2N1P3/PPP5/2KR3R w - -,h1f1
8/2R5/1p1r2kp/p2p1r2/P5R1/1P2P3/4KP2/8 b - -,f5g5
2k3r1/2p2p2/b3p3/2B4p/2P5/P2r4/6RP/4R1K1 b - -,g8g2
8/1p3ppp/3kp3/1B1b4/P6B/5P1P/1bK3P1/8 b - -,b2d4
r3k2r/pb2p1b1/3q2p1/2pNp3/2P1B2p/6P1/PP1Q3P/2R1K2R w Kkq -,d2g5
1rb2rk1/7p/1p1p4/p1pNqp2/2P2R2/QPn1P1P1/P5BP/3R2K1 w - -,d1e1
r1b2rk1/3p3p/4p3/pNp1Ppp1/P1B2n2/2P2P2/5KPP/R6R b - -,c8b7
rr4k1/4n1p1/bq1p3p/1BpPp3/2Q1PpP1/1RN2P2/1P5P/5RK1 w - -,f1a1
4k2r/p4ppp/1p2p3/1bP1P2n/3N4/P2PBP2/7P/2R3K1 b k -,b6c5
r1bqkb1r/pp3ppp/2n1p3/3p4/4PP2/2N5/PPP2QPP/R1B1KB1R w KQkq d6,f1d3
2rrqbk1/p4p2/1pb1p1p1/4P2p/2RP1P2/1P3QP1/PB4KP/2R5 w - -,c4c6
8/8/pk5p/5pp1/PK3P2/6P1/7P/8 w - g6,h2h4
6k1/5p2/p5p1/P1q4p/3b1Q2/7P/5P2/4B1K1 b - -,c5e5
r2q1rk1/pp2bpp1/2pp1nn1/3Pp2p/2P1P1bP/2N1B1P1/PP1NBP2/R2QK2R w KQ h6,e3g5
8/2p4p/ppp1k3/r5p1/2PKP1P1/P2R4/2P4P/8 b - -,a5a4
r1r3k1/5pp1/p1b1p3/2b1N2p/7P/1PN2PP1/1P2K3/R2R4 b - -,c5b4
3r2k1/1prqbp1p/p1n1pnp1/3p4/1P1P4/P2BP2P/4QPP1/1NRRB1K1 b - b3,d8c8
r1b1r1k1/1pq2pbp/2pp1np1/p3n3/P2BP3/2N2NPP/1PPQ1PB1/R3R1K1 w - -,f3e5
rnbqk2r/pp3ppp/1n1bp3/8/8/1BN2N2/PP3PPP/R1BQ1RK1 b kq -,b8c6
4r1k1/4np2/p2q2pp/1p2p3/2p3Q1/2P3RP/Pr3PP1/1B2R1K1 w - -,g3f3
1k1r4/pp3Rbp/2p5/PnN3pP/R2P4/4r3/1P2N1P1/6K1 b - -,g7h8
r1b1rbk1/1pqn1ppp/p1p5/2Pp3n/3Pp3/1PN3PP/P1Q1PPB1/R1BR1NK1 w - -,c1e3
8/2k2p1p/R5r1/P1P1p3/5p1P/2P2P2/4K3/8 w - -,a6a7
4r2k/p6p/p5qP/3p4/3P1P2/1PB5/P7/2KR3R b - -,e8c8
2kr1bnr/ppn3p1/1q3p2/4P3/2BpQBP1/P1N4P/1PP5/2KR3R b - -,f8a3
3B4/2p2p2/1p1kp3/6Pp/b1PK4/P5P1/8/8 b - -,a4d1
rnb1k2r/ppppq1pp/4p3/5p2/2PPn3/5NP1/PPQ1PPBP/RN2K2R b KQkq -,e8g8
r1bq1rk1/1p3ppp/p3pn2/8/1PPb4/P1N5/1BQ2PPP/R3KB1R w KQ -,f1e2
rnbqkb1r/pppp2pp/5n2/4p3/2B1P3/2N5/PPP2PPP/R1BQK1NR b KQkq -,f8b4
8/2r2p2/6p1/1nN3k1/1P5p/1K5P/3R2P1/8 w - -,d2d5
5rrk/1b4qp/p2R1p2/1pn1pB1P/P1p5/2P1Q1N1/1P3PP1/3R2K1 b - -,c5d3
r1b1k2r/pp1nqppn/2p1p2p/8/2BP4/P1N1PN2/1P3PPP/R2QK2R w KQkq -,e1g1
8/8/1b6/4kp2/8/8/4K3/8 b - -,e5f4
r4rk1/p1q1bp1p/1p2p1p1/3b4/3P1N2/P2QB3/5P1P/R3K1R1 b Q -,c7c4
2rr2k1/1p1b1pbp/1q1pp1p1/p6n/Pn1PP3/1BN2N1P/1P1Q1PPB/R3R1K1 w - -,a1c1
1r2k3/1r2b3/p1b1p1p1/2ppPp1p/5P1P/N1P3P1/PP1RR3/1N1K4 b - -,e7d8
8/4k3/8/2nB2Pp/5B2/5P1P/4K3/b7 b - -,c5e6
8/2R5/5p2/p2r3p/1p4pP/1P1k2P1/5P2/5K2 b - -,a5a4
5rn1/1p4pk/p1q1p2p/3p1p2/3P1P2/1P2P3/PB1Q2PP/5RK1 w - -,f1c1
1k1r2n1/1p2q3/p5p1/3pP1p1/3N3r/1P1P2Qp/PBP3bP/2KR2R1 w - -,c1b1
7r/8/4p3/2kb1p2/r1p2Pp1/2K3Pp/1PP1B2P/R2R4 b - -,h8a8
r2qkb1r/pp1n1ppp/2p1pnb1/8/2BP1P2/6N1/PPP1N1PP/R1BQ1RK1 b kq f3,d7b6:f8d6
5q1k/1p5n/3p2pp/p1pPp3/P3PbP1/1PN2Q2/2P1B3/7K w - -,c3b5
