3R4/1p5k/1r1B1K2/8/8/5p1P/6r1/8 w - -,d8d7
1b6/1p6/4p3/2k2p2/6P1/5K1p/7P/5N2 b - -,b7b5
2kr3r/1pp3q1/p1p1p3/P3P1p1/3N1n1p/4Q3/1PP2PPP/R4R1K w - -,d4b3
1r2r1k1/1p1qb1pp/2n2p2/p1N2P2/2Pp2b1/PP1P4/1BN2QBP/1R2R1K1 b - -,e7c5
8/5p2/p4k2/R2P3p/1r2K2P/6P1/P7/8 w - -,e4e3
6k1/4b2p/4b1p1/3pPp2/2pP4/2P1PB2/2Q3P1/qN4K1 w - -,g1f2
1r6/pp1b1pkp/3Np1p1/2bp4/2P2P2/PP1R1P2/7P/5R1K w - -,d6e4
2r2nk1/p2b1ppp/Pp2qn2/3p4/1Q1Pp3/4P3/1P2BPPP/1NR1N1K1 w - -,c1c8
7r/5pkP/6p1/4P3/5P2/3Kp3/8/7R b - -,h8h7
6k1/8/p1p2B2/1r6/3P2N1/2P2bbP/8/R5K1 b - -,a6a5
r1bqkb1r/1pp2ppp/p1np1n2/8/B2pP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,f3d4
4r1k1/3bp2p/1q1p1pp1/2nP4/1pPQ2P1/1P5P/r4P2/1RB1RBK1 b - g3,g6g5
3r1rk1/1b3pp1/pq3B2/6P1/2P1p1Q1/1P4P1/5P2/R5K1 b - -,d8d2
r1bqk2r/pppnppbp/3p1np1/8/8/1P2P1P1/PBPP1PBP/RN1QK1NR w KQkq -,g1e2
5rk1/rp3p2/4p2p/2Pp3N/q2P1pPb/PR5P/1Q3PK1/7R w - -,h5f4
2rqk2r/1b1nbppp/p2pp3/1p6/3NP1P1/4BP2/PPPQB2P/1K1R3R b k -,e8g8
5r1k/6p1/7p/3R1K1P/5P2/6P1/8/8 w - -,f5e6
8/pp4p1/2pbpkNp/7P/4KPP1/2P5/PP6/8 w - -,c3c4
k2q4/p7/2R2pp1/2Qp4/3P3r/1P6/P4P2/1K6 b - -,a8b7
r2qnrkn/3b1ppp/p2p4/2pPpPb1/Pp2P1P1/3N1B2/1PP1N2P/R1BQ2RK w - -,c1g5
kr5r/p1p4q/QnP1p3/1R1n1pp1/1b1P3p/4P1P1/P2B1PBP/2R3K1 w - -,c1c5
r1b1k2r/4ppbp/1qp3p1/p2pP1B1/3P4/2N5/PP1Q1PPP/R4RK1 b kq -,a5a4
2r1r1k1/b2N1pp1/p1p3b1/1q4Pp/1P3Q2/4P2P/P4PB1/2RR2K1 b - -,e8e7
2r5/4k1p1/4rb2/1p1p1p2/1P3P2/4P3/3BRP2/4RK2 w - -,e1c1
8/7k/4prpP/1P1p2p1/Pp6/8/1P3PP1/R5K1 b - -,h7h6
6k1/2n1pp1p/qn1p2p1/2pP4/2P1PP2/2B2N1P/Q5P1/6K1 w - -,a2a6
6k1/r6p/4R3/1p2p3/2pp2P1/1P1P4/2P4P/6K1 w - -,b3c4
4b3/4P2p/4kPp1/4P1P1/1K5P/6B1/6r1/8 w - -,g3e1
r2n1rk1/2pp1pp1/1p5p/p4N2/3PPR2/2PP4/P5PP/5RK1 b - -,g8h7
3rr1k1/1p3qpp/p2nppn1/3b3N/3P4/P1B2P1Q/1P2R1PP/1B2R1K1 b - -,f6f5
r3r1k1/1bq2pbp/pp2pnp1/2n1p3/2P2P2/1P1BN3/PB1NQ1PP/2R2RK1 w - -,f4e5
r4nk1/1p3pbp/2p3p1/8/PP1Bq3/1Q4PP/3R1P2/5BK1 w - -,d4g7
6k1/2R1Bpp1/5n1p/3bpR2/P7/1r4PP/7K/8 w - -,e7f6
q4rk1/pb2bpp1/1p2Pn1p/8/r2B4/5NP1/P3QPBP/2RR2K1 w - -,c1c7
2r3k1/4pp1p/r2p2p1/P1nP4/3NP3/1p3P2/1P2K1PP/RN6 b - -,c5b7
4q1k1/1p4rp/p1p1p3/2Pp1p2/PP1P1Brb/4P2R/2Q2RPP/7K w - -,f2e2
8/p1p2k1p/1p1p4/3P4/2b1N3/2P1KP2/P5rr/4RR2 w - -,f1h1
r1b1r1k1/1p1n1pbp/1q1pp1p1/pP6/2PpPPP1/B2P4/P3N1BP/1R1Q1RK1 w - -,e2g3
r2q1rk1/pp2bpp1/2p1pn1p/3p4/2PP1B2/3Q2P1/PP2PPBP/R3R1K1 w - -,e2e4
5k2/1p2rp2/1bp3p1/p1n4p/P1B4P/1PP1BKP1/5P2/3R4 b - -,f7f6
1r1q1rk1/2pnbppp/p1np4/1p2p2b/4P3/2PP1N1P/PPB2PP1/R1BQRNK1 w - -,f1g3
3qkr2/3rn3/p1pp1ppb/Pp5p/3PPNbP/1B3N2/1KPQ2PB/3R4 w - -,d2e1
2k1r3/1pp2p2/1p1p2qp/5rp1/PP6/2P3QP/5PP1/R4RK1 b - -,e8e5
8/4k1pp/4n3/R7/P5P1/4KP2/7r/8 w - -,a5a7
1bR1R3/k2r4/pp3p2/6p1/4B1P1/P4P2/1P3r2/1K6 b - -,d7d1
r6k/ppq3pp/8/PPp1pb2/2PP1r2/5N1P/3R1RP1/Q5K1 b - -,f5e4
r4rk1/1bqn1ppp/p3p3/1p2b1BQ/3N4/1BP4P/PP3PP1/R3R2K w - -,a1d1
r1b2rk1/pp2bppp/4pn2/1N4B1/P1q5/RQ4P1/1P2PPBP/5RK1 b - -,c4g4
2R5/p7/1rPkp1p1/2b2p1p/2B2P2/4K3/P6P/8 w - -,e3f3
2k3rr/1ppqn2p/pnb1pp2/8/3P4/P2B1P2/1PQ1NBPP/2R2RK1 w - -,g1h1
6k1/1p1r2b1/p1pB1p2/3p1RpR/1P1Pr1p1/2P5/5PK1/8 w - -,d6g3
8/5kpp/1p1p4/p1rPpp2/P1P4P/1P4P1/2R2P2/6K1 b - -,f7f6
8/8/6p1/1r3k1p/5P2/5K2/5B2/8 b - -,b5b3
3R4/4b3/2p3p1/4BkP1/2b2P2/6K1/8/8 w - -,d8e8
3r3Q/p3kr2/8/3q4/1P1P4/8/1PB2PP1/4R1K1 b - -,e7d7
1r1q1rk1/p2bb1pp/1pn2p2/2pn4/2N1Np2/3P2P1/PP1BP1BP/2RQ1RK1 w - -,d2f4
r3k2r/pppn1ppp/1q2b3/3p1P2/4n3/3N1Q2/PPP1N1PP/R3KB1R b KQkq -,d7f6
rnbqkbnr/pp1p1ppp/4p3/2p5/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq -,g8f6
3q1rk1/4bpp1/Np6/3pn1p1/1P6/4P3/4NPPP/Q4RK1 b - -,e7f6
6r1/8/p2Rp1k1/1p2rp2/1P2p2P/P1P3P1/6K1/5R2 b - -,g6f6
1r1q1rk1/1p2npbp/2n1b1p1/p1p1p1B1/2N5/P1NP2P1/1P2PPBP/1R1Q1RK1 b - -,f7f6
r2k4/p1p1bp1p/2p3r1/4p3/1q4bP/2NQB3/PPP3P1/R3K2R b KQ -,d8e8
r4rk1/ppp1q1pp/2np4/5b2/2PNnB2/2PQP3/P3BPPP/R4RK1 b - -,f5g6
3q1r2/4n1bk/3pb2p/4pp2/pBPp4/Pr1P2P1/1P3PBP/1R1QNRK1 b - -,e5e4
r3k2r/pb1pp2p/6p1/3P1p2/2R5/4N3/PP3PPP/4K2R b Kkq -,h8f8
8/p1q1n2r/1p1p4/4nPk1/QPP5/4P1P1/5RBP/5RK1 b - -,c7c4
5Q2/1k5p/p5p1/P1p2p2/1p6/5P1P/6PK/3q4 b - -,d1d7
rnbqkb1r/pppp1p1p/6p1/4P3/2PQn3/5N2/PP3PPP/RNB1KB1R b KQkq -,f8b4
1r6/1brN1pkp/p2Rp1p1/2p5/8/1P3P2/P1P3PP/3R2K1 b - -,b8d8
3r4/p3kp2/2P5/7p/4B1p1/6P1/P4PK1/8 w - -,g2f1
1r3rk1/4qbpp/ppQ2p2/8/Pb1NN3/8/1P3PPP/R2R2K1 w - -,d4f5
2B5/8/4pk1p/p4p2/3b1R1P/6P1/3r1P2/5K2 b - -,f6e5
8/8/4pkp1/4p3/4B1PP/3P3K/5b2/8 b - -,f2e1
r2qr1k1/1pp3pp/1n6/2Bbp3/p3pP2/P2P2P1/1P4BP/2R1QRK1 w - -,d3e4
r1b1k2r/1pqnppbp/p2p1np1/8/3NP1P1/2N1BP2/PPPQ3P/R3KB1R w KQkq -,e1c1
r1bqk1nr/pp1p1pbp/2n1p1p1/2p2P2/2B1P3/2N2N2/PPPP2PP/R1BQK2R b KQkq -,g6f5:g8e7
6k1/2r2p2/p3r1p1/1p2b2p/1B2P3/PP1R4/6PP/1K1R4 w - -,d3d8
3r4/1pqr1p1k/3NbQpp/p1p1P2P/PnP3P1/1P6/7K/3RRB2 b - -,d7d6
4r1k1/5ppp/2b5/p1p5/P4r2/1PQ5/3R2PP/6K1 w - -,d2d6
8/4B3/2k3b1/2p5/3p4/8/3K3P/8 w - -,e7f6
4k2r/1bqpnpp1/4p3/1pp3Q1/4P3/2PP2PN/1P3PB1/R5K1 b k -,e8f8
2rq2k1/5pbp/1p1prnp1/pNn5/P2BPP2/1P3B2/6PP/1R1RQ2K w - -,e4e5
8/8/1pkp1r2/p4b1p/2P1pP1K/1P2R3/3R3P/8 w - -,h4h5
r5k1/3n2p1/3q3p/1N1p4/8/8/3Q2PP/5R1K b - -,d6e5
r1bq1rk1/2p1ppbp/pn1p2p1/4Pn2/3P1B2/R1N2N1P/1PP1BPP1/2QR2K1 b - -,e7e6
