Q5rk/6pp/2Q3n1/8/5p2/5B1P/5q1K/8 w - -,f3g2
4R3/5p1k/2r3p1/7p/1p1b1B1P/1Q1r1qP1/5P2/5RK1 b - -,c6f6
8/1prq1pk1/3pb1p1/PR2p2p/4P2P/2rB2P1/2P2PK1/1R2Q3 b - -,d7c8
r5k1/4pp1p/6p1/P3P3/5P2/1R1R4/P2Bq3/K7 w - -,a1b2
r4rk1/pppb3p/2n1pqpb/3p1p2/2PPn3/1P3NP1/PBQNPPBP/R2R2K1 w - -,d2f1
r2qkb1r/pppn1ppp/2b1pn2/8/8/5NP1/PPQPPPBP/RNB2RK1 b kq -,f8e7
r2q2k1/1p1np1rp/2bp4/p2Nbp2/2P5/1P2BP2/P2QB1PP/2RR2K1 w - -,f3f4
8/5k2/5P2/1p3KP1/8/3B4/5r2/8 w - -,f5e5
1r2n1k1/2q2pp1/R3b2p/1p2Q3/2pBP3/P1N2P2/1P4PP/6K1 b - -,g8h7
8/p7/4k3/3pBp1p/3P4/6K1/PP1b2P1/8 b - -,d2e1
r5k1/1p2Kp2/1P1P2p1/2p1Q1p1/4P2q/5R2/8/8 b - -,f7f5
q4rk1/3bpp1p/3p2p1/1P5r/P2Q4/4N1P1/4PP1P/2R1R1K1 w - -,c1c7
r4r1k/pp3qp1/2pp4/4pPn1/2P1P3/2N5/PP2Q3/3R1RK1 w - -,e2h2
r2q1rk1/pb3ppp/1p2pn2/2np4/2P5/PPQ1PN2/1B3PPP/3RKB1R b K -,d8e7
6k1/5pb1/3p2pp/2pP4/P2qRP2/1rNr2P1/6QK/BN6 b - -,d4f6
2b1rn1k/r5p1/p4q2/1pp1nP2/4BR1P/2B1P3/PP4P1/1Q2R1K1 w - -,b1d1
r2qk2r/pp3pbp/4b1p1/3p4/1Q1P4/6P1/PP3PBP/R1B1K2R w KQkq -,c1e3
5k2/4n3/Q1p3p1/5pP1/5P2/p5r1/Kb6/8 w - -,a6c4
1k5q/1pr1pp2/p2p1n1r/3P1BQ1/2P4P/1P6/P7/1K2R2R b - -,h6h5
r1bk1b1r/pppn1ppp/5n2/4p3/2B1PP2/2N5/PPP3PP/R1B1K1NR b KQ -,f8b4
3n4/pp1N3R/1k2p3/3p4/3P1r1p/P1K5/1P6/8 b - -,b6b5
6k1/2b2p2/1p2p3/4q1P1/1P2B3/P3Q1NP/6NK/8 w - -,h3h4
4NR2/7k/pp5p/2nB3P/3b4/P1pn2B1/6PK/3r4 b - -,d4g1
6k1/5R2/p2p4/8/Pp6/1P2r3/2r2R1P/6K1 w - -,f7f3
r1bq1rk1/pppp1ppp/2n2n2/4p3/2B1P3/2PP1N2/P1P2PPP/R1BQ1RK1 b - -,d7d6
rn1qkb1r/pbpppp1p/1p3np1/8/3P1B2/4PN2/PPP1BPPP/RN1QK2R b KQkq -,f8g7
8/8/r5p1/P4k1p/R2p1P2/5K2/6P1/8 w - -,a4d4
r1b1k2r/1pqp1pp1/p1n1pn2/2b4p/4P3/1NN3PP/PPP2PB1/R1BQ1RK1 b kq -,c5a7
3q2k1/pp3pp1/2p1pP1p/8/2P5/1PNn2bP/P3Q1B1/B5K1 b - -,d8d4
r1b2rk1/ppq1bppp/2n1pn2/2p5/P1BP4/2N1PN2/1P2QPPP/R1BR2K1 w - -,e3e4
5rk1/p3qppp/1n2p3/3bP3/2R5/5NP1/P3QPBP/R5K1 b - -,d5c4
r4rk1/p1p2p2/bP1p3q/3P1p1p/2nP2p1/2N3P1/RPP2P1P/3QRBK1 b - -,c4d2
5rk1/pq3ppp/1p3n2/3p4/3N4/1Pn1P1P1/3NQP1P/R5K1 w - -,e2a6
1r4k1/p4ppp/8/8/3PB1PP/2K2P2/8/8 b - -,a7a5
2r3k1/5ppp/1B2p3/p7/PpP5/2n2P2/6PP/4R1K1 b - -,c3a4
4r1k1/r2Bbp1p/q4np1/p1p1p3/1pP1P3/3R1PP1/PP1R1B1P/3Q2K1 b - -,e8b8
2R5/4q2p/6pk/6P1/1p1QPP2/7r/8/6K1 b - -,h6h5
r1r3k1/3q1pp1/2pP2p1/1p2p2n/np2P3/1B2BP2/1P3QPP/R2R2K1 w - -,e3c5
3r4/1B3pk1/Qb3np1/3p3p/q4B1P/2P3P1/5P2/3NR1K1 b - -,a4b3
2rqk2r/pb3ppp/1p1ppn2/6B1/2P1n3/P2Q1NP1/1P2PPBP/R4RK1 b k -,e4g5
2r3k1/p4p2/3np1p1/8/3bP3/4NP2/P2B2P1/5K1R w - -,f1e2
1k1r4/ppqn4/2pbBp2/6p1/P2pPP1r/5Q2/NP5P/R1B2RK1 w - -,e6d7
r2qr1k1/1p1n1pbp/p2p1np1/P1pP4/2P2Bb1/2NB1N2/1P3PPP/R2Q1K1R b - -,d7e5
6rk/1p2P1rp/8/3p4/P3b2N/1p5P/1Qp4K/8 w - -,a4a5
r2q1rk1/pbpnb1pp/1p2p3/3p1p2/2PP2n1/1P2PNP1/PB1NQPBP/R4RK1 w - f6,h2h3
1rb5/1p3pkp/p2p1qp1/2p5/P1Pr4/1P4PP/3QPPBK/3RR3 w - -,d2e3
r3k2r/1bq1bppp/2npp3/1pn3P1/3NPP2/2N1B2P/PPPQ4/2KR3R w kq -,d4b5
rn1q1rk1/pbp2ppp/1p1p4/3Pp2n/2P1P3/P4P2/1P1NB1PP/R1BQK2R w KQ -,e1g1
r1r2k2/p4ppp/b7/R7/Pn1p4/4RN2/3N1PPP/3K4 w - -,f3d4
8/3nk2r/2p3R1/p2pP2P/6B1/8/8/6K1 b - -,c6c5
r2q2k1/p3bpp1/4p1p1/3pP3/2r4P/2P2NRQ/P4PP1/5RK1 w - -,f3g5
2rrq1k1/pb2bppp/1pN1p3/8/3p4/1P2P1PP/PB2QPB1/2RR2K1 b - -,b7c6
8/8/2q5/4kp2/3R4/4P3/5P2/6K1 b - -,c6c3
r4rk1/1bqn1ppp/5n2/p3p1N1/1pPP4/3BP3/3B1PPP/RQR3K1 b - -,h7h6
1r1qr1k1/3n1pbp/pP1p1np1/2pP4/4PP2/2N2B1P/1P4P1/R1BQR1K1 b - -,b8b6
8/pq2rpbk/6p1/R3N2p/2P4P/1r4P1/1P3P2/3QR1K1 b - -,b3b2
n1r1q1k1/3b1rbp/3p2p1/1pnPppP1/p3P2P/P1N1BP2/1P1NQ1B1/1KRR4 w - b6,c3a2
rn1q1rk1/pbppbppp/1p2pn2/8/2PP4/P1N1PN2/1P3PPP/R1BQKB1R w KQ -,f1e2
r3kb1r/pp3ppp/2n1pn2/2pq1b2/2BP4/N1P1BN2/PP3PPP/R2QK2R b KQkq -,d5e4
r2q1rk1/1ppbb1pp/2n1p3/pP1pP3/8/P2B1N2/2P2PPP/RN1QR1K1 b - -,c6a7
8/2pb4/1p5p/5p2/p1k1pP1P/P1P1P3/2B1K3/8 w - -,e2d2
r4rk1/p4pqp/1pb1pnp1/4N1N1/7Q/2P5/PP3PPP/3R1RK1 b - -,c6b7
r1bq1rk1/ppp2ppp/1bnp1n2/4p1B1/4P3/1BPP1N2/PP3PPP/RN1Q1RK1 b - -,c8e6
2rr2k1/pR5p/2n1bp2/2q3p1/4p3/2P1N1P1/2Q1PP1P/R5K1 w - -,c2e4
r1nqkb1r/p4ppp/2b1p3/1p1pP3/2nP4/P1P2NP1/3N1PBP/R1BQK2R b Kkq -,c8b6
2r2rk1/6pp/4pb2/pp6/np1B4/3P1NP1/1P2PPKP/R4R2 b - -,c8a8
2k4r/p5p1/1pp1p3/2p1PnB1/7p/1PP2P1P/P4KP1/3R4 w - -,g5e3
2bq1rk1/prpnppbp/2p3pB/8/2pPP3/2N3PP/P4PB1/R1QR2K1 b - -,g7h6
7r/1pqk1p2/2pbp1p1/pP5r/3P1p2/P1PQ2PP/5PB1/R4RK1 w - -,c3c4
r3k2r/1p1qbpp1/1np1Bn2/4RbBp/p2P1N1P/2N2P2/PPPQ2P1/2K1R3 b kq -,f5e6
r1b2rk1/2nnq2p/1p2ppp1/2p5/p2PP3/P1NB1N2/1PQ2PPP/2RR2K1 b - -,c5d4
r1bqk2r/pp1nbpp1/2p1pn1p/3p2B1/2PP4/1QN1PN2/PP3PPP/R3KB1R w KQkq -,g5h4
r2qk2r/pp1n1ppp/2pbpn2/3p3b/3P4/1P3NPP/PBPNPPB1/R2Q1RK1 b kq -,e8g8
2r2rk1/p2nqppp/bp2pn2/P2p4/3P4/1PN2NP1/3QPPBP/R1R3K1 b - -,b6b5
r4rk1/4bpp1/p2p1q1p/P1pP4/2Q1P3/8/1P2BPPP/R4RK1 b - -,f8b8
r1r3k1/3qnpp1/pb2pn1p/1p6/3pPBP1/P2P3P/1P1QNPB1/R1R3K1 b - -,c8c1
8/7p/2R3pk/6b1/4ppP1/8/6KP/8 b - -,g5h4
2q3k1/5ppp/b3p3/p3n3/1b2P3/2N1BP2/1P2N1PP/3Q2K1 w - -,d1d4
3q4/1p3pkp/2rnp1p1/p2p4/P2P1QP1/1PP2P1P/8/R3R1K1 w - -,e1c1
5nk1/p4pp1/1p1Qb3/7p/7P/P3B1P1/1q3PBK/8 b - -,b2b5
r3r1k1/1p1qbppp/2p5/p2n4/2Qp4/P2P1BP1/1P1BPP1P/1RR3K1 b - -,d5c7
8/6pk/1p2p2p/3pP2q/3Pp2P/pP1rP1P1/P3QRK1/8 b - -,h5e8
