8/6p1/4pk2/7P/1K3P2/2R3P1/8/6r1 b - -,f6f5
r1bqk2r/5p2/p5pb/2pQn2p/5P2/8/PP2BBPP/2KR2NR b kq -,d8d5
1r3k2/2R2p1p/3P2p1/4p3/3bB1PP/8/1p3PK1/8 w - -,e4b1
1r2r3/5pk1/4n1p1/pppR2p1/2P1P3/2P3NP/P4PP1/3R2K1 w - -,c4b5
2kr3r/1pq2ppp/p1bppnn1/8/4PPP1/PNNBQ2P/1PP5/2KR1R2 b - -,c8b8
r6r/p2kbpp1/2p1p1b1/q3P1Bp/1nBP3P/2N5/1P3PP1/2RQK2R w K -,g5e3
7r/Q7/3pq1pk/2pNp1b1/1p2P1Pp/1P1P1P2/1P4K1/7R w - -,a7b7
r3Rb2/3k1q2/2p2ppp/1p1p4/1PnP1B1P/2N2QP1/2P2PK1/1R6 b - -,d7e8
3q1rk1/2p1bppp/r5b1/p2pPB2/1pnP2P1/2PQBN1P/P4PK1/R3R3 w - -,e1h1
8/8/5k2/p1p2p1p/7P/1P1r2P1/P1R3K1/8 b - -,a5a4
4rrk1/2p2pp1/1p1p2np/nP6/R1P1p3/B1P2NP1/5P1P/R6K w - -,f3d4
8/4k3/p6R/4p3/1P3r2/P7/5KP1/8 w - -,f2g1
7k/4q1np/p2p4/3B1p2/P1PP4/4pQ1P/4N2K/1r6 b - -,b1b2
3n2r1/5p2/4r3/1k1pPpPR/pBpP1P2/1pP5/1K5R/8 b - -,b5c6
r1bqk2r/p3ppbp/1npp1np1/1p6/3PP1P1/2N1BP2/PPPQN2P/R3KB1R w KQkq -,e2g3
3q3k/1p2p1rp/p2pQpp1/2rN2b1/2P1P3/1P5R/P4RPP/6K1 w - -,h3f3
r1bqk2r/pppp1ppp/2n1pn2/8/1bPP4/2N2P2/PP2P1PP/R1BQKBNR w KQkq -,a2a3
r1b3k1/4rppp/n2N4/ppp1n3/1p2P3/P4NP1/1P3PBP/R4RK1 w - -,f3e5
2rqkb1r/pp1b1ppp/2n1pn2/3p4/3p4/PP1BPN2/1BP2PPP/RN1Q1RK1 w k -,e3d4
8/2rn2k1/3q1p1p/R2Pp1p1/Q1P1P3/4P2P/6PK/8 w - -,a5a7
8/8/1p4B1/2p1kpp1/P6p/1P5P/5bP1/7K b - -,e5f4
8/p7/1p6/4kpp1/PPP5/4K3/8/8 w - -,b4b5
q1rr1bk1/1b1n1ppp/4p3/1pp1N1P1/p3P2P/1P1P4/PB3PB1/Q1RR2K1 b - -,a4a3
r1b1nrk1/pp1p1ppp/4p3/2p1P3/q1PP4/P1P2QP1/3B1P1P/R3K1NR w KQ -,g1e2
5r2/kp2q1rp/p1p2pnQ/5RpB/3pP3/P2P2PP/1PP4K/5R2 w - -,h5d1
8/8/p4pp1/3kp2p/PP1b1P2/3NB1P1/2b1K2P/8 w - -,f4e5
6r1/1pqbr1pk/p2p3p/3P1p2/2PBnP2/P3P3/1PQ1B1RP/2K3R1 w - -,e2d3
8/8/2k1Kp2/2p3p1/3b4/1P3P2/2R5/8 b - -,c6b5
r3r1k1/1pp2ppp/p1p2n2/4p3/2N1P3/3Pb2P/PPP2PP1/R4RK1 w - -,c4e3
r4rk1/pp1nqppp/2p1pn2/3bN3/P2P4/4P3/1P1NBPPP/RQ3RK1 b - -,e7b4
2rqrnk1/pp3ppp/2p2b2/3p4/1P1P2b1/2NBP3/P1QN1PPP/R4RK1 w - -,a2a4
r1r2bk1/5pn1/1pp1b1p1/3pP1Pp/Pq5N/2N1PP1P/1PQ3B1/R3R1K1 w - -,f3f4
1r4k1/2q2p1p/Q1p3p1/2Pp2B1/P2bb3/6P1/5PBP/4R1K1 w - -,g2e4
r1b1k2r/1p1q1pp1/p2p4/4nQ2/4P2p/2PBB3/P3N1PP/R4RK1 b kq -,d7f5
r5k1/pp2qpb1/2p2nr1/P3pQ2/4P1p1/1PNR2P1/2P2P1N/3R2K1 b - -,g7h6
8/Pk6/1BpK2p1/2P4p/4b3/6PP/8/8 w - -,h3h4
2r2rk1/4ppbp/1pp3pn/4PP2/1p2B1P1/5N1P/PPP5/R2R2K1 b - -,g6f5
8/8/3k3p/K4BpP/P5P1/4b3/8/8 w - -,a5a6
r1bq1rk1/pp2bppp/1n2pn2/8/3N4/2PB1N2/PP3PPP/R1BQR1K1 b - -,a7a6
r1bq1rk1/pp1nppbp/6p1/3p4/3P4/1Q3NP1/PP2PPBP/R1B2RK1 b - -,e7e6
2r1rbk1/1bqn1ppp/pppp1n2/8/1PPPp2B/P1N1PN1P/2Q1BPP1/2RR2K1 w - -,f3d2
r4r2/2p4k/p1Pp2pp/P2Q4/1PBbp3/2q4P/4RPP1/1R4K1 w - -,b1d1
r1bqk2r/1p2bpp1/2p2n1p/3Pp3/8/1pNPB2P/PPP2PP1/R2QNRK1 b kq -,b3c2
r2q1rk1/1p4b1/p1n1p2p/3pn1p1/8/4N1BP/PPP1BPP1/R2QK2R w KQ -,e1g1
3r2k1/np4p1/4p2p/3p4/pP1P1PP1/P1R1PN2/1qR2bB1/7K b - -,b2b1
r1bq1rk1/1p2npp1/p3p2p/3nN3/2BP4/2N5/PP3PPP/R2Q1RK1 w - -,c4e2
r1b1k2r/1p2p1bp/p2N2p1/6P1/8/7P/PPP1Bn2/R1B1K2R b KQkq -,e7d6
1nbq1rk1/p3bppp/1p2p2n/3pP3/NP1P4/P1rB1N2/1B3PPP/3Q1RK1 w - -,a4c3
rnbqk2r/ppp1p1bp/3p1np1/5p2/2PP4/2N2N2/PPQ1PPPP/R1B1KB1R w KQkq -,e2e4
8/5B2/Pk2p2p/4r2P/2K5/8/8/8 b - -,b6a6
r4r2/5p1k/2Q4p/pp2P1q1/1P3p1p/7P/P1P3P1/1R3R1K b - -,a5b4
4rb1k/1r3pp1/3pq2p/1p3N2/p2PP2P/5Q2/1P4P1/R4R1K w - -,a1e1
4b3/pppk4/3npp2/3p4/3P1PP1/2PB1N2/P1PK4/8 b - -,b7b5
r2q1rk1/4bppp/bnp1pn2/p7/1ppPPB2/5NP1/PPQRNPBP/3R2K1 w - -,f3e5
8/5r2/2K1k3/P3p3/4P3/4B1b1/4R3/8 b - -,g3f4
r1bb1rk1/pp4pp/2pP3q/4P3/2B1p2P/1P2P1P1/PBQN1n2/2KRR3 b - -,c8e6
qrr2bk1/3p1p2/4p1p1/p1P1n2p/3NP2P/B5P1/P1Q1KP2/2RR4 w - -,f2f4
r4rk1/pb4bp/1p2p1p1/1q1p3n/2p2P1B/2P1P3/PPBNQ1PP/1R3RK1 b - -,b5c5
rn1qk2r/1bppbpp1/p3pn1p/1p6/3P3B/3BPN2/PPPN1PPP/R2Q1RK1 b kq -,e8g8
5r1k/1p1b1pb1/1p4pp/8/P2N4/1BR1P1qP/1P4P1/5QK1 w - -,f1f3:f1f2
3r2k1/3r1p1p/2pn2p1/p1p3P1/1pPb1B2/1P1N4/P3PP1P/1R1R1K2 w - -,f4d6
rnb2rk1/pp2qpbp/2pp2pn/4p3/2PPP3/2N2N1P/PP2BPP1/R1BQ1RK1 w - -,f1e1
4r1k1/p4np1/1p2p2p/4n1q1/4Qp2/BBP2P2/P5PP/4R1K1 b - -,e8d8
3q2k1/1pp2ppp/6n1/r1P1nN2/p1Q5/P5PP/1P2PPB1/2R3K1 w - -,c4c3
3r2r1/2pk3p/pb2p1p1/8/8/2B3PP/PP3PK1/3R1R2 b - -,d7c6
8/6r1/3p2B1/2r1kP2/p1p1P2p/2P4P/1P1R4/2K5 w - -,d2f2
8/p3k3/4p1p1/R3R1P1/3n1P2/6K1/2r5/8 w - -,a5a7
r2q1rk1/1p1nb1pp/2p1ppb1/p1p5/P1N1P1P1/1P1P1N1P/1BP1QP2/R3K2R w KQ -,f3d2
rnbq1rk1/pp3pb1/3ppnpp/2pP4/2P1P3/2N1BP2/PP1Q2PP/R3KBNR b KQ -,e6d5
8/p4pk1/6pp/1p2n3/2p5/2P1N1PP/PP1rP3/1R3K2 b - -,g7f6
1r1r2k1/5pbp/p3p1p1/P1p5/1nq5/R3P3/1P1PBPPP/2B2RK1 w - -,e2c4
5r2/2p1kN2/1pn1p1B1/3p4/1P1n1P2/4R1P1/5K2/8 w - -,f7g5
1r6/7p/2p1pk2/p2p2p1/3P4/PPR2P1P/K4P2/8 b - -,b8b6
r2q2k1/1p1n1ppp/2p1rn2/p1bp4/8/1P1PP1PP/P1N2PB1/R1BQ1RK1 b - -,e6e8
8/1p3p2/5kp1/pPn4p/3N3P/4PP2/5K2/8 w - a6,b5a6
5k2/p3pp1p/4b1p1/8/P7/3B4/1r3PPP/R5K1 w - -,d3b5
r1bq1rk1/p3bppp/2p1p1n1/2pp4/4PP2/1PNP1N2/P1P3PP/R1BQ1RK1 w - -,e4e5
1rb2rk1/pp1qppbp/3p1np1/6B1/2P4Q/2N3PP/PP2PPB1/R4RK1 b - -,a7a6
1nr3k1/pp3pbp/3Prnp1/q1p5/2Q5/P1N1B3/1P2BPPP/R2R2K1 w - -,e2f3
1rr3k1/3bbppp/1q2p3/1p2P3/1P1NpP2/2P5/3N2PP/2RQK2R b K -,e7b4
r1b1k2r/ppqn2pp/2pb1n2/3pp3/2PP1B2/4PNPP/PPQ5/RN2KB1R w KQkq -,d4e5
