8/2p5/p1pk3R/r3p3/2K1P3/5P1P/5P2/8 b - -,d6d7
r1k2q1r/1ppb2b1/2npp2p/p5pQ/3PN3/2PB1NP1/PP2RPP1/2K4R b - -,a5a4
6k1/p4pp1/3p4/3P1r2/q4B1P/5B1P/P2Q3K/8 w - -,h2g3
3nk3/1p2bp2/2p4p/p3p3/P3P3/5PN1/1PP3P1/3R2K1 w - -,g3f5
r4rk1/1q1bbppp/p2pp3/4n2Q/1p1NP3/1BP1BP2/PP4PP/2RR2K1 b - -,b4c3
2rq1rk1/3nbpp1/p3pnp1/1p6/2PP1P2/1Q1B3P/PB1N2P1/2R2RK1 b - -,b5c4
r4r2/p2qbpk1/3p2pp/2p1p3/2P5/2N3P1/PP1QPPKP/2RR4 w - -,d2d5
r7/1k4pp/2p1q3/1p4r1/3Bb3/2Q4P/1P3RP1/R6K w - -,a1a8
8/3N2k1/8/7p/4R2K/8/2r5/8 b - -,g7g6
3rr1k1/1bq1npbp/1pn1p1p1/p1p1P3/2Pp1PP1/3P1N2/PPQBR1BP/4RNK1 w - a6,f1g3
5r2/p2R2b1/1p2N1pk/2p2nqp/1n6/7P/P3QBK1/8 w - -,e6g5
r1bqkb1r/pppppppp/5n2/3P4/1nP5/5N2/PP2PPPP/RNBQKB1R b KQkq c3,c7c6
3b4/3B4/6k1/8/P6K/6P1/8/8 w - -,h4g4
rnb2rk1/pp2q1pp/2pbp3/3p1p2/2PPn3/1P1BPN2/PB1N1PPP/R1Q2RK1 w - -,d2b1
r1bq1rk1/2p1bpp1/p1np1n1p/1p2p3/4P3/1BPP1N2/PP1N1PPP/R1BQR1K1 b - -,c8b7:c6a5:f8e8
r1bqk2r/pppnppbp/3p1np1/8/2PPP3/2N3P1/PP3PBP/R1BQK1NR b KQkq e3,e8g8
4r1k1/2R2rpp/p2p3q/3P1p2/P3pP2/1PQ3RP/6P1/6K1 w - -,c3c6
6Q1/2qk1r1p/p2p3p/1p1b1p2/1P3P1B/4P1R1/6P1/6K1 w - -,g8h8
r4rk1/pp3ppp/1qn1bn2/1B1p4/8/4RN1P/PPP2PP1/RN1Q2K1 w - -,b1a3
rn3knr/p2q2pp/1p2p3/3pPpQ1/3p1N2/P7/1PP2PPP/R1B2RK1 b - -,b8c6
8/1p4pk/2p1p1p1/p3q3/4N1Pb/1P2PK1P/P1R5/3R4 w - -,d1b1
r1b4r/ppp2kpp/2n2n2/8/4P3/8/PB1N1PPP/R3K1NR w KQ -,g1f3
8/p1k5/1p4p1/2p4p/2P5/6P1/P3qK1P/8 w - -,f2e2
1rbqk2r/3n1pbp/p3pp2/2p5/Pp1PB3/4PN2/1P2QPPP/R1B2RK1 b k -,e8g8
5rk1/p5pp/8/1P1Q4/P1p1p3/8/1q3PPP/2RR2K1 b - -,g8h8
4r1k1/p2n1p1p/4rnp1/2p2N2/2Np1Q2/Pq1P3P/1P3PP1/R1R3K1 w - -,c4d6
4r1k1/1p1r1pb1/p3p1n1/8/2PN2P1/1P6/PB4K1/3RR3 w - -,d1d2
2r4r/1p1k1p2/pBn1b1Bb/3p3p/8/P4N1P/1PP3P1/1R2R2K w - -,g6d3
r3k1r1/ppb2pp1/q1pn1n1p/3pQ3/P2P4/4B1PB/1P2P2P/RN3RK1 b - -,e8d8
r2q1b1r/pp1knpp1/2p1p3/5bPp/2BP1N1P/5P2/PPPBQ3/R3K2R w KQ -,f4d3
rn1q1rk1/pb2bpp1/1p2p2p/2pp4/2PPn2B/2NBPN2/PP2QPPP/R4RK1 w - -,h4g3
r1bqkb1r/pppp1ppp/6N1/3P4/4n3/2P5/PP3PPP/RNBQKB1R b KQkq -,h7g6
r5k1/1p1r2p1/p1n2p2/2p2q1p/4pP2/PP2P2P/1QP1R1PK/4BR2 w - -,b2c3
r4rk1/pp6/1n3p2/2pq1B1Q/1b1P1P2/6N1/1P4NP/n1B2R1K b - -,f8f7
r5k1/ppq2pbp/3p2p1/4p3/6P1/1N2B3/nKP4Q/3R3R b - -,a2c3
B1bR4/6bk/p5pp/Ppp1q3/8/2P3P1/1PQ4P/6K1 b - -,c8f5
8/2p5/1p6/p5p1/P3K1k1/6b1/1P6/7R b - -,g3f4
r1bb1k2/5pp1/2p1p2p/2PpP3/3P1P2/1RNB2P1/6KP/8 b - f3,f8e8
3n2k1/p3r1q1/2p5/3p4/3P1pP1/P2Q4/2R2P2/3KN3 w - -,e1f3
5rk1/prp2ppp/3qp3/8/2RP1P2/P7/4PP1P/2Q2RK1 b - -,f8b8
2b2rk1/r4ppp/p1Q1p3/2N2n2/2P5/5B2/Pq3PPP/1R3RK1 b - -,b2e5
2rr2k1/1q2bpp1/3pp2p/1p6/2P1n3/BP1RN1PP/4PP2/1QR3K1 w - -,c4b5
8/8/2N1k3/1P1nbp2/5P2/5K2/8/8 w - -,c6e5
r5k1/pp3rbp/3Q2p1/1q2p1B1/4P1P1/5P2/1PP5/1K1R3R w - -,d1d3
8/8/R2K1pk1/6p1/4r1P1/p7/8/8 w - -,a6a3
rr4k1/2nqppbp/3p1np1/2pP4/4P3/2N2PP1/PP1B2NP/1R1Q1RK1 b - -,c7b5
8/4p3/3p4/k2P1p1p/P3PPp1/4K1P1/7P/8 w - -,e4f5
1r1q4/1b1n1pkp/ppp1rnp1/3p4/NQ1P4/1R1BPN2/PP3PPP/3R2K1 b - -,h7h6
r7/3p1n1p/1k2rp2/1Pb2N2/4P3/5PB1/2R3PP/5K2 w - -,f5g7
2r2r2/1p2k2p/p2p2pn/P2Pp3/1P2P2P/5B2/5KP1/R1R5 w - -,f2e3
r5k1/pp1n1ppp/2pb1n2/3p4/3P1P1B/P1NBr3/1PP3PP/R4RK1 w - -,f4f5
rnbqkbnr/pp1p1p1p/6p1/2pP4/8/8/PP2PPPP/RNBQKBNR w KQkq -,b1c3
2k5/2n5/4p2p/1pr5/4R3/5p1B/2P2P1K/8 b - -,c8d7
r2qk2r/pp2n3/2ppPpp1/6p1/8/3BR3/PP2QPPP/4R1K1 w kq -,e2c2
3q1rk1/p1r2pbp/4p1pn/3pPn1P/3P4/1QNBBP2/PP3P2/R3K2R w KQ -,e1e2
3r1rk1/2R5/p7/1p1q1ppN/6n1/P3P2R/1P2QPP1/4K3 b - -,f8f7
8/3n2pp/1p3p2/p3k3/2K2N2/PP2PPPP/8/8 b - -,f6f5
r2k4/pp4R1/2p3np/6q1/3P2P1/1BP1N3/PP1K2P1/7R b - -,a8c8
8/4k1n1/3p2pp/2pP1p2/2Pb1PPB/3K3P/8/3B4 b - -,d4f6
r3r1k1/ppbq1pp1/2p1pn1p/2P2b2/3Pp3/1P3PP1/PB1N2BP/R2Q1RK1 w - -,f3e4
r1bq1rk1/ppp2pbp/3p1np1/2nPp3/2P1P3/2N2N1P/PPQ1BPP1/R1B1R1K1 b - -,a7a5
r1bqk2r/pp3ppp/2nbpn2/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2QK2R b KQkq -,c8d7
1r1q1rk1/2p1nppp/5n2/3P1b2/1p3P2/1B1Q4/1PP1N1PP/R1B2RK1 w - -,d3d1
r2q1rk1/1b2nppp/pn1p4/1ppP4/4PPP1/1P3NNP/P1B5/1RBQ2K1 b - -,e7g6
6r1/8/8/1nkR3p/4PP2/p4KP1/2N5/8 b - -,c5c4
r3r1k1/1p2qpp1/p1p2np1/P2P4/1PB5/3R1P2/3Q2PP/3R2K1 b - -,c6d5
6k1/1p6/5p1p/rP6/5N2/7P/6PK/8 w - -,f4d5
r4rk1/1bqnbppp/pp2pn2/8/P1BP4/1PN2N2/1B2QPPP/2RR2K1 b - -,c7f4
r5k1/bppq1pp1/p1n1rn1p/4p3/3pP3/2PP1N1P/PP1BQPP1/R2R1NK1 b - -,d4c3
8/2b5/p1k1p3/4P3/1PPB4/2P4R/1K6/4r3 b - -,c7e5
rn1qk2r/pp2ppbp/3p1np1/2pP4/4P1b1/2N2N2/PPP1BPPP/R1BQK2R w KQkq -,e1g1
r3k2r/1pqbbppp/p1nppn2/P7/4P3/1NN3P1/1PP2PBP/R1BQ1RK1 b kq -,c6e5
6k1/5Q2/6p1/1P2p3/4qP1p/2K4N/8/8 b - -,g8f7
8/1k6/1p6/p1pQp3/P3P1K1/1P1P4/2Pq4/8 b - -,b7a7
r1b1r1k1/1pp1qppp/2nppn2/p7/2PP4/PPQ2NP1/1B2PP1P/R3KB1R w KQ -,f1g2
3r1rk1/p3qppp/1n1p4/2p1p3/1PP1b3/P1B1P3/3QBPPP/2RR2K1 w - -,f2f3
2R5/1p1r1pk1/p2r2p1/7p/PR1n2P1/4B2P/1P3PK1/8 w - h6,g4h5
8/pp2kp2/2p3pp/3rPP2/6P1/5K2/PP2R2P/8 b - -,g6f5
8/8/3p1k2/2nP2p1/3K2P1/5B2/8/8 w - -,f3e2
