4R3/7p/3b4/4Bp2/2k2Pn1/4r3/3K4/8 b - -,d6e5
rn1r2k1/p1q1bppp/Ppb1p3/2ppP3/2P4P/1P1B1N2/1B1P1PP1/R2QR1K1 w - -,d3b1
r3r3/pp2pk2/2p3p1/8/8/3P2P1/Pb1BPP2/2R2K1R w - -,c1b1
1r4rk/6R1/p4p1n/2pPpP2/2p1B2P/5P2/P5RK/8 w - -,g7c7
r4rk1/1pp2pp1/p6p/4pNn1/4P3/1P1P3P/1PP3P1/R4RK1 w - -,f5e7
8/6k1/5Rp1/6P1/5P2/6K1/8/5r2 b - -,f1a1
bqr1r1k1/5pb1/pp1ppnpp/8/PPPP4/1BNQ1NP1/4RPP1/4R1K1 b - -,a8b7
r2qr1k1/p4pp1/1pb1n2p/3P4/8/2N5/PP1R1PPP/3QKB1R b K -,e6f4
8/8/1P4nk/R7/P7/r6p/5K2/8 b - -,a3a2
r1b1qrk1/1p4pp/5n2/p1Npn3/8/5NP1/PP2BPP1/R2Q1RK1 w - -,f3e5
8/1p3rkp/2p3p1/p3R3/P1N5/1Pn2PPP/2P2K2/8 b - -,b7b5
2kr3r/ppq3p1/2p1Rn2/7p/8/3B2P1/PPP1QPP1/R5K1 b - -,h5h4
r1b1kbnr/pp4pp/1qn1p3/3pp3/2pP4/P1P2N2/1P1NBPPP/R1BQK2R w KQkq -,f3e5:d4e5
3R4/1p2r3/p1p2kp1/2P1np2/1P2p3/P3P1PP/4B3/5K2 w - -,f1f2
7r/3b1kp1/4ppp1/pp1pP3/2rB1P2/P1P3P1/2PR3P/1R4K1 b - -,h8c8
1qr1r1k1/1b1nbppp/pp1ppn2/8/1PPNP3/P1N2P2/3Q1BPP/2RR1BK1 w - -,c3a4
8/pn6/1p1kp1p1/1P4P1/P3PP1p/3K4/5BP1/8 w - -,d3c4
r1q2rk1/pb1nbppp/1p1ppn2/2p5/5P2/1P1PPNP1/PBPNQ1BP/R4RK1 b - -,b7c6
8/1p3Q2/2k1p3/8/8/1P3P2/2P2P2/q2K4 w - -,d1e2
2r2k2/ppr2ppp/4p3/3B4/8/2R2P2/PP4PP/2R1K3 b - -,c7c3
rnbq1rk1/pp1pppbp/5np1/2p5/2PP4/2N3P1/PP2PPBP/R1BQK1NR w KQ c6,g1f3:d4d5
r2q1r2/p4pbk/bpn1p1pp/3pPn2/2pP3P/N1P1BNP1/PP1Q1PB1/R2R2K1 w - -,e3f4
r3k2r/p2b1ppp/8/b1Bpp3/1Np1n3/P7/4PPPP/RN2KB1R w KQkq -,c5e3
3rr1k1/2pn1ppp/1p2q3/p1n1p3/2P5/PPB1PP2/2Q1BP1P/R5RK b - -,c5b7
6k1/1r1n1p1p/4p3/p1r2p2/RbN5/4N1P1/1P2PP1P/R5K1 w - -,a1d1
2r3k1/1r2b1pp/pq1pp3/1p2p3/1P2P3/3Q4/P1PN1PPP/R4RK1 w - -,a2a4
2r3k1/5p2/p3p1p1/1pN1P2p/1PpP4/P4P2/5KPP/5R2 b - -,c8c6
4qrk1/r2n2b1/p5P1/1ppPp1p1/6B1/2N5/PPQ5/R4RK1 w - -,g4e6
4r1k1/5pp1/7p/2Q5/P6K/1P6/6bP/8 w - -,h4g3
r2qr1k1/1b1nbpp1/pp1p1n1p/3NpP2/2P1P3/1P4P1/P1N2BBP/2RQR1K1 b - -,f6d5
8/8/3kp3/2r2p2/6p1/6P1/R4PK1/8 w - -,a2d2
2r3k1/6p1/1n2pq1p/1Bpp4/4P1Q1/rP6/5PPP/2R2RK1 w - -,e4d5
r1bq1rk1/pp3pbp/2npp1p1/2pN4/3PP3/2P2N1P/PP1Q1PP1/R3KB1R w KQ -,d5e3
8/4kp2/4P3/3B4/1p3NP1/1Pb2K2/8/3b4 w - -,f3g3
2rq1rk1/1b2bppp/p1p1pn2/2n5/Pp2P3/3P1NPP/1PQ2PB1/RNBR2K1 b - -,a6a5
r3r1k1/p3qp1p/1pp1b1p1/4b3/3BP3/2NQ1P2/PP1R2PP/3R2K1 b - -,e5f4
r4rk1/p4p1p/1p4p1/4P1q1/8/R3pb2/PPP3PP/4QR1K w - -,f1f3
3q1r2/2Qnp1kp/3p1pp1/8/3BPP2/8/P4P1P/2R3K1 w - -,g1g2
2b1q1k1/5p1p/pb1p2p1/1p1B4/5P2/1P1N4/P2Q2PP/5K2 w - -,d3f2
8/7p/8/6k1/r5N1/6K1/8/8 w - -,g4f2
1r2r1k1/2qn1ppp/pp2p3/8/P2B1P2/5RP1/1PP3QP/3R3K b - -,b8d8
2b2rk1/5pb1/2p3p1/2q1p2p/1p2P1nP/1Q1B2N1/PP3PP1/R4RK1 b - -,c5e7
1q6/3br1kp/3p1pp1/1rpP4/4PP2/2Q1R1P1/6BP/4R2K b - -,b5b1
r3r1kq/3b1p1p/1p1p2p1/pPpPb1P1/2P5/P2B1N1P/4RPK1/2QR4 w - -,f3e5
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/1B1P1N1P/PPPB1PP1/RN1QR1K1 b - -,a5b3
r1b1k2r/pp2ppbp/1qn3pn/8/2PN4/2B1P3/P3BPPP/RN1Q1RK1 b kq -,e8g8
r7/1bR1bk2/pn2p1pp/np1pPp2/3P1P2/PB1N4/1P2N1PP/2R3K1 w - -,b3a2
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPPB2/2N2N2/PP3PPP/R2QKB1R b KQ -,b8d7
r1bqkb1r/pp2pppp/2n5/8/3PpB2/8/PPP2PPP/RN1QK1NR w KQkq -,g1e2
8/5ppk/3p2np/3Pp3/1q2P3/5NP1/5PKP/2Q5 w - -,c1c2
r1bqr1k1/pp1n1ppp/2pb4/3p4/3Pn3/P2BPN2/1PQ1NPPP/R1B2RK1 w - -,e2g3
r3b1k1/pp4p1/2pPp1q1/3pP2p/5rPP/1PQ1PP1K/P3B3/5R2 w - -,e3f4
5rk1/p3q1p1/bppR3p/4p3/1PP3Q1/4P1B1/P4PPP/R5K1 b - -,e7d6
7k/6b1/2p1p1p1/4P1Pp/1r1Pqr1P/pN3PQ1/P7/2R2RK1 b - -,e4e3
5nrk/p4p1n/1p2rN1Q/3pP3/3P2P1/q4P2/3R3P/5RK1 w - -,g1h1
3r1k2/4n1b1/R6p/2N2p1b/4pP2/2P5/1P5P/4RK2 b - -,h5f7
rn1q1rk1/p1p2pbp/1p2p1p1/4P3/2P5/2B3P1/PP1N1PKP/R2Q1R2 w - -,d1e2
8/3b4/8/K6p/1Pk2B2/7p/7P/8 w - -,f4g3
4rr1k/2qnbppp/pPb1p3/2p5/2P1PP2/5NN1/1P1BQ1PP/4RR1K b - -,c7b6
3b4/5p2/p4p1p/2kN1P2/P1p1P1P1/4K3/7P/8 b - -,d8b6
7k/pp5P/3r4/5K2/4n2p/7R/PP6/8 b - -,e4g3
r1bqk1nr/pp2ppbp/3p2p1/2pP4/2P1P3/2NB4/PP3PPP/R1BQK2R w KQkq -,e1g1
7r/P7/2p5/4p3/1KP5/8/6k1/7R b - -,g2h1
5r2/p2R2b1/1p4pk/2p2nNp/1n6/7P/P3QBK1/8 b - -,h6g5
r1b1k1nr/3pqppp/p1n5/1p2p3/4P3/8/PPP2PPP/RNBQKB1R w KQkq b6,b1c3
8/2nk4/2Np1bp1/3Pp2P/2K1Pp2/3P1P2/5B1P/8 b - -,g6h5
r1b5/2p1bnk1/p1Pp2q1/1p1Pp1p1/1P2P2p/4Q2P/P2B2P1/2N2RNK b - -,g5g4
4r1k1/p1B3p1/2p2np1/1p6/3Pp3/8/PPP2PP1/4R1K1 b - -,f6d5
2r3k1/3n1pbp/p1qp2p1/1p1R1PB1/4B1P1/P5Q1/1PP4P/2K5 b - -,c6c4
8/5k2/4ppn1/4b1p1/6P1/5P2/4BBK1/8 w - -,f2e3
rnb1kb1r/ppp1pppp/3q1n2/8/2B5/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,c7c6
r4k1r/ppq2pp1/4pb1p/2Pn4/QP6/5N2/P2B1PPP/R3K2R w KQ -,a1c1
2rq1rk1/1p3pbp/3p2p1/p1nPp2n/2R1P3/4B2P/PP3PP1/2Q1KBNR w K -,e3c5
r1bq1rk1/1p2ppbp/n1p2np1/p7/P1BP1B2/1QN1PN2/1P3PPP/R4RK1 w - -,f1e1
r3kb1r/pbqp1ppp/1pn1p3/8/3pPP2/3P1NPB/PPP1Q2P/R1B2RK1 b kq -,c6b4
5nk1/p2qppb1/1p4p1/3pP3/r2P3N/r1P3P1/PR1B1PK1/1Q5R w - -,b1c1
rn1q1rk1/pp1b2pp/3b1n2/3ppp2/8/1PN1PN1P/PBQPBPP1/R3K2R w KQ -,c3b5
r6k/p2r4/4pp2/1pP3qp/1p1PP3/2n1NPP1/P2R1Q1P/R5K1 w - -,e3g2
r5k1/1p6/p1np2r1/b3pb2/2P1N2p/1PN1B2P/P4PPK/2R2R2 w - -,g2g4
r2r2k1/p5b1/p1p3pp/5p2/2n1p2P/1PP3PN/4PPB1/2R1R1K1 b - -,c4a5
r2qr1k1/1p4b1/2pnb1np/p2p1pp1/P2P4/1P1NPPP1/4RNBP/2BQ1R1K w - -,c1b2
r4rk1/ppp2p1p/6p1/4b3/4q1P1/3RB1Q1/Pp4P1/3RN1K1 w - -,g3f3
5k2/2R3pp/4p3/4PpP1/8/6P1/r6r/2R3K1 b - -,a2g2
