4R3/8/8/6p1/6kp/5b2/8/2r1BK2 b - -,h4h3
5k2/1b3p1Q/p5p1/1p4P1/3RPP2/2P1n3/PP6/2K2q2 w - -,c1d2
r3k2r/4qpp1/p1b1p3/7p/4NP2/2BB4/2P1Q1PP/5RK1 b kq -,f7f6
8/4B3/8/6p1/5b2/P2k3r/8/4KN2 w - -,e1f2
r3n1k1/pp2Bpbp/q3b1p1/2N1p3/2r4P/2N2P2/PPPQ2P1/2KRR3 b - -,a6c6
3r4/1pkb4/2p1p2p/p4rP1/4NP1P/P3K3/1P6/3R1R2 w - -,e4f6
8/1p1r4/p1pPkb1p/2P1p1p1/PP2K1P1/3R4/1B5P/8 w - -,d3f3
1qr3k1/pp3ppp/4p3/3N4/1Q1R4/2P2b1P/PPB2P1P/6K1 b - -,e6d5
8/p5pk/1pK5/7p/2P2r2/2R5/PP6/8 w - -,b2b4
2k5/2n5/4p1q1/p1QnP3/Pp6/1P3B2/1B3P2/5K2 w - -,f1e2
4r2k/R5b1/p2r2bp/1p4pn/3Nnp2/1P3N1P/1P2BPPB/2R3K1 w - -,d4c6
1q5k/1b3Qpp/8/p3b3/Pp1p4/1B1P2N1/1PPB3P/5K2 b - -,b7c6
r4rk1/2p4p/np1p1qp1/p2Pp1bn/1PP1B3/P1N1BPPb/4Q1NP/1R3RK1 b - -,g5e3
1r3rk1/1p2q1bp/p2p2p1/2p1n3/P1P1BNb1/3PB1P1/1P5P/1R1Q1R1K w - -,d1c2
8/1R2p3/p2bnk2/3B4/2p2P2/4K3/1P6/8 b - -,e6c5
2r1k2r/1b2bppp/p3pn2/1p6/2qpPP2/3N2P1/PPPBQ1BP/R4RK1 w k -,f1c1
r3kb1r/p4ppp/p1p5/4Pb2/P7/4P3/1P3PPP/R1BNK2R b KQkq -,f8b4
rn1qk2r/pp3ppp/2pb1nb1/3p4/3P1B1N/2N1P2P/PP3PP1/R2QKB1R w KQkq -,d1b3
b4rk1/3p1p1p/6p1/q3P3/2p1p3/PnN1Q3/1P4PP/3RR1K1 w - -,c3e4
1r6/p1p1R2p/2pp2pk/5q2/2P2P2/1P6/P3Q1PP/7K w - -,g2g3
rn1r2k1/pp2ppbp/2p1b3/4N1p1/3PP3/4KPP1/PP5P/R4BNR b - -,c6c5
rn1q1rk1/pb2bppp/1p1ppn2/2p5/4P3/3P1NP1/PPPNQPBP/R1B2RK1 w - -,f1e1
8/8/p5k1/1p1Np3/1P2P1K1/P2P4/2b5/8 w - -,g4f3
r1b2rk1/p2p2pp/1pn1pp2/2P1n3/1q1N1B2/4P3/1PQ1BPPP/3R1RK1 w - -,d4c6
4r1k1/pp1n1qnp/3p2p1/2pPbp2/2P2P2/3BB2P/PP1QN1P1/1R4K1 b - f3,e5f6
r1q1k2r/pp3pbp/3p1np1/3Np3/2PB4/1P4P1/P3PPKP/R2Q1R2 w kq e6,d4b2
6k1/6b1/R7/1p1p4/5r2/8/PPP4P/3K4 b - -,g7b2
3r4/1pk2pp1/p2Rp2p/2P1n2q/1P2N3/P2Q2P1/2K2P2/8 w - -,d3d4
r3r1k1/2ppqp1p/1Bp3pQ/4P3/8/P2R4/1P3PPP/2K4R b - -,c7b6
r1bqr1k1/4bpp1/p1p2n1p/3p4/N7/4B1P1/PP2PPBP/2RQ1RK1 b - -,c8d7
2r5/4kpp1/8/p1r1Pb1p/Pp3N2/1P2R1P1/1KP4P/2R5 w - -,c2c4
1q4k1/4bpp1/QNrp1n1p/4p3/8/7P/1P3PP1/R1R3K1 b - -,b8b6
rn1qk1nr/1bp2pbp/p2pp1p1/4P3/Pp1PNP2/3B1N2/1PP3PP/R1BQK2R b KQkq -,a6a5
rr2n1k1/3nppbp/1q1p2p1/1NpP4/P3P3/6P1/1P1NQPKP/R1B4R b - -,b6a6
8/6k1/R7/8/P4K2/1r6/7P/8 w - -,h2h4
3q3k/ppp3pp/2np4/3Np3/1PB1Q1P1/2P4P/P7/6K1 w - -,e4f5
3r2k1/6pp/p3p3/8/1pN1PPn1/1P4Pq/PB2Qb1P/5R1K w - -,f1f2
r3k2r/pppqnppp/4p3/n7/2PP4/P1P1BB1P/5PP1/R2QK2R w KQkq -,d1d3
4r1k1/2p1q1pp/p2p4/2nb4/4P3/R5P1/P5BP/1Q2NK2 b - -,d5e4
2r2r2/pp2bpk1/1qnp2pp/3Bp3/2Q1P3/2P5/PP1R1PPP/3RN1K1 w - -,c4d3
b2r4/3P1kpp/R7/1p6/1P2p3/2p1PpPP/2B2P2/6K1 b - -,a8d5
1k1n3r/rq2bp2/1p2p1p1/2p1P1Np/PpPpNP1P/1P1P1Q2/4R1P1/5RK1 w - -,f3f2
3r1r1k/2p2p2/p3p1pp/4P3/q1N2P1P/2Q5/P3B1P1/5RK1 w - -,h4h5
r3k2r/pppn1ppp/3bp3/8/2BP4/2P2P1P/P1PB1P2/R3K2R b KQkq -,e8c8
2r5/p3n1k1/1p2b3/4p1rP/4P3/P1PPNRp1/P3B1K1/3R4 w - -,d1c1
q1r1rbk1/1b1n1p1p/pp1ppnp1/8/PPP1PP2/1QN1BB2/3N2PP/2R1R1K1 b - -,a6a5
2r1qrk1/3bb1pp/pp2pp2/8/P1R5/1P2PQN1/1B3PPP/2R3K1 w - -,f3b7
2r2rk1/4ppbp/2n3p1/p4b2/1p2n3/2P2N2/PP1BBPPP/RN1R2K1 w - -,f3h4
7k/6p1/1R3b1p/2pr1p2/Pp1P4/1P3K1P/6P1/3R4 w - -,a4a5
7k/2p2pr1/1r1p1q2/p1p1n1p1/Q3P1Pp/1BP2P2/PP1R3P/5R1K b - -,g7g8
r1bqkb1r/p1pp1ppp/2p5/2n1P3/8/3B4/PPP2PPP/RNBQ1RK1 b kq -,d7d6
2r3k1/1b2qpp1/p3p2p/3p4/P1r2PP1/2n1B2P/4N1Q1/2R2RK1 w - -,e2c3
1r4k1/p1p4p/2ppn1p1/4p3/4Pr2/1P3P2/P1P1N1PP/1R3RK1 b - -,f4f7
r1b2rk1/3nppbp/1qpp2p1/p1n5/Pp2PP2/1B1PBN1P/1PP1N1P1/R2Q1R1K w - -,a1b1
r2q1rk1/pp1bbppp/2n1p3/3pP3/3Pn3/4BNP1/PP2QPBP/RN1R2K1 b - -,a8c8
n4R2/6k1/6r1/PP1p3p/3Nbp2/5B1P/7K/5R2 b - -,g7f8
5rk1/2Q2pp1/8/1P1p4/P2q4/6P1/5PK1/R7 w - -,a1c1
5k2/8/3KR1p1/6P1/5r2/8/8/8 w - -,e6g6
8/8/6B1/5p1p/6kP/6P1/1r6/5K2 b - -,b2b3
r1bq1r1k/ppp3bp/6p1/3Bpp2/2Pn1P2/1P4P1/PB1QP2P/RN3RK1 b - -,c7c6
rn2kb1r/ppq2ppp/4pn2/3p1b2/8/1QN2NP1/PP1PPPBP/R1B1K2R w KQkq -,e1g1:d2d3
6r1/1p1bq2k/p6p/P2pP3/4p3/1PQ1P1Pr/5NRP/5R1K w - -,f2h3
8/R7/1Pk5/P3p1p1/3p3p/3P1P2/6K1/1r6 b - -,b1b3
4k3/3bnpb1/3p2p1/rp6/3NPP2/1P2B3/P1R3B1/4K3 w k -,e3d2
3r1k2/6p1/3r1bp1/p1p5/PpB3RP/1R2P1K1/1P3P2/8 w - a6,g4g6
3b4/3k2Q1/3p1pP1/4pP2/2q5/1R6/1PP5/1K6 b - -,d8e7
4r1k1/4rpp1/p2b3p/1p1q4/3pnP2/1N1N1QPK/PP2P2P/2R2R2 w - -,c1c2
2r2rk1/p4ppp/5b2/8/2b1B3/1QN2PP1/1K1P3P/R7 b - -,c4b3
r1bq1rk1/1p2ppbp/p1n2np1/2p5/2PpP3/3P1NPP/PP1N1PB1/R1BQ1RK1 b - -,a8b8
1q2k3/5pp1/7p/1P2n3/1Q6/7P/4BPP1/6K1 w - -,b4e4
8/R3n1p1/3k2p1/4p3/2r1K1PP/P3P3/5P2/8 w - -,e4f3
6k1/5pp1/6p1/8/2P5/2B2P1P/p1n2KP1/8 b - -,a2a1q
6k1/pppr1pbp/4rnp1/4p3/4P3/1NP1BP2/PP4PP/R4RK1 b - -,b7b6
8/5k1p/3b2p1/1p3p2/1P3P2/2P1BP2/5K1P/8 b - -,f7e6
r2qr1k1/1bp2pp1/p4n1p/npbPp3/8/1BPP1N1P/PP3PP1/R1BQRNK1 w - -,b3c2
r2qk2r/pp1n1ppp/2p2n2/2bp4/8/6PP/PP1PPPB1/RNBQ1RK1 w kq -,b1c3
8/2b4p/k3pp2/2p3p1/P1P1P3/5P2/K4NPP/8 w - -,f2g4
8/4k3/6pp/5b2/3p3P/6P1/3K2B1/8 b - -,e7d6
7R/8/1p2r1k1/2p5/K1P5/8/8/8 b - -,e6e1
r1b1k2r/pp3pp1/2np3p/q1p1p3/2PPn3/2PBP3/P4PPP/R1B1QRK1 w kq -,d3e4
