8/8/3R4/4nk2/3K4/5P2/6r1/8 w - -,f3f4
1r5k/6np/p2q4/5p2/P1Bp1N2/4pQ1P/8/7K w - -,h3h4
2r2q2/2r1b1nk/4p2p/1p1pPp1P/pN1P1Pp1/PnP3P1/4N1K1/3RB1QR b - -,b3a5
1r5r/p1p1k1b1/B6p/6p1/1P1P1pb1/2P3B1/P4PPP/4R1K1 b - -,e7d6
2r2n2/4kp1p/bp3np1/p1rNp3/B3P3/P2R1P2/2P1NKPP/2R5 b - -,f6d5
r1bqkb1r/p1p2ppp/2pp4/3nP3/8/3B4/PPP1QPPP/RNB2RK1 b kq -,d8e7
rnbqnrk1/ppp2ppp/3p4/3Pp3/2P1P3/2NB4/PP2NPPP/2RQ1RK1 b - -,g7g6
3r3k/1p1b3p/p4bp1/3N4/2P5/4BN1P/PP1R1PP1/5BK1 b - -,f6g7
4k3/ppb5/8/3p2B1/4n3/1P4PB/P6P/6K1 w - -,g5e3
5k2/5p1p/6p1/2p3P1/2P5/4PK1P/1p1r1P2/1R6 b - -,f8e7
r7/1N3r1p/3k2p1/p5R1/1pP1p2P/1P2N3/P3K3/8 b - -,f7b7
r2q1rk1/pb1nb1pp/1p2p3/3n1p2/3P4/2NB1N1Q/PP3PPP/R1B2RK1 b - -,a8c8
2rr2k1/pb6/1p1q2pp/n2n1p2/2pP1P1N/Q5PP/P4BB1/2R2RK1 w - -,a3d6
2qr2k1/5ppp/p3pn2/1p3b2/3r1B2/2N1Q1PP/PP2PPB1/R5K1 b - -,d4d2
5b1k/Rq6/3p1nr1/4p3/4Pp2/5P2/4KB2/3R4 w - -,a7b7
4r1k1/4qpp1/2pr4/2B3P1/P3p3/4P1nP/1P3QB1/4R1K1 b - -,g3h5
r5k1/4p3/3pPb2/2pP2p1/Pp4K1/1P1B4/8/7R b - -,a8a7
8/8/1b6/5p2/5k2/8/4K3/8 w - -,e2f1
3n3r/ppkbn3/4pr2/3p1pN1/1PpP1P2/P5PB/2PBR1K1/4R3 b - -,h8h6
3r2k1/1q2bpp1/p3pn1p/1p6/2rP1R2/P1N1B1P1/1P1Q1P1P/2R3K1 w - -,d2e2
r2q1rk1/p2np1bp/2p1b1p1/3nPp2/1p1P1B2/1P1QNN2/P3BPPP/R4RK1 w - -,e3d5
2b3k1/b2n2pp/p2Bpp2/8/B1N5/4P3/1P3PPP/6K1 w - -,d6c7
rnb2rk1/pp1p1p1p/5pp1/8/2PP4/8/PP1K1PPP/R4BNR b - -,d7d5
3r1r2/pp2n1k1/4ppb1/1PPp3p/4Pq1B/2Q2B2/3R2PP/3R2K1 w - -,h4g3
8/2K5/4P3/1b6/1k4R1/8/8/3r4 b - -,b4c3
rr4k1/4q1pp/bp1p1p2/2nPP3/p1P1P3/4Q1P1/RP1N2BP/4R1K1 b - -,f6e5
r2q1r2/pb4kp/1p3pp1/2nPp3/4P1N1/6P1/P2Q1PBP/R4RK1 w - -,f2f4
3b4/1p3k2/p2p2pn/P1nP1p2/1BPN1P1P/4K2P/2B5/8 b - -,d8h4
3k4/1p1rn1q1/p2p1p2/3Pp3/8/7Q/PPPB1PP1/R3K3 w Q -,d2a5
r2q1rk1/p2n2pp/Q2npbb1/3p4/3P2P1/1NP5/P2BBP1P/R3NRK1 b - -,d8e7
rn2kb1r/ppq1pppp/5n2/3p4/3P2b1/1QPB4/PP3PPP/RNB1K1NR w KQkq -,c1e3
rr4k1/Pn3ppp/4p3/1P1p4/1b6/5PPP/2N1R2K/R7 b - -,b8c8
8/6k1/4b1p1/1p2p2p/2PqP3/4NQ1P/2P2PPK/8 b - -,e6c4
8/1rr1kppp/1p1q4/pQnPpP2/P1R1P3/6P1/7P/1R3BK1 b - -,b7b8
r2qrnk1/pR1b1n1p/3p2p1/2pPp3/2P1Pp2/P1QB1N2/5PPP/1R1N2K1 b - -,g6g5
2rqkbnr/pp2pppp/2n3b1/1B1pN3/6PP/2N5/PPPP1P2/R1BQK2R b KQk -,f7f6
r5k1/pp1r1pp1/2pqpnp1/8/2PP4/1B1RQ3/PP3PPP/3R2K1 b - -,a8d8
r1bq1rk1/ppp3p1/3p3p/3P1P2/2B1R3/5Q2/PP3P1P/R5K1 w - -,a1e1
2r3k1/r4p2/4p1pp/2p1P3/pp2B3/6P1/2KBPP1P/R7 b - -,c8b8
r2qrbk1/pp3ppp/n2p1n2/2pP1b2/5B2/2NB1N1P/PPPQ1PP1/R4RK1 b - -,f5d3
r1b1r1k1/5ppp/pp1Bp3/4P3/P1q1n3/2N4P/1P3QP1/R2R2K1 w - -,c3e4
r2qkn1r/1p1bnp2/p3p1pp/b2pP3/3P1PP1/PP3NNP/6R1/RBBQ2K1 b kq -,a8c8
8/6r1/5p2/2p1k3/2p1Pb1p/2P2K1R/1P2RP2/8 b - -,f4g5
6rk/pp2pr1q/2npQ3/3N1p1P/3PP3/4B3/1P2K3/6R1 w - -,g1g8
rqb1k1nr/5pb1/n1p1p1p1/p2P3p/PpBP4/2PNBP2/1P1Q1NPP/R4R1K b kq -,e6d5
r4rk1/pb2qppp/1p2pn2/2np4/2P2B2/2Q2NP1/PP2PPBP/3R1RK1 w - -,c3a3
2r1bnk1/5pbp/3qp1p1/p2pN3/1p1P1PP1/1P2P1B1/P3Q1BP/3R2K1 b - -,d6c7
r1r2k2/4nppp/p3p3/1pB5/1P6/P5P1/4PPKP/2R2R2 w - -,f1d1
4k3/7p/p1b3r1/P3pp2/1BP1n1r1/8/1P4PP/3RRBK1 b - c3,f5f4
8/6bP/3k1p2/5B2/3P1P2/2nKN3/8/8 b - -,c3b5
5r1k/3q3p/1p2r3/p2n1p2/2RP2p1/1Q2P3/3B1PPP/2R3K1 w - -,b3d3
8/8/8/6p1/1K3k1p/8/8/6Q1 w - -,g1f2
q5k1/4ppbp/r1p3p1/2PpNb2/3P1P2/1rN5/3Q1PPP/2R1R1K1 w - -,h2h3
2kr3r/pb3p2/2B1p2p/2p1P3/2P3pN/6P1/5P1P/R3R1K1 b - -,b7c6
3r4/1p1r2kp/3p1p1p/p7/n3P2P/PR3BP1/5PK1/3R4 b - -,a4c5
1r4k1/2q2b1p/4p1p1/2pnN1P1/5P1P/1P6/2B2Q2/3R2K1 b - h3,b8b4
2r2bk1/8/p2p3p/2n1n1p1/2qQ4/P1B2P1P/6P1/1R1R3K w - -,d4e3
1r1q1rk1/n2bppbp/2pp1np1/1p6/3P4/1P1N2P1/PB2PPBP/1NRQ1RK1 w - -,b1d2
r1bq1rk1/pp2bppp/2n1pn2/8/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b - -,b7b6
1rb1rk2/2q1b3/2pp1npp/1p2p1p1/3PP3/1BNQ3P/1PP2PPB/3RR1K1 w - -,d3g3
6k1/1b3p1p/2qn2p1/p7/3Q1P2/6PB/4NK1P/8 w - -,f2e3
8/5r2/2p2qp1/p3p1kp/P3P3/2P3P1/1R1Q1P1K/8 b - -,g5g4
8/6kp/p5p1/3p1b2/QPp4P/2P1q1P1/P6K/5R2 b - -,e3e2
r4rk1/4bppp/p3pn2/q1P5/3RbQ2/2p2NP1/P3PPBP/R1B3K1 b - -,e4c6
5nk1/1p2Qpb1/p2p2pp/3P4/P4qP1/r2B3P/P1P5/1K1R3R b - -,a3a2
8/2q3pk/7p/p4p2/2pPp2P/2Q1P1P1/Pr3P2/1K6 w - -,b1b2
4r3/6pp/p2k1p2/bp1n1p2/3P1P2/PB1K1NP1/1PR2P1P/8 b - -,b5b4
r7/P1k2ppp/Rpp1p3/3n3P/3r4/1R3B2/1PP2PP1/4K3 w - -,f3d5
8/p3k2p/6pb/4p3/1P2N3/6P1/r6P/3R3K b - -,a2e2
6rk/b4r2/2npb2p/pp1Nppq1/1P6/P1P1N1P1/2B1QP1P/3R2RK b - -,c6e7
8/4k3/p6r/4K3/4P2p/8/8/7R w - -,h1h3
5r1k/ppN3pp/2np4/6b1/6P1/2B5/PP3PP1/R3r1K1 w - -,a1e1
r2q1rk1/pp1nnpbp/2p1b1p1/3p4/2PPp3/1NN1P1P1/PP3PBP/R1BQ1RK1 w - -,c4d5
6r1/2p5/2Q1k1rp/2p1p3/P4p2/2P2p2/6PP/1R4K1 b - -,e6f5
5k2/1pBq1np1/5pQ1/p1Pp1P2/4r3/8/PPP5/1K5R w - -,c7d6
3r4/pp2bpkp/4pp2/7R/3P4/2N5/PP3PPP/6K1 b - -,d8d4
r5k1/pp4p1/3qb3/3p4/4rP2/1P4K1/P2QB1P1/1R3R2 b - -,a8f8
rnb1kb1r/ppp1q1p1/5n2/6B1/4p3/2N3Q1/PPP3PP/R3KB1R b KQkq -,e7d6
r1b2rk1/1pp2pb1/4n3/p1q1p1p1/P3P3/2P1NNP1/1P3QP1/3RRBK1 b - -,c7c6
r6r/pp3bpp/3R1n2/1kp5/5B2/8/PK3PPP/7R w - -,a2a4
8/8/6p1/6P1/p4P1P/3k2K1/pr6/R7 b - -,d3e4:d3c2
2r1qrkb/1b1n3p/1n2p1pP/ppppPp2/3P1B2/1PP2NP1/P2Q1PN1/1BR1R1K1 b - -,e8e7
8/5nkp/p2r4/5Q2/6P1/7P/5PK1/8 w - -,f5a5
8/7p/2k1n1p1/2Pp1p2/1B3P2/4K1P1/7P/8 w - f6,b4a3
4k3/8/8/6K1/P7/8/7n/8 b - -,e8d7
3rrbk1/1pqn1b1p/2pp1pp1/p1n5/P1P1PP2/1PN2NP1/2Q2BBP/1R2R1K1 b - -,c5a6
