1R6/5K2/4P3/2b2p2/b3kP2/8/4P3/8 b - -,a4d1
rn1q1rk1/1pb3pp/p1p1pnp1/2Pp4/3P1P2/2N1P1P1/PP2B2P/R1BQ1RK1 b - f3,b8d7
4r3/pp3N1k/2p1Bqp1/5P1p/4N3/8/PPP4P/4RR1K w - -,e4f6
rnbqk2r/pp2ppbp/6p1/2p5/7P/2P1PN2/P2P1PP1/R1BQKB1R w KQkq -,h4h5
r2qk2r/1bpnnpb1/p2pp1p1/1p1P2Np/4P2P/2N1BP2/PPPQ2P1/2KR1B1R b kq -,e6d5
r1b2rk1/1pqp1ppp/p1nbpn2/8/P2NP3/2NBB1P1/1PP2P1P/R2Q1RK1 b - a3,d6b4
r2qr1k1/pp3pb1/1n1pb1p1/2n4p/2P2N2/2N1BP2/PP1QB1PP/R4RK1 w - -,b2b3
1r4k1/5pp1/4p2p/3p4/3Pn1N1/7P/1Q3PP1/3R2K1 b - -,b8b2
r2q1rk1/ppp1ppbp/1n4p1/8/3PP3/2P2bPP/P4PB1/R1BQ1RK1 w - -,d1f3
rn1q1rk1/ppp1ppbp/5np1/8/2PP2b1/2N2N2/PP2BPPP/R1BQ1RK1 w - -,c1e3
8/1rp2kb1/3p1nr1/3P3q/1P2pp2/3Q1N2/3B2B1/R1R2KN1 w - -,d3e2
4q2k/p5p1/1b2R2p/8/1P2ppQ1/P1r1P2P/6P1/6BK b - -,e8f7
8/8/8/6Bb/2k5/2pp3P/8/2K5 w - -,g5e3
rnbq1rk1/pp3ppp/1b2pn2/2Pp4/1P6/P1N1P1N1/5PPP/R1BQKB1R b KQ -,b6c7
8/4n3/p1k3p1/2p2p1p/2K2P2/PP3NP1/7P/8 w - -,a3a4
r1q1r1k1/1pp2pp1/3p3p/p7/2P2n2/PPN3Pb/4PP1P/R2QR1KB w - -,d1d4
r2r2k1/pp2ppbp/6p1/4n3/8/P1NnP3/1PRBNPPP/3R2K1 b - -,a8c8
r3r1k1/3n1pbp/2pp1qp1/8/2PPpB2/6P1/4PPBP/1R1Q1RK1 w - -,g2h3
r7/3q1pkp/p2r2p1/R2Bp3/8/8/PPR2PPP/2Q3K1 b - -,d6d5
rnbqk2r/ppp2ppp/1b1p1n2/4p3/NP2P3/P5P1/2PP1PBP/R1BQK1NR w KQkq -,a4b6
r4rk1/pBqn1ppp/3bp3/8/7B/8/PPP2PPP/R2QR1K1 b - -,a8b8
r4r1k/1p1qn1pp/p7/1P1p1p2/P2PnP1b/2N1P3/1Q4BP/2RRB2K b - f3,h4e1
rn2nrk1/pbppqpbp/1p2p1p1/3PP3/2B2P2/2N2NQ1/PPP3PP/R1B2RK1 w - -,c1e3
2kr3r/ppp2p1p/5Np1/5n2/5P2/1P6/PKP3PP/3RR3 b - -,d8d1
3rq1k1/1p1bb1r1/p3p3/2npPp1p/P1pN1B1P/2P1PpP1/RPB5/3QR2K w - -,d4f3
6R1/r7/6p1/5p1p/4p1kP/4K1P1/5P2/8 w - -,g8g6
r1r3k1/5ppp/3qp3/p2n1b2/2BP3N/6P1/P3QPP1/R1R3K1 b - -,f5g6
3k4/8/1p1K3p/pBp5/P1Pb3P/6B1/2b5/8 b - -,c2e4
rn1q1rk1/1p2b1pp/p2ppn2/P3p3/4P3/2N2N2/1PP2PPP/R1BQ1RK1 b - -,b8c6
r1bq1rk1/1p2ppbp/2np2p1/p7/1PPnP3/P1N5/2NBBPPP/1R1Q1RK1 w - -,c2d4
r3kb1r/1pp1qp1p/p2p2p1/4n3/4P3/2P5/PP2QPPP/RNB2RK1 w kq -,c1e3
r1b1k2r/1pq1bppp/p2p1n2/8/4Pp2/2N1B3/PPP1B1PP/R2Q1R1K w kq -,e3f4
8/p1bR4/8/7k/P4P2/8/2rB1PK1/8 b - -,c7b8
6k1/5p2/7p/1r6/8/5BPP/2nB1PK1/8 b - -,b5b6
8/R3p2p/1p3pp1/1r6/1PkP4/4KP2/6PP/8 b - -,e7e5
2rr2k1/p3ppb1/1p4pp/n1n1P3/BR5P/5N2/PB3PP1/R5K1 b - -,c5d3
rnb1kb1r/pp2qppp/2p5/8/P1BP3N/2N1Q3/1P3PPP/R3K2R b KQkq -,e7e3
r3k3/pp2qb2/2p1pn2/3p3p/3P1P1P/2NBQp2/PPP5/2K1R1r1 w q -,e1g1
r3k1nr/pp3ppp/2n5/q2N3b/1b6/5N1P/PP2BPP1/R1BQ1RK1 b kq -,e8c8
4r1k1/pp4Pp/2p2n2/2b5/1P1p1P2/N4KPP/1P2r3/R1BR4 b - -,c5b4
r3qrk1/1pp2p2/3p2pp/p1nPp1b1/2P1P3/1PN5/P2NQPPP/R4RK1 b - -,f7f5
rn1qk2r/pp1n1pp1/1bp3bp/3pP3/3P4/1N4P1/PP3PBP/RNBQ1RK1 b kq -,e8g8
1rb1nrk1/1p1npp1p/p2p2pB/2pP4/2P1P3/N1P2P2/P3B1PP/R3K2R b KQ -,e8g7
r2qkb1r/pp1n1ppp/2b1pn2/2p5/8/P1N2NP1/1P1PPPBP/R1BQ1RK1 w kq -,a1b1
r2qr1k1/pppb1pbp/6p1/3P4/4P3/5N1P/PP3QP1/1B1RR1K1 w - -,e4e5
r1bq1rk1/ppp1npbp/2n3p1/3pp3/4P3/3P1NP1/PPP1QPBP/RNB2RK1 w - -,c1g5
rnbqk2r/pp1p1ppp/4pn2/8/1PP5/2p2P2/1P2P1PP/R1BQKBNR w KQkq -,e2e4
r1b2rk1/pp3ppp/1qpp1n2/4p1B1/BPPnP3/3P4/P2N1PPP/R2Q1RK1 w - -,g5f6
2r3k1/pb2r1pp/1p2p1Q1/2bpB3/3N4/2P1R2P/PP3PP1/2R3K1 b - -,h7g6
r1bk3r/p1p2ppp/5n2/1N1p4/1b6/3B4/PPP1KPPP/R1B4R w - -,c1f4
2r1r1k1/1Q4bp/6p1/4p3/1Pq2P2/3p2P1/P2B2BP/5RK1 b - -,c4d4
1r1q1rk1/4ppb1/1p3np1/2p2bNp/PpPp1P2/3P2PP/1P1BPQB1/R4RK1 b - -,f6h7
r3kb1r/pp3p2/1np1qn1p/6p1/3Pp3/2N1P1N1/PPP1QBPP/R4RK1 w kq -,f2e1
r1b2rk1/pp1nq1pp/2p1p3/3p1p2/2PPn3/1P3NP1/P1N1PPBP/R1Q2RK1 b - -,d5c4
8/8/2b5/8/3k1p2/4b3/4B2K/8 w - -,e2g4
3B4/8/p3kpp1/Pb2p2p/1P1p1P2/6P1/2K4P/8 w - -,d8b6
r2q2k1/pppbnrbp/n2p4/3Pp1p1/1P2Pp2/2NN1P2/P3BBPP/2RQ1RK1 w - -,a2a4
8/2B2pk1/pR2p3/3r2p1/P5Pp/3n3P/5PK1/8 b - -,d5c5
r2q4/pp3pk1/5n1p/1B1Pr1p1/3Q4/2N1n1PR/PP5P/R5K1 b - -,d8d6
r4rk1/p3bppp/4b3/q2p4/8/6P1/PPQ1PPBP/R1B2RK1 b - -,e7f6
4r3/2b1n1pk/1p3p1p/2p1p3/2B1P3/P2R2B1/5PPP/5K2 w - -,d3d7
5B1R/5pp1/p3p1k1/4P3/r1n4p/5K1P/6P1/8 w - -,h8g8
r1bq1rk1/pp1n2bp/4p1p1/3p1p2/3Pn3/1P2PN2/PBQNBPPP/R4RK1 w - -,a1c1
r4rk1/5pBp/p7/3n4/1P4b1/P4N2/q4PP1/2RQ1RK1 b - -,g8g7
r6r/5pp1/1R1p4/p1PPkPP1/3pB3/3Pb3/6Qq/1R3K2 b - -,h2f4
r4rk1/1p1nnpbp/1qp1p1p1/3p4/p2PP3/2P3PP/PP1NQPB1/R1B2RK1 b - -,b6a6
r2q1rk1/1p1nppb1/2p1bnpp/p2p4/P1PP4/1PNBPN1P/5PP1/1RBQ1RK1 w - -,c1a3
rn1qkb1r/ppp1pppp/5n2/3p1b2/8/3P1NP1/PPP1PPBP/RNBQK2R b KQkq -,c7c6:e7e6:h7h6
r1b2rk1/pp4pp/2n1p3/3pP3/5P1q/4B3/PPN1B1PP/R2Q3K w - -,e2d3
2r2rk1/p2b1ppp/1p1b4/2p5/3p4/P2P2P1/1P1BPPBP/1RR3K1 b - -,a7a5
r6r/2kn1pb1/2p1p1pp/1p6/5P2/P3BNP1/1P1R1P1P/R5K1 w - -,a1c1
2rr2k1/4bp1p/b3p1p1/p7/n2B4/P2NPB2/5PPP/3R1RK1 w - -,f1e1
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4P3/2PP1NP1/PP1N1P1P/R1BQKB1R b KQkq -,f8e7
2k2r2/p2r2p1/7p/1p1pP3/4p3/6Pb/PPPB3P/2KRR3 w - -,d2b4
8/5nR1/2pk4/p2p3P/P2RprP1/8/2P5/3K4 b - -,f7e5
r1bqr1k1/p1p2ppp/2pp1n2/6B1/1b2P3/2NB1Q2/PPP2PPP/R4RK1 b - -,a8b8
r2qr1k1/2R2pp1/p6p/2QpP3/bP6/P5P1/3N1PKP/2R5 w - -,f2f4
3rkb1r/p5pp/2p1Bp2/1p1P1P2/4p3/2P1Q1B1/6PP/1b4K1 b k -,c6c5
6r1/1p6/p3k3/4p3/4ppP1/2P5/PP2KPnN/2R5 w - -,f2f3
2r1r1k1/ppqb1pbp/1n4p1/3pP3/3N1P2/2PQB1PP/P7/R3RBK1 w - -,e1c1
r1b1k2r/pp1nbp2/1qn1p1pp/3pP3/Q2P3P/P2B1N2/1P1N1PP1/R1B2K1R b kq -,d7f8
1Q6/6pk/p3p2p/1pp5/8/6PP/qP3P1K/8 w - -,b8e5
3r1rk1/pp1qppbp/1nn3p1/1B6/3P4/2N1BQ2/PP3PPP/R4RK1 w - -,f1d1
8/pp2r1p1/2p4p/4Pk2/Pb3P1P/1r2PK2/1P3N2/3R2R1 w - -,h4h5
