8/P7/8/6p1/3kbbBp/7P/4K3/8 w - -,g4f3
r2qk2r/p1p2p1p/2n1pp2/1p6/2pPP3/P7/1Q3PPP/2KR1B1R w kq -,d4d5
8/1p2kp2/3bp3/p5p1/P1P3P1/1P3K2/3r4/1R2N3 w - -,f3e3
r1rq2k1/3bb2p/3n1pp1/1N1Pp3/PPp1P1P1/4B2P/R1Q1B3/4R1K1 b - -,d7b5
4brk1/1p2q1p1/3p3p/2bPp3/p3N3/P2R1BP1/4QP1P/6K1 b - -,c5d4
4k3/6Q1/p2bpp1P/1p6/4b3/7K/PPP2PP1/3r4 w - -,g7f6
8/8/8/4k3/8/1r6/1P1R1P2/5K2 w - -,f1e2
8/3k4/1p6/1K6/2R5/1PP4r/8/8 b - -,h3h6
r1b1N3/p4kp1/1p1bq3/3N1p1P/3P4/3Q4/PP3P2/1K4RR b - -,e6e8
r4nk1/3nbppp/8/pBBpP3/3P4/5N2/5PPP/2R3K1 b - -,a8c8
4k1r1/5p1p/2q1bp2/1pN1p3/8/4BP2/5rPP/3Q2K1 w - -,g1f2
8/5pp1/3k2p1/8/2NK4/1P6/n5PP/8 b - -,d6e6
6k1/pb3ppp/1p6/4pq2/4n3/1PN1P2P/PQ3PP1/5BK1 w - -,b2c2
r2k3r/pb1npp1p/3p1np1/3P4/2B5/2N2P2/PPPK2PP/3R2NR w - -,d2c1
3Q4/kp6/p7/5p1p/4q3/2P4P/PP6/K2Rr3 w - -,a2a3
6k1/1p2p3/6P1/4b3/pP5P/8/P5R1/3qQK2 b - -,d1f3
2kr1br1/pp1q1R2/2n5/4p3/4N3/1N2PQP1/PPP5/R5K1 b - -,d7d5
1rr3k1/5pbp/4p3/3pPp2/3PN2q/2P1B3/2R1Q1PP/2R4K b - -,h4e4
r4rk1/b4pp1/p2p1qn1/1ppP2p1/4P1P1/1B2B1P1/PP1Q1PK1/R3R3 b - -,g6e5
r2r2k1/1p1n1pbp/p1p2np1/4q3/8/1BN1PQPP/PP3P2/2RRB1K1 w - -,c3e2
1r1q1rk1/2p2ppp/b1n1pb2/p7/1ppPP3/5NP1/PP1QNPBP/2RR2K1 b - -,d8c8
3rk2r/ppb2pp1/3qn1p1/3n4/3p2P1/PN5P/1PQ2PB1/1KBR3R b k -,c7b6
r4r2/1p1n2qk/3p1nbp/p2Pp3/1PN5/P3BP2/4B2P/R2Q1R1K w - -,f1g1
2rr1k2/1b3ppp/1p2p3/pB2P3/Pp1P2PP/4P3/1P6/2R2RK1 b - g3,h7h6
8/5k1p/5pp1/N1n1p3/3nP3/1p2KPPP/1N6/8 w - -,a5c4
3r4/3qnrkp/1pnp2p1/p1pPpp2/8/P2P2P1/1P1NPPBP/1RQR2K1 b - -,c6d4
8/8/5k2/2N3p1/6P1/4KP2/6n1/8 w - -,e3d4
q5k1/8/5Qp1/2N5/6P1/6KP/5P2/6r1 w - -,g3h4
4r1k1/1pp1rp2/5n1p/3P4/8/1N1NP2P/P1q4K/4RQ2 w - -,e1e2
8/8/3K3R/4p3/P3b3/4P1k1/8/7q w - -,h6h1
8/5p2/4p1kp/4q1p1/PPr1P3/2pRQ2P/K1P5/8 w - -,a2b3
8/pp6/4p3/4k1b1/6p1/1PN5/P5r1/1K3R2 w - -,f1e1
r1bqk1nr/pp2bppp/2npp3/2p5/4P3/3P1NP1/PPP2PBP/RNBQK2R w KQkq -,c2c3:e1g1
1rbq1rk1/4ppb1/1pn2np1/p1p3Np/P1Pp1P2/3P2PP/1PNBP1B1/R2Q1RK1 b - -,c6b4
r1bqk2r/1ppnnpbp/p2pp1p1/8/3PP3/3B1N2/PPP2PPP/R1BQRNK1 b kq -,b7b6
r1bq1rk1/p2nbpp1/1p2pn1p/2pp4/2PP3B/1Q1BPN2/PP1N1PPP/2R1K2R w K -,c4d5
R7/p2r1k2/1p5p/2p3p1/P1n2n2/2P2PN1/6P1/4B1K1 w - -,g3e4
r6r/p2k1pp1/2p4p/2BpP3/6b1/2P5/PP3PPP/1R3RK1 w - -,f2f3
1b4k1/p7/1p2pp2/1N2p1p1/4P3/1P5P/1PP3P1/6K1 b - -,g8f7
5rk1/p5p1/2p5/n1P2b1P/4p3/2qBP3/P1P3K1/2BQ1R2 w - -,d3e2
6k1/pp1q2p1/2p1r2p/3pPr2/3PpP2/1Q6/PP2P1KP/2R2R2 w - -,c1c3
8/3b2Qp/3pk3/5p2/2p2P2/2PP2P1/5P1P/1q3BK1 w - -,g7g8
7k/3Q4/3P4/6K1/1P2BN2/4q3/5r2/8 w - -,d7e8
rnb2rk1/pp2ppbp/q1pp1np1/3P4/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,f3d2
4r3/pp1n1pk1/2p2np1/3pb2p/3P3P/2PN1PP1/PP1BRK2/8 w - -,d4e5
r4r1k/ppq5/5npp/5p2/2BQ1N1P/8/PPP3P1/5R1K b - -,a8d8
5b2/7R/P2k4/2p1np2/8/5P2/6PP/6K1 b - -,e5c6
r2qk2r/pp1n1ppp/2pbpn2/3p1b2/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 b kq -,e8g8
2kr1b1r/pp4pp/4p3/3pP3/P1p2B2/1n2PP2/1P4PP/3RKB1R b - -,c8c7
rnb1k1nr/pp1ppp1p/6p1/2q5/4P3/3B1N2/P1PB1PPP/R2QK2R b KQkq -,d7d6
r4rk1/pp3ppp/8/q1p1Pb2/3P4/5N2/PK2Q1PP/3R1B1R b - -,c5d4
rnbqkb1r/p1pp1pp1/1p2pB1p/8/3PP3/5N2/PPP2PPP/RN1QKB1R b KQkq -,d8f6
4rrk1/pp1n1qpR/2p5/3pPpP1/3P4/1N4Q1/PPP5/5RK1 w - -,g5g6
8/p1k5/1n1r1R2/2q1pP1p/8/2P3PP/3p3K/7Q w - -,f6d6
8/2q1r2k/2P3p1/4Np1p/p1QP3P/4P3/K5P1/8 w - -,c4c5
8/1p2r3/p1p2k2/2Pp2p1/1R6/3KPP2/PP6/8 w - -,d3e2
rn2nrk1/1b2qppp/1p6/pPp5/P1P1N3/2Q1P3/1B2BPPP/R3K2R w KQ -,e4g3
2r3k1/5pp1/1pr1pb1p/p2q4/3PR2P/P1B2PP1/1P4K1/2R3Q1 b - h3,c6c4
1r2rk2/3q1pbB/p2p4/2pPnQ1p/P5pP/6P1/3BPP2/1R3RK1 w - -,f5d7
2q4k/6b1/1p6/p3Q1p1/4B1p1/BP6/P4P2/6K1 w - -,e5g5
4r1k1/5ppp/ppr5/4b3/P1P5/4PN2/1PR3PP/3R2K1 b - -,e5f6
2r1r1k1/5p2/p1Np2Pp/Bp1P4/5b2/P7/KPP5/3R4 b - -,f7g6
3rr2k/1p1n1q1p/p3p1p1/3p4/3b1P2/2P1RBPP/PP2Q3/4R1K1 w - -,c3d4
7R/pp2kp2/2p3p1/3rp1P1/2nP1K2/3R4/PP3P2/8 w - -,f4g3
6k1/1p3pp1/p1nr3p/8/1q2pP2/4P3/PP2QRPP/2R3K1 b - -,d6d3
6rk/7p/2p3r1/p3pp2/2P5/PP2q2P/1Q3nPK/1R1R1B2 b - -,e3f4
4rrnk/1p3pbp/1qbpp1p1/p7/P2pPP1Q/1B1P1R2/1PPBN1PP/R6K w - -,f3h3
r2q1rk1/pp2nppp/2p2n2/b2p1b2/3P1N2/P2B4/1PP1NPPP/R1BQ1RK1 w - -,e2g3
3r2rk/p4pp1/7p/1Pp2P2/3p1P1q/2P2Q1R/P7/1B1R1K2 b - -,h4f6
2r3k1/5p1p/3p1qp1/3P2b1/4Q3/4PB2/2N1NK2/7R w - -,e2d4
7r/7P/8/8/5K2/3kp2R/8/8 b - -,d3d2
rnbq1rk1/1p2ppbp/2pp1np1/8/p2PP3/2P2N2/PPB1QPPP/RNB1K2R w KQ -,e1g1
1N6/5pk1/1b4p1/4P2p/Bp3P2/1P1b1KP1/7P/8 w - -,b8d7
r4rk1/pb1nqppp/2pb1n2/1p2p3/3PP3/1P3N2/PB3PPP/RN1QRBK1 w - -,b1d2
4k3/1R6/1b2p1K1/5p2/1r6/8/8/5B2 b - -,f5f4
3R4/r4p1k/5P2/1bNNp2p/pp2Pn2/8/PPP4P/2K5 w - -,d5b4
2r3k1/4p2p/p2pb1p1/qp4P1/1QP1PP1R/2PB2n1/P7/1K1R4 b - -,a5b6
3r2k1/1q1nb1pp/1pr1p3/1P1p4/8/2B1P1P1/3NQP1P/2RR2K1 b - -,c6d6
8/p4k2/8/3b4/4p1PP/2B1K3/5P2/8 b - -,f7g6
b1rr1qk1/1n2bp2/ppnpp1p1/8/PPP1PP2/B5pP/2NRN1B1/1Q1R2K1 w - -,e2g3
2brqr2/1pp2pbk/pP1p1npp/n3p3/P2PP3/2PBBN1P/2N2PP1/2QRR1K1 b - -,e8e7
1r3rk1/3nq1p1/pp2p2p/2p1bp2/P7/1Q1P1NP1/1P1NPPKP/R1R5 b - -,e5f6
5n2/p3qk1p/1pb1pn2/2p2pp1/2P5/P3PP2/1PQ1BNPP/4B1K1 b - -,h7h5
1rb1k2r/2pp3p/2p2bp1/p7/8/1BP5/PP1B1PPP/R3K2R b KQk -,d7d5
1q3r1k/r5pp/5n2/1pP1NP2/3Pb3/5BRP/1R1Q3K/8 b - -,a7e7
8/5k1N/5P2/2p1P3/2P2K1P/8/3n2P1/8 w - -,h7g5
