8/5R2/1r5p/4k1pK/2B5/7P/8/8 w - -,c4d3
r1bqk2r/1p2ppbp/2p2np1/3N2B1/p2P4/P4P2/BPPQN1PP/R3K2R b KQkq -,c6d5
5r2/p1r1pk1p/4bpp1/2q5/4Q3/2P3P1/P3PPBP/R1R3K1 b - -,f8c8
3r2k1/1b2qpp1/pp3n1p/4p3/1PB5/P1R1PN2/4QPPP/6K1 b - -,b6b5
6k1/5pb1/6pp/1N5n/2P5/1b6/5PBP/4B1K1 w - -,c4c5
2R5/p5k1/P6p/1q4p1/3p4/5BP1/5PKP/8 w - -,c8c7
r1bq1rk1/5ppp/2np4/p2Np1b1/1pP1P3/8/PPN1BPPP/R2Q1RK1 w - -,d1d3
7k/pp1q2b1/7p/4n1p1/6P1/PQ3P2/1P4P1/1K2R3 b - -,b7b6
r1qr2k1/4ppbp/1B1p2p1/p2R4/PpP1P3/1P3P2/5QPP/3R2K1 b - -,d8e8
1rr3k1/3R1p1p/2pR2p1/p1P2q2/1pQ5/4P1P1/PP3P1P/2K2B2 w - -,f1h3
rn2kb1r/pp1q1p1p/6p1/8/3QP3/4BN2/P4PPP/R3K2R b KQkq -,d7d4
1r4k1/p4pp1/1r4qp/4pN2/1bP1PnPB/1P2RQ1P/p7/K2R4 b - g3,g8h7
8/4k3/4p2p/8/1p5P/1PnN4/r4P2/2R2K2 b - -,c3d5
8/5pk1/p5p1/1p1pb3/5N1q/n3P3/P2Q1P2/1B3R1K w - -,h1g1
2b3k1/4q1pp/1p2pp2/3n4/r5Q1/P1n1PN2/4BPPP/2B1R1K1 w - -,f3d4
2r3k1/1p1b1pp1/1b5p/p7/2pN1q2/2P4P/PP1NRPP1/2Q4K w - -,d4f3
5nk1/5pp1/2p4p/1p1p2PP/3q1P2/pP5R/P2r4/KBQ5 w - -,c1c3
8/8/3N4/8/5k2/5p1P/r7/4K3 b - -,f3f2
5rk1/1p1bbq1p/3n2r1/p2Pp1p1/P3P3/1PN1BPP1/4B1Q1/2R1R1K1 b - -,h7h5
r1r3k1/1p2qppp/p3p3/1Q1n4/8/1P2P2P/P3NPP1/2R2RK1 w - -,b5a5
r7/1b1q2kp/p1np2p1/1ppN1p2/8/3P2P1/PPPQ1PBP/4R1K1 b - -,a8e8
5rk1/1R3pp1/1p5p/8/7N/4P1P1/r3PK1P/8 b - -,a2b2
5bk1/4rp1p/2Q3p1/4p3/8/3P1KP1/4PP1P/8 b - -,e7e6
8/5Q2/1K4nk/8/r5PP/8/8/8 w - -,g4g5
8/1p1r2kp/pP4p1/8/3q4/1Q3P2/4RKPP/8 w - -,b3e3
r3kb2/3nq2p/p5p1/3Q4/P7/4B1P1/1PP2P1P/R3K2R b KQq -,a8b8
rnbqkb1r/1pp1p1pp/p4n2/5p2/3PPB2/2N5/PPP3PP/R2QKBNR b KQkq -,f5e4
4r1k1/2Q2p1p/3p4/3P2p1/P4P2/1P2B2P/4n1BK/q7 b - f3,a1e1
8/5r1p/1pk1p3/2p2PP1/r2p2KP/1R1P4/8/5R2 w - -,f5f6
r5k1/Pqr1bpp1/R1p4p/3p4/3Pp3/2N4P/RP3PP1/2Q3K1 w - -,c1c2
1r3rk1/3q1pp1/p2b3p/1ppP4/2PpR3/1P1Q1N2/P2P2PP/4R1K1 b - -,f8e8
1r4k1/p3qp1p/1p1Pp1p1/2p5/8/1PQ1P1P1/P4PKP/3R4 b - -,e7d7
r1bqr1k1/1p1nbpp1/p1p2n1p/3pN3/3P1B2/2NBP2P/PPQ2PP1/R3K2R b KQ -,d7f8
4r1k1/5p1p/p2P1qp1/1pn4r/3RPP2/1BP3Q1/P6P/5RK1 w - -,b3d1
r1bq1rk1/pp2bppp/2pp1n2/4p3/2n1P3/P1NP1N1P/1PP2PP1/R1BQR1K1 w - -,d3c4
2r3k1/1p3pp1/3n3p/B4Q2/5b2/P2P3P/1P4B1/4R1K1 b - -,d6f5
8/8/2k2p2/1p1b1rpp/1R5P/3P2P1/4KB2/8 w - b6,b4b1
2bq1rk1/1pp3bp/3p2p1/3Ppp1n/1PPnP3/4BP2/1Q2NNPP/3B1RK1 b - -,d4e2
4rn2/p4kbp/1p4p1/3pBqP1/3P4/4Q3/PPP1bP2/R3K2R w KQ -,f2f4
2r2rk1/1b2ppbp/p2q2p1/3nN3/Bp1P4/5P1P/PP3BP1/2RQR1K1 w - -,c1c5
3r2k1/R4pp1/6n1/1B5p/PB3P2/4P3/6bP/4K3 w - -,b4c5
5r2/5pk1/3p4/3Pn1p1/4P1b1/6PP/1R2N2K/5B2 b - -,g4f3
r4rk1/p3b1pp/3p2b1/4p3/2q4n/1Pp1BPNP/PN4P1/3RR1K1 w - -,b2c4
8/6p1/3n2Pk/3Pp3/1pn1r3/6KQ/8/8 b - -,h6g6
r2q1rk1/pp1bbppp/2B2n2/4p1N1/8/2N5/PPPPQPPP/R1B2RK1 b - -,d7c6
2k5/8/KR6/P7/8/8/8/6b1 b - -,g1f2
6k1/1p1r1pp1/p3bnq1/2Pp3p/1P3Q1P/2N2BP1/P2R1P2/6K1 w - -,a2a4
r2k3r/pbp1pPbn/1pn3pp/3q4/3P4/2PB1N2/PP2Q1PP/RNB2RK1 w - -,d3c4
8/7p/6p1/2Q1P3/5P1P/6PK/pq3k2/8 b - -,f2f1
4b3/6pk/8/R3N1P1/pr6/8/3K4/8 b - -,b4b5
r4r2/pQ4bk/4b1qp/5p2/3Pp3/1N3p1P/PP3PP1/R3RBK1 b - -,a8d8
1r6/1p1b3p/5k2/1P2RprP/1bB3p1/6P1/4RP1N/6K1 b - -,b8c8
5rk1/5pp1/6b1/p1Q5/R5p1/1P5P/P2q1P2/5BK1 w - -,h3g4
8/R4rk1/7p/p3r1p1/1p2B1Pn/7P/PPP5/1K1R4 w - -,a7f7
5rk1/pp1R1pp1/4n2p/3Q4/1r2p3/qPN1P2P/P4PP1/1K5R w - -,h1d1
5rk1/p2Nqppp/1p2p3/2rn4/Q7/2P5/PP2RPPP/R5K1 b - -,c5a5
r3r3/1p3kpp/p1p1pp2/2npP3/3P1P2/P3P2P/1PRK2P1/7R w - -,c2c5
8/3r1p1k/7p/pb1pPp1B/3P4/5R2/6P1/6K1 w - -,f3f5
r1b1k2r/pp3ppp/n3pn2/1N2q3/1b6/8/PPPNBPPP/R1BQK2R b KQkq -,c8d7
r1bq1rk1/pp2ppbp/5np1/2p1n3/2B2P2/2NP4/PPP1Q1PP/R1B1K2R w KQ -,f4e5
5r2/1p3k2/2p2n2/4B3/6R1/Pr4P1/1P2K3/4R3 w - -,e5f6
1nr2r2/4qpkp/n3p1p1/p1p5/P3PPPP/1BN1Q3/1PP5/2KR3R w - -,f4f5
8/1pq2kp1/1p1p3p/2p2n1n/1PP2P2/P2PR2P/1B4BK/5R2 w - -,e3e1
r5k1/5p2/p1b3p1/Pp5p/2p5/2P4P/3N1KP1/2R5 b - -,a8d8
r1bq1rk1/ppp1bpp1/2np1n1p/4p3/4P2B/1BPP1N2/PP1N1PPP/R2QK2R b KQ -,f6h5
8/5k2/1q4p1/3p1p2/pb1P1P2/3QP3/PP5r/1KBR4 w - -,c1d2
8/3b2p1/1p2kp1p/2p1b3/2P1P1P1/3BBK1P/8/8 b - -,d7c6
4kb2/3b1p2/B2pp3/4q1r1/4P3/1N3Q2/P1P3P1/1K1R4 w - -,d1f1
r4rk1/pb2q1pp/1pn1pb2/2pp1p2/3P4/2P1PNP1/PPQN1PBP/2RR2K1 b - -,a8c8
4n3/5k2/1pn1p1p1/p2p3p/3P1PPP/1P2KP2/1P5B/3B4 w - -,d1c2
5R2/p5pk/P6p/8/1Pp1r1P1/3p3P/8/6K1 w - -,f8d8
r1bqkb1r/pp3p1p/2np1np1/2p1p3/4P3/2P2NP1/PP1PQPBP/RNB2RK1 b kq -,f8g7
r2b1r1k/ppqb1pp1/4pn1p/4N3/3P4/P1PB3Q/3B1PPP/R3R1K1 b - -,f6g8
8/r4kpp/p1R5/4p3/P7/6PP/5PK1/8 b - a3,a6a5
r5k1/1bpp2bp/1pn1p1p1/p7/2PPP3/3BB3/PP2N1PP/4R1K1 w - a6,e4e5
4r1k1/1p3ppp/1bpn4/4N3/1P2P3/5P2/1B2K1PP/R7 b - -,f7f5
r1bqkbnr/pp3ppp/2n1p3/3p4/3PP3/5N2/PP3PPP/RNBQKB1R w KQkq d6,e4e5:e4d5
4r1k1/p1p2qpp/2p2r2/2Bn4/2R2P2/1P1P1Q2/P4P1P/2R4K w - -,c5e3
1rb1k2r/p3bppp/3p1n2/2p3B1/2BpP3/2P5/PP2NPPP/R4RK1 w k -,b2b3
r3r1k1/1bq1bppp/p2ppn2/1pn5/3NP3/1BP2P2/PP1BQNPP/R4RK1 b - -,e7f8
6k1/8/5bp1/r7/5PKP/3R1N2/8/8 b - -,g8g7
5rr1/1p1kn3/p1p1p3/4P3/1b1PPB1p/1B3N2/PP3KP1/3R1R2 b - -,f8f4
3r3r/1qk2P2/3b2Qp/pb1P1Pp1/2pR4/1pP5/5BNP/5RK1 w - -,g2e3
r4rk1/pppbq1pp/2np1n2/4pp2/2PP4/P1B1PP1N/1PQ3PP/2KR1B1R w - -,d4d5
4rn2/pp3p1p/5pk1/bP3N1R/5RPP/8/6K1/5B2 b - h3,f8e6
r7/4q2k/3p1r1b/1ppPpPp1/P5Pp/1P2B2P/2Q2RK1/1R6 b - a3,b5b4
