2b5/pp6/5k2/5P2/6PP/8/PP2K3/8 b - h3,c8d7
1r3rk1/2qn1pb1/b1pp1npp/p7/Q2PPNP1/2P1N3/P5BP/R1B1R1K1 w - -,f4h3
6k1/1ppb1r1p/3p1p2/2nNnP2/2P5/rP2q1P1/2B2R1P/1R1N2K1 w - -,d1e3
3k4/1R6/4p3/1p2B3/1P6/3K4/r7/8 b - -,a2a4
2kr3r/ppp1qp2/7p/2b1P3/3N1pb1/P1PQ4/1P4PP/R3KB1R w KQ -,d3e4
8/8/8/8/1Q2bp1K/1P3kp1/8/8 w - -,b4d4
8/p2r1kb1/1p6/2p3Rp/P7/4B1PK/1Pq5/4Q3 b - -,d7d1
3r1k2/1p3p1p/p3p1p1/8/2P2Pb1/1P1BR1P1/PKP4P/8 b - -,f8e7
3r2k1/p4p2/1p2p1p1/8/6P1/P4P2/1P2RK2/8 b - -,d8d3
8/p4pk1/7p/1Bbnq1pP/3p4/1P3Q2/5PP1/3R2K1 w - -,b5c4
2r5/5rpk/p6p/2pp1PB1/2p1p3/1P2K1N1/P1P2P2/7R b - -,c4c3
3rr1k1/p1q3p1/1pP2bp1/1P1pNp2/P2Q1P1P/R5PK/4R3/8 b - -,c7d6
r1b1k1r1/2q1b2p/2pRp3/p1P1PpN1/1p1B1n1P/8/PPQ1BP2/1K5R b - -,h7h6
2qrr1k1/1p2bpp1/2p1p3/p1P4p/3P1BnP/1B3Q2/PP2RPP1/3R2K1 w - -,f3g3
5r1k/6p1/2p1P2p/2P5/bP2qP2/r1p4Q/6PP/2R2R1K b - -,a3a2
r3r1kb/1bqn1p1p/pp1p1npB/2pP4/PP4P1/2N2N2/3QPPBP/2R2RK1 w - -,h2h3
r3r1k1/p1P3bp/4p1p1/2NQp3/1p1n4/8/PP3PPP/R1BR2K1 b - -,e6d5
2r2rk1/pp2ppbp/q1n2np1/2p5/2NPb3/2P1PNP1/PB2QP1P/R2R1BK1 w - -,f3d2
1r6/1P2kp1p/2B3p1/8/1p6/2b3PP/P3KP2/3R4 b - -,c3e5
1r4k1/4ppbp/r2p1np1/q1pP2B1/2n1P2P/2N2P2/PP1QN1P1/1R2K2R w K -,d2c1
6k1/p7/2pp2r1/8/2PPp3/5r1P/PNR1KP2/8 w - -,b2d1
rnbqk2r/p3bppp/1p1ppn2/1N4B1/2P1P3/2N5/PP3PPP/R2QKB1R b KQkq -,e8g8
k2n2r1/pp5p/5N2/q2p4/2pP4/P1P1P1P1/2PQ2P1/R5K1 b - -,g8g3
8/5pk1/8/2R3Pp/p7/2PrnN1K/P7/5n2 w - -,g5g6
8/8/3R2p1/p2P1k1p/7P/1r3PPK/8/8 w - -,d6d8
8/p7/1p2kbbp/1B1p2pn/3P2P1/3NBP2/P4K1P/8 b - g3,g6d3
6k1/1p1nq1pb/n1p1p2p/2PpP2P/1PP3P1/2B3K1/3N2B1/5Q2 b - -,a6c7
r1bq1k1r/5pbp/3p1p2/pBPQp3/1p2P3/4N3/PP3PPP/R4RK1 b - -,a8b8
1r3rk1/1bqnbp1p/pp1ppnp1/8/1PP1PP2/P1N1BB2/3N2PP/2RQ1RK1 w - -,g2g4
1r1q1rk1/p3ppbp/3p2p1/2pNnP2/1nP1P3/1P4PP/P5B1/1RBQ1RK1 w - -,c1g5
2rr2k1/p3bp1p/1pB5/2p3p1/QP1p4/P2q2P1/5P1P/1R2R1K1 w - -,c6e4
5k2/p6Q/1p1q1p2/n7/2p2P2/P5P1/5P1P/1B4K1 w - -,h2h4
4r3/pp1qrpk1/2p2pp1/3n4/3P3P/3Q1BP1/PP3PK1/3R3R b - -,f6f5
3R1n2/p1r2pk1/2B4p/1P4p1/3K2PP/6P1/5N2/5b2 w - -,d8a8
r4rk1/1bqnbppp/p2ppn2/1Pp5/3PP3/2P2N2/1PB1QPPP/RNB1R1K1 b - -,a6b5
6k1/5p2/7p/4n3/5p1P/1P2K1p1/PP6/8 w - -,e3e2
rn3rk1/6pp/p1p1pq2/1pP2p1b/3P4/1Pb2N2/P1B1QPPP/1RBR2K1 w - -,c1b2
3q4/p4pkp/1pQBp1p1/1P1nP3/P4P2/5KP1/7P/8 w - -,c6b7
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP1B2/2N1P3/PP3PPP/R2QKBNR w KQkq -,f1d3:g1f3
r2rn1k1/p3bppp/1p1pp3/1Nn5/2P2B2/1PN2PP1/P4P1P/3R1RK1 w - -,c3e4
1k3br1/1p3p2/3Nbp2/pBq4p/P3P1rP/5Q2/1PPR2P1/1K1R4 b - -,f8d6
8/p5p1/2brk3/2p1pp1p/3rP2P/2N1RK2/PPP2RP1/8 w - -,g2g3
r2q2k1/1pp2pb1/3p2pp/1PrP4/8/3QPNP1/5P1P/1R3RK1 b - -,d8f6
r2q1rk1/1b1nbppp/p1n1p3/1pppP3/8/P2P1NNP/BPP2PP1/R1BQR1K1 b - -,a6a5
r2r2k1/5ppp/p1p2b2/1p2p3/4P3/1P2Bb2/PP3PPP/R3R1K1 w - -,g2f3
5r1r/6k1/2qp1pP1/2p1pQ1P/P1P5/8/P3R3/5RK1 b - -,c6b7
r3k2r/ppqn1pp1/2pbpn1p/3pNb2/2P2P2/1P2P3/PB1PB1PP/RN1Q1RK1 w kq -,d2d4
r4rk1/pp2ppbp/2np1np1/2pN2B1/2P5/3P1NPq/PP2PP1P/1R1Q1RK1 b - -,f6d5
2rr1bk1/p1q2ppp/2pppn2/8/2P1P3/BPNR4/P3QPPP/R5K1 w - -,a1d1
rn2k2r/pp1bppbp/3p1np1/q1pPP1B1/5P2/2N5/PPPQ2PP/1K1R1BNR b kq -,d6e5
r2qkb1r/ppp1nppp/2n1p3/3p4/3P2b1/4PN1P/PPPNBPP1/R1BQK2R b KQkq -,g4f3
q2rn1k1/3R1pp1/pp2pb1B/1Q6/2P1N3/1P3PP1/P5KP/8 w - -,d7d8
rnb2rk1/ppq2pbp/2pp1np1/4p3/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 w - -,b2b3
r4rk1/1p2b1p1/1np5/p2p1pP1/Pn1P4/1P2PPP1/1B1RN1B1/R5K1 b - -,e7g5
r3k2r/p2n1pp1/bp2pn1p/q1p5/2PP3B/P3P3/3NBPPP/2RQK2R w Kkq -,e1g1
1rb2rk1/3qn1bp/2n1p1p1/3p4/pp1N1PP1/5N1P/PPP3B1/1RBQ1R1K b - -,c6d4
8/3k1p1p/5np1/2NPb3/2P1P3/6PP/2B3K1/8 b - -,d7d6
8/4k1P1/8/6K1/8/8/r7/5R2 w - -,g5g6
1r2r2k/4q1b1/pNpp1npn/P3p2p/1PP1Pp2/R4B1P/3BQPP1/2R3K1 w - -,c4c5
8/4k3/4p1Pp/3pP3/1K3NPn/8/8/8 b - -,h4f3
rnb2rk1/pp3ppp/1q3n2/3p4/4p3/1NNP2P1/PP1QPPBP/R4RK1 b - -,f8e8
q3r2k/5p1p/3B1p2/1p3P2/2pP2P1/2Pn2KP/1P1Q4/5R2 b - -,a8e4
r3r3/1p3pkp/b1p3p1/p7/P3P1P1/2q4P/2P2QB1/3RR1K1 b - -,a8d8
6K1/6P1/5q2/4k3/8/8/8/8 w - -,g8h7
r2q1rk1/p1p2ppp/2p1bn2/2bp4/4P3/3B1Q1P/PPPN1PP1/R1B2RK1 b - -,f8e8
3q1rk1/ppR2r1p/1n1p2p1/1B1Pp3/PP2Pp2/5Pn1/2Q2BP1/2R3K1 w - -,f2b6
r1b2rk1/pp1n1pp1/2pb3p/q2p4/3P4/2NBPN2/PPQ2PPP/2R2RK1 b - -,a5d8
r4rk1/pbqn1ppp/1p2pn2/8/3P4/2PB1N2/P2BQPPP/R4RK1 w - -,f1e1
2bq1r1k/1r5p/p2p2p1/P1pPppb1/1pP1P3/1P1Q1P2/R4NPP/4RBK1 w - -,g2g3
2r3k1/6p1/1p1r1q2/3p3p/1Q1p1pP1/P2P1P1P/5PK1/2R1R3 b - -,c8c3
r1r3k1/p2p2p1/1pbPp2p/5p2/2P1nB2/P5P1/1P2BPP1/2R1R1K1 b - -,e4g5
3r1rk1/1pq1b1pp/p1n1b3/2nBpp2/1P6/P3PN2/1BP1NPPP/1R1Q1RK1 w - -,c2c4
r3r1k1/p4ppp/1p1P1q2/4n3/3P4/B5P1/P2Q1PKP/R7 w - -,d4e5
8/p3Rpkp/6p1/P3P3/3n1P2/2R3P1/3r3P/5K2 b - -,h7h5
4r1k1/7p/3n2p1/p1rp4/1p1npP2/PP4PB/1RP4P/1N1KR3 w - a6,a3b4
rnbq1rk1/pp1p1ppp/4pn2/8/1pPP4/3Q1N2/PP2PPPP/RN2KB1R w KQ -,e2e4
r4rk1/1bqnbppp/p2ppn2/1pp5/P2PP3/2P2N2/1PB1QPPP/RNB1R1K1 w - -,a4b5
8/8/1np3pp/4k3/p3NpPP/P2K1P2/2P5/8 b - -,e5d5
1qrr2k1/1p1bbppp/p2ppnn1/8/P1PNP3/BPN3PP/3Q1PB1/2RR2K1 w - -,f2f4
1q2rrk1/pp1b2pp/5n2/3pn3/8/2NB1NP1/PP3PP1/2RQ1RK1 w - -,d3e2
2r1kb1r/3npp2/1qp1b2p/p2pP3/Pp1P1B2/1N1B2QP/1PP3P1/R4RK1 w k -,f4e3
3r4/2n1k1pp/1p1p4/p7/2P2P2/2N1K2P/PP1R4/8 b - -,d8f8
1r5r/1p2p1k1/8/p1p1pBp1/2n1P3/P1PK2P1/4PP2/1R5R b - -,c4d6
6k1/6pp/4p3/p1R5/8/P5P1/1r3PPK/8 w - -,f2f3
