8/1n2K3/2kP4/2B1N2p/3P3P/8/6r1/8 b - -,c6d5
2rr2k1/5p1p/p3b1p1/1p6/4PQ1P/2q5/1RB2PP1/1R5K w - -,c2b3
8/1r2k1p1/1P2p1p1/3p2K1/3P3P/5PP1/8/1R6 b - -,e7d6
rnb1k2r/pp1p1ppp/4p3/6q1/2P3n1/2N5/PPQ1P1PP/R3KBNR w kq -,g1f3
8/7p/4k1p1/1K3p2/8/6rP/3N2P1/6R1 w - -,b5c4
r2qnrk1/pb2bppp/3p4/1ppP1N2/1n2P3/6PB/PB1Q1P1P/RN3RK1 w - -,b1c3
1R4k1/4b1p1/7p/3PK3/2rN4/4P2P/8/8 b - -,g8h7
8/8/4B2p/8/1p3b2/pP5P/k1K5/8 b - -,a2a1
r7/8/2k2P1p/2p1b3/3pp1P1/1P5P/r3N2R/3RK3 b - -,d4d3
r1bq1rk1/pp2ppbp/2n2np1/2p5/4PP2/5NP1/PPP3BP/RNB1QRK1 b - -,e7e5
2brr1k1/1p3qpn/p2p1n1p/2pP3P/2P1pPN1/1P2P3/PB1QB3/2R1K1R1 b - -,c8g4
8/r4k1p/5np1/8/6P1/3N1P1P/3R1K2/8 b - g3,f7g7
8/6pk/4Q3/p2pp3/8/KP5P/P3q3/8 b - -,d5d4
r1bqk1nr/1p2bp1p/p2pp1p1/4n3/P3P3/1N1B4/1PP1QPPP/RNB2RK1 w kq -,f2f4:b1a3:h2h3:a4a5
2b2nk1/8/p5p1/1p5p/1P1pP3/P2B2qP/4Q1P1/6K1 w - -,e4e5
8/8/6R1/p4p2/5k2/r6p/5P1K/8 b - -,a3a2
1k6/1p3r1p/pq4p1/P2p4/2p5/2P5/6P1/3R2K1 w - -,a5b6
1r3rk1/p2B1ppp/1q2nb2/3Q4/N7/7P/PPP2PP1/R4RK1 b - -,b6a6
5k2/5rp1/p2p1q1p/1pp5/4PPb1/1P3nP1/P1P2RKP/R1Q2N2 b - -,f3g5
r4rk1/p5p1/bp1N1pQp/8/3RP3/7P/P2R1PP1/2q3K1 w - -,g1h2
rn1qk2r/1b2bppp/p1p1pn2/1p2P3/P1pP4/2N2N2/1PQ1BPPP/R1B2RK1 b kq -,f6d5
r1bq1rk1/ppp1n1bp/3p1n2/2PPp1p1/PP2Pp2/B1N2P2/3NB1PP/R2Q1RK1 b - -,f8f7
rnb2rk1/1pq2ppp/3ppn2/p7/1pPP4/5NP1/PP1NPPBP/2RQ1RK1 b - -,b7b6:b8a6
r3k2r/pp1bppb1/1qnp1np1/7p/2P5/1PN3P1/PBN1PPBP/R2Q1RK1 b kq -,c6e5
5qk1/3Q3p/3p1bp1/2p5/4PN2/6P1/1r1n2BP/3R2K1 b - -,f8e7
3r3r/2k1n1pp/1p1b1p2/1p2p3/6P1/1NP1N3/PP1R1P1P/3R2K1 b - g3,c7c6
2kr4/pp6/2p5/4b3/2P3R1/P2B4/KP3q1r/1RBQ4 w - -,g4e4
3rr1k1/5qbp/1Nppbpp1/4n3/2P1P3/p3BP2/P2QB1PP/2R1R1K1 w - -,d2a5
rnb1k2r/p3qpp1/5n1p/1p1p4/2pP3B/P1Q1P3/1P3PPP/RB2K1NR w KQkq b6,g1e2
r1bq1r1k/1pb3p1/2p2n1p/p2pp1p1/PP2P1P1/1BPP3P/3NQP2/R1B1R1K1 w - a6,b4b5
2kr3r/1ppnbq2/3P1pp1/2P4p/1P1B1PnN/P7/3N2PP/R1Q1R1K1 b - -,e7f8
r1bqk2r/pp2ppbp/2n2np1/3pN3/3P4/2N3P1/PP2PPBP/R1BQK2R b KQkq -,e8g8
r2q4/p3rpbk/3p2pp/3P3n/BP2P3/2N1QP1P/1P4P1/R4RK1 w - -,a4c6
8/6kp/3q1pp1/1P1Pp3/2rbB1PP/5Q2/8/5R1K w - -,h4h5
r1bqrbk1/pp1n1pp1/2p4p/4p3/P2Pp3/3QBN1P/BPP2PP1/R3R1K1 w - -,d3e4
4bnk1/6bp/4p1p1/p4p2/1p1P1PP1/1P4B1/P2N2BP/6K1 w - -,g3f2
rnbq1rk1/pppn1p1p/6p1/2PNp3/2BP4/5N2/PP3PPP/R2Q1RK1 w - -,f3e5
r4rk1/1pp1qpbp/p5p1/2p1P3/3nBP2/4B1PP/PP6/2RQR1K1 w - -,e3d4
r1r3k1/b4pp1/p1b1p3/7p/7P/1PNN1PP1/1P6/R2R1K2 w - -,d3e5
4r1k1/p1p2ppp/2b1q3/2Q1p3/8/2N1R3/PrP2PPP/R5K1 w - -,a1e1
2r4k/pp4pp/1bn5/5r2/3p4/2P3B1/PP1N1PPN/3R2K1 w - -,c3c4
r5k1/p6p/bpn1p1p1/3N4/P5P1/4BBKP/1q1R4/4n2R w - -,d2b2
3rNrk1/p5bp/n3bpp1/4P3/1qP2P2/1P2B1PP/P1Q3B1/3R1RK1 b - -,f8e8
r3kb1r/p4pp1/b1p2n1p/q1B1p3/1p2P3/1B3N2/PPP2P1P/1NKRQ1R1 b kq -,a5c5
8/5k2/8/4K3/4P1PN/8/8/3n4 w - -,e5f5
1nkr3r/ppnqb1pp/4p3/1P1pPp2/3N4/P7/1BPNQPPP/R4RK1 b - -,d8f8
1rr5/1pnn2bk/p2p2p1/2pPpp1p/P1P1P3/2NN1PP1/1P1B2KP/R2R4 w - -,d1e1
r1bqr1k1/1p3p1p/2pb1npB/1P1p1n2/3P4/2NBPN1P/2Q2PP1/1R3RK1 w - -,b5c6
8/4k3/8/p1pBpb2/2P1p3/1P2K3/P7/8 w - -,d5c6
r1B5/6k1/1pN2n2/3pp3/8/3P2P1/P3P2P/5RK1 b - -,a8c8
r2q1rk1/5ppp/pp2p3/2pbP1b1/P1BPp3/1P2P3/1BP1Q1PP/R4RK1 w - -,c4d5
r3brqk/2b4p/2p1p1P1/1pPpN2n/1P1P1P2/3B3P/1BQ3R1/5RK1 b - -,c7e5
5bk1/6pp/7r/2p1Pp1P/1pPp1P2/1P1P1K2/1B5R/8 b - -,g7g6
2R2rk1/1Q3pp1/3qp2p/p2p1b2/3P4/4P3/PP2BPPP/6K1 b - -,f8c8
8/P7/5R2/2p5/2P5/8/K1k5/4q3 w - -,f6f2
r1b1kb1r/ppq3pp/2n1pn2/3p4/3P4/3B1N2/PP2NPPP/R1BQ1RK1 b kq -,f8d6
8/4k3/3np3/4K3/8/8/5R2/8 w - -,f2a2
3Q2k1/r5b1/4p1qp/1ppp4/p5r1/P1PP1NP1/1P3PK1/1R2R3 b - -,g8h7
5r2/1p4p1/p7/1b1pk2p/4p3/4P1P1/PP3PBP/4K1R1 b - -,d5d4
4k2r/1p3pp1/p3p1p1/1q1pP3/1PbB4/P1R3P1/2Q2P1P/6K1 b - -,b7b6
r4rk1/p1b2p1p/1p2b1p1/1R6/8/P3P3/1P2BPP1/R1B2K2 w - -,c1d2
r3k2r/pp1n2pp/2pb4/4Np2/4nP2/2N3P1/PP5P/R1B1R1K1 b kq -,d7f6
q1b1r3/5kp1/1QR1p2p/pp2P2P/1P3p2/P4N2/5PP1/6K1 w - -,b4a5
8/5pk1/p4r1p/p1Np4/3P1P2/2P4b/4RK1P/8 b - -,f6g6
r2qkb1r/pp1npppp/2p2n2/3p4/6b1/1P3NP1/PBPPPPBP/RN1Q1RK1 b kq -,g4f3:e7e6:d8c7:a7a5
2r5/8/3pknp1/pp2p2p/4P2P/2PNRKP1/PP6/8 b - -,a5a4
8/1p1k2p1/p4p2/2b5/P1p4B/2P1KP2/5P2/8 w - -,e3e4
r1bq1rk1/pppnppbp/6p1/8/8/2P2NP1/P2PPPBP/R1BQ1RK1 w - -,d2d4
r2q1rk1/pp4bp/2n1p1p1/2ppPn2/3P4/2P1BBN1/PP1Q2PP/R4RK1 b - -,f5e3
6k1/6p1/2Q1p3/1pP1P2p/pP1q3P/P4PP1/3r4/4R2K b - -,d4f2
R4nk1/p2b1pp1/1p5p/5r1P/2B4Q/5N2/P4PPK/2q5 b - -,c1a3
6k1/6p1/7p/1r3p2/3N4/3r2P1/5PKP/8 w - -,d4b5
2kr1b1r/ppq2pp1/4pn1p/2p4P/2PP4/4BN2/PP2QPP1/2KR3R b - -,f6g4
r1b2r2/2pq2kp/p2pp1p1/Np3nPn/3PNP2/P6P/1PP1BQ2/3R1RK1 b - -,d6d5
r1bqk2r/pp2ppbp/2p3pn/2n5/4PP2/2P2NP1/PP4BP/RNBQK2R w KQkq -,d1d8
7r/3npkq1/4b1p1/3pPpQ1/p1pP3R/PpP2N2/1P3PP1/1BK5 b - -,d7f8
rn3rk1/1bqn1ppp/3ppb2/pB6/P2NP3/1NP1BP2/3Q2PP/2R2RK1 b - -,f6e7
3k3r/1p3p2/3rpn1p/p7/2Pp1Pp1/1P6/P3B1PP/1R1R3K w - -,e2d3
r7/1p3k2/2p3p1/p2p1p1p/Pn1P3P/1P2PKP1/5P2/1BR5 w - -,f3f4
5k2/5p1p/1pp2p2/2n1p3/B1P5/2qPP1P1/4QPKP/8 w - -,a4c6
6k1/1p2nr1p/p2pb3/5p2/P1PQpP2/q5P1/7P/1R1R1BK1 w - -,d4d6
2b2rk1/r4ppp/4p3/p1N5/Pn3P2/5B2/1P4PP/2R2R1K w - -,f1d1
rn1qk2r/pb2bppp/1p1p1n2/2pp4/2P4N/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
1r1q1rk1/pp1bppbp/2np1np1/2p5/3PP3/2N1B1PP/PPP1NPB1/R2Q1RK1 b - -,c5d4
6k1/1b1n4/2pp2Pb/2n5/3N4/rPp5/8/1R3R1K w - -,d4f5
r2q1rk1/pp4pp/3P2b1/2p5/Pb2P2p/6N1/1PB4P/R1BQ1RK1 b - -,h4g3
r1bq1rk1/ppn1ppbp/6p1/2ppP3/2Bn4/2NPBN2/PPP2PPP/R2QR1K1 w - d6,e5d6
