8/8/6b1/8/3b4/5B1p/5k1P/7K b - -,g6d3
3rkb1r/p4pp1/n3p2p/8/N1pN4/2Bn4/1P3PPP/2R2RK1 w k -,c1c2
r7/p7/4kpr1/4pb2/7R/5R2/P4BP1/6K1 b - -,g6g4
1r4k1/p4pp1/5n1p/2p1pb2/1q6/2N3PP/PP1QPPB1/R5K1 w - -,b2b3
5nk1/2pq1rp1/2Np3p/2pP4/Q4P2/P2b2P1/1P4BP/4R1K1 b - -,d7g4
2k4r/1p1rbp1p/2p1p1p1/p3P2n/1qPPQ2P/1B3P2/PP2N3/1K1R3R w - -,d4d5
3q1r2/1pb1r2k/3p1p1p/pBN1pPpP/P2n2P1/1PQ2P1K/8/3R1R2 w - -,c5e6
rnb1r1k1/1pp2p1p/1b1p1p2/pP2p3/2PP4/P3PN2/1B3PPP/R3KB1R b KQ d3,c8g4
r2q1rk1/p3ppb1/1pp1b1pp/2p1P3/3n4/1P1P1NNP/PBP2PP1/R2QR1K1 w - -,c2c4
2r1r1k1/1p1bppb1/pq4pp/3PB2n/P2R4/2N2P2/1P1Q2PP/2N2R1K w - -,c1d3
2n1r3/2p1qknp/1pP1p1p1/1N1p4/1P6/5PPB/5P1P/Q3R1K1 b - -,c8d6
8/7r/8/7p/2kRP2P/4K3/8/8 b - -,c4c5
1r6/6kp/1q1p2p1/r2Bpb2/1PP5/4P3/3Q2PP/R5K1 w - -,b4a5
r1b2rk1/3nbppp/p2pp3/8/1pNBPPP1/1q1P4/5N1P/R1R2QK1 b - -,e6e5
7r/3k2b1/p1R2p2/1p1B2p1/3pP2r/3N4/PP3RKP/8 w - -,d3c5
3b4/5k2/5n2/5p2/1P1N1P2/4BK2/8/8 b - -,f6d5
8/7p/6p1/B1P2p2/r3p2P/4P1P1/4kPK1/8 w - -,a5c7
r5k1/6p1/5p1p/1r1np3/1p6/1P1N1P2/P1R2KPP/3R4 w - -,d1d2
bqrb1rk1/3n1pp1/pp1ppn2/7p/NPPNP3/P3BP2/3QB1PP/2R2R1K w - h6,e3f2
rnq2rk1/p3ppbp/1p3np1/8/2PN4/N5P1/PB2PPKP/R2Q1R2 w - -,e2e3
6r1/4p3/2B1Pk2/1p3r2/pP1P1R2/P3K1Pp/7P/8 b - -,f5f4
5rk1/pp3qpp/2p3p1/8/1PPb4/P6P/2Q1RPP1/4R1K1 b - -,c6c5
rnbqk2r/pp1pbppp/8/2pQ2B1/8/5N2/PPP1PPPP/R3KB1R b KQkq -,b8c6
2r2rkb/p2q4/1p2bp1n/2pp2pp/3P4/1PP1P1PP/P2BNRBK/2R3Q1 w - -,g1f1
6k1/5pp1/4b2p/pp6/3NP3/1Pp2P2/P3K1PP/8 b - -,e6d7
r5k1/2q1np1p/3p2pb/P2Pp3/2P4P/3Q2PB/2N2PK1/R7 b - -,a8a5
2r3k1/6p1/1R2np1p/2PR4/1P2r1P1/4p1BP/4P1K1/8 b - -,e6d4
r4rk1/2qb2bp/2n1p1p1/1pp1Pp2/p7/P2P1N2/1PP1Q1PP/NRB2R1K b - -,c6d4
2rr3k/4qp1p/1p2pp2/p7/2P4P/1P3QP1/P4P2/3RRK2 b - -,d8d1
r4rk1/pp1bbppp/8/4p3/1n2P3/N3B1P1/PP3PBP/R1R3K1 b - -,f8c8
2rq1r1k/1b1nbppp/pp1ppn2/8/2PNP3/2N1BPQ1/PP2B1PP/R2R2K1 w - -,a1c1
r3k2r/p3bp1p/q1p3pB/3n4/2NP4/3Q4/5PPP/1R2R1K1 b kq -,e8d8
1r1q1rk1/1p1n2bp/p2pp1p1/2p2P2/2Pn1PB1/2NPB2P/PP1Q2P1/3R1RK1 b - -,g6f5
r3k2r/p3nppp/2p1p3/3pP3/1q1P4/1N3P2/PP3P1P/R2QK2R w KQkq -,d1d2
1b3rk1/3r3p/1p6/p1p2qp1/P7/N1PbR2P/1P3PN1/3RQ1K1 b - -,c5c4
r4rk1/pp1b3p/1n1p2p1/3Pp1n1/2PpP3/1P1N4/P3BNPP/1R3RK1 w - -,c4c5
r2r2k1/5p1p/b1p3p1/p3b3/Pp2P1P1/1B5P/1PPB4/2K1R2R b - -,d8d2
r2r2k1/pp2ppbp/5np1/1N6/3P4/4P1P1/PB3PbP/R2R2K1 w - -,g1g2
r3r2k/5pp1/3p1b1p/1p2n3/p1qBP3/2PN2QP/1P4P1/R2R3K w - -,d3f4
1rb2r2/6qk/pp2p1pp/2p2p2/P7/3P1R2/BPPQ2PP/4R2K b - -,c8b7
r1bq1r2/4ppbk/pP4pp/2pPp3/5P2/2PBB2P/P2Q2P1/R4RK1 w - -,a1b1
8/8/1k3pp1/P7/1p1qr2p/3p3P/3Q2P1/1R5K b - -,b6b5
r3kb1r/pp2pppp/1qn2n2/3p1bB1/3P4/1Q2P3/PP1N1PPP/R3KBNR w KQkq -,f1b5
1r3r1k/5ppp/1q1p3b/1P1Bp3/Q3P2P/8/5PP1/R4RK1 b - -,b6b5
r1b1kbnr/pp2pppp/2N5/1B6/4p3/8/PPP2PPP/RNBK3R b kq -,a7a6
rn3rk1/pbppqppp/1p2pn2/8/2PP4/5NP1/PP1NPPBP/R2Q1RK1 w - -,d1c2
rn1qkb1r/pb3ppp/1p2pn2/2pp4/8/1P1P1NP1/PBP1PPBP/RN1QK2R w KQkq d6,b1d2
r4rk1/pp1qnpbp/2n1b1p1/2ppp1N1/4P2P/2PPN1P1/PP2QPB1/R1BR2K1 b - -,d5d4
r1b2rk1/pppqppbp/2n3p1/8/Q7/2P2NP1/P2PPPBP/R1B2RK1 w - -,f3g5
1q6/1p1R1pkp/1r2n1p1/3QP3/5P2/6PP/6BK/8 b - f3,b8c8
1k5r/ppn1q1b1/5p1p/4p2Q/1P6/4B1P1/P2r3P/3R2NK w - -,d1d2
4r3/r4bk1/p1p2p1p/PpNp1Pp1/1P1PP1P1/5P2/3R1K2/7R b - -,a7a8
rr3k2/5p1p/pn1p2p1/3Pp1Pn/1p2N3/4RP2/PPP4P/1K1R1B2 b - -,f8e7
8/r4kpp/1b1n1n2/8/8/2NB1P2/1KP3PP/7R w - -,h1d1
1r1q1rk1/1pp1bpp1/p1n2n1p/2Pbp3/3pP3/BP1P2P1/PN1N1PBP/R1Q2RK1 b - e3,d4e3
r2r2k1/4ppbp/2pp1np1/p7/1qP1P1b1/1PN1B3/P2QBPPP/2RR2K1 w - -,f2f3
rn2k2r/pbq1bp1p/1pp1pp2/8/3PN3/3B1N2/PPP1QPPP/2KRR3 b kq -,b8d7
r3k2r/1pq2b2/2pb1pp1/p2p4/3Pp2p/PNQ1PP1P/1PP1B1P1/R3KR2 b Qkq -,f6f5
4rbk1/1bqnrp2/2p1nBpp/p2p4/PpP1N1P1/4P2P/1PQRNPB1/3R2K1 w - -,f6e7
rn1qk2r/2p1bpp1/bp2p3/p3Pn1p/2BP1P2/P4N2/1P4PP/RNBQ1RK1 w kq -,c4a6
r7/1R2k3/p1p3pp/2P5/r3P1N1/3P2P1/7P/5BK1 b - -,e7e6
r4rk1/pbqn1pbp/2pp1npB/1p2p3/3PP3/2NB1N1P/PPP2PP1/R1Q1R1K1 w - e6,d4e5
r2q1rk1/2p1bppp/p1n1b3/1p1pn3/3N1P2/2P1B3/PPBN2PP/R2Q1RK1 b - f3,c6d4
3r2k1/p5p1/5pNp/4b3/8/P2q1Q2/6PP/5R1K w - -,g6e5
rnbq1rk1/pp5p/5np1/2bp1p2/N2N4/3BPP2/PP4PP/R1BQ1RK1 b - -,c5e7
1r1qr1k1/1ppb1pbp/p1nppnp1/8/2PPP3/4BPP1/PP1QNN1P/2R1KB1R b K -,b7b5
8/8/8/4nk1p/p1p2p1P/B1P2P2/4K3/8 b - -,e5g6
r3k2r/1bqnbppp/p2ppn2/1p4B1/1P1NP3/2N3P1/P1PQBP1P/3R1RK1 b kq b3,a8c8
2rqr1k1/3b1p1p/p5p1/1pbpP2n/8/nP1BBN1P/P2QNPP1/R3R1K1 b - -,c5f8
r2rkn2/p1p2p2/1pq1p1p1/P3P2p/3P1P2/3QNR2/2P3PP/R5K1 w - -,f3h3
r2q1rk1/pp1n1pp1/2p1pn1p/2b2b2/4P3/1P3NP1/PBPN1PBP/R3QRK1 b - -,f5h7
rn1qkb1r/pb1p1ppp/1p3n2/2p5/2p5/5NP1/PP2PPBP/RNBQ1RK1 w kq -,e2e4
6B1/8/3k1b2/2p3p1/2P2r2/6K1/8/3R4 b - -,f6d4
r4rk1/1b4p1/p1q1P2p/1p3Bb1/3p4/P5Q1/1P4PP/1N1R1RK1 w - -,g1h1
r1b1r3/p2p1k1p/2p5/1pq1PQ2/3R4/1P6/1PP2PPP/1K6 b - -,f7e7
1r6/8/5k1p/2r2pp1/1p5P/1B2P1P1/1R2KP2/8 w - -,h4g5
r2qk2r/pb2bppp/1pn1p3/2pn4/4NN2/3P2P1/PPP2PBP/R1BQ1RK1 b kq -,d5f4
r1bqk2r/pp4pp/2nbpn2/3p4/3P4/3B1N2/PP1N1PPP/R1BQR1K1 b kq -,e8g8
r1bn1rk1/pp1p1pp1/1bp4p/3PP1q1/2B1N3/2PQ2B1/P4PPP/R3R1K1 b - -,g5h5
8/1R4b1/4q1kp/p1p1P1p1/2n2p2/P1P2N1P/4R1B1/6K1 b - -,g7f8
n1rq1r1k/4p1bp/2p1Ppp1/p7/p1PP1B2/2PB1P1P/1Q6/RR4K1 w - -,a1a4
4r3/pppr2k1/1n1p1p2/5Pp1/1P1Pp3/4N2P/P1R2PP1/3R2K1 w - -,d1c1
3rr1k1/p1qpbpnp/1p1R2pB/2p1P3/1nQ5/5NP1/PP3PBP/3R2K1 b - -,g7f5
8/8/1p1k1pp1/3p3p/1P1NbP1P/2K1P1P1/8/8 w - -,c3d2:c3b3
4r1k1/ppp3pp/r7/3nN3/3P1p2/2P1PP1P/P1RK4/7R w - -,e3f4
