8/7p/1b2p1p1/5p2/5PP1/5K1P/2k1N3/8 w - -,e2g3
r1b2rk1/pppnq1pp/3p4/5p2/2PPn3/P1PBPN2/2QB2PP/R4RK1 b - -,b7b6
5k2/p5Rp/3b4/2pP4/PpP5/1P3p1q/1B3PNP/5K2 b - -,d6h2
5k2/KR6/P4Pp1/8/4p2P/r7/8/8 w - -,b7e7
2bq1r2/3p1ppk/3Pn3/pr2P1b1/N7/3Q2P1/PP3B1P/1R3RK1 b - -,f7f5
8/2rk1p2/3p4/Rpr1p2p/4R2P/2P3P1/1P3P2/4K3 b - -,c5c4
r1r3k1/1p2qppp/3p1n2/PbnPp3/4P3/P1B3P1/3N1PBP/RQ2R1K1 b - -,b5d3
br4k1/2qnb1pp/3p4/3Ppp2/1p1N4/6P1/1PP1QPBP/2B1R1K1 b - -,g7g6
rnbqk1nr/ppp1ppbp/3p2p1/3P2B1/4P3/2N2N2/PPP2PPP/R2QKB1R b KQkq -,g8f6
2r2rk1/pq2ppbp/1pNp1np1/2nP4/4P3/1P1b1P2/PB1NB1PP/2RQR1K1 b - -,f8e8
8/5r2/1R6/p2p2kp/P2Pp3/1P2P1K1/5P2/8 b - -,h5h4
6k1/4b3/8/1B3p1p/P1R2PbP/2N5/3r4/6K1 w - -,c4c8
8/5pk1/6pp/1pR1p3/2n1P3/2K5/2N2PPP/2r5 w - -,c3d3
r1bqkb1r/pp2pppp/2n2n2/3p4/7Q/2N2N2/PPP1PPPP/R1B1KB1R w KQkq d6,c1g5
3r4/4qppk/3b3r/p7/3N2Q1/P3P1P1/1P3P1P/2RR2K1 b - -,g7g6
1r4r1/1p2bpp1/2kpb2p/1p6/3BN3/1PP2P2/1R4PP/4R1K1 b - -,g7g5
r1bq1rk1/1p1pnpbp/2n1p1p1/p1p5/2P5/P1N2NP1/1P1PPPBP/1RBQ1RK1 w - a6,d2d3
2r5/5ppk/R1N1p2p/4P3/1P6/4B1P1/5PKP/3r4 b - b3,d1b1
r3k2r/p1q2ppp/1pBbp3/4R3/3P4/2P5/P2B1PPP/R2Q2K1 b kq -,c7c6
r2q1rk1/pbp1bppp/1p3n2/3pn3/3P1B2/2NBP3/PP3PPP/R2Q1RK1 w - -,f4e5
3r3k/pbrqb2p/1pp1ppp1/3n4/3PNP2/PQ1NP2B/1P1R1P1P/2R3K1 w - -,e4g3
8/rp3k1p/2p2Pp1/1pKp4/1Pn1rP2/P2RP3/6PP/1N2R3 b - -,e4e6
1r2rbk1/1n1q1ppp/p1p5/3nP3/P2B1P2/1N4P1/4Q1BP/R2R2K1 b - -,d7e6
r6r/1b2kp2/1pn1pN2/2n1P1q1/1p1p1PN1/4R1P1/PP6/1BRQ2K1 b - f3,g5g7
r3r1k1/pb1nppbp/n1p3p1/1pPp4/1P1P1B2/2R2NP1/NP2PPBP/3R2K1 b - -,f7f6
r3r1k1/p2R1pbp/3n2p1/4p1B1/4P3/5N2/PP3PPP/4K2R b K -,d6e4
1r1q1rk1/p2bppbp/3p1np1/np6/3NP2P/2N1BP2/PPPQB1P1/2KR3R w - b6,e3h6
1r1k3r/8/3P1K2/6R1/1p3p2/3R1P2/8/8 b - -,b4b3
r2q1rk1/p3bp1p/2p3p1/3nPR2/np6/1P1B1QBP/2P1N1P1/7K w - -,b3a4
8/6pk/4q2p/1p6/nP3p2/P1p1N1PP/5P2/2Q3K1 w - -,g3f4
4r1k1/1B4pp/3p2r1/2p2p2/2PB4/1PK1P3/n5PP/3R4 w - -,c3b2
1r6/p1p2k2/1p2n3/4pp1p/1P6/2NP2P1/P1P2PK1/4R3 w - -,e1e5
6k1/1p2pp1p/p2p2p1/3P4/bP1P1P2/P7/5KPP/2B5 b - -,a4b3
2r1r1k1/p7/p2R1n1p/3P1N1q/1P4p1/5pP1/P4P1P/Q3R1K1 w - -,d6f6
8/k7/3B4/2P2p2/4bP2/3r4/1R6/2K5 b - -,e4b7
r1bqk2r/1p2bppp/p1nppn2/8/3NP3/2N1B3/PPP1BPPP/R2QK2R b KQkq -,e8g8:c8d7
R7/3r2kp/6pb/Npp5/8/1PPn1N2/1P2rPPP/3R2K1 b - -,e2b2
r1q2rk1/p3npb1/2n3pp/1Rp1p3/2P5/P1NP1NPb/3BPPBP/3QK2R w K -,e1g1
2r3k1/pp3pbp/4n1p1/4p1B1/4P3/5N2/PP3PPP/5RK1 w - -,f1c1
5b2/5pkp/p7/1r2p3/rPq2p2/2PR1P2/P2Q2PP/1K1R2B1 w - -,d3d8
rnb1k1nr/1p3ppp/pp1p4/4p3/2B1P3/3PBN2/PPP2PPP/R3K2R b KQkq -,b6b5
2r2rk1/1q2bppp/3p1n2/p4P2/1P3B2/2N2P2/1PP4P/3RQR1K b - -,a5b4
8/1p4k1/2b2q2/2B1QP1p/p1P1p3/1P6/P6P/6K1 w - -,c5d4
r4rk1/pbB2pp1/np2q2p/3p4/3Pn3/1Q3NP1/PP2PPBP/2R2RK1 b - -,g7g5
8/p6p/1p2nk2/5p2/bPP4p/4PB1P/PR3K2/8 w - -,f3d5
r1bqk2r/1p2npbp/2np2p1/p1p1p3/2P5/P1N1P1P1/1P1PNPBP/1RBQK2R w Kkq -,e1g1
2r5/3r2bk/pB3npp/5n2/8/1RqN1P2/5QPP/1R3B1K b - -,c3c2
1r1rk3/3nbp2/ppb1p1pp/2p1P3/2P2PP1/1P2BN2/P2RBK1P/3R4 w - -,f2g3
4rBk1/1b6/pp2p3/5pNp/P6P/6P1/6P1/3R2K1 b - -,g8f8
r1bq1r2/p3p1k1/3n1pp1/1P1P2N1/3Q4/6P1/5PBP/R4RK1 w - -,g5e6
1k4r1/pbq2p1p/1pp1pbr1/2P2p1n/1P1P4/2N1QNP1/P4P1P/1R1R1BK1 w - -,e3e1
r3k2r/pp2bppp/2qpbn2/4p3/4P3/2PQNP2/PP2B1PP/R1B1K2R b KQkq -,e8g8
6k1/5p1p/2r1p3/nr4p1/RP1P4/6P1/5P1P/2R3K1 w - -,c1c5
r1bqk2r/ppppnpbp/2n3p1/1B1Np3/3PP3/5N2/PPP2PPP/R1BQK2R b KQkq d3,e7d5
r1bq1rk1/pp4bp/2np4/2n1pp2/2PP2p1/P1N2NP1/1B2PPBP/1R1Q1RK1 w - -,d4c5
6k1/1p2qpb1/2nNp3/2P4p/6n1/r3PQ2/5PP1/1R1R2K1 b - -,c6d4
8/8/5P2/4K1k1/5NpP/b7/6P1/8 b - -,g5h4
r2q1rk1/p2bn1pp/1pnbpp2/3p4/2pPP3/2P2NP1/PP1NQPBP/R1B2RK1 b - -,b6b5
rn1qk2r/p1p2ppp/bp1bpn2/3p4/2PP4/5NP1/PP1NPPBP/R1BQ1RK1 b kq -,e8g8
rn1qk2r/pp2bppp/2p1pnb1/8/2BP1B2/2N3N1/PPP2PPP/R2QR1K1 w kq -,c3e4
8/2r3kp/1p3ppb/pB1bp3/P4n1B/2P2N1P/1P3PP1/3R2K1 b - -,f4h3
r1b1r1k1/1pp2pbp/2p3p1/p1n1P1B1/3N1P2/2N5/PPP3PP/R3R1K1 w - -,a1d1
6rk/pn1b1nr1/1p1p1b1q/2pP1p2/1PP1pP1p/P1N3PP/2Q1R1BK/2BR1N2 b - -,h4g3
1r6/4bp2/3p2k1/1p1R2pp/1P4P1/p2N3P/P7/2K5 b - g3,h5g4
r1br2k1/1q2bpp1/3p3p/p2Pp3/1pP2P2/1P1Q2N1/P5PP/R1BR2K1 b - -,a5a4
r7/1p2k1pp/2p1b3/5p2/1R3P2/5P2/1PB1PK1P/8 b - -,b7b5
1rb2rk1/ppb2qp1/n1p2n1p/2P1pp2/3P4/2N1PPP1/PRQBN1BP/5RK1 w - -,f1b1
1r6/p4ppk/6bp/2R1pq2/7P/2Q1P3/P7/K5R1 w - -,c3c1
r1bq1rk1/ppp3bp/n2p1ppn/4p3/2PPP2B/2N2N2/PP2BPPP/R2Q1RK1 w - -,h2h3:d1d2
1r6/2r2p2/4p3/1p1p1k2/1P1P1Ppp/R1P1K2P/6P1/5R2 w - -,h3g4
r1b2rk1/1p2bppp/p1n1pn2/2qp2B1/3N4/2P1PN2/PP2BPPP/R2Q1RK1 b - -,f6e4
4r2k/1Q4p1/p5Rp/PP3r2/2P4q/6B1/5KpP/8 w - -,f2g1
3R4/p4ppk/7p/8/6P1/PQ2P2P/2r3q1/4K3 w - -,b3d3
8/8/6k1/3B1p2/1b1n4/8/p7/N6K b - -,b4c3
r3r1k1/1p1bq2p/2p1nppQ/p1npP3/P7/1P1B1NNP/2P2PP1/3RR1K1 b - -,e8f8
r1bq1rk1/pp2bpp1/1n2pn1p/8/3P3B/1Q1B1N2/PP1N1PPP/R4RK1 b - -,c8d7
r3kb1r/1p1nppn1/1qp3p1/p2pPb1p/P2P4/2N1BN1P/1PP1BPP1/R2QR1K1 w kq -,b2b3
8/2b2p2/6p1/1Np3kp/B1b1Pp2/5P1P/6P1/4K3 b - -,c7e5
r1b1kb1r/p1qpnppp/2p1p3/2p1P3/8/3P1N2/PPP1QPPP/RNB1K2R b KQkq -,e7g6
rnbq1rk1/pppn2bp/3p2p1/4Pp2/1PP5/5NP1/PB2PPBP/RN1Q1RK1 b - -,b8c6
8/8/1P6/5p2/4p3/1r2k2Q/5r2/3K4 b - -,f2f3
